epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.266,6.14249,3.61908,2.79188,0.1898,0.03025,0.02399,0.00633,3.9852,4.19507,1.96065,0.00333096,0.00333096,0.0700214
2,381.571,4.08328,2.33427,1.81348,0.2712,0.08143,0.05085,0.01469,3.65878,2.31002,1.79975,0.00666419,0.00666419,0.0400213
3,560.886,3.76546,2.10643,1.68483,0.58858,0.0753,0.05832,0.01786,3.49219,2.18206,1.76012,0.00999701,0.00999701,0.0100208
4,734.398,3.60468,1.90178,1.59569,0.30354,0.14129,0.11481,0.03971,3.30448,1.84869,1.61862,0.00999863,0.00999863,0.00999863
5,903.719,3.48366,1.75078,1.53789,0.18703,0.15104,0.1271,0.04292,3.28771,1.95525,1.62326,0.00999756,0.00999756,0.00999756
6,1077.31,3.39233,1.62415,1.49303,0.33914,0.17367,0.15704,0.0579,3.13604,2.00799,1.576,0.00999618,0.00999618,0.00999618
7,1251.85,3.32886,1.54551,1.46706,0.60862,0.17408,0.16724,0.06365,3.12661,1.52634,1.52818,0.0099945,0.0099945,0.0099945
8,1416.97,3.28065,1.49558,1.45483,0.74234,0.18897,0.17933,0.06802,3.03526,1.43308,1.50968,0.00999252,0.00999252,0.00999252
9,1589.98,3.24345,1.45525,1.43387,0.74617,0.18979,0.18275,0.06926,2.96542,1.47644,1.48758,0.00999023,0.00999023,0.00999023
10,1762.14,3.2358,1.43168,1.42816,0.7501,0.19294,0.19427,0.07417,2.94759,1.49305,1.50447,0.00998764,0.00998764,0.00998764
11,1926.32,3.17624,1.37968,1.41257,0.7549,0.20199,0.19506,0.07612,2.94406,1.40256,1.48366,0.00998474,0.00998474,0.00998474
12,2098.28,3.15932,1.36049,1.40623,0.51406,0.21831,0.20601,0.08187,2.9284,1.39919,1.46344,0.00998154,0.00998154,0.00998154
13,2265.87,3.15133,1.33298,1.39873,0.55413,0.23847,0.22474,0.08906,2.83555,1.33241,1.44097,0.00997803,0.00997803,0.00997803
14,2437.87,3.11499,1.3149,1.38323,0.65341,0.21555,0.2097,0.08239,2.90126,1.33322,1.46547,0.00997422,0.00997422,0.00997422
15,2607.19,3.13697,1.30695,1.38073,0.46193,0.2373,0.22983,0.09156,2.87541,1.33095,1.43824,0.00997011,0.00997011,0.00997011
16,2780.12,3.09364,1.26327,1.37655,0.5597,0.25188,0.24029,0.09497,2.87064,1.33976,1.43684,0.00996569,0.00996569,0.00996569
17,2953.07,3.09043,1.25442,1.37012,0.61889,0.2494,0.2475,0.09553,2.81916,1.24407,1.41532,0.00996097,0.00996097,0.00996097
18,3125.5,3.09033,1.24824,1.35872,0.62363,0.25169,0.25108,0.09813,2.81171,1.2152,1.41971,0.00995594,0.00995594,0.00995594
19,3294.65,3.0853,1.23314,1.36017,0.59763,0.26585,0.25336,0.10068,2.85927,1.25636,1.41476,0.00995062,0.00995062,0.00995062
20,3470.41,3.06582,1.2349,1.35995,0.64355,0.26164,0.26194,0.10519,2.77067,1.1741,1.4046,0.00994499,0.00994499,0.00994499
21,3639.07,3.06223,1.21188,1.34747,0.62119,0.28412,0.2719,0.10747,2.76604,1.17373,1.40054,0.00993906,0.00993906,0.00993906
22,3810.21,3.06013,1.22216,1.35171,0.64254,0.27697,0.27105,0.10421,2.78187,1.16351,1.40122,0.00993282,0.00993282,0.00993282
23,3983.37,3.07086,1.21224,1.35843,0.6543,0.26728,0.27162,0.10454,2.82269,1.18844,1.39959,0.00992629,0.00992629,0.00992629
24,4155.01,3.05904,1.2122,1.35095,0.48327,0.28255,0.26849,0.10692,2.80739,1.18337,1.40272,0.00991946,0.00991946,0.00991946
25,4327.41,3.05,1.19391,1.34363,0.71331,0.27775,0.28422,0.11051,2.75421,1.17839,1.38021,0.00991232,0.00991232,0.00991232
26,4498.49,3.02687,1.17616,1.33882,0.63363,0.28395,0.27728,0.10802,2.74878,1.16899,1.38813,0.00990489,0.00990489,0.00990489
27,4674.09,3.05331,1.1667,1.3363,0.64596,0.28628,0.28304,0.11134,2.79199,1.16857,1.38276,0.00989715,0.00989715,0.00989715
28,4847.17,3.03216,1.17,1.33158,0.6138,0.28745,0.27919,0.10692,2.76216,1.12797,1.38745,0.00988912,0.00988912,0.00988912
29,5022.5,3.01863,1.15351,1.33236,0.63898,0.29352,0.29013,0.11255,2.75391,1.14226,1.38152,0.00988079,0.00988079,0.00988079
30,5203.4,3.02933,1.15191,1.32373,0.53335,0.29241,0.28617,0.11146,2.75798,1.12568,1.37614,0.00987216,0.00987216,0.00987216
31,5371.36,3.03426,1.15441,1.33005,0.69806,0.26963,0.28449,0.11207,2.75858,1.14181,1.37479,0.00986323,0.00986323,0.00986323
32,5539.59,3.03447,1.16247,1.32677,0.6258,0.30654,0.29737,0.11617,2.74461,1.11485,1.36984,0.00985401,0.00985401,0.00985401
33,5705.07,3.00501,1.15466,1.33385,0.51082,0.30955,0.29883,0.11551,2.72471,1.09852,1.36402,0.00984449,0.00984449,0.00984449
34,5878.61,3.02222,1.14651,1.31849,0.65762,0.29486,0.29624,0.11933,2.74097,1.13718,1.36294,0.00983467,0.00983467,0.00983467
35,6049.57,3.00909,1.12051,1.311,0.52962,0.31568,0.30112,0.11792,2.73064,1.10354,1.36147,0.00982456,0.00982456,0.00982456
36,6217.55,3.0128,1.14234,1.31755,0.57018,0.29351,0.30345,0.12021,2.74177,1.09951,1.36313,0.00981415,0.00981415,0.00981415
37,6390.71,2.99402,1.11976,1.3064,0.68062,0.30659,0.30582,0.12084,2.70876,1.0856,1.35487,0.00980345,0.00980345,0.00980345
38,6563.82,3.0034,1.12149,1.31536,0.67609,0.31039,0.30215,0.11912,2.73037,1.09667,1.35641,0.00979246,0.00979246,0.00979246
39,6734.09,2.99914,1.12549,1.31942,0.5614,0.30196,0.3068,0.11959,2.70346,1.09527,1.35404,0.00978118,0.00978118,0.00978118
40,6909.73,2.99105,1.11118,1.31189,0.56885,0.31687,0.31686,0.1244,2.70444,1.07195,1.35372,0.0097696,0.0097696,0.0097696
41,7077.97,2.98298,1.10298,1.30207,0.57412,0.31347,0.31631,0.12543,2.7231,1.08171,1.35256,0.00975773,0.00975773,0.00975773
42,7249.82,2.96357,1.08874,1.30812,0.54168,0.33353,0.32224,0.12649,2.70363,1.06432,1.34913,0.00974557,0.00974557,0.00974557
43,7424.89,2.96372,1.09034,1.29733,0.55052,0.31345,0.31355,0.12503,2.70996,1.05682,1.34803,0.00973312,0.00973312,0.00973312
44,7592.72,2.97824,1.10366,1.29894,0.5758,0.31725,0.32137,0.12632,2.71021,1.06086,1.34452,0.00972039,0.00972039,0.00972039
45,7764.05,2.97947,1.09932,1.30385,0.53688,0.33528,0.31838,0.12682,2.69426,1.05949,1.33974,0.00970736,0.00970736,0.00970736
46,7934.01,2.96756,1.07615,1.29864,0.53119,0.34105,0.32389,0.12644,2.70353,1.05881,1.34067,0.00969405,0.00969405,0.00969405
47,8107.02,2.99358,1.10376,1.30138,0.58186,0.30838,0.32522,0.12797,2.70783,1.05884,1.34044,0.00968045,0.00968045,0.00968045
48,8278.14,2.96834,1.07773,1.30105,0.60961,0.31891,0.329,0.12975,2.6982,1.05006,1.34022,0.00966656,0.00966656,0.00966656
49,8447.11,2.96103,1.08047,1.29973,0.5756,0.31843,0.32861,0.13079,2.70772,1.04939,1.33729,0.00965239,0.00965239,0.00965239
50,8619.22,2.99368,1.08977,1.29406,0.58361,0.31921,0.32312,0.13071,2.68835,1.04717,1.33647,0.00963794,0.00963794,0.00963794
51,8783.63,2.96275,1.07812,1.29412,0.58685,0.33666,0.33599,0.13219,2.69866,1.05385,1.3365,0.0096232,0.0096232,0.0096232
52,8952.74,2.96672,1.07527,1.29355,0.52942,0.356,0.33499,0.13336,2.68077,1.03645,1.32906,0.00960819,0.00960819,0.00960819
53,9128.27,2.95514,1.06301,1.28874,0.57527,0.33345,0.33651,0.13347,2.68687,1.03119,1.33114,0.00959289,0.00959289,0.00959289
54,9300.34,2.95714,1.07447,1.29308,0.55299,0.34462,0.33704,0.13519,2.68832,1.03098,1.33232,0.00957731,0.00957731,0.00957731
55,9471.76,2.96304,1.05895,1.28143,0.59137,0.35116,0.34329,0.13546,2.68333,1.02973,1.33298,0.00956145,0.00956145,0.00956145
56,9636.65,2.95803,1.05719,1.28735,0.57966,0.35155,0.34118,0.13575,2.67705,1.0299,1.32789,0.00954531,0.00954531,0.00954531
57,9807.91,2.94333,1.06078,1.28775,0.5866,0.34931,0.3465,0.13939,2.67467,1.01953,1.32646,0.00952889,0.00952889,0.00952889
58,9982.32,2.96253,1.06598,1.28874,0.55165,0.36151,0.34065,0.13827,2.67211,1.0237,1.32422,0.0095122,0.0095122,0.0095122
59,10153.4,2.95908,1.05384,1.28651,0.60052,0.33426,0.34222,0.13779,2.66547,1.02625,1.32435,0.00949524,0.00949524,0.00949524
60,10327.3,2.96013,1.06888,1.28054,0.53043,0.36979,0.34178,0.13846,2.66835,1.02008,1.32442,0.009478,0.009478,0.009478
61,10496.7,2.94759,1.0638,1.28248,0.60012,0.33511,0.34435,0.13884,2.66825,1.01318,1.32459,0.00946048,0.00946048,0.00946048
62,10659.7,2.94701,1.05202,1.28283,0.57981,0.35419,0.35261,0.14071,2.67161,1.01473,1.3218,0.0094427,0.0094427,0.0094427
63,10832.1,2.92875,1.0361,1.27492,0.57758,0.35567,0.34943,0.14007,2.67216,1.01804,1.32204,0.00942464,0.00942464,0.00942464
64,11010.9,2.93813,1.05541,1.28528,0.58877,0.35871,0.35163,0.13969,2.67131,1.01199,1.32075,0.00940631,0.00940631,0.00940631
65,11177.5,2.94779,1.06304,1.28696,0.56749,0.36169,0.34811,0.13863,2.6737,1.01635,1.32159,0.00938772,0.00938772,0.00938772
66,11349,2.93002,1.03899,1.28217,0.58332,0.35376,0.34944,0.13921,2.6664,1.01175,1.32074,0.00936886,0.00936886,0.00936886
67,11516.3,2.93086,1.04696,1.28056,0.54323,0.37538,0.34591,0.13894,2.66395,1.00858,1.31915,0.00934973,0.00934973,0.00934973
68,11688.5,2.93162,1.02872,1.27353,0.57871,0.35822,0.34767,0.14002,2.66437,1.00833,1.31773,0.00933033,0.00933033,0.00933033
69,11863.7,2.93222,1.04483,1.2763,0.58294,0.35866,0.34729,0.13985,2.66001,1.00466,1.31596,0.00931067,0.00931067,0.00931067
70,12030.8,2.94437,1.04641,1.27707,0.57494,0.36146,0.34771,0.13982,2.66161,1.00254,1.31635,0.00929075,0.00929075,0.00929075
71,12199.5,2.94194,1.04015,1.27612,0.57641,0.35531,0.34799,0.14042,2.66029,1.00284,1.3157,0.00927057,0.00927057,0.00927057
72,12362.9,2.93391,1.04661,1.28192,0.59658,0.3513,0.35234,0.14135,2.65721,1.00099,1.31459,0.00925013,0.00925013,0.00925013
73,12530.2,2.92453,1.02339,1.27333,0.60034,0.35733,0.35448,0.14295,2.65853,0.99833,1.31364,0.00922942,0.00922942,0.00922942
74,12694.3,2.91874,1.02465,1.26894,0.60695,0.35625,0.35292,0.1419,2.65788,0.99705,1.31302,0.00920846,0.00920846,0.00920846
