epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.0078,5.79275,3.07056,1.81339,0.18794,0.03869,0.01872,0.00462,4.54443,3.91183,1.41779,0.00333096,0.00333096,0.0700214
2,186.517,4.73634,2.20614,1.28997,0.58988,0.05796,0.03673,0.01008,4.1441,2.24771,1.29808,0.00666419,0.00666419,0.0400213
3,270.942,4.42236,1.99131,1.19549,0.69916,0.0541,0.03384,0.00936,4.30793,2.20123,1.33511,0.00999701,0.00999701,0.0100208
4,355.005,4.24315,1.84131,1.1407,0.30007,0.10144,0.07107,0.02401,3.81369,1.76521,1.18688,0.00999863,0.00999863,0.00999863
5,439.479,4.08771,1.74178,1.10949,0.28567,0.12367,0.09319,0.03257,3.70396,1.88175,1.16962,0.00999756,0.00999756,0.00999756
6,525.471,4.00528,1.64009,1.08646,0.16418,0.15071,0.11257,0.03897,3.64699,1.84213,1.1655,0.00999618,0.00999618,0.00999618
7,610.88,3.93212,1.58746,1.06976,0.43914,0.15343,0.12574,0.0444,3.56533,1.58873,1.13426,0.0099945,0.0099945,0.0099945
8,695.63,3.87856,1.55205,1.06105,0.59015,0.15538,0.13838,0.0486,3.49178,1.61,1.11684,0.00999252,0.00999252,0.00999252
9,778.754,3.84849,1.51618,1.0491,0.5932,0.16332,0.14292,0.04915,3.46205,1.59159,1.11293,0.00999023,0.00999023,0.00999023
10,862.251,3.82199,1.48441,1.0448,0.57154,0.16495,0.14519,0.0496,3.46401,1.73837,1.11392,0.00998764,0.00998764,0.00998764
11,944.934,3.78242,1.44928,1.04138,0.72214,0.17914,0.16056,0.05594,3.39121,1.49318,1.09804,0.00998474,0.00998474,0.00998474
12,1026.68,3.74917,1.42139,1.0346,0.65622,0.17939,0.15946,0.05597,3.38752,1.45864,1.09348,0.00998154,0.00998154,0.00998154
13,1110.91,3.71303,1.40297,1.0312,0.61221,0.19764,0.18228,0.06571,3.34719,1.42996,1.08664,0.00997803,0.00997803,0.00997803
14,1195.17,3.69105,1.37363,1.01902,0.61708,0.18176,0.16586,0.06002,3.34572,1.56107,1.07741,0.00997422,0.00997422,0.00997422
15,1279.24,3.69135,1.36956,1.01842,0.59561,0.19551,0.18074,0.06578,3.30015,1.42185,1.07498,0.00997011,0.00997011,0.00997011
16,1364.02,3.64356,1.32054,1.01582,0.5431,0.2069,0.19232,0.06822,3.30005,1.45588,1.07774,0.00996569,0.00996569,0.00996569
17,1448.42,3.64335,1.31893,1.01107,0.40221,0.22084,0.19001,0.06886,3.27033,1.38193,1.06599,0.00996097,0.00996097,0.00996097
18,1533.28,3.62933,1.31079,1.00528,0.61008,0.20478,0.19753,0.07379,3.2538,1.3499,1.06467,0.00995594,0.00995594,0.00995594
19,1617.41,3.62792,1.29542,1.00431,0.56296,0.21082,0.2016,0.07445,3.23999,1.3967,1.0558,0.00995062,0.00995062,0.00995062
20,1698.35,3.59137,1.29565,1.00394,0.64766,0.21727,0.20456,0.07496,3.22143,1.32644,1.05894,0.00994499,0.00994499,0.00994499
21,1780.51,3.60397,1.27153,1.00077,0.65041,0.21258,0.20325,0.07571,3.20486,1.34371,1.05662,0.00993906,0.00993906,0.00993906
22,1863.4,3.58167,1.27996,1.00053,0.59749,0.23242,0.21503,0.0788,3.18097,1.29979,1.04999,0.00993282,0.00993282,0.00993282
23,1947.21,3.58184,1.26263,1.00418,0.7122,0.2213,0.21558,0.08073,3.17371,1.24969,1.04343,0.00992629,0.00992629,0.00992629
24,2030.65,3.5689,1.25976,1.00083,0.66027,0.22157,0.21755,0.08217,3.15651,1.28072,1.03981,0.00991946,0.00991946,0.00991946
25,2114.07,3.56829,1.25161,0.99464,0.57789,0.22267,0.20484,0.07456,3.16508,1.27709,1.03991,0.00991232,0.00991232,0.00991232
26,2198.76,3.53458,1.22918,0.99264,0.57612,0.23061,0.22216,0.08178,3.15459,1.27046,1.04129,0.00990489,0.00990489,0.00990489
27,2282.4,3.55654,1.22214,0.98881,0.63615,0.22082,0.21549,0.07997,3.15561,1.26751,1.03864,0.00989715,0.00989715,0.00989715
28,2362.78,3.53782,1.22275,0.98895,0.61907,0.22881,0.2221,0.08201,3.1374,1.23725,1.0388,0.00988912,0.00988912,0.00988912
29,2446.15,3.51858,1.20085,0.98905,0.57068,0.25358,0.21843,0.08074,3.11116,1.24428,1.02929,0.00988079,0.00988079,0.00988079
30,2531.1,3.5255,1.20068,0.98213,0.57718,0.23961,0.21961,0.08126,3.09718,1.28134,1.02991,0.00987216,0.00987216,0.00987216
31,2615.9,3.52123,1.19933,0.98658,0.61509,0.24016,0.22909,0.08684,3.11149,1.25603,1.0326,0.00986323,0.00986323,0.00986323
32,2699.24,3.5198,1.19693,0.98508,0.60844,0.22486,0.22985,0.08807,3.07836,1.22611,1.02767,0.00985401,0.00985401,0.00985401
33,2783.05,3.49848,1.21454,0.98998,0.55762,0.23982,0.22709,0.08549,3.08767,1.23506,1.02843,0.00984449,0.00984449,0.00984449
34,2867.06,3.51302,1.18546,0.97767,0.61652,0.22981,0.22765,0.08463,3.09199,1.22679,1.02752,0.00983467,0.00983467,0.00983467
35,2948.45,3.47838,1.16155,0.97436,0.58492,0.2394,0.23414,0.08939,3.06155,1.20937,1.02492,0.00982456,0.00982456,0.00982456
36,3030.19,3.49239,1.19342,0.979,0.61346,0.252,0.23899,0.09196,3.06144,1.20687,1.02216,0.00981415,0.00981415,0.00981415
37,3114.05,3.47775,1.16725,0.97327,0.63443,0.25357,0.24307,0.09105,3.0662,1.18835,1.02387,0.00980345,0.00980345,0.00980345
38,3197.26,3.46547,1.16787,0.97878,0.64845,0.25113,0.24771,0.09355,3.04858,1.17367,1.01939,0.00979246,0.00979246,0.00979246
39,3281.3,3.46201,1.17254,0.98066,0.60722,0.26224,0.24014,0.09033,3.0588,1.18612,1.01924,0.00978118,0.00978118,0.00978118
40,3365.3,3.45894,1.16256,0.97722,0.60633,0.25729,0.24222,0.09093,3.04676,1.18668,1.01812,0.0097696,0.0097696,0.0097696
41,3448.27,3.43767,1.14439,0.96961,0.5964,0.27162,0.24744,0.09327,3.02751,1.17229,1.01316,0.00975773,0.00975773,0.00975773
42,3532.26,3.42204,1.13524,0.97269,0.61207,0.26772,0.24594,0.09283,3.04329,1.15522,1.01475,0.00974557,0.00974557,0.00974557
43,3615.44,3.44104,1.12891,0.97032,0.61331,0.26964,0.25445,0.09892,3.02844,1.17312,1.01249,0.00973312,0.00973312,0.00973312
44,3698.18,3.43698,1.13829,0.9654,0.64703,0.26037,0.25788,0.09741,3.05183,1.16926,1.01746,0.00972039,0.00972039,0.00972039
45,3779.88,3.44278,1.1491,0.9738,0.58051,0.2779,0.25394,0.09451,3.03335,1.1628,1.01127,0.00970736,0.00970736,0.00970736
46,3864.03,3.42763,1.12107,0.96837,0.59142,0.27151,0.25016,0.0931,3.02477,1.14883,1.00937,0.00969405,0.00969405,0.00969405
47,3948.76,3.4442,1.14048,0.97076,0.58188,0.2749,0.25311,0.09686,3.02734,1.14287,1.01121,0.00968045,0.00968045,0.00968045
48,4032.38,3.41145,1.11417,0.96961,0.59147,0.27983,0.24985,0.09411,3.01693,1.15175,1.01151,0.00966656,0.00966656,0.00966656
49,4112.17,3.4068,1.12285,0.97023,0.62382,0.26998,0.25351,0.09518,3.01501,1.15545,1.0088,0.00965239,0.00965239,0.00965239
50,4197.13,3.44796,1.13617,0.96369,0.63847,0.27397,0.25433,0.09507,3.01407,1.14222,1.00961,0.00963794,0.00963794,0.00963794
51,4280.74,3.41269,1.11855,0.96708,0.60912,0.27629,0.26045,0.09904,2.99874,1.14254,1.00327,0.0096232,0.0096232,0.0096232
52,4362.94,3.41489,1.11655,0.96371,0.61233,0.2764,0.26456,0.10168,2.98705,1.12027,1.00362,0.00960819,0.00960819,0.00960819
53,4446.39,3.40469,1.09936,0.96251,0.63973,0.27889,0.26721,0.10176,2.98969,1.11485,1.00324,0.00959289,0.00959289,0.00959289
54,4529.97,3.41439,1.12254,0.96505,0.63472,0.28038,0.26771,0.10255,2.98497,1.11609,1.003,0.00957731,0.00957731,0.00957731
55,4614.35,3.41592,1.10227,0.95545,0.64444,0.28331,0.27275,0.1048,2.9862,1.12247,1.00418,0.00956145,0.00956145,0.00956145
56,4695.33,3.39107,1.09031,0.95945,0.63956,0.28487,0.27429,0.10508,2.98457,1.12414,1.00181,0.00954531,0.00954531,0.00954531
57,4779.5,3.39734,1.09856,0.96295,0.66517,0.27353,0.27308,0.10522,2.98136,1.11987,1.00183,0.00952889,0.00952889,0.00952889
58,4862.95,3.39263,1.1001,0.9645,0.6501,0.28222,0.27437,0.10509,2.97105,1.1206,1.00096,0.0095122,0.0095122,0.0095122
59,4945.74,3.38898,1.0896,0.96275,0.63339,0.28691,0.27476,0.1055,2.97946,1.11843,1.00107,0.00949524,0.00949524,0.00949524
60,5029.12,3.39435,1.10452,0.95644,0.62829,0.29189,0.27506,0.10509,2.97362,1.11163,0.9994,0.009478,0.009478,0.009478
61,5108.77,3.38327,1.08727,0.95529,0.62202,0.29116,0.27773,0.10679,2.9632,1.10766,0.99909,0.00946048,0.00946048,0.00946048
62,5191.77,3.36839,1.08116,0.96112,0.64179,0.28867,0.27682,0.10576,2.96829,1.11117,0.99828,0.0094427,0.0094427,0.0094427
63,5271.31,3.38419,1.07314,0.95599,0.66992,0.27985,0.27655,0.10588,2.97048,1.1109,0.9983,0.00942464,0.00942464,0.00942464
64,5353.96,3.36851,1.08914,0.9602,0.65537,0.2847,0.2744,0.10409,2.96621,1.10639,0.99796,0.00940631,0.00940631,0.00940631
65,5437.77,3.37544,1.09645,0.96252,0.63387,0.29079,0.27648,0.10506,2.96486,1.10469,0.99881,0.00938772,0.00938772,0.00938772
66,5521.38,3.35879,1.07433,0.95648,0.62658,0.28734,0.27391,0.10503,2.9603,1.09796,0.99746,0.00936886,0.00936886,0.00936886
67,5602,3.36426,1.08187,0.95749,0.62323,0.28986,0.27515,0.10475,2.96162,1.09525,0.99806,0.00934973,0.00934973,0.00934973
68,5685.85,3.35084,1.06185,0.95267,0.63317,0.29179,0.27644,0.1042,2.95655,1.09557,0.99673,0.00933033,0.00933033,0.00933033
69,5770.66,3.35691,1.0767,0.95507,0.63342,0.29517,0.28113,0.10665,2.95306,1.09534,0.99581,0.00931067,0.00931067,0.00931067
70,5853.47,3.37134,1.08579,0.95685,0.62791,0.29827,0.28213,0.10769,2.95097,1.09435,0.99517,0.00929075,0.00929075,0.00929075
71,5936.79,3.36515,1.06801,0.95371,0.65326,0.2972,0.28417,0.10864,2.95084,1.09501,0.99557,0.00927057,0.00927057,0.00927057
72,6019.62,3.3519,1.08277,0.95929,0.63107,0.30114,0.28432,0.10885,2.95167,1.08971,0.99487,0.00925013,0.00925013,0.00925013
73,6103.24,3.34545,1.06028,0.95342,0.63139,0.30403,0.28783,0.10956,2.94283,1.08551,0.9933,0.00922942,0.00922942,0.00922942
74,6186.54,3.34562,1.06078,0.95195,0.64314,0.30024,0.28772,0.10973,2.93785,1.08413,0.99245,0.00920846,0.00920846,0.00920846
75,6269.93,3.33327,1.04776,0.95476,0.64435,0.29685,0.28787,0.1098,2.9379,1.08457,0.99235,0.00918725,0.00918725,0.00918725
76,6355.01,3.33618,1.05452,0.95312,0.638,0.29974,0.28942,0.10996,2.93559,1.08129,0.99193,0.00916577,0.00916577,0.00916577
77,6438.48,3.35864,1.08217,0.95299,0.64441,0.29561,0.29081,0.1104,2.93471,1.08108,0.99159,0.00914405,0.00914405,0.00914405
78,6522.35,3.34266,1.05676,0.9521,0.65807,0.2928,0.29074,0.1109,2.93222,1.08031,0.99079,0.00912207,0.00912207,0.00912207
79,6605.68,3.34253,1.04747,0.95041,0.65729,0.29304,0.29106,0.1111,2.92825,1.07817,0.99013,0.00909984,0.00909984,0.00909984
80,6688.56,3.36366,1.05975,0.94668,0.65789,0.29123,0.29137,0.11141,2.92466,1.07484,0.98952,0.00907736,0.00907736,0.00907736
81,6771.65,3.33554,1.05192,0.94671,0.67634,0.28711,0.29352,0.11197,2.92259,1.07323,0.98907,0.00905463,0.00905463,0.00905463
82,6855.93,3.32036,1.04253,0.95506,0.66526,0.29267,0.29361,0.112,2.91973,1.0717,0.98859,0.00903166,0.00903166,0.00903166
83,6939.7,3.34573,1.05658,0.94814,0.65283,0.30068,0.29557,0.11285,2.91706,1.07016,0.98803,0.00900844,0.00900844,0.00900844
84,7022.76,3.32813,1.04287,0.9483,0.64273,0.30737,0.29709,0.11403,2.91544,1.06898,0.98764,0.00898497,0.00898497,0.00898497
85,7105.13,3.3311,1.04352,0.94888,0.65494,0.30442,0.29682,0.11365,2.9151,1.06811,0.98787,0.00896127,0.00896127,0.00896127
86,7188.83,3.33405,1.02972,0.94728,0.65561,0.30326,0.29805,0.1147,2.91388,1.06736,0.98771,0.00893732,0.00893732,0.00893732
87,7274.04,3.31239,1.0322,0.94567,0.67751,0.29618,0.2992,0.11574,2.91129,1.06625,0.98736,0.00891313,0.00891313,0.00891313
88,7357.26,3.33034,1.04061,0.94714,0.67523,0.2971,0.29889,0.11585,2.90906,1.06524,0.98698,0.0088887,0.0088887,0.0088887
89,7441.31,3.3256,1.03479,0.94462,0.66886,0.29958,0.29994,0.11627,2.90784,1.06404,0.98678,0.00886404,0.00886404,0.00886404
90,7525.13,3.30716,1.0306,0.94446,0.66435,0.30332,0.30047,0.11673,2.90637,1.06332,0.9866,0.00883914,0.00883914,0.00883914
91,7608.5,3.30616,1.02502,0.95122,0.65041,0.30816,0.30095,0.11693,2.90441,1.06268,0.98635,0.00881401,0.00881401,0.00881401
92,7693.03,3.31502,1.04028,0.94716,0.65152,0.30844,0.30211,0.11682,2.90341,1.06161,0.98617,0.00878864,0.00878864,0.00878864
93,7778.53,3.32457,1.03102,0.94409,0.63971,0.31482,0.30257,0.1173,2.90204,1.06127,0.98592,0.00876305,0.00876305,0.00876305
94,7862.72,3.31692,1.0336,0.9428,0.64149,0.314,0.30319,0.11763,2.89992,1.06128,0.98555,0.00873723,0.00873723,0.00873723
95,7948.2,3.30232,1.03912,0.94481,0.64324,0.31268,0.30345,0.11771,2.89859,1.06107,0.98524,0.00871117,0.00871117,0.00871117
96,8031.32,3.2825,1.01928,0.9438,0.64359,0.31303,0.30361,0.11787,2.89562,1.06046,0.98492,0.0086849,0.0086849,0.0086849
97,8114,3.29409,1.01141,0.94388,0.64769,0.31362,0.30526,0.11817,2.89364,1.05934,0.9845,0.00865839,0.00865839,0.00865839
98,8198.06,3.29844,1.00964,0.94254,0.65547,0.31145,0.3082,0.11878,2.89095,1.05821,0.9842,0.00863167,0.00863167,0.00863167
99,8281.36,3.29937,1.01816,0.94502,0.6667,0.30762,0.30923,0.11877,2.88927,1.05717,0.98406,0.00860473,0.00860473,0.00860473
100,8365.22,3.30123,1.02197,0.94241,0.52235,0.31951,0.30992,0.11915,2.88883,1.05642,0.98396,0.00857756,0.00857756,0.00857756
101,8448.15,3.29152,1.01566,0.94524,0.52861,0.31991,0.30806,0.11929,2.88823,1.05601,0.98384,0.00855018,0.00855018,0.00855018
102,8532.5,3.30135,1.01127,0.93962,0.54299,0.32052,0.30985,0.11984,2.88717,1.05411,0.98379,0.00852258,0.00852258,0.00852258
103,8613.72,3.29937,1.02769,0.94891,0.55511,0.32098,0.30848,0.1198,2.8858,1.05285,0.98358,0.00849477,0.00849477,0.00849477
104,8696.88,3.29167,1.00591,0.93983,0.57218,0.32166,0.30789,0.11976,2.88463,1.05135,0.98336,0.00846674,0.00846674,0.00846674
105,8780.79,3.28381,1.01507,0.94275,0.57175,0.32272,0.30998,0.12013,2.88295,1.04984,0.98317,0.00843851,0.00843851,0.00843851
106,8864.29,3.26547,0.99099,0.94026,0.55683,0.32202,0.3096,0.12014,2.88161,1.04862,0.98308,0.00841006,0.00841006,0.00841006
107,8947.88,3.28424,1.00731,0.93922,0.56157,0.32101,0.30979,0.1205,2.88063,1.04738,0.98285,0.00838141,0.00838141,0.00838141
108,9033.09,3.27665,1.00053,0.94355,0.56452,0.32162,0.31001,0.12072,2.87825,1.0463,0.98261,0.00835255,0.00835255,0.00835255
109,9116.78,3.28513,0.98581,0.94119,0.56588,0.3224,0.31084,0.12076,2.87745,1.04574,0.98235,0.00832349,0.00832349,0.00832349
110,9196.29,3.26471,0.97885,0.93641,0.56545,0.32232,0.3119,0.12144,2.87594,1.04478,0.98214,0.00829423,0.00829423,0.00829423
