epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.336,4.20985,4.86128,2.35648,0.30326,0.04225,0.02214,0.0069,3.05826,3.63776,1.54323,0.00333096,0.00333096,0.0700214
2,366.846,3.0941,2.76659,1.49082,0.19532,0.06041,0.03778,0.01219,2.74392,2.78114,1.44125,0.00666419,0.00666419,0.0400213
3,546.867,2.89527,2.51315,1.40423,0.18993,0.0533,0.0361,0.01274,2.90527,2.75926,1.45258,0.00999701,0.00999701,0.0100208
4,725.432,2.75882,2.31562,1.34965,0.30326,0.11042,0.09301,0.03675,2.47727,2.23071,1.33246,0.00999863,0.00999863,0.00999863
5,896.005,2.64725,2.17636,1.31808,0.2965,0.11868,0.09722,0.03819,2.49156,2.40277,1.32408,0.00999756,0.00999756,0.00999756
6,1074.99,2.59672,2.08195,1.29439,0.33147,0.13108,0.11997,0.04887,2.45838,2.14724,1.30655,0.00999618,0.00999618,0.00999618
7,1249.98,2.54297,2.00034,1.27592,0.21877,0.13289,0.13206,0.0537,2.39825,2.02287,1.29882,0.0099945,0.0099945,0.0099945
8,1419.61,2.50983,1.94823,1.26737,0.33487,0.15663,0.14547,0.0581,2.31802,1.91056,1.26951,0.00999252,0.00999252,0.00999252
9,1596.2,2.49723,1.9257,1.25548,0.33873,0.16204,0.15211,0.06215,2.33638,1.95508,1.26607,0.00999023,0.00999023,0.00999023
10,1779.15,2.48769,1.90435,1.24575,0.34397,0.1662,0.16098,0.06576,2.3259,2.01503,1.25783,0.00998764,0.00998764,0.00998764
11,1952.25,2.45844,1.87666,1.2283,0.47128,0.177,0.1667,0.07012,2.29551,1.8888,1.24036,0.00998474,0.00998474,0.00998474
12,2132.69,2.44428,1.85352,1.21693,0.37301,0.18578,0.18271,0.07658,2.28416,1.88467,1.2324,0.00998154,0.00998154,0.00998154
13,2305.71,2.42194,1.82105,1.20842,0.37814,0.19221,0.19545,0.08039,2.25908,1.78067,1.21281,0.00997803,0.00997803,0.00997803
14,2483.89,2.41191,1.79767,1.19666,0.40077,0.18475,0.19571,0.08106,2.23801,1.80669,1.20275,0.00997422,0.00997422,0.00997422
15,2659.71,2.40878,1.78844,1.19184,0.39049,0.20412,0.20444,0.08697,2.23162,1.76728,1.19955,0.00997011,0.00997011,0.00997011
16,2841.48,2.38631,1.74933,1.18798,0.38479,0.19166,0.19187,0.07808,2.22336,1.82457,1.19505,0.00996569,0.00996569,0.00996569
17,3018.83,2.37943,1.74235,1.18514,0.34493,0.20185,0.20592,0.08457,2.20996,1.72254,1.18937,0.00996097,0.00996097,0.00996097
18,3194.18,2.37654,1.72072,1.17661,0.39353,0.20615,0.20975,0.08967,2.21316,1.73547,1.19221,0.00995594,0.00995594,0.00995594
19,3368.43,2.37538,1.71482,1.1758,0.40354,0.20098,0.21079,0.08462,2.21529,1.71003,1.19176,0.00995062,0.00995062,0.00995062
20,3548.13,2.35692,1.7055,1.17404,0.41881,0.20461,0.22073,0.0949,2.1861,1.71079,1.17685,0.00994499,0.00994499,0.00994499
21,3720.84,2.35674,1.68412,1.16776,0.40919,0.21082,0.21884,0.09347,2.20564,1.68332,1.18832,0.00993906,0.00993906,0.00993906
22,3887.84,2.34772,1.69097,1.16863,0.41533,0.20816,0.22273,0.09273,2.17703,1.64782,1.17282,0.00993282,0.00993282,0.00993282
23,4053.49,2.34042,1.66547,1.17028,0.39752,0.21641,0.22662,0.0968,2.17539,1.62871,1.17691,0.00992629,0.00992629,0.00992629
24,4230.5,2.33956,1.6759,1.16573,0.28158,0.2209,0.22813,0.09827,2.17395,1.63854,1.17373,0.00991946,0.00991946,0.00991946
25,4403.1,2.3379,1.66297,1.16193,0.40489,0.21514,0.22697,0.09738,2.1635,1.64376,1.16779,0.00991232,0.00991232,0.00991232
26,4575.77,2.32126,1.64059,1.1625,0.36417,0.22691,0.23065,0.09718,2.17756,1.64195,1.17035,0.00990489,0.00990489,0.00990489
27,4758.39,2.33405,1.63956,1.15655,0.39698,0.22381,0.22859,0.09707,2.15493,1.63913,1.16213,0.00989715,0.00989715,0.00989715
28,4936.01,2.31986,1.62143,1.15479,0.42,0.21588,0.23141,0.09678,2.16461,1.61085,1.16406,0.00988912,0.00988912,0.00988912
29,5117.73,2.31593,1.60843,1.15473,0.3983,0.22431,0.23502,0.1009,2.15268,1.62351,1.16222,0.00988079,0.00988079,0.00988079
30,5300.33,2.31819,1.60892,1.1475,0.36658,0.23404,0.2396,0.09948,2.14461,1.59085,1.1609,0.00987216,0.00987216,0.00987216
31,5472.6,2.31266,1.60677,1.15207,0.39948,0.23182,0.23632,0.10221,2.14287,1.59573,1.15578,0.00986323,0.00986323,0.00986323
32,5644.22,2.30692,1.60716,1.14914,0.40612,0.23409,0.2439,0.10428,2.1393,1.57564,1.15362,0.00985401,0.00985401,0.00985401
33,5809.91,2.30446,1.6111,1.15257,0.41899,0.22565,0.24203,0.10411,2.13332,1.57241,1.15128,0.00984449,0.00984449,0.00984449
34,5986.25,2.31145,1.59578,1.14476,0.38336,0.2336,0.2459,0.10405,2.14101,1.57175,1.15569,0.00983467,0.00983467,0.00983467
35,6164.83,2.29357,1.5709,1.14018,0.33648,0.25202,0.25167,0.10854,2.13545,1.5664,1.15201,0.00982456,0.00982456,0.00982456
36,6338.99,2.29871,1.59215,1.1418,0.39338,0.23599,0.24992,0.10855,2.12913,1.53973,1.14682,0.00981415,0.00981415,0.00981415
37,6519.24,2.28626,1.55976,1.13611,0.34648,0.24889,0.2547,0.11036,2.12202,1.54253,1.1451,0.00980345,0.00980345,0.00980345
38,6698.51,2.28171,1.56281,1.13897,0.37499,0.24878,0.25588,0.10988,2.12472,1.53285,1.14457,0.00979246,0.00979246,0.00979246
39,6876.9,2.27796,1.56882,1.14237,0.36998,0.2545,0.25862,0.11052,2.12043,1.52796,1.14378,0.00978118,0.00978118,0.00978118
40,7057,2.28189,1.55922,1.13773,0.52126,0.24379,0.25644,0.10853,2.12632,1.52771,1.14374,0.0097696,0.0097696,0.0097696
41,7229.67,2.27768,1.54888,1.13402,0.36601,0.25692,0.26319,0.11329,2.1119,1.51849,1.13712,0.00975773,0.00975773,0.00975773
42,7407.69,2.26204,1.52879,1.13236,0.53108,0.24758,0.26369,0.11353,2.11629,1.51307,1.13619,0.00974557,0.00974557,0.00974557
43,7584.91,2.26989,1.52754,1.12724,0.49483,0.243,0.26335,0.11414,2.11338,1.51807,1.13573,0.00973312,0.00973312,0.00973312
44,7758.11,2.27316,1.54216,1.12637,0.46255,0.2654,0.26742,0.11542,2.11189,1.49867,1.13374,0.00972039,0.00972039,0.00972039
45,7929.72,2.27215,1.54436,1.134,0.48203,0.26506,0.26955,0.11652,2.10679,1.4985,1.13237,0.00970736,0.00970736,0.00970736
46,8104.68,2.26546,1.52093,1.1294,0.49421,0.26398,0.2703,0.11669,2.11014,1.49537,1.12887,0.00969405,0.00969405,0.00969405
47,8281.85,2.27748,1.54055,1.12853,0.49181,0.25335,0.26684,0.11398,2.11007,1.49463,1.12717,0.00968045,0.00968045,0.00968045
