epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.67,4.53958,5.42441,2.70649,0.27735,0.031,0.01186,0.00348,3.25662,3.90388,1.6771,0.00333096,0.00333096,0.0700214
2,449.251,3.14282,2.82949,1.51779,0.4606,0.07923,0.04072,0.01277,2.74037,2.86198,1.42585,0.00666419,0.00666419,0.0400213
3,663.153,2.84159,2.47848,1.391,0.20815,0.06877,0.04454,0.01431,2.65275,2.48512,1.39885,0.00999701,0.00999701,0.0100208
4,876.373,2.69543,2.257,1.33111,0.32259,0.11646,0.103,0.04111,2.44355,2.11194,1.31814,0.00999863,0.00999863,0.00999863
5,1081.82,2.58371,2.09308,1.29835,0.30732,0.14138,0.11785,0.04493,2.46942,2.35544,1.31737,0.00999756,0.00999756,0.00999756
6,1294.27,2.53194,1.9805,1.27464,0.35367,0.14658,0.14759,0.05773,2.35899,2.02621,1.28349,0.00999618,0.00999618,0.00999618
7,1507.25,2.48076,1.89751,1.25657,0.35912,0.16422,0.16327,0.06622,2.30609,1.85816,1.27288,0.0099945,0.0099945,0.0099945
8,1710.93,2.45056,1.84812,1.25093,0.35837,0.18219,0.18059,0.07451,2.2757,1.88084,1.25314,0.00999252,0.00999252,0.00999252
9,1920.2,2.43513,1.8149,1.23865,0.36475,0.19327,0.18733,0.07722,2.25896,1.79623,1.25114,0.00999023,0.00999023,0.00999023
10,2128.42,2.4207,1.77722,1.2348,0.3764,0.18536,0.18727,0.07947,2.27714,1.8978,1.25058,0.00998764,0.00998764,0.00998764
11,2333.69,2.39719,1.74722,1.22931,0.39519,0.20291,0.20753,0.08514,2.2279,1.71724,1.24061,0.00998474,0.00998474,0.00998474
12,2543.81,2.37547,1.71109,1.22028,0.37895,0.20496,0.20359,0.08093,2.23916,1.75075,1.23764,0.00998154,0.00998154,0.00998154
13,2751.03,2.3611,1.68003,1.21893,0.40913,0.21137,0.22334,0.09072,2.21222,1.64236,1.2269,0.00997803,0.00997803,0.00997803
14,2963.9,2.35173,1.65706,1.20793,0.48729,0.2237,0.2241,0.09208,2.20399,1.70503,1.22225,0.00997422,0.00997422,0.00997422
15,3174.18,2.35278,1.65493,1.20647,0.53062,0.21731,0.22375,0.09591,2.19984,1.64125,1.22316,0.00997011,0.00997011,0.00997011
16,3391.57,2.33715,1.62427,1.19813,0.53455,0.22515,0.23379,0.09875,2.18079,1.62699,1.21049,0.00996569,0.00996569,0.00996569
17,3599.96,2.32609,1.63072,1.1861,0.33791,0.2307,0.23389,0.10017,2.17611,1.61136,1.19671,0.00996097,0.00996097,0.00996097
18,3811.08,2.32414,1.61354,1.17589,0.46024,0.22532,0.23524,0.10008,2.17366,1.58865,1.19605,0.00995594,0.00995594,0.00995594
19,4017.98,2.32033,1.60859,1.17185,0.4544,0.22869,0.23122,0.09619,2.17788,1.61457,1.19268,0.00995062,0.00995062,0.00995062
20,4234.33,2.3049,1.59957,1.16969,0.47198,0.23704,0.24331,0.10266,2.15575,1.57814,1.18528,0.00994499,0.00994499,0.00994499
21,4441.22,2.29892,1.58002,1.16082,0.51055,0.23305,0.24015,0.10162,2.16786,1.59458,1.1902,0.00993906,0.00993906,0.00993906
22,4649.39,2.29151,1.58241,1.16213,0.48853,0.2451,0.25414,0.10704,2.14508,1.56817,1.18021,0.00993282,0.00993282,0.00993282
23,4862.26,2.28845,1.56672,1.16355,0.45498,0.24904,0.25135,0.10646,2.14463,1.54706,1.18155,0.00992629,0.00992629,0.00992629
24,5077.33,2.28927,1.57467,1.1595,0.4552,0.24306,0.24661,0.10394,2.14611,1.54016,1.18073,0.00991946,0.00991946,0.00991946
25,5288.54,2.28718,1.55873,1.1548,0.4568,0.2424,0.25457,0.10772,2.13868,1.53279,1.1703,0.00991232,0.00991232,0.00991232
26,5497.99,2.26975,1.53727,1.15414,0.46925,0.25095,0.25463,0.10823,2.12987,1.51906,1.16312,0.00990489,0.00990489,0.00990489
27,5711.59,2.2783,1.54112,1.14716,0.54646,0.24038,0.25198,0.10651,2.12881,1.51532,1.15744,0.00989715,0.00989715,0.00989715
28,5922.78,2.26546,1.53036,1.14578,0.44031,0.25713,0.25693,0.10798,2.11814,1.49892,1.15581,0.00988912,0.00988912,0.00988912
29,6135.07,2.26139,1.50787,1.14572,0.46872,0.25281,0.26016,0.11031,2.11759,1.48644,1.15673,0.00988079,0.00988079,0.00988079
30,6354.31,2.26291,1.51278,1.13755,0.33249,0.2503,0.26027,0.10854,2.11767,1.47837,1.15588,0.00987216,0.00987216,0.00987216
31,6558.54,2.261,1.51465,1.14563,0.49867,0.25175,0.26589,0.11369,2.11318,1.47712,1.15331,0.00986323,0.00986323,0.00986323
32,6761.35,2.25418,1.50496,1.13993,0.50261,0.25618,0.26641,0.11378,2.10659,1.47179,1.14699,0.00985401,0.00985401,0.00985401
33,6962.73,2.25191,1.51245,1.14378,0.47552,0.25511,0.26545,0.11499,2.0981,1.4624,1.14571,0.00984449,0.00984449,0.00984449
34,7176.43,2.25874,1.49357,1.13577,0.59447,0.26407,0.26707,0.11326,2.09857,1.45415,1.14629,0.00983467,0.00983467,0.00983467
35,7388.51,2.23816,1.47448,1.13215,0.56887,0.2628,0.26586,0.11474,2.09832,1.45718,1.14579,0.00982456,0.00982456,0.00982456
36,7593.19,2.24388,1.49602,1.1337,0.57835,0.26358,0.26921,0.11514,2.09895,1.46087,1.14426,0.00981415,0.00981415,0.00981415
37,7811.18,2.23513,1.46497,1.12956,0.6141,0.2663,0.27527,0.1188,2.09361,1.45383,1.14233,0.00980345,0.00980345,0.00980345
38,8024.58,2.23507,1.46534,1.13368,0.58906,0.25759,0.26927,0.1169,2.09389,1.44193,1.14184,0.00979246,0.00979246,0.00979246
39,8231.11,2.23128,1.4766,1.13813,0.58374,0.27293,0.27401,0.11683,2.09069,1.43258,1.1412,0.00978118,0.00978118,0.00978118
40,8449.84,2.23182,1.46378,1.13156,0.59285,0.27448,0.2788,0.11864,2.08577,1.42102,1.14157,0.0097696,0.0097696,0.0097696
41,8658.16,2.22687,1.45389,1.12887,0.58268,0.27522,0.27606,0.11725,2.08186,1.41705,1.13706,0.00975773,0.00975773,0.00975773
42,8868.87,2.21523,1.43543,1.12767,0.62068,0.26818,0.27901,0.12208,2.07936,1.40201,1.1357,0.00974557,0.00974557,0.00974557
43,9082.33,2.22121,1.43849,1.12344,0.59931,0.26525,0.27934,0.12147,2.08086,1.40855,1.13606,0.00973312,0.00973312,0.00973312
44,9289.75,2.22442,1.45194,1.12215,0.60241,0.26635,0.28146,0.12341,2.07734,1.40068,1.13557,0.00972039,0.00972039,0.00972039
45,9499.66,2.22179,1.4549,1.12918,0.59033,0.27484,0.28341,0.12346,2.07877,1.39581,1.13603,0.00970736,0.00970736,0.00970736
46,9710.6,2.21504,1.43192,1.12468,0.62106,0.27181,0.28709,0.12574,2.0722,1.39301,1.13225,0.00969405,0.00969405,0.00969405
47,9918.73,2.22675,1.45735,1.12641,0.60442,0.27531,0.29165,0.12681,2.06893,1.39048,1.13015,0.00968045,0.00968045,0.00968045
48,10130.6,2.2116,1.42974,1.12594,0.63366,0.27202,0.2914,0.12594,2.06563,1.38525,1.13078,0.00966656,0.00966656,0.00966656
49,10347.1,2.20805,1.43172,1.12602,0.5915,0.27837,0.29127,0.12577,2.05886,1.38554,1.1293,0.00965239,0.00965239,0.00965239
50,10559.1,2.22542,1.44329,1.12027,0.60405,0.27188,0.29362,0.12767,2.05922,1.37852,1.12885,0.00963794,0.00963794,0.00963794
51,10764.3,2.20404,1.42565,1.12257,0.61058,0.27193,0.29495,0.12927,2.06038,1.37652,1.12839,0.0096232,0.0096232,0.0096232
52,10973.9,2.21762,1.43127,1.12094,0.60855,0.27751,0.29831,0.13081,2.05627,1.37871,1.12685,0.00960819,0.00960819,0.00960819
53,11190.3,2.20881,1.4169,1.11867,0.62553,0.27914,0.30462,0.13334,2.0548,1.37009,1.12725,0.00959289,0.00959289,0.00959289
54,11406.9,2.20856,1.42469,1.12189,0.61048,0.28338,0.3058,0.13547,2.05018,1.36794,1.12567,0.00957731,0.00957731,0.00957731
55,11617.8,2.21235,1.42003,1.11496,0.59532,0.29946,0.31075,0.13629,2.05364,1.36818,1.12632,0.00956145,0.00956145,0.00956145
56,11824.9,2.2009,1.41056,1.11723,0.59708,0.29676,0.31248,0.13818,2.05333,1.3696,1.12531,0.00954531,0.00954531,0.00954531
