epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.397,4.6344,8.5086,2.04258,0.26724,0.03108,0.00714,0.00168,3.92268,8.26189,1.30971,0.00333096,0.00333096,0.0700214
2,261.446,3.71393,2.61302,1.12452,0.33268,0.05604,0.03544,0.0092,3.283,2.67178,1.09043,0.00666419,0.00666419,0.0400213
3,381.679,3.35656,2.32197,1.03368,0.32488,0.05946,0.03584,0.0098,3.24789,2.44563,1.08563,0.00999701,0.00999701,0.0100208
4,498.213,3.19507,2.12441,1.00359,0.31447,0.11134,0.09415,0.03246,2.87454,2.03323,1.0187,0.00999863,0.00999863,0.00999863
5,616.425,3.04332,1.98614,0.98256,0.29165,0.12587,0.10119,0.03426,2.96819,2.22361,1.03276,0.00999756,0.00999756,0.00999756
6,732.792,2.96506,1.86392,0.96647,0.34488,0.15342,0.13993,0.05046,2.69716,1.93724,0.99085,0.00999618,0.00999618,0.00999618
7,854.301,2.90053,1.79175,0.95515,0.34679,0.14478,0.13935,0.04953,2.69349,1.86143,0.99574,0.0099945,0.0099945,0.0099945
8,972.518,2.84857,1.73223,0.95102,0.35638,0.16993,0.16066,0.0607,2.57776,1.82333,0.97426,0.00999252,0.00999252,0.00999252
9,1089.64,2.8247,1.69517,0.94306,0.3476,0.18295,0.16186,0.05599,2.60463,1.74198,0.97605,0.00999023,0.00999023,0.00999023
10,1206.99,2.79952,1.6729,0.939,0.38044,0.18116,0.17999,0.0682,2.58924,1.78845,0.96795,0.00998764,0.00998764,0.00998764
11,1324.03,2.7633,1.64371,0.93611,0.37618,0.1975,0.18763,0.06842,2.52914,1.61691,0.96241,0.00998474,0.00998474,0.00998474
12,1441.85,2.74736,1.60965,0.93401,0.38,0.20179,0.19131,0.06935,2.52497,1.62998,0.96459,0.00998154,0.00998154,0.00998154
13,1561.57,2.7135,1.58187,0.9315,0.37518,0.20556,0.20566,0.08196,2.49057,1.60346,0.95695,0.00997803,0.00997803,0.00997803
14,1678.35,2.70175,1.55418,0.92319,0.39389,0.21132,0.20838,0.08147,2.48456,1.61071,0.9556,0.00997422,0.00997422,0.00997422
15,1795.73,2.7006,1.55111,0.92417,0.37953,0.21,0.2007,0.07673,2.49906,1.62819,0.95772,0.00997011,0.00997011,0.00997011
16,1913.57,2.67148,1.50975,0.92321,0.51547,0.21288,0.20988,0.07911,2.47376,1.56837,0.95093,0.00996569,0.00996569,0.00996569
17,2030.03,2.66384,1.50603,0.92122,0.32138,0.21773,0.21411,0.08442,2.44505,1.53591,0.94756,0.00996097,0.00996097,0.00996097
18,2147.08,2.65505,1.4954,0.91757,0.52116,0.21729,0.2134,0.08417,2.43693,1.50639,0.94866,0.00995594,0.00995594,0.00995594
19,2266.13,2.65734,1.48777,0.91732,0.66659,0.21501,0.21938,0.08665,2.43161,1.51828,0.94978,0.00995062,0.00995062,0.00995062
20,2384.33,2.62805,1.47635,0.91734,0.66463,0.22651,0.22866,0.09173,2.38739,1.46363,0.94247,0.00994499,0.00994499,0.00994499
21,2502.09,2.62962,1.45558,0.91276,0.51814,0.22639,0.21919,0.08709,2.39002,1.47482,0.94275,0.00993906,0.00993906,0.00993906
22,2621.25,2.61342,1.4611,0.91582,0.63995,0.22809,0.22243,0.08706,2.40471,1.46308,0.94206,0.00993282,0.00993282,0.00993282
23,2738.84,2.60449,1.44288,0.91717,0.44365,0.22807,0.23323,0.09391,2.37302,1.44337,0.94173,0.00992629,0.00992629,0.00992629
24,2855.99,2.60775,1.45538,0.91625,0.52305,0.23626,0.2368,0.09587,2.37591,1.43782,0.94205,0.00991946,0.00991946,0.00991946
25,2976.32,2.60656,1.43244,0.91321,0.59347,0.24056,0.22652,0.08919,2.36177,1.44012,0.93784,0.00991232,0.00991232,0.00991232
26,3094.04,2.57856,1.41673,0.91333,0.41625,0.23715,0.23086,0.08999,2.35484,1.42671,0.93797,0.00990489,0.00990489,0.00990489
27,3212.1,2.59891,1.41868,0.9082,0.66663,0.23464,0.2393,0.09532,2.36115,1.42278,0.9359,0.00989715,0.00989715,0.00989715
28,3330.71,2.5773,1.40925,0.90831,0.64415,0.24031,0.24374,0.09561,2.34622,1.40506,0.93503,0.00988912,0.00988912,0.00988912
29,3450.17,2.57175,1.39059,0.90909,0.3504,0.24767,0.24637,0.0995,2.35391,1.40453,0.93636,0.00988079,0.00988079,0.00988079
30,3566.9,2.57505,1.38642,0.9036,0.74518,0.24454,0.23787,0.09721,2.32633,1.38922,0.9333,0.00987216,0.00987216,0.00987216
31,3686.23,2.56619,1.39077,0.90747,0.72343,0.24856,0.24811,0.1024,2.32226,1.38876,0.93015,0.00986323,0.00986323,0.00986323
32,3802.87,2.56609,1.39137,0.90688,0.71308,0.25388,0.24446,0.09699,2.31784,1.39466,0.92942,0.00985401,0.00985401,0.00985401
33,3919.12,2.55465,1.39787,0.91025,0.72271,0.25836,0.25277,0.10131,2.31419,1.35495,0.93107,0.00984449,0.00984449,0.00984449
34,4036.16,2.56413,1.3751,0.90271,0.72033,0.25464,0.25372,0.10089,2.32836,1.36993,0.93231,0.00983467,0.00983467,0.00983467
35,4154.48,2.53945,1.36049,0.90327,0.69968,0.26244,0.25344,0.10112,2.31189,1.37328,0.93009,0.00982456,0.00982456,0.00982456
36,4270.76,2.55127,1.38123,0.90436,0.71095,0.25619,0.256,0.10547,2.30857,1.36729,0.92812,0.00981415,0.00981415,0.00981415
37,4389.27,2.5381,1.35057,0.89966,0.60017,0.26789,0.25775,0.10655,2.30272,1.36334,0.92674,0.00980345,0.00980345,0.00980345
38,4508.74,2.52913,1.35091,0.90294,0.71598,0.26442,0.25889,0.10571,2.29211,1.35292,0.92396,0.00979246,0.00979246,0.00979246
39,4625.33,2.52154,1.35208,0.9068,0.58877,0.26532,0.26186,0.10621,2.28759,1.35542,0.92359,0.00978118,0.00978118,0.00978118
40,4744.89,2.52801,1.3476,0.90334,0.7246,0.26046,0.26009,0.10702,2.28814,1.34495,0.92463,0.0097696,0.0097696,0.0097696
41,4863.02,2.52348,1.33987,0.89921,0.69606,0.2701,0.25661,0.10504,2.28168,1.36057,0.9229,0.00975773,0.00975773,0.00975773
42,4980.14,2.50658,1.3298,0.90078,0.59024,0.26348,0.26828,0.11095,2.28698,1.34519,0.92298,0.00974557,0.00974557,0.00974557
43,5099.5,2.51475,1.3259,0.89717,0.73263,0.26471,0.27084,0.11186,2.27599,1.3393,0.92211,0.00973312,0.00973312,0.00973312
44,5216.56,2.51576,1.33032,0.8955,0.62787,0.27564,0.27084,0.11306,2.27119,1.32861,0.92167,0.00972039,0.00972039,0.00972039
45,5334.64,2.50996,1.33854,0.90185,0.60124,0.27891,0.27319,0.1141,2.26673,1.30722,0.92186,0.00970736,0.00970736,0.00970736
46,5450.02,2.50584,1.31662,0.89852,0.62098,0.27155,0.27525,0.1145,2.26917,1.31742,0.9211,0.00969405,0.00969405,0.00969405
47,5569.7,2.51422,1.33679,0.89946,0.59761,0.27922,0.27124,0.1123,2.26231,1.32282,0.91968,0.00968045,0.00968045,0.00968045
48,5687.13,2.49677,1.31575,0.89951,0.7276,0.27693,0.27019,0.11178,2.26091,1.32214,0.92041,0.00966656,0.00966656,0.00966656
49,5804.24,2.48976,1.32008,0.90092,0.61611,0.28048,0.27535,0.11366,2.25856,1.31615,0.92075,0.00965239,0.00965239,0.00965239
50,5922.08,2.52504,1.32772,0.89607,0.6106,0.28813,0.27188,0.11149,2.25831,1.3143,0.92044,0.00963794,0.00963794,0.00963794
51,6040.79,2.48725,1.31205,0.89922,0.62028,0.28578,0.27615,0.11405,2.25344,1.32135,0.91903,0.0096232,0.0096232,0.0096232
52,6160.14,2.50897,1.31978,0.89713,0.64723,0.28523,0.27724,0.11493,2.24746,1.31225,0.91799,0.00960819,0.00960819,0.00960819
53,6278.13,2.49555,1.29919,0.89475,0.64516,0.28767,0.28051,0.1165,2.24858,1.30388,0.918,0.00959289,0.00959289,0.00959289
54,6397.92,2.49115,1.31412,0.89823,0.62862,0.29476,0.28414,0.11929,2.23876,1.30082,0.91796,0.00957731,0.00957731,0.00957731
55,6516.18,2.50007,1.30675,0.89275,0.62837,0.29433,0.28624,0.11967,2.23639,1.29997,0.91739,0.00956145,0.00956145,0.00956145
56,6634.32,2.48488,1.29382,0.8947,0.64307,0.29201,0.29144,0.12159,2.23161,1.29383,0.91722,0.00954531,0.00954531,0.00954531
57,6753.75,2.49163,1.30589,0.89682,0.65781,0.29157,0.29509,0.1242,2.23058,1.28456,0.91711,0.00952889,0.00952889,0.00952889
58,6871.54,2.47631,1.28793,0.89629,0.64732,0.29492,0.29619,0.12399,2.23222,1.29099,0.91685,0.0095122,0.0095122,0.0095122
59,6989.77,2.47719,1.28882,0.89661,0.65316,0.28538,0.29368,0.12188,2.23306,1.29169,0.91649,0.00949524,0.00949524,0.00949524
60,7108.94,2.48818,1.30071,0.89173,0.64254,0.2888,0.29576,0.12293,2.22961,1.28969,0.91534,0.009478,0.009478,0.009478
61,7224.22,2.47939,1.29684,0.89243,0.65483,0.28884,0.29837,0.12377,2.22521,1.28437,0.91508,0.00946048,0.00946048,0.00946048
62,7340.99,2.46787,1.28771,0.89657,0.66524,0.28957,0.30164,0.12546,2.22251,1.2767,0.91509,0.0094427,0.0094427,0.0094427
63,7457.34,2.48556,1.27743,0.89315,0.66582,0.2845,0.3015,0.12625,2.21758,1.27201,0.91386,0.00942464,0.00942464,0.00942464
64,7575.83,2.46976,1.28784,0.89563,0.65069,0.29967,0.30315,0.1263,2.21819,1.26972,0.91445,0.00940631,0.00940631,0.00940631
65,7693.59,2.46583,1.29468,0.89687,0.65199,0.29526,0.30003,0.12461,2.2163,1.2764,0.91451,0.00938772,0.00938772,0.00938772
66,7813.38,2.46259,1.27921,0.89414,0.64278,0.2979,0.29985,0.12452,2.218,1.28134,0.9151,0.00936886,0.00936886,0.00936886
67,7930.35,2.4686,1.283,0.89447,0.64037,0.30287,0.30162,0.12477,2.221,1.28123,0.91595,0.00934973,0.00934973,0.00934973
68,8048.8,2.46025,1.27489,0.89134,0.62204,0.3059,0.3023,0.12495,2.22003,1.27764,0.91549,0.00933033,0.00933033,0.00933033
69,8165.6,2.46635,1.27931,0.89179,0.62838,0.31098,0.30426,0.12682,2.21753,1.27373,0.91493,0.00931067,0.00931067,0.00931067
70,8281.74,2.47127,1.28436,0.89502,0.64381,0.30543,0.30505,0.12788,2.21456,1.27222,0.91457,0.00929075,0.00929075,0.00929075
71,8399.69,2.45949,1.27034,0.89256,0.62767,0.31192,0.30386,0.12733,2.21231,1.27302,0.91406,0.00927057,0.00927057,0.00927057
72,8516.22,2.44945,1.27847,0.89632,0.64799,0.30542,0.30579,0.12798,2.21219,1.26965,0.91382,0.00925013,0.00925013,0.00925013
73,8634.48,2.44947,1.26161,0.8924,0.67334,0.30348,0.30782,0.12883,2.20978,1.2639,0.91376,0.00922942,0.00922942,0.00922942
74,8752.57,2.45515,1.26178,0.89079,0.6695,0.30462,0.30942,0.12946,2.20768,1.26238,0.91309,0.00920846,0.00920846,0.00920846
75,8870.11,2.44699,1.25983,0.89175,0.64932,0.3077,0.30828,0.12987,2.20308,1.26236,0.91256,0.00918725,0.00918725,0.00918725
76,8988.62,2.44688,1.26081,0.89168,0.65497,0.30656,0.31042,0.13005,2.20127,1.25893,0.91239,0.00916577,0.00916577,0.00916577
77,9107.26,2.45931,1.28036,0.89211,0.64257,0.31156,0.31133,0.13056,2.20152,1.25679,0.91198,0.00914405,0.00914405,0.00914405
78,9223.92,2.44677,1.26274,0.89163,0.63566,0.31738,0.31274,0.13238,2.19627,1.25329,0.91144,0.00912207,0.00912207,0.00912207
79,9342.96,2.45515,1.25883,0.88893,0.64495,0.31891,0.31399,0.13197,2.19416,1.25347,0.91098,0.00909984,0.00909984,0.00909984
80,9462.77,2.46397,1.27012,0.88701,0.63908,0.32297,0.31549,0.13248,2.19333,1.25156,0.91091,0.00907736,0.00907736,0.00907736
81,9581.29,2.45306,1.26585,0.88745,0.63278,0.32259,0.31612,0.13242,2.19334,1.25136,0.91074,0.00905463,0.00905463,0.00905463
82,9699.01,2.43727,1.25632,0.89442,0.63271,0.31746,0.31577,0.13223,2.19069,1.2523,0.91037,0.00903166,0.00903166,0.00903166
83,9816.04,2.44938,1.26805,0.88985,0.63092,0.32006,0.31565,0.13218,2.18994,1.25273,0.9102,0.00900844,0.00900844,0.00900844
84,9936.02,2.4429,1.25113,0.89022,0.63555,0.32142,0.3158,0.13283,2.18847,1.25218,0.9101,0.00898497,0.00898497,0.00898497
85,10056.4,2.44389,1.25583,0.88768,0.63449,0.32284,0.31614,0.13277,2.18729,1.2536,0.91012,0.00896127,0.00896127,0.00896127
86,10174.6,2.43947,1.24343,0.88914,0.6416,0.32007,0.31576,0.13286,2.18598,1.25328,0.90983,0.00893732,0.00893732,0.00893732
87,10293.6,2.43797,1.24525,0.88758,0.64364,0.31943,0.31631,0.1332,2.18539,1.25393,0.90986,0.00891313,0.00891313,0.00891313
88,10412.5,2.44256,1.24981,0.88997,0.65052,0.31737,0.31641,0.13318,2.18458,1.25487,0.90968,0.0088887,0.0088887,0.0088887
89,10529.9,2.44422,1.25722,0.8871,0.65133,0.31874,0.31739,0.13314,2.18385,1.25412,0.90949,0.00886404,0.00886404,0.00886404
90,10645.1,2.43394,1.24362,0.88764,0.64781,0.31854,0.31733,0.13338,2.18302,1.25376,0.90914,0.00883914,0.00883914,0.00883914
91,10760.4,2.42968,1.24095,0.89203,0.65119,0.31804,0.31857,0.1336,2.18162,1.25284,0.90911,0.00881401,0.00881401,0.00881401
92,10878.4,2.43782,1.25331,0.88923,0.64934,0.31798,0.31948,0.13379,2.18043,1.25225,0.90884,0.00878864,0.00878864,0.00878864
93,10995.1,2.43975,1.24898,0.88734,0.64429,0.31945,0.32,0.13385,2.17944,1.2517,0.90876,0.00876305,0.00876305,0.00876305
