epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.166,4.64985,9.0725,2.10361,0.02433,0.02626,0.00876,0.00215,3.77276,4.10024,1.26086,0.00333096,0.00333096,0.0700214
2,230.523,3.7714,2.66239,1.12631,0.31755,0.05111,0.03156,0.00812,3.36761,2.42557,1.11589,0.00666419,0.00666419,0.0400213
3,339.474,3.39619,2.34957,1.03599,0.33263,0.06312,0.05576,0.01825,3.10657,2.25503,1.06893,0.00999701,0.00999701,0.0100208
4,447.594,3.23575,2.16848,1.00725,0.31342,0.10426,0.0843,0.02786,2.92934,2.15429,1.02713,0.00999863,0.00999863,0.00999863
5,556.287,3.08757,2.03488,0.98794,0.16862,0.11859,0.09831,0.03434,2.85297,2.08122,1.01781,0.00999756,0.00999756,0.00999756
6,663.09,3.02167,1.93309,0.97324,0.351,0.12945,0.11697,0.03852,2.78231,2.08783,1.0018,0.00999618,0.00999618,0.00999618
7,771.843,2.94915,1.85186,0.96231,0.19995,0.14388,0.13039,0.04731,2.71186,1.95613,0.99385,0.0099945,0.0099945,0.0099945
8,874.962,2.90374,1.80304,0.95779,0.33663,0.15169,0.14338,0.0543,2.65795,1.85068,0.98266,0.00999252,0.00999252,0.00999252
9,980.575,2.88001,1.76703,0.94996,0.46984,0.16907,0.15534,0.05871,2.66243,1.84267,0.98332,0.00999023,0.00999023,0.00999023
10,1084.47,2.85804,1.74043,0.94635,0.46164,0.15393,0.15765,0.05847,2.73269,2.0345,0.98819,0.00998764,0.00998764,0.00998764
11,1188.59,2.81929,1.70917,0.94349,0.48369,0.17805,0.16608,0.06216,2.59767,1.7576,0.96975,0.00998474,0.00998474,0.00998474
12,1293.72,2.80038,1.67553,0.93945,0.49856,0.18573,0.17779,0.06825,2.55061,1.76393,0.96402,0.00998154,0.00998154,0.00998154
13,1400.74,2.77156,1.65285,0.93891,0.37894,0.19091,0.19358,0.07448,2.55006,1.67191,0.96854,0.00997803,0.00997803,0.00997803
14,1510,2.7621,1.62527,0.93114,0.50702,0.19568,0.18789,0.07286,2.5061,1.65802,0.9593,0.00997422,0.00997422,0.00997422
15,1614.39,2.75409,1.61593,0.93025,0.51387,0.19349,0.19147,0.0736,2.51842,1.65958,0.96099,0.00997011,0.00997011,0.00997011
16,1721.45,2.72185,1.57482,0.9286,0.51155,0.20539,0.20081,0.07803,2.51531,1.62311,0.95385,0.00996569,0.00996569,0.00996569
17,1826.96,2.71776,1.57156,0.92822,0.41346,0.20775,0.20772,0.08034,2.48101,1.58894,0.95443,0.00996097,0.00996097,0.00996097
18,1933.11,2.71182,1.55884,0.92484,0.3835,0.21372,0.20629,0.08183,2.47654,1.57484,0.95541,0.00995594,0.00995594,0.00995594
19,2039.92,2.71155,1.55052,0.92427,0.29174,0.21391,0.20573,0.08068,2.49253,1.63662,0.95785,0.00995062,0.00995062,0.00995062
20,2146.04,2.684,1.54329,0.9248,0.3887,0.21858,0.21294,0.08319,2.45154,1.54555,0.94977,0.00994499,0.00994499,0.00994499
21,2250.83,2.68322,1.51983,0.91894,0.40255,0.21669,0.21416,0.08413,2.42968,1.56324,0.94769,0.00993906,0.00993906,0.00993906
