epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.014,4.52561,7.98361,2.00673,0.17288,0.03579,0.01473,0.00386,3.66133,6.75605,1.21332,0.00333096,0.00333096,0.0700214
2,210.257,3.64959,2.57068,1.10359,0.38001,0.05221,0.03667,0.00992,3.30013,2.56002,1.10608,0.00666419,0.00666419,0.0400213
3,308.463,3.33806,2.32397,1.02876,0.70021,0.05095,0.05057,0.01716,3.30817,2.38329,1.09187,0.00999701,0.00999701,0.0100208
4,403.66,3.18254,2.14207,1.00066,0.56734,0.11093,0.09583,0.03283,2.8627,2.00891,1.0255,0.00999863,0.00999863,0.00999863
5,499.183,3.042,2.00456,0.9819,0.31056,0.12985,0.11277,0.03913,2.80944,1.98676,1.00686,0.00999756,0.00999756,0.00999756
6,595.869,2.97323,1.89641,0.96515,0.35007,0.14847,0.14131,0.05005,2.72169,1.93112,0.99051,0.00999618,0.00999618,0.00999618
7,692.297,2.90105,1.82383,0.95574,0.33423,0.15012,0.13744,0.04919,2.65581,1.85776,0.98788,0.0099945,0.0099945,0.0099945
8,786.159,2.85685,1.77058,0.9517,0.3485,0.15628,0.1474,0.05411,2.62108,1.81185,0.9789,0.00999252,0.00999252,0.00999252
9,881.878,2.83375,1.73472,0.94309,0.33443,0.17988,0.15939,0.05664,2.60188,1.74657,0.98122,0.00999023,0.00999023,0.00999023
10,976.141,2.80959,1.71235,0.93948,0.36454,0.17202,0.17106,0.06584,2.58492,1.79277,0.97085,0.00998764,0.00998764,0.00998764
11,1066.84,2.77499,1.67591,0.93747,0.3711,0.18433,0.17317,0.06018,2.54554,1.68201,0.96845,0.00998474,0.00998474,0.00998474
12,1161.57,2.75949,1.64496,0.93403,0.369,0.19326,0.18654,0.06997,2.53631,1.71756,0.96486,0.00998154,0.00998154,0.00998154
13,1253.85,2.72843,1.61866,0.93442,0.38293,0.20699,0.2026,0.07713,2.50338,1.59947,0.96094,0.00997803,0.00997803,0.00997803
14,1349.53,2.7161,1.58627,0.92553,0.39624,0.20339,0.20268,0.07886,2.48214,1.67257,0.95787,0.00997422,0.00997422,0.00997422
15,1445.39,2.71346,1.58657,0.9257,0.3969,0.205,0.20556,0.07989,2.48212,1.58946,0.95836,0.00997011,0.00997011,0.00997011
16,1541.28,2.68218,1.54335,0.92423,0.39461,0.20647,0.20573,0.07614,2.46207,1.5634,0.95197,0.00996569,0.00996569,0.00996569
17,1636.5,2.67123,1.54307,0.92223,0.40507,0.21093,0.21483,0.08281,2.43774,1.52388,0.94972,0.00996097,0.00996097,0.00996097
18,1733.13,2.6648,1.52447,0.91906,0.51429,0.20813,0.208,0.08293,2.45632,1.54191,0.95552,0.00995594,0.00995594,0.00995594
19,1829.54,2.67064,1.51395,0.91876,0.52438,0.21428,0.21232,0.08261,2.43442,1.55115,0.9494,0.00995062,0.00995062,0.00995062
20,1925.39,2.6429,1.51236,0.91993,0.53122,0.2132,0.21422,0.08405,2.40419,1.51401,0.94531,0.00994499,0.00994499,0.00994499
21,2019.43,2.63959,1.48988,0.91346,0.53883,0.22393,0.22524,0.08934,2.40475,1.49311,0.94343,0.00993906,0.00993906,0.00993906
22,2113.25,2.62841,1.49482,0.91676,0.42913,0.22245,0.222,0.08591,2.39936,1.50747,0.94541,0.00993282,0.00993282,0.00993282
23,2209.85,2.61517,1.47842,0.9183,0.48556,0.22417,0.22645,0.08892,2.38696,1.48104,0.94591,0.00992629,0.00992629,0.00992629
24,2304.87,2.62468,1.48199,0.9181,0.53536,0.22545,0.23014,0.09338,2.3764,1.46177,0.9412,0.00991946,0.00991946,0.00991946
25,2400.16,2.62049,1.46497,0.91468,0.52465,0.23324,0.23211,0.09238,2.38319,1.48617,0.94214,0.00991232,0.00991232,0.00991232
