epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.6527,3.22249,7.73683,1.8944,0.02627,0.02894,0.01109,0.00261,2.63146,10.5398,1.20711,0.00333096,0.00333096,0.0700214
2,171.615,2.64285,2.57713,1.10573,0.56957,0.04949,0.03135,0.00832,2.35605,2.41275,1.12754,0.00666419,0.00666419,0.0400213
3,251.061,2.43804,2.32762,1.03624,0.32969,0.06307,0.04524,0.01453,2.25854,2.33818,1.06843,0.00999701,0.00999701,0.0100208
4,327.744,2.32254,2.16426,1.00876,0.32239,0.11091,0.09211,0.03178,2.07477,2.05241,1.02123,0.00999863,0.00999863,0.00999863
5,405.955,2.22014,2.04058,0.98956,0.29008,0.11996,0.09611,0.03202,2.09667,2.09834,1.02103,0.00999756,0.00999756,0.00999756
6,485.615,2.16872,1.93987,0.97524,0.32726,0.13921,0.12342,0.0431,1.99635,2.00306,1.00734,0.00999618,0.00999618,0.00999618
7,562.268,2.12408,1.8663,0.96596,0.33566,0.13954,0.12825,0.04398,1.96411,1.89131,1.00709,0.0099945,0.0099945,0.0099945
8,641.636,2.093,1.8141,0.96107,0.34001,0.15785,0.14112,0.05045,1.91862,1.81694,0.98677,0.00999252,0.00999252,0.00999252
9,720.792,2.07547,1.78732,0.95339,0.47072,0.15302,0.13972,0.05009,1.91673,1.91581,0.98735,0.00999023,0.00999023,0.00999023
10,798.299,2.06016,1.75957,0.94948,0.34953,0.16536,0.15623,0.05687,1.90408,1.89452,0.97803,0.00998764,0.00998764,0.00998764
11,874.598,2.03302,1.72745,0.94588,0.47639,0.17577,0.1616,0.05778,1.85778,1.79751,0.97495,0.00998474,0.00998474,0.00998474
12,952.381,2.01979,1.69269,0.94402,0.24239,0.1835,0.1737,0.06336,1.85906,1.75475,0.97444,0.00998154,0.00998154,0.00998154
13,1027.37,1.99504,1.66998,0.94154,0.38073,0.19402,0.18539,0.06561,1.83052,1.64644,0.96878,0.00997803,0.00997803,0.00997803
14,1104.73,1.99019,1.63437,0.9339,0.38542,0.19169,0.18871,0.07105,1.81015,1.66187,0.96469,0.00997422,0.00997422,0.00997422
15,1182.17,1.98881,1.63575,0.93426,0.38651,0.19647,0.19034,0.07032,1.80546,1.69133,0.96187,0.00997011,0.00997011,0.00997011
