epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.039,4.72701,6.23099,2.85489,0.41639,0.05356,0.02152,0.00618,3.12067,4.6171,1.58466,0.00333096,0.00333096,0.0700214
2,339.196,3.11091,2.768,1.51284,0.69979,0.05535,0.03438,0.01075,2.7581,2.98465,1.43751,0.00666419,0.00666419,0.0400213
3,499.894,2.83227,2.47619,1.38765,0.57686,0.06078,0.0428,0.01343,2.63318,2.45606,1.39216,0.00999701,0.00999701,0.0100208
4,660.165,2.6905,2.24176,1.33008,0.31636,0.11028,0.10651,0.04151,2.40941,2.15069,1.3034,0.00999863,0.00999863,0.00999863
5,819.118,2.56541,2.07417,1.29098,0.31405,0.1393,0.12289,0.04788,2.39325,2.39871,1.2976,0.00999756,0.00999756,0.00999756
6,980.609,2.51744,1.96324,1.27042,0.3515,0.1442,0.14484,0.05848,2.32943,1.96804,1.27273,0.00999618,0.00999618,0.00999618
7,1144.07,2.46586,1.87565,1.25046,0.35735,0.15058,0.14897,0.06109,2.30924,1.89959,1.26139,0.0099945,0.0099945,0.0099945
8,1298.74,2.43538,1.8223,1.24491,0.34352,0.17107,0.16522,0.06865,2.26428,1.85012,1.2429,0.00999252,0.00999252,0.00999252
9,1455.6,2.42076,1.78155,1.23362,0.36166,0.178,0.17537,0.07535,2.23581,1.81844,1.23935,0.00999023,0.00999023,0.00999023
10,1615.49,2.40447,1.76054,1.22743,0.37243,0.17676,0.18532,0.07956,2.24097,1.83341,1.23464,0.00998764,0.00998764,0.00998764
11,1771.28,2.37572,1.71694,1.22093,0.36466,0.19267,0.19192,0.07841,2.21505,1.72446,1.23313,0.00998474,0.00998474,0.00998474
12,1931.59,2.36244,1.69084,1.2161,0.38509,0.19388,0.19693,0.08137,2.25589,1.72051,1.23683,0.00998154,0.00998154,0.00998154
13,2089.64,2.34072,1.66262,1.21232,0.39349,0.211,0.21603,0.08884,2.20337,1.64087,1.2192,0.00997803,0.00997803,0.00997803
14,2253.52,2.33371,1.63049,1.20171,0.39866,0.20341,0.21221,0.09158,2.18154,1.66178,1.21353,0.00997422,0.00997422,0.00997422
15,2413.38,2.33344,1.63353,1.20128,0.43135,0.20853,0.22089,0.0958,2.18362,1.63856,1.21545,0.00997011,0.00997011,0.00997011
16,2575.04,2.31112,1.59102,1.19815,0.5286,0.21678,0.22726,0.09955,2.15485,1.63479,1.21139,0.00996569,0.00996569,0.00996569
17,2734.07,2.30595,1.58495,1.19658,0.30555,0.2252,0.22564,0.09669,2.16098,1.5967,1.20811,0.00996097,0.00996097,0.00996097
18,2895.23,2.30183,1.56925,1.18992,0.52723,0.2184,0.22544,0.09831,2.15898,1.57642,1.20476,0.00995594,0.00995594,0.00995594
19,3051.19,2.30135,1.56089,1.18986,0.44407,0.2206,0.22697,0.09747,2.15182,1.57949,1.20228,0.00995062,0.00995062,0.00995062
20,3213.37,2.28747,1.55628,1.19041,0.49481,0.23051,0.23606,0.10292,2.12826,1.55177,1.19623,0.00994499,0.00994499,0.00994499
21,3369.97,2.2814,1.53164,1.18357,0.52643,0.22819,0.23314,0.09982,2.1342,1.53467,1.19847,0.00993906,0.00993906,0.00993906
22,3529.25,2.27452,1.54048,1.18565,0.45398,0.23934,0.24434,0.10335,2.12632,1.5346,1.19446,0.00993282,0.00993282,0.00993282
