epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.353,4.56882,10.7126,2.16116,0.13897,0.01634,0.00592,0.00135,3.98286,7.82549,1.30462,0.00333096,0.00333096,0.0700214
2,213.275,3.9132,2.73262,1.16313,0.43131,0.04316,0.02431,0.0061,3.42512,2.47165,1.15261,0.00666419,0.00666419,0.0400213
3,309.185,3.5054,2.43536,1.06055,0.55856,0.0464,0.02707,0.00733,3.36072,2.40453,1.10431,0.00999701,0.00999701,0.0100208
4,400.856,3.30596,2.24914,1.02301,0.29148,0.08326,0.07062,0.02415,2.95494,2.13152,1.02844,0.00999863,0.00999863,0.00999863
5,494.157,3.14826,2.12096,0.99959,0.31037,0.09527,0.08199,0.02802,2.89856,2.20946,1.024,0.00999756,0.00999756,0.00999756
6,587.856,3.08099,2.00496,0.98331,0.32789,0.12711,0.11024,0.03814,2.78041,2.00494,1.003,0.00999618,0.00999618,0.00999618
7,683.912,3.00911,1.92086,0.97208,0.30882,0.13101,0.11679,0.04263,2.75492,1.93874,1.00229,0.0099945,0.0099945,0.0099945
8,776.343,2.9542,1.86751,0.96661,0.33842,0.15167,0.13835,0.0492,2.68526,1.87294,0.9821,0.00999252,0.00999252,0.00999252
9,870.706,2.93253,1.82883,0.95824,0.34264,0.1498,0.14094,0.05184,2.71045,2.02913,0.98737,0.00999023,0.00999023,0.00999023
10,964.422,2.90429,1.79868,0.95336,0.35347,0.15472,0.14993,0.05605,2.69852,1.91546,0.98825,0.00998764,0.00998764,0.00998764
11,1057.35,2.86453,1.76285,0.95058,0.35495,0.16422,0.15461,0.05618,2.60065,1.84318,0.97386,0.00998474,0.00998474,0.00998474
12,1150.03,2.84404,1.72355,0.94658,0.3732,0.17379,0.16836,0.06343,2.61483,1.75112,0.97804,0.00998154,0.00998154,0.00998154
13,1242.34,2.8073,1.69016,0.94391,0.36627,0.18699,0.17938,0.06597,2.55872,1.668,0.96757,0.00997803,0.00997803,0.00997803
14,1337.26,2.79924,1.66456,0.93659,0.37861,0.18923,0.18389,0.07114,2.52542,1.7239,0.96272,0.00997422,0.00997422,0.00997422
15,1429.43,2.79434,1.65256,0.93623,0.38065,0.18196,0.18126,0.06778,2.54263,1.68749,0.96594,0.00997011,0.00997011,0.00997011
16,1523.73,2.77247,1.61912,0.93602,0.37497,0.1928,0.18823,0.07251,2.52725,1.73584,0.9641,0.00996569,0.00996569,0.00996569
17,1619.62,2.75671,1.61336,0.93388,0.38292,0.19237,0.18827,0.07246,2.49073,1.64181,0.9531,0.00996097,0.00996097,0.00996097
18,1712.57,2.74947,1.60391,0.93014,0.38264,0.19177,0.18999,0.07279,2.50192,1.61025,0.95949,0.00995594,0.00995594,0.00995594
19,1809.38,2.75133,1.58746,0.92911,0.38561,0.19301,0.1896,0.07183,2.52339,1.67128,0.9584,0.00995062,0.00995062,0.00995062
20,1904.42,2.71108,1.57631,0.92807,0.39824,0.20188,0.19845,0.07496,2.47933,1.62938,0.95164,0.00994499,0.00994499,0.00994499
21,2000.36,2.71774,1.5566,0.92381,0.4078,0.20125,0.20211,0.07757,2.45289,1.56916,0.95437,0.00993906,0.00993906,0.00993906
22,2093.02,2.70344,1.57004,0.92663,0.39521,0.2088,0.20685,0.081,2.45271,1.57401,0.95045,0.00993282,0.00993282,0.00993282
23,2185.56,2.69431,1.54236,0.9275,0.40433,0.20546,0.2068,0.08013,2.44482,1.58148,0.94771,0.00992629,0.00992629,0.00992629
24,2279.09,2.69332,1.54659,0.927,0.39292,0.20973,0.2096,0.08089,2.45849,1.57283,0.95089,0.00991946,0.00991946,0.00991946
25,2373.78,2.6913,1.53063,0.92352,0.40075,0.21642,0.21241,0.08111,2.42837,1.54469,0.94844,0.00991232,0.00991232,0.00991232
26,2468.32,2.66093,1.51422,0.9239,0.40703,0.21624,0.21527,0.08416,2.44114,1.56105,0.9491,0.00990489,0.00990489,0.00990489
27,2564.23,2.68348,1.51046,0.91854,0.40886,0.21253,0.21592,0.08314,2.42537,1.52075,0.94741,0.00989715,0.00989715,0.00989715
28,2656.47,2.66376,1.50484,0.91892,0.4042,0.21429,0.21769,0.08467,2.42415,1.50715,0.9442,0.00988912,0.00988912,0.00988912
29,2749.67,2.65024,1.48995,0.91864,0.40494,0.21814,0.21879,0.08511,2.41212,1.51963,0.94219,0.00988079,0.00988079,0.00988079
30,2844.98,2.65775,1.47873,0.91286,0.41094,0.22306,0.22406,0.08745,2.39584,1.49419,0.94011,0.00987216,0.00987216,0.00987216
31,2938.06,2.64715,1.47956,0.91637,0.40959,0.22564,0.22285,0.08815,2.39179,1.48723,0.93955,0.00986323,0.00986323,0.00986323
32,3031.35,2.64777,1.48217,0.91648,0.41496,0.22255,0.22754,0.08844,2.38409,1.47509,0.9381,0.00985401,0.00985401,0.00985401
33,3124.27,2.63234,1.49213,0.91879,0.42021,0.22632,0.22926,0.09115,2.37694,1.48257,0.93743,0.00984449,0.00984449,0.00984449
34,3218.41,2.64724,1.47061,0.91207,0.41685,0.22189,0.22509,0.08902,2.3977,1.47963,0.94072,0.00983467,0.00983467,0.00983467
35,3313.07,2.61974,1.45538,0.91124,0.41334,0.22786,0.23015,0.09125,2.37317,1.46558,0.93943,0.00982456,0.00982456,0.00982456
36,3407.75,2.63101,1.47251,0.91352,0.42188,0.2226,0.23328,0.09452,2.37357,1.46703,0.93636,0.00981415,0.00981415,0.00981415
37,3503.31,2.6155,1.44154,0.90894,0.41368,0.22737,0.23198,0.09133,2.36536,1.47016,0.93681,0.00980345,0.00980345,0.00980345
38,3594.88,2.60934,1.44488,0.91192,0.40742,0.23516,0.2349,0.09383,2.35406,1.44786,0.93376,0.00979246,0.00979246,0.00979246
39,3688.23,2.60018,1.44221,0.91491,0.3573,0.23559,0.23614,0.09408,2.3461,1.42997,0.93265,0.00978118,0.00978118,0.00978118
40,3781.42,2.60859,1.43305,0.91249,0.53852,0.23661,0.24815,0.1029,2.34926,1.42243,0.93412,0.0097696,0.0097696,0.0097696
41,3874.17,2.60124,1.43176,0.90856,0.49071,0.24003,0.23994,0.09565,2.3504,1.43212,0.93232,0.00975773,0.00975773,0.00975773
42,3967.66,2.58017,1.42326,0.91008,0.54062,0.23329,0.23828,0.0948,2.35827,1.43111,0.93502,0.00974557,0.00974557,0.00974557
43,4059.29,2.59474,1.40981,0.9057,0.66628,0.23702,0.24193,0.09697,2.34811,1.42585,0.93247,0.00973312,0.00973312,0.00973312
44,4151.9,2.59544,1.42035,0.90475,0.45432,0.23749,0.24004,0.09806,2.33446,1.40579,0.9315,0.00972039,0.00972039,0.00972039
45,4246.49,2.58532,1.42314,0.90996,0.46755,0.23692,0.24106,0.09713,2.3289,1.39991,0.93119,0.00970736,0.00970736,0.00970736
46,4337.95,2.5794,1.39695,0.90725,0.52588,0.23539,0.24473,0.0992,2.32154,1.39823,0.92995,0.00969405,0.00969405,0.00969405
47,4433.14,2.59313,1.42207,0.90818,0.61597,0.23909,0.24515,0.09961,2.32014,1.39582,0.92834,0.00968045,0.00968045,0.00968045
48,4526.91,2.57111,1.39779,0.90747,0.67724,0.23921,0.24624,0.10024,2.32005,1.38955,0.92732,0.00966656,0.00966656,0.00966656
49,4619.76,2.56408,1.40238,0.90939,0.50609,0.24136,0.24415,0.09866,2.3191,1.39008,0.92797,0.00965239,0.00965239,0.00965239
50,4713.48,2.59808,1.41786,0.90372,0.53264,0.24109,0.24651,0.09992,2.306,1.3824,0.92647,0.00963794,0.00963794,0.00963794
51,4807.5,2.56278,1.40168,0.907,0.62768,0.24662,0.24852,0.1009,2.30648,1.39164,0.9257,0.0096232,0.0096232,0.0096232
52,4902.97,2.5795,1.40514,0.9051,0.62972,0.24855,0.25116,0.10278,2.30373,1.38605,0.92633,0.00960819,0.00960819,0.00960819
53,4995.93,2.5724,1.38478,0.90341,0.60622,0.24895,0.25271,0.10302,2.30966,1.3754,0.92585,0.00959289,0.00959289,0.00959289
54,5088.42,2.56809,1.39806,0.90608,0.5968,0.24563,0.25248,0.10345,2.31087,1.37976,0.92597,0.00957731,0.00957731,0.00957731
55,5181.37,2.57482,1.38665,0.90007,0.60412,0.2487,0.25432,0.10472,2.29572,1.36896,0.92505,0.00956145,0.00956145,0.00956145
56,5273.38,2.56278,1.37701,0.90383,0.62228,0.25107,0.25731,0.10564,2.29099,1.36681,0.9244,0.00954531,0.00954531,0.00954531
57,5365.54,2.565,1.38732,0.90451,0.5886,0.25483,0.25869,0.10652,2.28422,1.36086,0.92256,0.00952889,0.00952889,0.00952889
58,5459.9,2.55712,1.37471,0.90481,0.60238,0.25269,0.25828,0.1061,2.27938,1.36791,0.92102,0.0095122,0.0095122,0.0095122
59,5553.18,2.54904,1.36972,0.90427,0.46587,0.25712,0.25841,0.10729,2.27997,1.36676,0.92065,0.00949524,0.00949524,0.00949524
60,5648.13,2.56362,1.38893,0.8994,0.36172,0.25835,0.26103,0.10752,2.27965,1.36393,0.92069,0.009478,0.009478,0.009478
61,5742.12,2.55099,1.37402,0.8992,0.63333,0.25713,0.26174,0.10841,2.27682,1.35556,0.92043,0.00946048,0.00946048,0.00946048
62,5834.93,2.54198,1.36922,0.90313,0.6183,0.25892,0.26339,0.109,2.27453,1.35519,0.92077,0.0094427,0.0094427,0.0094427
63,5926.66,2.56088,1.36179,0.901,0.62441,0.26247,0.26177,0.10902,2.27714,1.35786,0.92132,0.00942464,0.00942464,0.00942464
64,6019.63,2.54221,1.36685,0.90339,0.48525,0.26484,0.26099,0.10838,2.2759,1.35694,0.92144,0.00940631,0.00940631,0.00940631
