epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.5081,3.4967,7.87654,1.87213,0.5475,0.0381,0.01495,0.00386,2.82195,4.45148,1.17296,0.00333096,0.00333096,0.0700214
2,173.803,2.75529,2.54751,1.08533,0.34229,0.05838,0.03693,0.01006,2.36038,2.55698,1.09164,0.00666419,0.00666419,0.0400213
3,257.278,2.50867,2.33003,1.02321,0.43893,0.04852,0.03958,0.01793,2.57519,2.42816,1.10371,0.00999701,0.00999701,0.0100208
4,340.535,2.38002,2.16464,0.99652,0.3111,0.10907,0.09579,0.03197,2.06846,2.04554,1.00879,0.00999863,0.00999863,0.00999863
5,423.235,2.26217,2.04812,0.97927,0.42464,0.12921,0.1096,0.03733,2.13316,2.38375,1.01034,0.00999756,0.00999756,0.00999756
6,503.555,2.21672,1.9501,0.96781,0.33719,0.14485,0.12742,0.04447,1.99641,2.18343,0.99058,0.00999618,0.00999618,0.00999618
7,581.792,2.16345,1.87975,0.95754,0.31446,0.14552,0.12543,0.0442,2.02627,1.91038,1.00141,0.0099945,0.0099945,0.0099945
8,662.092,2.12741,1.83684,0.95583,0.33071,0.16422,0.14444,0.05045,1.91241,1.81085,0.98203,0.00999252,0.00999252,0.00999252
9,743.755,2.10531,1.79452,0.94661,0.35202,0.16807,0.16019,0.05834,1.90119,1.85979,0.98081,0.00999023,0.00999023,0.00999023
10,824.481,2.07969,1.76699,0.94337,0.35566,0.17241,0.169,0.06289,1.95339,1.93067,0.98474,0.00998764,0.00998764,0.00998764
11,905.576,2.04975,1.7308,0.94171,0.35389,0.1833,0.17019,0.05916,1.83121,1.76486,0.96413,0.00998474,0.00998474,0.00998474
12,983.03,2.03573,1.69616,0.93741,0.33972,0.18512,0.16405,0.05483,1.87131,1.77524,0.97308,0.00998154,0.00998154,0.00998154
13,1065.41,2.01242,1.67823,0.93698,0.36473,0.18404,0.18661,0.06901,1.81359,1.67933,0.9612,0.00997803,0.00997803,0.00997803
14,1146.58,2.00088,1.64975,0.9299,0.36352,0.19637,0.18567,0.06552,1.81045,1.69876,0.96493,0.00997422,0.00997422,0.00997422
15,1227.23,1.99621,1.64506,0.92914,0.38764,0.19995,0.19782,0.07315,1.80399,1.70321,0.95842,0.00997011,0.00997011,0.00997011
