epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2285,4.48794,7.8815,1.87107,0.15759,0.04309,0.01455,0.00384,3.6831,6.82042,1.18869,0.00333096,0.00333096,0.0700214
2,163.047,3.66897,2.59061,1.10253,0.35313,0.05059,0.0311,0.00843,3.35298,3.29928,1.11599,0.00666419,0.00666419,0.0400213
3,238.146,3.38004,2.35366,1.03523,0.44279,0.05356,0.03681,0.01083,3.30715,2.39667,1.08876,0.00999701,0.00999701,0.0100208
4,315.337,3.22453,2.18734,1.00775,0.30133,0.10001,0.07898,0.0286,2.90556,2.11802,1.0358,0.00999863,0.00999863,0.00999863
5,391.7,3.08114,2.06432,0.98787,0.29088,0.11192,0.08843,0.03051,2.95226,2.3055,1.02266,0.00999756,0.00999756,0.00999756
6,466.269,3.01889,1.96143,0.97415,0.3296,0.12926,0.11628,0.04131,2.79645,2.01123,1.0041,0.00999618,0.00999618,0.00999618
7,543.568,2.95795,1.89456,0.96442,0.33641,0.13006,0.12451,0.04641,2.73806,1.93164,1.00683,0.0099945,0.0099945,0.0099945
8,618.173,2.91235,1.84652,0.9618,0.3379,0.14556,0.13282,0.04931,2.65979,1.90408,0.98326,0.00999252,0.00999252,0.00999252
9,689.698,2.89384,1.8167,0.95455,0.33808,0.15605,0.14395,0.0545,2.66843,1.89115,0.98399,0.00999023,0.00999023,0.00999023
10,764.008,2.8664,1.78701,0.94987,0.34753,0.15641,0.15362,0.05789,2.68199,1.93866,0.98423,0.00998764,0.00998764,0.00998764
11,838.62,2.83771,1.75239,0.94812,0.32309,0.16699,0.14977,0.05445,2.6067,1.88157,0.97203,0.00998474,0.00998474,0.00998474
12,912.674,2.81667,1.72538,0.94411,0.23186,0.17628,0.165,0.06093,2.59957,1.7938,0.97458,0.00998154,0.00998154,0.00998154
13,986.434,2.78495,1.69523,0.94278,0.38344,0.18578,0.18709,0.0718,2.55109,1.69015,0.96654,0.00997803,0.00997803,0.00997803
14,1063.02,2.77543,1.66827,0.93496,0.38327,0.18717,0.18276,0.06941,2.5482,1.67829,0.96854,0.00997422,0.00997422,0.00997422
15,1135.92,2.77722,1.65848,0.93604,0.37211,0.18843,0.18198,0.06816,2.54575,1.70524,0.96436,0.00997011,0.00997011,0.00997011
16,1210.36,2.74889,1.61577,0.93445,0.3879,0.19616,0.19319,0.07381,2.51572,1.65348,0.96072,0.00996569,0.00996569,0.00996569
17,1283.41,2.73865,1.61921,0.93266,0.25649,0.19389,0.18612,0.0692,2.4987,1.61788,0.95875,0.00996097,0.00996097,0.00996097
18,1360.91,2.73135,1.60019,0.92884,0.3739,0.19579,0.18839,0.07189,2.51782,1.6325,0.9646,0.00995594,0.00995594,0.00995594
19,1435.67,2.73528,1.59358,0.92807,0.37213,0.20097,0.1933,0.07278,2.49031,1.64055,0.95686,0.00995062,0.00995062,0.00995062
20,1509.7,2.70552,1.58309,0.92804,0.4023,0.20286,0.20189,0.07579,2.47419,1.59808,0.95763,0.00994499,0.00994499,0.00994499
21,1582.54,2.70866,1.56822,0.9236,0.39967,0.20753,0.20666,0.07972,2.46828,1.59372,0.95131,0.00993906,0.00993906,0.00993906
22,1658.3,2.69344,1.56771,0.92671,0.39481,0.20756,0.20827,0.07996,2.45447,1.56941,0.95337,0.00993282,0.00993282,0.00993282
23,1731.59,2.68315,1.54885,0.92846,0.39875,0.2071,0.21042,0.08072,2.45319,1.55566,0.95361,0.00992629,0.00992629,0.00992629
24,1804.8,2.68871,1.5594,0.92834,0.3829,0.21913,0.21584,0.08517,2.43209,1.56057,0.95071,0.00991946,0.00991946,0.00991946
25,1877.9,2.6846,1.53545,0.92354,0.39562,0.22088,0.21775,0.08486,2.43755,1.5342,0.95036,0.00991232,0.00991232,0.00991232
26,1952.44,2.65668,1.52253,0.92508,0.53642,0.21353,0.28587,0.09533,2.43518,1.52578,0.94966,0.00990489,0.00990489,0.00990489
27,2028.38,2.67845,1.52089,0.92033,0.53115,0.21128,0.21591,0.08538,2.43286,1.53021,0.9474,0.00989715,0.00989715,0.00989715
28,2102.65,2.65976,1.51143,0.91963,0.53351,0.21305,0.22485,0.08391,2.42526,1.5212,0.94576,0.00988912,0.00988912,0.00988912
29,2176.64,2.64945,1.49844,0.91998,0.52523,0.21756,0.22036,0.08475,2.42353,1.52352,0.94496,0.00988079,0.00988079,0.00988079
30,2251.93,2.6533,1.48863,0.91436,0.65703,0.2226,0.22576,0.0872,2.41558,1.51689,0.94511,0.00987216,0.00987216,0.00987216
31,2328.5,2.645,1.49362,0.91749,0.62395,0.22101,0.22439,0.08849,2.4186,1.50558,0.94416,0.00986323,0.00986323,0.00986323
32,2403.4,2.64627,1.49435,0.91709,0.65169,0.2236,0.22392,0.08728,2.40587,1.50256,0.94152,0.00985401,0.00985401,0.00985401
33,2479.02,2.6325,1.50223,0.92083,0.7865,0.22066,0.2291,0.09052,2.40412,1.47379,0.94364,0.00984449,0.00984449,0.00984449
