epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.0056,4.27467,4.28614,3.0254,0.00538,0.01885,0.00305,0.00088,3.572,3.80957,2.39452,0.00332801,0.00332801,0.0700479
2,172.388,3.15764,3.16754,1.94295,0.36075,0.01309,0.01086,0.00376,3.11621,2.93558,1.92095,0.00666124,0.00666124,0.0400478
3,265.021,2.6985,2.74185,1.66434,0.46486,0.03722,0.02849,0.01211,2.48763,2.66496,1.60474,0.00999406,0.00999406,0.0100473
4,348.771,2.50773,2.49989,1.54877,0.38284,0.05933,0.03725,0.01614,2.33418,2.25745,1.52158,0.00999863,0.00999863,0.00999863
5,430.992,2.383,2.32988,1.47444,0.28745,0.0632,0.0498,0.02268,2.23997,2.07227,1.44981,0.00999756,0.00999756,0.00999756
6,513.929,2.3144,2.20379,1.4295,0.33526,0.07722,0.05568,0.026,2.14746,1.97261,1.38694,0.00999618,0.00999618,0.00999618
7,596.613,2.25382,2.11728,1.40539,0.45792,0.08882,0.06605,0.03093,2.11425,1.95298,1.37888,0.0099945,0.0099945,0.0099945
8,681.782,2.21836,2.03212,1.37094,0.47522,0.09887,0.07678,0.0354,2.06514,1.84772,1.35697,0.00999252,0.00999252,0.00999252
9,763.977,2.18858,1.99271,1.35897,0.30136,0.1081,0.08509,0.03935,2.04283,1.79407,1.33396,0.00999023,0.00999023,0.00999023
10,844.748,2.16322,1.95166,1.34512,0.48624,0.1103,0.08581,0.04004,2.01367,1.88518,1.31298,0.00998764,0.00998764,0.00998764
11,927.965,2.13316,1.89811,1.33181,0.57982,0.12155,0.09674,0.04513,2.00384,1.73035,1.30435,0.00998474,0.00998474,0.00998474
12,1008.22,2.11238,1.85898,1.31495,0.4454,0.13372,0.10924,0.05152,1.97439,1.69792,1.2945,0.00998154,0.00998154,0.00998154
13,1090.8,2.09937,1.82602,1.30612,0.58981,0.13201,0.10987,0.05008,2.03387,1.7125,1.29604,0.00997803,0.00997803,0.00997803
14,1169.91,2.07777,1.80454,1.29894,0.50973,0.13527,0.11061,0.05117,2.01023,1.66394,1.28952,0.00997422,0.00997422,0.00997422
15,1251.01,2.068,1.78721,1.29322,0.44855,0.15496,0.11766,0.05477,1.97055,1.62907,1.27945,0.00997011,0.00997011,0.00997011
16,1330.23,2.05459,1.76567,1.28368,0.44618,0.16661,0.12719,0.06084,1.91547,1.62103,1.27364,0.00996569,0.00996569,0.00996569
17,1408.37,2.04842,1.76043,1.27952,0.44907,0.14866,0.12207,0.05568,1.97346,1.64691,1.26008,0.00996097,0.00996097,0.00996097
18,1489.02,2.03346,1.73967,1.26626,0.53616,0.17072,0.13676,0.0655,1.92319,1.60251,1.2549,0.00995594,0.00995594,0.00995594
19,1571.56,2.02822,1.71743,1.25896,0.56416,0.16031,0.137,0.06662,1.91291,1.60275,1.24232,0.00995062,0.00995062,0.00995062
20,1650.56,2.02235,1.70838,1.25867,0.45546,0.16596,0.13649,0.06556,1.90875,1.61495,1.23089,0.00994499,0.00994499,0.00994499
21,1733.41,2.02094,1.70147,1.24754,0.36628,0.19081,0.14726,0.07048,1.89981,1.55136,1.23317,0.00993906,0.00993906,0.00993906
22,1820.36,2.00234,1.67404,1.23972,0.51228,0.17368,0.14908,0.07152,1.88573,1.64819,1.22571,0.00993282,0.00993282,0.00993282
23,1902.57,1.9989,1.67253,1.2392,0.45726,0.17938,0.15129,0.07312,1.86921,1.55013,1.21636,0.00992629,0.00992629,0.00992629
24,1985.86,1.99186,1.66184,1.23085,0.44789,0.1747,0.14978,0.07079,1.87951,1.54673,1.21533,0.00991946,0.00991946,0.00991946
25,2070.98,1.99204,1.64936,1.22359,0.48601,0.1762,0.15259,0.07508,1.86747,1.5476,1.21385,0.00991232,0.00991232,0.00991232
26,2151.86,1.98112,1.64667,1.22342,0.48815,0.17639,0.15538,0.07505,1.86208,1.50167,1.20585,0.00990489,0.00990489,0.00990489
27,2230.49,1.97956,1.62527,1.20914,0.43688,0.18764,0.15873,0.07891,1.83817,1.49564,1.20129,0.00989715,0.00989715,0.00989715
28,2313.96,1.96908,1.61564,1.21333,0.41398,0.19552,0.16491,0.07819,1.85342,1.49451,1.19915,0.00988912,0.00988912,0.00988912
29,2394.35,1.96295,1.59741,1.20866,0.57917,0.17372,0.16331,0.07948,1.85076,1.48424,1.19613,0.00988079,0.00988079,0.00988079
30,2474.17,1.96391,1.60702,1.20653,0.39951,0.17157,0.15448,0.07394,1.85178,1.48065,1.19868,0.00987216,0.00987216,0.00987216
31,2552.79,1.95421,1.58984,1.20407,0.49704,0.17511,0.16589,0.08011,1.82857,1.47748,1.19208,0.00986323,0.00986323,0.00986323
32,2633.44,1.94869,1.58065,1.19145,0.48003,0.18728,0.16715,0.08267,1.84287,1.46788,1.18372,0.00985401,0.00985401,0.00985401
33,2713.02,1.94113,1.56716,1.19307,0.42531,0.1919,0.16914,0.08256,1.83583,1.48331,1.18628,0.00984449,0.00984449,0.00984449
34,2796.69,1.94367,1.5721,1.19434,0.43298,0.18445,0.17046,0.08299,1.82262,1.43599,1.18174,0.00983467,0.00983467,0.00983467
35,2875.6,1.93969,1.56512,1.19319,0.35011,0.1928,0.17221,0.08465,1.82452,1.46407,1.18148,0.00982456,0.00982456,0.00982456
36,2954.09,1.9276,1.55213,1.18635,0.36663,0.18846,0.17592,0.08608,1.80766,1.44586,1.17786,0.00981415,0.00981415,0.00981415
37,3035.45,1.91676,1.54183,1.18326,0.35127,0.19066,0.173,0.08359,1.82695,1.43579,1.18162,0.00980345,0.00980345,0.00980345
38,3114.39,1.92441,1.54439,1.18092,0.3672,0.20309,0.17413,0.08533,1.83116,1.44149,1.17991,0.00979246,0.00979246,0.00979246
39,3191.3,1.92545,1.53947,1.18006,0.3544,0.20216,0.17379,0.08416,1.814,1.42701,1.17283,0.00978118,0.00978118,0.00978118
40,3269.35,1.92574,1.5359,1.17928,0.38409,0.19601,0.1797,0.0892,1.81854,1.41254,1.17143,0.0097696,0.0097696,0.0097696
41,3349.04,1.91044,1.51801,1.17333,0.34585,0.20924,0.18219,0.08923,1.80651,1.40908,1.16539,0.00975773,0.00975773,0.00975773
42,3426.74,1.91137,1.51516,1.17425,0.4667,0.1917,0.18584,0.09018,1.80046,1.41374,1.16717,0.00974557,0.00974557,0.00974557
43,3506.46,1.91256,1.52136,1.17451,0.3705,0.21187,0.18005,0.08808,1.80449,1.39509,1.16619,0.00973312,0.00973312,0.00973312
44,3587.33,1.905,1.50045,1.16683,0.37329,0.20354,0.17813,0.08886,1.79983,1.40921,1.15674,0.00972039,0.00972039,0.00972039
45,3666.95,1.9086,1.50975,1.16665,0.48368,0.19083,0.18433,0.092,1.80259,1.39314,1.15854,0.00970736,0.00970736,0.00970736
46,3747.17,1.90333,1.49799,1.1627,0.41577,0.19573,0.18645,0.09403,1.79035,1.39789,1.15566,0.00969405,0.00969405,0.00969405
47,3829.14,1.89258,1.48681,1.16104,0.40476,0.19309,0.17983,0.08937,1.79004,1.38458,1.15796,0.00968045,0.00968045,0.00968045
48,3910.81,1.89517,1.47697,1.15768,0.45756,0.20141,0.18598,0.09086,1.79388,1.37719,1.1543,0.00966656,0.00966656,0.00966656
49,3994.93,1.89668,1.48383,1.1584,0.37461,0.21573,0.19081,0.0939,1.7896,1.37227,1.15601,0.00965239,0.00965239,0.00965239
50,4071.76,1.87119,1.46804,1.15483,0.40089,0.21416,0.19773,0.0998,1.78022,1.35456,1.15175,0.00963794,0.00963794,0.00963794
51,4152.53,1.89108,1.47483,1.15513,0.37904,0.21469,0.19583,0.09808,1.7881,1.36245,1.15262,0.0096232,0.0096232,0.0096232
52,4228.42,1.88278,1.46667,1.15313,0.42663,0.21173,0.19583,0.09603,1.78038,1.35907,1.14708,0.00960819,0.00960819,0.00960819
53,4305.41,1.87628,1.45476,1.15038,0.4222,0.2096,0.19633,0.09826,1.77445,1.36238,1.14319,0.00959289,0.00959289,0.00959289
54,4379.71,1.86951,1.45626,1.1525,0.38327,0.22245,0.20078,0.10075,1.76852,1.34891,1.14287,0.00957731,0.00957731,0.00957731
55,4457.95,1.8711,1.45678,1.14883,0.37349,0.22061,0.19695,0.09773,1.77684,1.34457,1.14581,0.00956145,0.00956145,0.00956145
56,4537.26,1.8853,1.45381,1.145,0.42102,0.21806,0.19909,0.09836,1.77164,1.35351,1.14191,0.00954531,0.00954531,0.00954531
57,4613.88,1.86309,1.45154,1.14696,0.37178,0.2284,0.20178,0.10062,1.76382,1.34522,1.13687,0.00952889,0.00952889,0.00952889
58,4693.1,1.87259,1.44802,1.1436,0.40259,0.23227,0.20279,0.10129,1.76785,1.33156,1.13731,0.0095122,0.0095122,0.0095122
59,4776.53,1.86703,1.44166,1.14072,0.41865,0.22519,0.20145,0.10025,1.77357,1.34168,1.1355,0.00949524,0.00949524,0.00949524
60,4855.07,1.86243,1.44615,1.14086,0.34927,0.2117,0.20257,0.1019,1.76156,1.32498,1.12898,0.009478,0.009478,0.009478
61,4939.25,1.86577,1.44324,1.13288,0.42062,0.21541,0.20404,0.10268,1.76458,1.32763,1.12962,0.00946048,0.00946048,0.00946048
62,5021.09,1.85482,1.42678,1.13033,0.41725,0.22116,0.20676,0.10325,1.7544,1.31849,1.12703,0.0094427,0.0094427,0.0094427
63,5102.39,1.86209,1.43072,1.13402,0.31751,0.22805,0.20335,0.10226,1.75702,1.32354,1.12653,0.00942464,0.00942464,0.00942464
64,5181.36,1.85231,1.42429,1.1344,0.41968,0.22234,0.20795,0.10494,1.75397,1.31889,1.12493,0.00940631,0.00940631,0.00940631
65,5262.63,1.85855,1.42464,1.12922,0.38068,0.23299,0.20761,0.10417,1.75693,1.31387,1.12353,0.00938772,0.00938772,0.00938772
66,5341.86,1.85118,1.4201,1.12377,0.39246,0.23019,0.21216,0.10629,1.74945,1.31292,1.12239,0.00936886,0.00936886,0.00936886
67,5417.45,1.85222,1.41222,1.12484,0.33986,0.23375,0.2108,0.10634,1.74671,1.30523,1.11898,0.00934973,0.00934973,0.00934973
68,5497.7,1.85343,1.4249,1.12771,0.39779,0.22463,0.20828,0.10514,1.75163,1.30394,1.12006,0.00933033,0.00933033,0.00933033
69,5578.15,1.84965,1.4138,1.12597,0.45293,0.21598,0.21388,0.10731,1.74333,1.30862,1.11861,0.00931067,0.00931067,0.00931067
70,5661.87,1.84246,1.40197,1.12299,0.40893,0.22374,0.21278,0.10662,1.75047,1.29781,1.12056,0.00929075,0.00929075,0.00929075
71,5746.1,1.84948,1.41175,1.12362,0.35944,0.22784,0.21385,0.10696,1.75109,1.29858,1.11691,0.00927057,0.00927057,0.00927057
72,5821.18,1.83796,1.40227,1.11983,0.41959,0.23116,0.21376,0.10687,1.7501,1.30291,1.11577,0.00925013,0.00925013,0.00925013
73,5899.57,1.83041,1.39592,1.11768,0.39963,0.23005,0.21303,0.10703,1.74556,1.29521,1.11601,0.00922942,0.00922942,0.00922942
74,5979.57,1.8402,1.39169,1.11449,0.31549,0.24337,0.21334,0.10768,1.74133,1.29736,1.11353,0.00920846,0.00920846,0.00920846
75,6057.72,1.83273,1.39979,1.12101,0.33482,0.23303,0.21905,0.10995,1.74024,1.28701,1.10934,0.00918725,0.00918725,0.00918725
76,6139.64,1.83264,1.3917,1.11377,0.42341,0.23681,0.22038,0.11142,1.73841,1.28421,1.10985,0.00916577,0.00916577,0.00916577
77,6216.84,1.83715,1.39411,1.1142,0.43525,0.22828,0.21845,0.10951,1.7425,1.2919,1.10955,0.00914405,0.00914405,0.00914405
78,6296.41,1.83679,1.38979,1.11209,0.42612,0.23806,0.22423,0.11273,1.73514,1.27678,1.10757,0.00912207,0.00912207,0.00912207
79,6373.38,1.82918,1.38517,1.11063,0.40831,0.23685,0.2214,0.11103,1.73806,1.27912,1.10588,0.00909984,0.00909984,0.00909984
80,6454.1,1.83302,1.38778,1.11107,0.41955,0.23314,0.21716,0.10956,1.7367,1.28537,1.10383,0.00907736,0.00907736,0.00907736
81,6532.13,1.82402,1.38563,1.10672,0.41432,0.23551,0.21826,0.11013,1.73767,1.28296,1.10181,0.00905463,0.00905463,0.00905463
82,6614.52,1.82099,1.3683,1.10643,0.39077,0.23385,0.22722,0.11397,1.73204,1.27421,1.10041,0.00903166,0.00903166,0.00903166
83,6696.41,1.8298,1.37203,1.10506,0.3738,0.24189,0.22517,0.1132,1.7319,1.27228,1.10287,0.00900844,0.00900844,0.00900844
84,6777.2,1.825,1.37537,1.10333,0.40492,0.24426,0.22507,0.11346,1.73598,1.27235,1.10214,0.00898497,0.00898497,0.00898497
85,6858.03,1.82977,1.37451,1.10369,0.34899,0.23752,0.22444,0.11437,1.73073,1.27622,1.09964,0.00896127,0.00896127,0.00896127
86,6934.91,1.8301,1.38268,1.10293,0.47176,0.22921,0.23162,0.11768,1.72745,1.26866,1.09602,0.00893732,0.00893732,0.00893732
87,7014.25,1.82456,1.37259,1.10331,0.37589,0.23039,0.23055,0.11552,1.73115,1.26677,1.09746,0.00891313,0.00891313,0.00891313
88,7094.26,1.82363,1.3738,1.10224,0.42444,0.24622,0.23056,0.11569,1.72618,1.26232,1.09557,0.0088887,0.0088887,0.0088887
89,7170.52,1.81425,1.36662,1.10329,0.36594,0.24144,0.22886,0.11652,1.72317,1.2653,1.09442,0.00886404,0.00886404,0.00886404
90,7250.65,1.82784,1.37512,1.10176,0.36017,0.24315,0.22855,0.11591,1.72445,1.26419,1.09393,0.00883914,0.00883914,0.00883914
91,7331.86,1.80702,1.35409,1.09732,0.35563,0.25281,0.23282,0.1178,1.72606,1.25796,1.09378,0.00881401,0.00881401,0.00881401
92,7411.14,1.81086,1.35782,1.09908,0.37754,0.24869,0.2349,0.11921,1.72273,1.2559,1.09231,0.00878864,0.00878864,0.00878864
93,7490.04,1.81327,1.3565,1.09321,0.37134,0.25584,0.23852,0.11904,1.72213,1.25471,1.08982,0.00876305,0.00876305,0.00876305
94,7566.56,1.81058,1.35389,1.09588,0.3957,0.23756,0.23446,0.11772,1.72243,1.25179,1.09067,0.00873723,0.00873723,0.00873723
95,7642.54,1.80551,1.35095,1.09315,0.36555,0.2482,0.23299,0.11754,1.71977,1.25284,1.0905,0.00871117,0.00871117,0.00871117
96,7722.85,1.80029,1.34064,1.09515,0.35581,0.26287,0.23571,0.11852,1.71993,1.25401,1.08963,0.0086849,0.0086849,0.0086849
97,7800.99,1.81791,1.35145,1.09216,0.34822,0.25012,0.23447,0.11838,1.72231,1.24947,1.08782,0.00865839,0.00865839,0.00865839
98,7880.8,1.80404,1.34876,1.09212,0.37496,0.24913,0.23567,0.12046,1.71801,1.24985,1.08692,0.00863167,0.00863167,0.00863167
99,7961.63,1.81376,1.34346,1.08911,0.38205,0.2437,0.23814,0.12026,1.72006,1.24682,1.08696,0.00860473,0.00860473,0.00860473
100,8040.55,1.80474,1.34547,1.08998,0.36891,0.25504,0.23703,0.12036,1.71748,1.2435,1.08729,0.00857756,0.00857756,0.00857756
101,8121.02,1.79941,1.34198,1.09244,0.36311,0.2482,0.23403,0.11933,1.71508,1.2435,1.08563,0.00855018,0.00855018,0.00855018
102,8198.67,1.80497,1.34394,1.09233,0.44631,0.2528,0.23732,0.12021,1.71532,1.2412,1.08461,0.00852258,0.00852258,0.00852258
103,8278.96,1.79533,1.33591,1.08945,0.38017,0.25075,0.23674,0.11948,1.71491,1.24359,1.08452,0.00849477,0.00849477,0.00849477
104,8357.42,1.78088,1.3245,1.08852,0.37887,0.26158,0.23824,0.12055,1.71361,1.24103,1.08251,0.00846674,0.00846674,0.00846674
105,8437.39,1.794,1.33669,1.09122,0.3616,0.26146,0.23997,0.12192,1.7119,1.23673,1.08274,0.00843851,0.00843851,0.00843851
106,8512.52,1.79125,1.32871,1.089,0.37325,0.25301,0.23699,0.12092,1.71208,1.23608,1.08219,0.00841006,0.00841006,0.00841006
107,8587.79,1.79411,1.33623,1.08706,0.36309,0.2423,0.2365,0.12114,1.71239,1.23552,1.08246,0.00838141,0.00838141,0.00838141
108,8669.84,1.79695,1.33678,1.08695,0.39581,0.25276,0.239,0.12232,1.71021,1.23287,1.08179,0.00835255,0.00835255,0.00835255
109,8749.89,1.79136,1.32976,1.08501,0.38088,0.25332,0.23906,0.12174,1.71259,1.23407,1.08219,0.00832349,0.00832349,0.00832349
110,8828.44,1.78605,1.3228,1.08406,0.39635,0.25407,0.24163,0.12244,1.71244,1.23419,1.08155,0.00829423,0.00829423,0.00829423
111,8907.59,1.79364,1.32023,1.08323,0.39606,0.25283,0.24225,0.12195,1.7124,1.23203,1.08114,0.00826477,0.00826477,0.00826477
112,8986.23,1.78714,1.32481,1.08593,0.37691,0.25944,0.24213,0.12206,1.71246,1.22946,1.08029,0.00823511,0.00823511,0.00823511
113,9063.9,1.779,1.31911,1.08518,0.38675,0.25111,0.24327,0.12316,1.70951,1.22608,1.07994,0.00820525,0.00820525,0.00820525
114,9143.55,1.79463,1.3254,1.08391,0.39777,0.25399,0.2462,0.12443,1.70936,1.22757,1.07992,0.0081752,0.0081752,0.0081752
115,9222.98,1.79745,1.32992,1.08568,0.39402,0.25677,0.24638,0.12477,1.70926,1.22773,1.08009,0.00814495,0.00814495,0.00814495
116,9299.48,1.78292,1.31508,1.08196,0.39613,0.24902,0.24565,0.12503,1.71066,1.22934,1.07926,0.00811452,0.00811452,0.00811452
