epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.293,4.81071,4.97919,3.7201,0.00224,0.00253,0.00067,0.00016,4.13467,3.95265,3.04523,0.00332801,0.00332801,0.0700479
2,262.12,3.43761,3.41481,2.30873,0.36386,0.02774,0.01866,0.0073,2.86777,2.89771,1.79077,0.00666124,0.00666124,0.0400478
3,400.994,2.66409,2.64905,1.69232,0.64663,0.03197,0.03636,0.01496,2.39856,2.55219,1.59678,0.00999406,0.00999406,0.0100473
4,521.163,2.42829,2.39738,1.54313,0.3879,0.06796,0.0439,0.02008,2.20175,2.20603,1.50685,0.00999863,0.00999863,0.00999863
5,642.184,2.28078,2.21234,1.45819,0.52584,0.06276,0.05262,0.02502,2.15366,1.99368,1.42946,0.00999756,0.00999756,0.00999756
6,768.878,2.20805,2.08727,1.40947,0.45695,0.08246,0.06198,0.02935,2.1057,1.9073,1.38371,0.00999618,0.00999618,0.00999618
7,890.357,2.14725,1.98631,1.38707,0.47971,0.10033,0.08155,0.03962,2.00595,1.78477,1.36572,0.0099945,0.0099945,0.0099945
8,1014.07,2.11075,1.89785,1.3499,0.49823,0.10894,0.0907,0.04424,1.96389,1.74671,1.33542,0.00999252,0.00999252,0.00999252
9,1135.65,2.08292,1.84951,1.33984,0.42194,0.11913,0.09628,0.04592,1.97245,1.7571,1.33251,0.00999023,0.00999023,0.00999023
10,1256.42,2.05571,1.8038,1.32684,0.43859,0.1296,0.10877,0.05143,1.92981,1.70454,1.30856,0.00998764,0.00998764,0.00998764
11,1378.32,2.02573,1.74128,1.31368,0.42782,0.12767,0.10698,0.0515,1.92687,1.6949,1.30858,0.00998474,0.00998474,0.00998474
12,1498.98,2.0044,1.6958,1.29748,0.52891,0.14487,0.1264,0.06106,1.8859,1.55768,1.2976,0.00998154,0.00998154,0.00998154
13,1620.57,1.98798,1.65966,1.2906,0.60643,0.14555,0.1273,0.06036,1.931,1.54284,1.30369,0.00997803,0.00997803,0.00997803
