epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.82,4.34336,4.42031,3.11857,0.00774,0.00872,0.00257,0.00072,3.68575,4.38416,2.45194,0.00332801,0.00332801,0.0700479
2,222.504,3.17421,3.16583,1.9771,0.11175,0.0291,0.01554,0.00566,2.88774,3.3118,1.76263,0.00666124,0.00666124,0.0400478
3,324.285,2.64895,2.64324,1.64462,0.47312,0.04181,0.03118,0.01233,2.40365,2.42414,1.58843,0.00999406,0.00999406,0.0100473
4,417.89,2.45799,2.4072,1.5246,0.46599,0.05804,0.04087,0.01743,2.2738,2.1558,1.49923,0.00999863,0.00999863,0.00999863
5,511.015,2.32507,2.24685,1.44488,0.48148,0.06378,0.05019,0.02276,2.16585,1.99019,1.396,0.00999756,0.00999756,0.00999756
6,606.374,2.26012,2.12875,1.40008,0.44223,0.08468,0.0636,0.02997,2.0877,1.88591,1.36422,0.00999618,0.00999618,0.00999618
7,697.79,2.20222,2.03471,1.37731,0.55269,0.09719,0.07716,0.03618,2.05194,1.81007,1.34621,0.0099945,0.0099945,0.0099945
8,794.02,2.16443,1.94862,1.34318,0.46298,0.10047,0.07732,0.03643,2.01418,1.88048,1.33901,0.00999252,0.00999252,0.00999252
9,887.497,2.13742,1.91213,1.33296,0.43279,0.11807,0.09606,0.04394,2.02187,1.77477,1.32308,0.00999023,0.00999023,0.00999023
10,980.665,2.11267,1.86686,1.32011,0.50712,0.12095,0.10611,0.04919,1.96225,1.71546,1.29526,0.00998764,0.00998764,0.00998764
11,1075.1,2.08311,1.81638,1.30809,0.46151,0.15138,0.11996,0.05578,1.95588,1.61944,1.28718,0.00998474,0.00998474,0.00998474
12,1165.1,2.05727,1.76855,1.28972,0.46601,0.14283,0.12366,0.05885,1.94404,1.59125,1.28215,0.00998154,0.00998154,0.00998154
13,1259.51,2.04508,1.73908,1.28299,0.49969,0.1535,0.12542,0.05743,1.97959,1.64293,1.2859,0.00997803,0.00997803,0.00997803
14,1350.7,2.02399,1.71458,1.27722,0.43891,0.15088,0.12326,0.05809,1.95076,1.60482,1.26549,0.00997422,0.00997422,0.00997422
