epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.295,4.94054,5.07798,2.95535,0.08631,0.00478,0.00105,0.00025,4.05579,3.88255,1.95303,0.00332801,0.00332801,0.0700479
2,124.581,3.5806,3.0241,1.56888,0.01809,0.03283,0.01273,0.00397,3.30832,2.85153,1.36611,0.00666124,0.00666124,0.0400478
3,177.958,2.96825,2.40909,1.28131,0.71681,0.03093,0.02945,0.01132,2.72454,2.37535,1.24076,0.00999406,0.00999406,0.0100473
4,230.985,2.70961,2.15795,1.18737,0.41038,0.06321,0.04366,0.01777,2.4746,1.99681,1.16069,0.00999863,0.00999863,0.00999863
5,283.646,2.54318,1.98664,1.13236,0.35859,0.07511,0.05622,0.02443,2.37246,1.78579,1.10989,0.00999756,0.00999756,0.00999756
6,335.747,2.46551,1.87766,1.10065,0.44131,0.0947,0.08138,0.03644,2.25057,1.66837,1.06901,0.00999618,0.00999618,0.00999618
7,387.862,2.38941,1.78388,1.08814,0.42117,0.11032,0.08757,0.03852,2.21539,1.61633,1.06051,0.0099945,0.0099945,0.0099945
8,438.633,2.35266,1.7234,1.06595,0.42242,0.12659,0.09246,0.03995,2.1654,1.6035,1.03466,0.00999252,0.00999252,0.00999252
9,490.071,2.31218,1.67672,1.0548,0.35425,0.14647,0.10907,0.04893,2.13839,1.52405,1.03221,0.00999023,0.00999023,0.00999023
10,542.206,2.27771,1.6464,1.04768,0.35114,0.13638,0.10779,0.04639,2.13307,1.52127,1.02061,0.00998764,0.00998764,0.00998764
11,593.602,2.23933,1.59534,1.03991,0.53417,0.14158,0.11949,0.05327,2.09038,1.46856,1.01558,0.00998474,0.00998474,0.00998474
12,645.656,2.217,1.55891,1.02912,0.48193,0.14086,0.12075,0.05545,2.11297,1.44552,1.01558,0.00998154,0.00998154,0.00998154
13,697.453,2.20016,1.53354,1.02393,0.49425,0.1494,0.12965,0.05589,2.10929,1.40887,1.00951,0.00997803,0.00997803,0.00997803
14,750.325,2.16612,1.50838,1.0196,0.55409,0.15958,0.13375,0.0599,2.04045,1.38539,1.0039,0.00997422,0.00997422,0.00997422
15,802.693,2.1454,1.48934,1.02001,0.48553,0.18384,0.14446,0.06648,2.0035,1.36958,0.99594,0.00997011,0.00997011,0.00997011
16,854.786,2.13429,1.46745,1.01322,0.40151,0.16837,0.14892,0.06875,1.9929,1.33732,0.9932,0.00996569,0.00996569,0.00996569
17,906.343,2.11699,1.45313,1.01023,0.37385,0.17753,0.14171,0.06327,1.97998,1.33848,0.98799,0.00996097,0.00996097,0.00996097
18,958.095,2.10356,1.43603,1.00827,0.46067,0.16268,0.14559,0.06612,1.99664,1.37638,0.98739,0.00995594,0.00995594,0.00995594
19,1009.65,2.09128,1.41583,1.00142,0.35391,0.17682,0.15257,0.06952,1.98166,1.37096,0.98314,0.00995062,0.00995062,0.00995062
20,1060.21,2.07852,1.40505,1.00548,0.54439,0.16725,0.15318,0.07116,1.97951,1.3178,0.98304,0.00994499,0.00994499,0.00994499
21,1112.64,2.07245,1.39073,0.99619,0.43919,0.19101,0.16138,0.07256,1.95041,1.30151,0.98167,0.00993906,0.00993906,0.00993906
22,1164.77,2.05338,1.37178,0.9937,0.35557,0.18658,0.15652,0.07176,1.95558,1.30456,0.9771,0.00993282,0.00993282,0.00993282
23,1216.76,2.0514,1.36828,0.9956,0.37345,0.19175,0.16476,0.07671,1.92954,1.27026,0.97502,0.00992629,0.00992629,0.00992629
24,1267.21,2.03847,1.36014,0.99076,0.42447,0.17964,0.16601,0.07655,1.94501,1.26412,0.97466,0.00991946,0.00991946,0.00991946
25,1317.61,2.04339,1.35593,0.98387,0.42581,0.18588,0.17397,0.08261,1.91892,1.27068,0.96985,0.00991232,0.00991232,0.00991232
26,1368.04,2.02847,1.34216,0.98888,0.37888,0.19651,0.17221,0.0808,1.90437,1.22425,0.96696,0.00990489,0.00990489,0.00990489
27,1420.01,2.03295,1.33163,0.97892,0.33026,0.20074,0.18242,0.08771,1.89702,1.23012,0.9631,0.00989715,0.00989715,0.00989715
28,1471.84,2.01861,1.32509,0.98342,0.33551,0.19292,0.18506,0.08824,1.89067,1.202,0.96651,0.00988912,0.00988912,0.00988912
29,1522.84,2.01113,1.30823,0.98063,0.31282,0.18385,0.17278,0.08129,1.92292,1.24095,0.96729,0.00988079,0.00988079,0.00988079
30,1574.98,2.00868,1.31453,0.97785,0.39749,0.19784,0.18033,0.08492,1.8826,1.20722,0.96184,0.00987216,0.00987216,0.00987216
31,1625.79,1.99386,1.30008,0.97908,0.39615,0.18814,0.18016,0.08662,1.8844,1.20393,0.96125,0.00986323,0.00986323,0.00986323
32,1677.57,1.99376,1.29388,0.97092,0.38635,0.20609,0.18556,0.08693,1.887,1.20505,0.96124,0.00985401,0.00985401,0.00985401
33,1729.61,1.98161,1.28875,0.97346,0.40365,0.20543,0.1846,0.08753,1.86917,1.22068,0.95982,0.00984449,0.00984449,0.00984449
34,1781.94,1.98671,1.28839,0.97302,0.37255,0.22886,0.19463,0.09221,1.86024,1.17986,0.95641,0.00983467,0.00983467,0.00983467
35,1833.85,1.97701,1.27896,0.9734,0.27213,0.22225,0.19186,0.09117,1.86147,1.19045,0.95531,0.00982456,0.00982456,0.00982456
36,1885.06,1.96639,1.2705,0.96875,0.29876,0.22523,0.19226,0.09282,1.84343,1.19049,0.95308,0.00981415,0.00981415,0.00981415
37,1936.83,1.95411,1.26729,0.96859,0.34617,0.2079,0.1953,0.09198,1.86565,1.18278,0.95651,0.00980345,0.00980345,0.00980345
38,1988.78,1.96412,1.26759,0.96788,0.3639,0.21144,0.20378,0.09843,1.85003,1.1611,0.95169,0.00979246,0.00979246,0.00979246
39,2040.63,1.96464,1.26403,0.96747,0.4252,0.21935,0.20225,0.09656,1.8529,1.16974,0.95272,0.00978118,0.00978118,0.00978118
40,2092.74,1.96073,1.25579,0.96655,0.32072,0.23042,0.20272,0.09873,1.8437,1.15316,0.9512,0.0097696,0.0097696,0.0097696
41,2145.11,1.95235,1.25232,0.96506,0.43789,0.20887,0.1933,0.09205,1.85716,1.20537,0.95204,0.00975773,0.00975773,0.00975773
42,2197.33,1.95579,1.2551,0.96319,0.35436,0.2352,0.20462,0.09809,1.84518,1.16664,0.95007,0.00974557,0.00974557,0.00974557
43,2249.59,1.95747,1.26446,0.96373,0.30724,0.23853,0.2031,0.09772,1.85024,1.16444,0.95053,0.00973312,0.00973312,0.00973312
44,2300.81,1.96345,1.25697,0.9605,0.34217,0.21929,0.20554,0.09885,1.85364,1.1822,0.94654,0.00972039,0.00972039,0.00972039
45,2351.1,1.9678,1.26642,0.95928,0.34629,0.22412,0.2083,0.09996,1.84864,1.15921,0.94585,0.00970736,0.00970736,0.00970736
46,2402.97,1.96427,1.26373,0.95515,0.35524,0.22152,0.20508,0.10019,1.84856,1.17206,0.94393,0.00969405,0.00969405,0.00969405
47,2455.08,1.94839,1.25741,0.95418,0.33131,0.23679,0.21534,0.10258,1.84281,1.15919,0.9414,0.00968045,0.00968045,0.00968045
48,2507.03,1.95031,1.25254,0.94761,0.32537,0.23131,0.20909,0.10201,1.83761,1.1736,0.93881,0.00966656,0.00966656,0.00966656
49,2559.61,1.94994,1.26002,0.94813,0.3411,0.23649,0.21542,0.10467,1.83139,1.15112,0.93911,0.00965239,0.00965239,0.00965239
50,2610.82,1.91948,1.24433,0.94679,0.36497,0.22156,0.21191,0.10511,1.82151,1.14968,0.93631,0.00963794,0.00963794,0.00963794
51,2663.09,1.94328,1.25321,0.94506,0.35232,0.23293,0.21544,0.10324,1.8273,1.1458,0.93624,0.0096232,0.0096232,0.0096232
52,2715.24,1.93258,1.24199,0.94547,0.34755,0.23951,0.21244,0.10156,1.81671,1.14305,0.93366,0.00960819,0.00960819,0.00960819
53,2766.84,1.91889,1.23279,0.94255,0.33943,0.24334,0.21382,0.10174,1.8107,1.14361,0.93159,0.00959289,0.00959289,0.00959289
54,2819.39,1.91076,1.22927,0.94325,0.3387,0.23452,0.21209,0.10194,1.79834,1.13108,0.9313,0.00957731,0.00957731,0.00957731
55,2870.66,1.90635,1.22867,0.94187,0.36923,0.24574,0.22123,0.10805,1.79966,1.11924,0.93221,0.00956145,0.00956145,0.00956145
56,2922.14,1.92369,1.22521,0.93798,0.34791,0.25419,0.21985,0.10513,1.80072,1.13552,0.93057,0.00954531,0.00954531,0.00954531
57,2974.04,1.89919,1.22283,0.94247,0.3434,0.24246,0.21951,0.10556,1.79363,1.12511,0.92916,0.00952889,0.00952889,0.00952889
58,3026.27,1.90669,1.2188,0.93948,0.36139,0.23324,0.22074,0.10741,1.78449,1.11782,0.92636,0.0095122,0.0095122,0.0095122
59,3078.77,1.89968,1.21458,0.93786,0.34198,0.24897,0.2235,0.10867,1.79285,1.12129,0.92807,0.00949524,0.00949524,0.00949524
60,3130.85,1.8965,1.21793,0.93999,0.35526,0.2517,0.22213,0.10878,1.78656,1.11986,0.92702,0.009478,0.009478,0.009478
61,3182.93,1.90528,1.21864,0.93383,0.34,0.25349,0.22648,0.10989,1.78379,1.11257,0.92637,0.00946048,0.00946048,0.00946048
62,3234.92,1.89022,1.20615,0.93332,0.35421,0.25103,0.22521,0.10926,1.7805,1.1066,0.92629,0.0094427,0.0094427,0.0094427
63,3286.91,1.89087,1.20688,0.93455,0.35001,0.25835,0.22613,0.10962,1.77735,1.11144,0.92547,0.00942464,0.00942464,0.00942464
64,3338.17,1.88538,1.20054,0.93609,0.3825,0.24936,0.23561,0.11639,1.78009,1.10916,0.92491,0.00940631,0.00940631,0.00940631
65,3390.48,1.89076,1.20389,0.93389,0.35052,0.24685,0.22653,0.11033,1.77945,1.10792,0.92462,0.00938772,0.00938772,0.00938772
66,3442.5,1.88753,1.20284,0.93039,0.37044,0.25925,0.23383,0.11287,1.76925,1.10299,0.92346,0.00936886,0.00936886,0.00936886
67,3493.6,1.88627,1.19362,0.93097,0.36586,0.26018,0.23021,0.11338,1.76794,1.09915,0.92284,0.00934973,0.00934973,0.00934973
68,3543.81,1.88206,1.1984,0.93399,0.39234,0.24112,0.23106,0.11448,1.76615,1.09497,0.9226,0.00933033,0.00933033,0.00933033
69,3595.94,1.87868,1.18885,0.93201,0.35486,0.2523,0.23261,0.1151,1.76196,1.09324,0.92135,0.00931067,0.00931067,0.00931067
70,3647.79,1.86968,1.18275,0.93047,0.35958,0.25574,0.23569,0.1175,1.76317,1.09019,0.9227,0.00929075,0.00929075,0.00929075
71,3700.1,1.87721,1.18903,0.93303,0.35231,0.25349,0.22786,0.11219,1.76438,1.09591,0.92233,0.00927057,0.00927057,0.00927057
72,3752.24,1.86145,1.17926,0.92863,0.36499,0.25024,0.23627,0.11508,1.76317,1.09231,0.92208,0.00925013,0.00925013,0.00925013
73,3804.02,1.85565,1.1778,0.92848,0.39145,0.25252,0.23816,0.11471,1.76073,1.08827,0.9207,0.00922942,0.00922942,0.00922942
74,3855.93,1.87127,1.17908,0.92675,0.36133,0.26137,0.24507,0.11984,1.75813,1.08859,0.92081,0.00920846,0.00920846,0.00920846
75,3907.93,1.84806,1.17074,0.93162,0.40324,0.25795,0.2423,0.11834,1.75009,1.07768,0.91915,0.00918725,0.00918725,0.00918725
76,3959.43,1.85822,1.17195,0.92788,0.40412,0.24791,0.23939,0.11686,1.74707,1.07349,0.91847,0.00916577,0.00916577,0.00916577
77,4011.03,1.8617,1.17408,0.92702,0.44629,0.2486,0.23829,0.11835,1.7507,1.07987,0.91948,0.00914405,0.00914405,0.00914405
78,4063.47,1.86277,1.17373,0.92556,0.37718,0.2724,0.2421,0.11876,1.74312,1.07562,0.91823,0.00912207,0.00912207,0.00912207
79,4115.46,1.85124,1.16398,0.92723,0.36838,0.25712,0.23526,0.11638,1.74872,1.08157,0.91814,0.00909984,0.00909984,0.00909984
80,4166.63,1.8544,1.16658,0.92688,0.408,0.2524,0.24355,0.11988,1.74066,1.07557,0.91774,0.00907736,0.00907736,0.00907736
81,4218.18,1.85003,1.16698,0.92233,0.40653,0.25962,0.24291,0.11922,1.74509,1.07395,0.91813,0.00905463,0.00905463,0.00905463
82,4268.71,1.8459,1.15279,0.92439,0.35975,0.27138,0.2422,0.12049,1.74463,1.07319,0.91771,0.00903166,0.00903166,0.00903166
83,4320.54,1.84995,1.15574,0.92221,0.37085,0.27442,0.24472,0.12065,1.73956,1.06797,0.91747,0.00900844,0.00900844,0.00900844
84,4372.91,1.8522,1.16024,0.922,0.39716,0.26172,0.24379,0.12031,1.73956,1.06957,0.9171,0.00898497,0.00898497,0.00898497
85,4425.28,1.85728,1.16214,0.92372,0.38463,0.2619,0.24669,0.12116,1.74235,1.0696,0.9166,0.00896127,0.00896127,0.00896127
86,4477.11,1.85174,1.16268,0.9249,0.38654,0.27175,0.24498,0.12163,1.73586,1.06234,0.91582,0.00893732,0.00893732,0.00893732
87,4529.14,1.84858,1.15265,0.92529,0.39791,0.26707,0.24929,0.12493,1.73652,1.06151,0.91597,0.00891313,0.00891313,0.00891313
88,4580.83,1.84621,1.15956,0.92251,0.38271,0.26529,0.24731,0.12312,1.73304,1.06856,0.9158,0.0088887,0.0088887,0.0088887
89,4632.89,1.83393,1.14725,0.9242,0.39335,0.26182,0.24524,0.12289,1.73525,1.06508,0.91591,0.00886404,0.00886404,0.00886404
90,4685.05,1.85087,1.16089,0.92385,0.40646,0.27228,0.25337,0.1249,1.7337,1.05862,0.91524,0.00883914,0.00883914,0.00883914
91,4736.65,1.82908,1.14003,0.92103,0.39073,0.27136,0.24984,0.12327,1.7342,1.05708,0.91544,0.00881401,0.00881401,0.00881401
92,4787.07,1.82908,1.14326,0.9219,0.3711,0.2702,0.24772,0.12363,1.7307,1.05637,0.91524,0.00878864,0.00878864,0.00878864
93,4839.32,1.83857,1.14778,0.91868,0.37889,0.26751,0.24736,0.1233,1.72849,1.05777,0.91392,0.00876305,0.00876305,0.00876305
94,4889.73,1.82954,1.13931,0.92123,0.42,0.26023,0.24883,0.12312,1.73076,1.05471,0.91485,0.00873723,0.00873723,0.00873723
95,4941.57,1.82475,1.13664,0.91826,0.41488,0.26437,0.25116,0.12497,1.72392,1.05011,0.91389,0.00871117,0.00871117,0.00871117
96,4992.67,1.81355,1.12433,0.92119,0.4026,0.26456,0.25196,0.12465,1.72679,1.05344,0.91369,0.0086849,0.0086849,0.0086849
97,5043.08,1.83506,1.13461,0.9194,0.37787,0.27077,0.25017,0.12477,1.72242,1.0529,0.91301,0.00865839,0.00865839,0.00865839
98,5095.63,1.82156,1.13571,0.91806,0.38306,0.27186,0.25006,0.12389,1.72523,1.05523,0.91264,0.00863167,0.00863167,0.00863167
99,5148.19,1.83838,1.13441,0.91817,0.39432,0.27214,0.25441,0.12665,1.72374,1.04889,0.91273,0.00860473,0.00860473,0.00860473
100,5200.15,1.82689,1.13612,0.91766,0.38144,0.27753,0.25538,0.12701,1.72394,1.04474,0.91255,0.00857756,0.00857756,0.00857756
101,5252.42,1.81235,1.12729,0.91742,0.39566,0.27267,0.25635,0.12763,1.71921,1.04403,0.9119,0.00855018,0.00855018,0.00855018
102,5304.54,1.82204,1.12804,0.92021,0.39824,0.27847,0.25853,0.12899,1.71705,1.04256,0.91175,0.00852258,0.00852258,0.00852258
103,5356.6,1.81134,1.11989,0.9189,0.39903,0.27978,0.25765,0.12884,1.71635,1.04192,0.91153,0.00849477,0.00849477,0.00849477
104,5408.54,1.78904,1.10871,0.91802,0.40815,0.27715,0.25974,0.13035,1.71458,1.04073,0.91115,0.00846674,0.00846674,0.00846674
105,5460.33,1.80922,1.12683,0.92044,0.43533,0.26533,0.25692,0.12871,1.71366,1.03895,0.91117,0.00843851,0.00843851,0.00843851
106,5511.94,1.80603,1.11922,0.91861,0.41333,0.26868,0.25791,0.12923,1.71546,1.03717,0.91099,0.00841006,0.00841006,0.00841006
107,5564.48,1.81072,1.12891,0.91761,0.38943,0.28118,0.26106,0.13021,1.7166,1.03676,0.91118,0.00838141,0.00838141,0.00838141
108,5617.03,1.80943,1.12412,0.91647,0.381,0.28484,0.26187,0.131,1.71355,1.03665,0.91129,0.00835255,0.00835255,0.00835255
109,5669.94,1.80882,1.11594,0.91593,0.3714,0.28074,0.26,0.13037,1.71418,1.03429,0.91081,0.00832349,0.00832349,0.00832349
110,5722.22,1.80239,1.11198,0.91581,0.39468,0.28246,0.26241,0.13142,1.71142,1.03265,0.91031,0.00829423,0.00829423,0.00829423
111,5774.18,1.81135,1.11208,0.91466,0.36754,0.28891,0.26094,0.13108,1.71102,1.03361,0.90997,0.00826477,0.00826477,0.00826477
112,5825.1,1.79137,1.11089,0.91585,0.38091,0.28547,0.258,0.12904,1.71141,1.03354,0.90971,0.00823511,0.00823511,0.00823511
