epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7978,4.84286,4.93799,2.82878,0.00429,0.00804,0.00171,0.00043,3.97906,6.04875,1.84401,0.00332801,0.00332801,0.0700479
2,109.076,3.47335,2.90063,1.50076,0.45529,0.02221,0.0176,0.00613,3.18774,2.79741,1.32273,0.00666124,0.00666124,0.0400478
3,157.657,2.96817,2.40249,1.27433,0.47031,0.0297,0.02765,0.01059,2.75245,2.27963,1.2702,0.00999406,0.00999406,0.0100473
4,206.96,2.73017,2.16941,1.18695,0.39361,0.06949,0.04115,0.01681,2.49872,2.33034,1.1494,0.00999863,0.00999863,0.00999863
5,254.906,2.55982,1.99881,1.13592,0.37867,0.07669,0.06029,0.02528,2.36693,1.76606,1.10263,0.00999756,0.00999756,0.00999756
6,302.633,2.4894,1.90419,1.10607,0.43433,0.09587,0.07736,0.03351,2.28963,1.70889,1.06807,0.00999618,0.00999618,0.00999618
7,350.483,2.41127,1.80989,1.09123,0.45065,0.10521,0.09019,0.03931,2.23815,1.64602,1.05795,0.0099945,0.0099945,0.0099945
8,398.149,2.37598,1.75088,1.06833,0.40331,0.11126,0.08043,0.03464,2.2311,1.70462,1.04775,0.00999252,0.00999252,0.00999252
9,446.472,2.33687,1.70935,1.05948,0.45865,0.13351,0.10294,0.04546,2.18464,1.66321,1.03931,0.00999023,0.00999023,0.00999023
10,493.919,2.3104,1.67976,1.05392,0.56579,0.11713,0.1021,0.04443,2.17822,1.62564,1.03055,0.00998764,0.00998764,0.00998764
11,558.755,2.27412,1.62894,1.04687,0.54715,0.137,0.1176,0.05275,2.15219,1.51911,1.02111,0.00998474,0.00998474,0.00998474
12,623.492,2.24662,1.59851,1.03597,0.4544,0.12952,0.11379,0.05236,2.11705,1.49871,1.01755,0.00998154,0.00998154,0.00998154
13,670.918,2.23517,1.57519,1.03177,0.45895,0.14177,0.1129,0.04797,2.15878,1.50903,1.01911,0.00997803,0.00997803,0.00997803
14,718.296,2.20037,1.54983,1.026,0.45945,0.16062,0.13121,0.0576,2.06802,1.40007,1.00543,0.00997422,0.00997422,0.00997422
15,765.749,2.18325,1.53136,1.02625,0.39099,0.18082,0.13321,0.05884,2.02586,1.39398,0.99848,0.00997011,0.00997011,0.00997011
16,813.153,2.17126,1.50944,1.02075,0.42014,0.16661,0.14302,0.06584,2.02202,1.37594,0.99737,0.00996569,0.00996569,0.00996569
17,861.336,2.1524,1.50088,1.0183,0.4776,0.14815,0.12875,0.05599,2.05867,1.38324,0.99672,0.00996097,0.00996097,0.00996097
18,909.06,2.1373,1.47519,1.01483,0.4802,0.15635,0.14324,0.06525,2.00916,1.36167,0.99258,0.00995594,0.00995594,0.00995594
19,957.498,2.13282,1.45561,1.01017,0.39938,0.17595,0.14361,0.06509,2.03609,1.44537,0.99158,0.00995062,0.00995062,0.00995062
20,1005.11,2.11661,1.44256,1.01428,0.37277,0.16769,0.14707,0.06764,2.02265,1.36992,0.98862,0.00994499,0.00994499,0.00994499
21,1053.17,2.11732,1.43463,1.0042,0.34835,0.19479,0.14794,0.06576,1.97897,1.31483,0.98264,0.00993906,0.00993906,0.00993906
22,1100.57,2.09295,1.4164,1.00218,0.35915,0.1811,0.15208,0.06977,1.97499,1.35608,0.98225,0.00993282,0.00993282,0.00993282
23,1148.14,2.09162,1.41163,1.00404,0.50243,0.16778,0.15313,0.07124,1.96577,1.34,0.98053,0.00992629,0.00992629,0.00992629
24,1195.32,2.07589,1.40322,0.99923,0.43835,0.17148,0.16237,0.07372,1.95419,1.27791,0.97602,0.00991946,0.00991946,0.00991946
25,1243.29,2.08838,1.39848,0.99356,0.40957,0.16975,0.15416,0.0704,1.95346,1.34044,0.97895,0.00991232,0.00991232,0.00991232
26,1291.19,2.06956,1.38753,0.99688,0.37056,0.18598,0.16464,0.07596,1.94293,1.2646,0.97361,0.00990489,0.00990489,0.00990489
27,1338.86,2.08191,1.38036,0.98736,0.33201,0.18513,0.16666,0.07745,1.93625,1.27864,0.97064,0.00989715,0.00989715,0.00989715
28,1386.71,2.07721,1.38367,0.99182,0.42611,0.19462,0.17936,0.08468,1.94511,1.26704,0.9734,0.00988912,0.00988912,0.00988912
29,1434.3,2.07642,1.37496,0.98915,0.4152,0.17871,0.169,0.07859,1.96324,1.2863,0.97029,0.00988079,0.00988079,0.00988079
30,1482.08,2.07704,1.38889,0.98551,0.37306,0.20516,0.17441,0.08128,1.95714,1.32923,0.96803,0.00987216,0.00987216,0.00987216
31,1529.61,2.06762,1.37906,0.98515,0.45568,0.1808,0.17465,0.08259,1.93692,1.26102,0.96548,0.00986323,0.00986323,0.00986323
