epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.653,2.72691,5.20883,0.00632,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00332801,0.00332801,0.0700479
2,311.716,2.31743,3.79099,0.0043,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00666124,0.00666124,0.0400478
3,436.696,2.10093,3.36406,0.00366,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00999406,0.00999406,0.0100473
4,558.018,1.99314,3.15353,0.00335,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00999863,0.00999863,0.00999863
5,684.411,1.922,3.00384,0.00314,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00999756,0.00999756,0.00999756
6,820.469,1.88457,2.86935,0.003,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00999618,0.00999618,0.00999618
7,941.049,1.84875,2.74798,0.00294,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.0099945,0.0099945,0.0099945
8,1073.57,1.82887,2.64173,0.00283,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00999252,0.00999252,0.00999252
9,1197.06,1.80932,2.59442,0.00278,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00999023,0.00999023,0.00999023
10,1329.07,1.79436,2.53729,0.00275,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00998764,0.00998764,0.00998764
11,1455.12,1.77098,2.47045,0.0027,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00998474,0.00998474,0.00998474
12,1581.72,1.76235,2.42616,0.00265,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00998154,0.00998154,0.00998154
13,1712.6,1.7478,2.37327,0.00263,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00997803,0.00997803,0.00997803
14,1840.72,1.7304,2.34523,0.00261,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00997422,0.00997422,0.00997422
15,1966.71,1.72055,2.31593,0.00259,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00997011,0.00997011,0.00997011
16,2089.8,1.70915,2.28093,0.00257,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00996569,0.00996569,0.00996569
17,2207.98,1.70361,2.26617,0.00256,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00996097,0.00996097,0.00996097
18,2336.18,1.69752,2.23394,0.00254,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00995594,0.00995594,0.00995594
19,2463.57,1.69222,2.20102,0.00251,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00995062,0.00995062,0.00995062
20,2584.72,1.68572,2.19156,0.00253,0.17612,0.00677,0.00342,0.00096,2.4601,3.91267,0.00693,0.00994499,0.00994499,0.00994499
21,2739.17,1.68188,2.16699,0.00248,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00993906,0.00993906,0.00993906
22,2874.52,1.67498,2.13658,0.00249,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00993282,0.00993282,0.00993282
23,3001.88,1.67074,2.1323,0.00249,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00992629,0.00992629,0.00992629
24,3131.48,1.67004,2.12259,0.00247,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00991946,0.00991946,0.00991946
25,3263.69,1.6647,2.1052,0.00244,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00991232,0.00991232,0.00991232
26,3392.35,1.66104,2.09538,0.00245,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00990489,0.00990489,0.00990489
27,3518.53,1.6653,2.06279,0.00239,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00989715,0.00989715,0.00989715
28,3652.59,1.65399,2.05749,0.00242,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00988912,0.00988912,0.00988912
29,3778.75,1.64788,2.02454,0.00241,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00988079,0.00988079,0.00988079
30,3903.49,1.64738,2.04206,0.0024,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00987216,0.00987216,0.00987216
31,4022.21,1.63746,2.01666,0.00239,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00986323,0.00986323,0.00986323
32,4155.21,1.64326,2.0132,0.00236,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00985401,0.00985401,0.00985401
33,4279.08,1.63218,1.99493,0.00236,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00984449,0.00984449,0.00984449
34,4415.66,1.6327,2.0001,0.00237,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00983467,0.00983467,0.00983467
35,4535.8,1.63056,1.98609,0.00237,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00982456,0.00982456,0.00982456
36,4663.91,1.62563,1.96744,0.00234,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00981415,0.00981415,0.00981415
37,4779.53,1.6214,1.96248,0.00234,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00980345,0.00980345,0.00980345
38,4906.09,1.62497,1.95376,0.00233,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00979246,0.00979246,0.00979246
39,5031.39,1.62213,1.9589,0.00233,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.00978118,0.00978118,0.00978118
40,5152.42,1.62031,1.93334,0.00233,0.55706,0.16346,0.14173,0.06751,1.56133,2.00239,0.00329,0.0097696,0.0097696,0.0097696
41,5291.67,1.61503,1.93187,0.00232,0.4018,0.19625,0.19163,0.09379,1.49949,1.81705,0.00308,0.00975773,0.00975773,0.00975773
42,5415.81,1.61689,1.92344,0.00232,0.4018,0.19625,0.19163,0.09379,1.49949,1.81705,0.00308,0.00974557,0.00974557,0.00974557
