epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.3947,1.82647,2.41211,0.00283,0.34912,0.1531,0.1474,0.06949,1.621,1.90899,0.00344,0.00332801,0.00332801,0.0700479
2,182.55,1.65042,1.90556,0.00238,0.37217,0.18748,0.18073,0.0856,1.56486,1.79699,0.00323,0.00666124,0.00666124,0.0400478
3,268.826,1.60354,1.80993,0.00229,0.4272,0.21281,0.20118,0.09724,1.52946,1.73635,0.00316,0.00999406,0.00999406,0.0100473
4,354.147,1.58441,1.78712,0.00226,0.42193,0.21467,0.21089,0.10352,1.52098,1.69332,0.00315,0.00999863,0.00999863,0.00999863
5,440.264,1.57518,1.77529,0.00224,0.41897,0.22955,0.2157,0.10677,1.5196,1.69935,0.00315,0.00999756,0.00999756,0.00999756
6,526.057,1.57764,1.752,0.00221,0.41418,0.23871,0.2194,0.11009,1.51665,1.67682,0.00309,0.00999618,0.00999618,0.00999618
7,612.272,1.56693,1.73557,0.00222,0.42093,0.2348,0.22747,0.11226,1.50404,1.67376,0.00309,0.0099945,0.0099945,0.0099945
8,700.637,1.56276,1.71186,0.00217,0.35128,0.22951,0.22338,0.11067,1.49761,1.67083,0.00306,0.00999252,0.00999252,0.00999252
9,787.452,1.56312,1.7231,0.00218,0.33863,0.22932,0.22309,0.11063,1.50629,1.69508,0.00308,0.00999023,0.00999023,0.00999023
10,877.124,1.561,1.72464,0.00217,0.40302,0.22355,0.21378,0.10718,1.49663,1.68918,0.00307,0.00998764,0.00998764,0.00998764
11,965.906,1.55405,1.71889,0.00217,0.38853,0.22995,0.22842,0.11175,1.50696,1.67994,0.00308,0.00998474,0.00998474,0.00998474
12,1054.4,1.55553,1.71269,0.00215,0.34697,0.24031,0.22349,0.10913,1.50127,1.65837,0.00309,0.00998154,0.00998154,0.00998154
13,1143.74,1.54741,1.69288,0.00214,0.43841,0.23934,0.23854,0.11858,1.49175,1.63257,0.00304,0.00997803,0.00997803,0.00997803
14,1232.19,1.54524,1.69568,0.00216,0.44588,0.22694,0.2259,0.11011,1.50318,1.6477,0.00309,0.00997422,0.00997422,0.00997422
15,1321.01,1.54544,1.70415,0.00217,0.41256,0.23983,0.21712,0.10432,1.49477,1.70442,0.00304,0.00997011,0.00997011,0.00997011
16,1409.29,1.53959,1.68528,0.00215,0.36835,0.23971,0.23507,0.11764,1.48649,1.6401,0.00305,0.00996569,0.00996569,0.00996569
17,1497.69,1.53952,1.69344,0.00216,0.41163,0.23769,0.22905,0.11146,1.51062,1.67949,0.00306,0.00996097,0.00996097,0.00996097
18,1585.37,1.53788,1.69546,0.00215,0.39379,0.25249,0.22952,0.11481,1.48425,1.67039,0.00301,0.00995594,0.00995594,0.00995594
19,1671,1.53783,1.68542,0.00214,0.47977,0.23664,0.23103,0.11337,1.48912,1.66107,0.00302,0.00995062,0.00995062,0.00995062
