epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.928,3.52429,4.98238,3.79465,0.00119,0.00218,0.00036,9e-05,3.13043,4.71109,3.35694,0.00332801,0.00332801,0.0700479
2,278.058,2.61299,3.4922,2.46684,0.62193,0.02369,0.0187,0.00684,2.06641,3.2071,1.86801,0.00666124,0.00666124,0.0400478
3,430.788,1.95569,2.65258,1.72317,0.72177,0.0313,0.02999,0.01248,1.81177,3.01103,1.62378,0.00999406,0.00999406,0.0100473
4,553.517,1.76037,2.37964,1.5543,0.31714,0.06313,0.04456,0.02017,1.59477,2.09555,1.52013,0.00999863,0.00999863,0.00999863
5,677.314,1.64779,2.1924,1.46258,0.42314,0.07617,0.05684,0.02616,1.52226,1.92386,1.4248,0.00999756,0.00999756,0.00999756
6,806.045,1.59471,2.06551,1.41187,0.47628,0.08893,0.07359,0.03489,1.47845,1.82546,1.37377,0.00999618,0.00999618,0.00999618
7,929.333,1.5491,1.96942,1.38743,0.49407,0.10289,0.08705,0.04115,1.45134,1.79032,1.35936,0.0099945,0.0099945,0.0099945
8,1059.53,1.52523,1.88117,1.35274,0.49095,0.1271,0.09666,0.04521,1.41937,1.77908,1.33866,0.00999252,0.00999252,0.00999252
9,1184.47,1.50384,1.82249,1.34109,0.4442,0.1323,0.11205,0.054,1.41306,1.72562,1.33122,0.00999023,0.00999023,0.00999023
10,1307.92,1.48315,1.77668,1.32759,0.45237,0.1345,0.1147,0.05523,1.40152,1.64821,1.31165,0.00998764,0.00998764,0.00998764
11,1427.69,1.46107,1.72508,1.3131,0.4543,0.13647,0.12476,0.06023,1.37701,1.60611,1.30137,0.00998474,0.00998474,0.00998474
12,1550.8,1.44429,1.67869,1.29797,0.54685,0.15305,0.13915,0.06907,1.34039,1.54265,1.28254,0.00998154,0.00998154,0.00998154
13,1674.25,1.43421,1.64527,1.29177,0.5282,0.15064,0.1311,0.06213,1.39342,1.55781,1.30807,0.00997803,0.00997803,0.00997803
14,1797.58,1.41491,1.61897,1.28306,0.54957,0.14799,0.13307,0.06469,1.34874,1.52376,1.28185,0.00997422,0.00997422,0.00997422
15,1921.08,1.40589,1.59547,1.28168,0.54237,0.17317,0.13834,0.06628,1.35214,1.5301,1.28212,0.00997011,0.00997011,0.00997011
16,2041.37,1.39431,1.56652,1.27206,0.55093,0.16895,0.15508,0.07632,1.32772,1.45223,1.26929,0.00996569,0.00996569,0.00996569
17,2161.16,1.38838,1.55329,1.27207,0.3752,0.17779,0.1522,0.07437,1.3207,1.44129,1.26623,0.00996097,0.00996097,0.00996097
18,2282.2,1.37628,1.52901,1.26146,0.45261,0.17496,0.16083,0.0803,1.30551,1.40965,1.25754,0.00995594,0.00995594,0.00995594
19,2402.6,1.37187,1.50262,1.25723,0.50106,0.1623,0.15835,0.07807,1.313,1.43704,1.2573,0.00995062,0.00995062,0.00995062
20,2518.38,1.36681,1.49421,1.26074,0.36307,0.17269,0.16485,0.0815,1.29515,1.38312,1.24918,0.00994499,0.00994499,0.00994499
21,2643.72,1.36369,1.4825,1.24967,0.44034,0.18047,0.17291,0.0857,1.29457,1.4109,1.24983,0.00993906,0.00993906,0.00993906
22,2770.67,1.34992,1.4522,1.24307,0.44813,0.1884,0.17689,0.08756,1.27798,1.36457,1.24107,0.00993282,0.00993282,0.00993282
23,2895.17,1.34701,1.45017,1.24598,0.33169,0.20145,0.17328,0.08706,1.27538,1.37764,1.23781,0.00992629,0.00992629,0.00992629
24,3018.26,1.34,1.43891,1.23994,0.51656,0.18495,0.17784,0.08744,1.27746,1.35744,1.23889,0.00991946,0.00991946,0.00991946
25,3143.59,1.34208,1.43151,1.23261,0.4923,0.18788,0.18344,0.09117,1.26654,1.35643,1.2325,0.00991232,0.00991232,0.00991232
26,3266.18,1.33108,1.42111,1.23389,0.38253,0.19449,0.18148,0.09064,1.26177,1.32606,1.22835,0.00990489,0.00990489,0.00990489
27,3389.85,1.33015,1.40195,1.21958,0.42144,0.19824,0.18827,0.09398,1.25957,1.32359,1.2297,0.00989715,0.00989715,0.00989715
28,3514.53,1.3262,1.39469,1.22664,0.44569,0.21885,0.19589,0.09824,1.25525,1.28503,1.22774,0.00988912,0.00988912,0.00988912
29,3638.4,1.31878,1.37555,1.22095,0.40738,0.19834,0.19658,0.09843,1.25387,1.29654,1.22233,0.00988079,0.00988079,0.00988079
30,3762.51,1.31821,1.38024,1.22056,0.39425,0.20528,0.19592,0.09825,1.25175,1.28394,1.22685,0.00987216,0.00987216,0.00987216
31,3882.05,1.31211,1.3662,1.21886,0.55843,0.19885,0.19687,0.09772,1.24584,1.29458,1.22263,0.00986323,0.00986323,0.00986323
32,4006.57,1.31112,1.36058,1.20981,0.38939,0.20629,0.19482,0.09811,1.24844,1.28715,1.22166,0.00985401,0.00985401,0.00985401
33,4128.09,1.30183,1.34574,1.20925,0.41399,0.19994,0.19515,0.09773,1.24126,1.28299,1.21745,0.00984449,0.00984449,0.00984449
34,4251.2,1.30398,1.34581,1.21053,0.53054,0.20289,0.20201,0.10171,1.23282,1.24462,1.21057,0.00983467,0.00983467,0.00983467
