epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0677,4.75673,4.71925,2.57777,0.00367,0.01486,0.00201,0.00056,3.90254,7.7239,1.8706,0.00332801,0.00332801,0.0700479
2,98.6537,3.42534,2.85813,1.43021,0.54599,0.02112,0.02106,0.00755,3.00104,2.56433,1.28972,0.00666124,0.00666124,0.0400478
3,141.321,2.93706,2.39154,1.25973,0.72519,0.02875,0.03081,0.01228,2.69064,2.34683,1.21747,0.00999406,0.00999406,0.0100473
4,182.51,2.70677,2.16714,1.18284,0.56751,0.05985,0.04258,0.01754,2.45786,1.9567,1.13288,0.00999863,0.00999863,0.00999863
5,224.601,2.53637,1.99747,1.13164,0.52335,0.07815,0.05582,0.02357,2.38666,1.82255,1.10905,0.00999756,0.00999756,0.00999756
6,266.727,2.46111,1.89052,1.10169,0.46938,0.09181,0.07434,0.03226,2.26515,1.71435,1.06999,0.00999618,0.00999618,0.00999618
7,308.236,2.38189,1.79416,1.08897,0.42066,0.11334,0.08353,0.03688,2.22806,1.62992,1.06133,0.0099945,0.0099945,0.0099945
8,350.051,2.34595,1.73047,1.06607,0.41946,0.11875,0.08944,0.04006,2.15192,1.6011,1.04403,0.00999252,0.00999252,0.00999252
9,391.931,2.30713,1.68728,1.0564,0.4577,0.12817,0.10259,0.04651,2.14137,1.59666,1.03324,0.00999023,0.00999023,0.00999023
10,433.788,2.28091,1.65671,1.0508,0.54342,0.13012,0.10577,0.04753,2.10615,1.59939,1.02133,0.00998764,0.00998764,0.00998764
11,475.806,2.24,1.60933,1.04272,0.6178,0.11755,0.10723,0.05004,2.12154,1.53611,1.01675,0.00998474,0.00998474,0.00998474
12,516.915,2.21752,1.57614,1.03125,0.43625,0.14868,0.12039,0.05507,2.06724,1.44291,1.01024,0.00998154,0.00998154,0.00998154
13,558.049,2.20346,1.54915,1.02662,0.52529,0.13105,0.11206,0.04885,2.1243,1.4738,1.01763,0.00997803,0.00997803,0.00997803
14,599.673,2.17308,1.52699,1.02229,0.44606,0.14721,0.12434,0.05682,2.0539,1.41519,1.0075,0.00997422,0.00997422,0.00997422
15,640.974,2.15065,1.50904,1.02127,0.46371,0.16001,0.12862,0.05922,2.02127,1.3721,0.99965,0.00997011,0.00997011,0.00997011
16,682.367,2.13913,1.4844,1.01469,0.54412,0.16,0.13983,0.06554,2.0001,1.38945,0.99747,0.00996569,0.00996569,0.00996569
17,723.91,2.12574,1.47303,1.0136,0.4601,0.14659,0.12663,0.05766,2.02871,1.4022,0.99198,0.00996097,0.00996097,0.00996097
18,764.82,2.10704,1.45325,1.01,0.4754,0.16444,0.14004,0.06563,1.99218,1.36659,0.98987,0.00995594,0.00995594,0.00995594
19,806.538,2.09857,1.43163,1.00478,0.49718,0.16366,0.14811,0.06759,1.97298,1.37239,0.98462,0.00995062,0.00995062,0.00995062
20,847.864,2.08757,1.41982,1.00929,0.42744,0.17326,0.15032,0.07079,1.9693,1.32942,0.98452,0.00994499,0.00994499,0.00994499
21,889.358,2.07718,1.40802,0.99805,0.42107,0.17016,0.15354,0.07,1.96202,1.30753,0.98257,0.00993906,0.00993906,0.00993906
22,931.245,2.05981,1.38699,0.99594,0.44023,0.16642,0.15477,0.0717,1.95061,1.32278,0.97799,0.00993282,0.00993282,0.00993282
23,972.271,2.05869,1.38612,0.99879,0.40505,0.17802,0.15745,0.07346,1.94412,1.31459,0.97826,0.00992629,0.00992629,0.00992629
24,1014.13,2.04159,1.37572,0.99331,0.35337,0.17678,0.15887,0.07425,1.9518,1.30613,0.97676,0.00991946,0.00991946,0.00991946
25,1055.73,2.05221,1.37028,0.9874,0.34618,0.18946,0.1662,0.07785,1.92005,1.29106,0.97405,0.00991232,0.00991232,0.00991232
26,1097.63,2.03624,1.3617,0.99136,0.35945,0.18684,0.16764,0.07832,1.9113,1.25998,0.97091,0.00990489,0.00990489,0.00990489
27,1139.57,2.03952,1.35099,0.98034,0.40085,0.18899,0.16844,0.07983,1.9118,1.25429,0.96934,0.00989715,0.00989715,0.00989715
28,1180.81,2.03143,1.34596,0.9864,0.39322,0.18303,0.17325,0.08199,1.89664,1.23762,0.96667,0.00988912,0.00988912,0.00988912
29,1222.15,2.01943,1.32632,0.98285,0.27526,0.19325,0.17105,0.08094,1.90881,1.24215,0.96667,0.00988079,0.00988079,0.00988079
30,1263.45,2.01808,1.33607,0.98085,0.35584,0.20385,0.17468,0.08187,1.89775,1.23205,0.96686,0.00987216,0.00987216,0.00987216
31,1303.98,2.00554,1.32113,0.98211,0.37593,0.18372,0.17426,0.08286,1.89024,1.22567,0.96327,0.00986323,0.00986323,0.00986323
32,1344.83,2.00317,1.31422,0.97335,0.37348,0.2066,0.1818,0.08669,1.88544,1.23171,0.96157,0.00985401,0.00985401,0.00985401
33,1385.39,1.99247,1.30444,0.97593,0.37903,0.2007,0.18071,0.0846,1.87796,1.22082,0.96282,0.00984449,0.00984449,0.00984449
34,1426.17,1.99521,1.30666,0.97555,0.40638,0.19146,0.17904,0.08473,1.86743,1.19992,0.95977,0.00983467,0.00983467,0.00983467
35,1466.48,1.98333,1.29817,0.97535,0.38122,0.20756,0.18554,0.08887,1.87386,1.215,0.96188,0.00982456,0.00982456,0.00982456
36,1507.18,1.97953,1.29377,0.9713,0.39794,0.20697,0.18552,0.08669,1.8562,1.22787,0.95747,0.00981415,0.00981415,0.00981415
37,1548.5,1.96748,1.28696,0.97169,0.43171,0.19067,0.18451,0.08731,1.87451,1.2156,0.95796,0.00980345,0.00980345,0.00980345
38,1589,1.98104,1.28916,0.97185,0.30742,0.20073,0.18698,0.08927,1.87082,1.20897,0.95629,0.00979246,0.00979246,0.00979246
39,1629.59,1.98888,1.2963,0.97111,0.38241,0.21489,0.18402,0.08671,1.8625,1.20113,0.9535,0.00978118,0.00978118,0.00978118
40,1671.63,1.9834,1.28883,0.9672,0.31818,0.21274,0.18796,0.08899,1.87464,1.20546,0.95353,0.0097696,0.0097696,0.0097696
41,1712.67,1.97992,1.28898,0.96677,0.3875,0.20154,0.18295,0.08582,1.8651,1.22982,0.95157,0.00975773,0.00975773,0.00975773
42,1754.27,1.98054,1.29217,0.96399,0.40252,0.19188,0.192,0.0918,1.86245,1.21073,0.94876,0.00974557,0.00974557,0.00974557
43,1795.14,1.98173,1.29626,0.96342,0.37044,0.20798,0.18,0.08547,1.87053,1.21418,0.94726,0.00973312,0.00973312,0.00973312
44,1836.44,1.97662,1.29128,0.95868,0.40104,0.21055,0.17526,0.08214,1.85548,1.21749,0.94368,0.00972039,0.00972039,0.00972039
45,1877.51,1.97627,1.29539,0.95725,0.28404,0.223,0.19193,0.09169,1.85218,1.19911,0.94461,0.00970736,0.00970736,0.00970736
46,1918.41,1.97053,1.28659,0.95382,0.3447,0.20778,0.18981,0.09005,1.84918,1.20022,0.94208,0.00969405,0.00969405,0.00969405
47,1959.58,1.95496,1.27887,0.95269,0.31825,0.22933,0.18629,0.08653,1.847,1.18809,0.94191,0.00968045,0.00968045,0.00968045
48,2001.41,1.95785,1.271,0.9479,0.33237,0.21444,0.19346,0.09194,1.84374,1.19189,0.93928,0.00966656,0.00966656,0.00966656
49,2042.21,1.95599,1.27717,0.94772,0.29967,0.22395,0.20317,0.09642,1.83081,1.16655,0.93788,0.00965239,0.00965239,0.00965239
50,2083.54,1.92298,1.25918,0.94778,0.33994,0.22066,0.20115,0.09681,1.82868,1.17583,0.9378,0.00963794,0.00963794,0.00963794
51,2124.34,1.94788,1.27087,0.9456,0.36038,0.21385,0.20154,0.09585,1.8278,1.17162,0.93688,0.0096232,0.0096232,0.0096232
52,2165.51,1.94085,1.26351,0.94633,0.34462,0.22981,0.20222,0.09621,1.82839,1.17438,0.93591,0.00960819,0.00960819,0.00960819
53,2206.63,1.93145,1.25114,0.94415,0.40931,0.2275,0.20382,0.09578,1.81478,1.16437,0.93372,0.00959289,0.00959289,0.00959289
54,2247.97,1.92102,1.24664,0.94491,0.31917,0.22734,0.20884,0.10047,1.80683,1.15499,0.93185,0.00957731,0.00957731,0.00957731
55,2289.26,1.91706,1.24641,0.94368,0.34922,0.22249,0.20595,0.10087,1.81209,1.1536,0.93246,0.00956145,0.00956145,0.00956145
56,2330.83,1.93694,1.2446,0.94075,0.33049,0.22993,0.21013,0.10014,1.81902,1.15985,0.93393,0.00954531,0.00954531,0.00954531
57,2372.37,1.91005,1.24059,0.94366,0.32488,0.2158,0.20834,0.10076,1.80684,1.15042,0.93137,0.00952889,0.00952889,0.00952889
58,2414,1.91837,1.2389,0.94171,0.34696,0.20963,0.20813,0.09996,1.80445,1.15103,0.9296,0.0095122,0.0095122,0.0095122
59,2455.65,1.91226,1.23443,0.93898,0.32525,0.22569,0.2084,0.09919,1.80543,1.14669,0.92961,0.00949524,0.00949524,0.00949524
60,2497.12,1.90716,1.23872,0.9435,0.33251,0.22218,0.20635,0.09903,1.80012,1.14045,0.92982,0.009478,0.009478,0.009478
61,2538.39,1.91914,1.24092,0.93732,0.34088,0.22717,0.21018,0.10144,1.79484,1.14215,0.92867,0.00946048,0.00946048,0.00946048
62,2579.78,1.90652,1.2271,0.9365,0.31714,0.23473,0.20983,0.1003,1.79297,1.1342,0.9285,0.0094427,0.0094427,0.0094427
63,2620.85,1.90375,1.22754,0.93679,0.35879,0.23695,0.2191,0.10551,1.79618,1.13901,0.92724,0.00942464,0.00942464,0.00942464
64,2662.07,1.89756,1.22122,0.93853,0.39149,0.21939,0.219,0.10724,1.79435,1.12965,0.92675,0.00940631,0.00940631,0.00940631
65,2703.53,1.90226,1.22007,0.93573,0.35346,0.22164,0.21775,0.10437,1.79321,1.12683,0.92646,0.00938772,0.00938772,0.00938772
66,2744.93,1.90083,1.22443,0.9323,0.35984,0.23029,0.21603,0.10394,1.78999,1.12903,0.92679,0.00936886,0.00936886,0.00936886
67,2785.99,1.8988,1.21184,0.93356,0.345,0.24111,0.21352,0.10343,1.78357,1.12272,0.92499,0.00934973,0.00934973,0.00934973
68,2826.87,1.8976,1.21883,0.93629,0.34283,0.24344,0.21963,0.10638,1.78279,1.12255,0.92538,0.00933033,0.00933033,0.00933033
69,2867.91,1.89066,1.20973,0.93525,0.34803,0.23371,0.22128,0.10782,1.78082,1.12645,0.92565,0.00931067,0.00931067,0.00931067
70,2909.37,1.88443,1.20282,0.93326,0.32658,0.24016,0.21859,0.1075,1.78728,1.12356,0.9256,0.00929075,0.00929075,0.00929075
71,2950.21,1.89006,1.20848,0.93491,0.34038,0.24022,0.21682,0.10513,1.77669,1.11611,0.92499,0.00927057,0.00927057,0.00927057
72,2991.41,1.878,1.19981,0.93192,0.36778,0.2333,0.22323,0.10877,1.77971,1.11895,0.92462,0.00925013,0.00925013,0.00925013
73,3032.68,1.86939,1.19787,0.93035,0.34725,0.24762,0.22172,0.10675,1.78107,1.11635,0.92443,0.00922942,0.00922942,0.00922942
74,3074.48,1.88472,1.1974,0.92942,0.31194,0.26687,0.22737,0.11044,1.77533,1.11204,0.92369,0.00920846,0.00920846,0.00920846
75,3115.65,1.86281,1.1893,0.93513,0.3738,0.24358,0.22729,0.11048,1.77137,1.10553,0.9217,0.00918725,0.00918725,0.00918725
76,3156.64,1.87415,1.19515,0.9309,0.36223,0.23934,0.2256,0.10989,1.77006,1.10546,0.922,0.00916577,0.00916577,0.00916577
77,3196.82,1.87874,1.19165,0.93025,0.40249,0.24715,0.22481,0.11012,1.77361,1.10633,0.9224,0.00914405,0.00914405,0.00914405
78,3237.91,1.882,1.19346,0.92876,0.4098,0.24174,0.22598,0.11058,1.77076,1.10375,0.92188,0.00912207,0.00912207,0.00912207
79,3279.01,1.86643,1.18588,0.92977,0.3797,0.24214,0.22614,0.11048,1.77391,1.10382,0.922,0.00909984,0.00909984,0.00909984
80,3320.36,1.86901,1.18763,0.93017,0.40122,0.23637,0.22517,0.11048,1.7645,1.10417,0.92008,0.00907736,0.00907736,0.00907736
81,3361.97,1.86398,1.18593,0.92517,0.41374,0.2425,0.23105,0.11272,1.77079,1.10406,0.92126,0.00905463,0.00905463,0.00905463
82,3403.51,1.86168,1.17366,0.92664,0.41546,0.23529,0.23244,0.11414,1.76367,1.09913,0.9204,0.00903166,0.00903166,0.00903166
83,3445.06,1.86625,1.17938,0.92535,0.36188,0.26335,0.23303,0.1135,1.76161,1.09658,0.92019,0.00900844,0.00900844,0.00900844
84,3489.33,1.8654,1.17846,0.92452,0.38184,0.24593,0.23106,0.11338,1.76166,1.09133,0.91923,0.00898497,0.00898497,0.00898497
85,3534.62,1.87044,1.1803,0.926,0.38425,0.24409,0.23332,0.11467,1.75883,1.09132,0.91892,0.00896127,0.00896127,0.00896127
86,3580.03,1.86809,1.18446,0.92774,0.42704,0.24435,0.23044,0.11317,1.75918,1.0925,0.91888,0.00893732,0.00893732,0.00893732
87,3624.51,1.86629,1.17456,0.92774,0.35657,0.25868,0.23301,0.11444,1.75874,1.0906,0.91885,0.00891313,0.00891313,0.00891313
88,3669.53,1.85915,1.17814,0.92515,0.41659,0.24935,0.23625,0.11672,1.7553,1.08554,0.9188,0.0088887,0.0088887,0.0088887
89,3715.07,1.84861,1.16905,0.92635,0.39744,0.2545,0.23926,0.117,1.75232,1.08264,0.91849,0.00886404,0.00886404,0.00886404
90,3760.15,1.86542,1.17755,0.92665,0.40148,0.24948,0.23702,0.11606,1.75327,1.08199,0.91761,0.00883914,0.00883914,0.00883914
91,3805.28,1.84146,1.16129,0.92373,0.36918,0.26447,0.23905,0.11586,1.75386,1.08462,0.9184,0.00881401,0.00881401,0.00881401
92,3850.53,1.84537,1.16306,0.92536,0.37418,0.2507,0.23832,0.11657,1.75051,1.08243,0.91744,0.00878864,0.00878864,0.00878864
93,3896.1,1.85494,1.16634,0.92201,0.37392,0.25808,0.23937,0.11645,1.74666,1.0778,0.91648,0.00876305,0.00876305,0.00876305
94,3941.6,1.84675,1.16148,0.9242,0.39777,0.25705,0.24076,0.11882,1.74667,1.08103,0.91615,0.00873723,0.00873723,0.00873723
95,3986.78,1.8399,1.15796,0.92076,0.39038,0.25731,0.23836,0.11808,1.74558,1.07765,0.91633,0.00871117,0.00871117,0.00871117
96,4030.03,1.83033,1.1483,0.92477,0.40027,0.25216,0.2404,0.11751,1.74593,1.07774,0.91604,0.0086849,0.0086849,0.0086849
97,4071.88,1.85016,1.15649,0.92176,0.37129,0.26547,0.24363,0.11923,1.74443,1.08002,0.91595,0.00865839,0.00865839,0.00865839
98,4113.46,1.83834,1.15485,0.92174,0.39762,0.25468,0.23987,0.11825,1.74262,1.07698,0.91502,0.00863167,0.00863167,0.00863167
99,4154.94,1.85289,1.1535,0.92031,0.40082,0.25987,0.24774,0.12158,1.74504,1.07197,0.91602,0.00860473,0.00860473,0.00860473
100,4196.44,1.84116,1.15567,0.92086,0.41015,0.25843,0.24504,0.12061,1.74324,1.07162,0.9151,0.00857756,0.00857756,0.00857756
101,4238.08,1.82767,1.14911,0.92086,0.3773,0.26585,0.24374,0.11916,1.74045,1.06912,0.91499,0.00855018,0.00855018,0.00855018
102,4278.45,1.83748,1.15069,0.92255,0.42354,0.2624,0.2448,0.1202,1.74072,1.06788,0.91507,0.00852258,0.00852258,0.00852258
103,4319.35,1.8258,1.14244,0.92128,0.36381,0.27737,0.24874,0.12256,1.73663,1.06401,0.91417,0.00849477,0.00849477,0.00849477
104,4360.61,1.80383,1.12931,0.92126,0.40134,0.26332,0.24764,0.12155,1.73668,1.06276,0.91439,0.00846674,0.00846674,0.00846674
105,4401.56,1.82438,1.1467,0.92338,0.3687,0.27415,0.24777,0.12176,1.73364,1.0615,0.91362,0.00843851,0.00843851,0.00843851
106,4443.37,1.81755,1.13839,0.9209,0.40856,0.2584,0.246,0.12161,1.73421,1.06059,0.91371,0.00841006,0.00841006,0.00841006
107,4485.51,1.82579,1.14808,0.91997,0.42449,0.25824,0.24728,0.12251,1.73332,1.06053,0.91332,0.00838141,0.00838141,0.00838141
108,4528.82,1.82555,1.14349,0.91887,0.40474,0.26763,0.25178,0.12409,1.72975,1.05772,0.91294,0.00835255,0.00835255,0.00835255
109,4570.04,1.82458,1.1388,0.9182,0.37988,0.27266,0.25111,0.12381,1.73235,1.05781,0.91311,0.00832349,0.00832349,0.00832349
110,4611.47,1.81906,1.13547,0.9184,0.38157,0.26411,0.24754,0.12269,1.73272,1.05903,0.91269,0.00829423,0.00829423,0.00829423
111,4653.08,1.82121,1.12948,0.91658,0.39886,0.26295,0.24803,0.1235,1.73114,1.0573,0.9124,0.00826477,0.00826477,0.00826477
112,4693.55,1.80861,1.13003,0.91861,0.39225,0.26987,0.24844,0.12274,1.73182,1.0566,0.91199,0.00823511,0.00823511,0.00823511
113,4734.82,1.8059,1.12937,0.9196,0.39364,0.26064,0.24941,0.12275,1.72859,1.05466,0.9119,0.00820525,0.00820525,0.00820525
114,4776.1,1.82514,1.13528,0.91784,0.39182,0.26084,0.24862,0.12323,1.72783,1.05135,0.91207,0.0081752,0.0081752,0.0081752
115,4817.19,1.82414,1.13423,0.91731,0.41343,0.25744,0.24855,0.12258,1.72795,1.0517,0.91148,0.00814495,0.00814495,0.00814495
116,4858.45,1.81219,1.12638,0.91568,0.41212,0.25807,0.24886,0.12244,1.72965,1.05183,0.91175,0.00811452,0.00811452,0.00811452
117,4899.28,1.80765,1.12428,0.9167,0.39478,0.26397,0.2496,0.12247,1.72738,1.05291,0.91154,0.00808389,0.00808389,0.00808389
118,4940.23,1.8143,1.13266,0.91591,0.39592,0.25935,0.24868,0.12227,1.72664,1.05128,0.91147,0.00805308,0.00805308,0.00805308
119,4981.53,1.80732,1.1276,0.91713,0.38106,0.26518,0.24918,0.12226,1.72492,1.04969,0.9106,0.00802208,0.00802208,0.00802208
120,5023.21,1.81984,1.12515,0.91572,0.37248,0.26802,0.25062,0.12324,1.72541,1.04943,0.91058,0.0079909,0.0079909,0.0079909
121,5064.68,1.81005,1.12279,0.91464,0.38319,0.27156,0.25173,0.12392,1.72406,1.04741,0.91061,0.00795954,0.00795954,0.00795954
122,5106.12,1.81467,1.12998,0.91374,0.39218,0.27115,0.2511,0.1234,1.7247,1.04557,0.9111,0.007928,0.007928,0.007928
123,5148.38,1.79841,1.11778,0.91517,0.38598,0.27936,0.25311,0.12418,1.72488,1.04481,0.91109,0.00789628,0.00789628,0.00789628
124,5189.2,1.79678,1.11384,0.91685,0.3936,0.27586,0.25121,0.12368,1.72407,1.04343,0.91093,0.00786438,0.00786438,0.00786438
125,5229.98,1.81119,1.11932,0.91378,0.39091,0.27882,0.25294,0.1248,1.72197,1.04215,0.91041,0.00783231,0.00783231,0.00783231
