epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6945,3.45674,4.74281,2.74661,0.00647,0.00922,0.0028,0.00079,2.74651,5.0472,1.80803,0.00332801,0.00332801,0.0700479
2,88.157,2.4579,2.83658,1.47384,0.36577,0.02442,0.01633,0.00523,2.29268,2.63456,1.30847,0.00666124,0.00666124,0.0400478
3,128.129,2.13844,2.40427,1.27436,0.54972,0.02938,0.02965,0.01143,1.94872,2.24534,1.22024,0.00999406,0.00999406,0.0100473
4,166.504,1.97121,2.17652,1.1948,0.33351,0.06378,0.0432,0.01752,1.83447,1.95968,1.18234,0.00999863,0.00999863,0.00999863
5,203.604,1.8558,2.01075,1.14467,0.29565,0.08193,0.05902,0.02477,1.72541,1.79694,1.11501,0.00999756,0.00999756,0.00999756
6,242.473,1.80282,1.91035,1.11487,0.4055,0.09457,0.07305,0.03073,1.6724,1.71191,1.0875,0.00999618,0.00999618,0.00999618
7,280.467,1.74744,1.82164,1.10236,0.39777,0.11824,0.07687,0.03288,1.63705,1.73148,1.07649,0.0099945,0.0099945,0.0099945
8,318.972,1.72255,1.76425,1.08007,0.42396,0.11102,0.08304,0.03596,1.60136,1.86407,1.06765,0.00999252,0.00999252,0.00999252
9,357.59,1.69583,1.72646,1.0692,0.51599,0.13539,0.09999,0.04461,1.57062,1.67361,1.04753,0.00999023,0.00999023,0.00999023
10,396.512,1.67089,1.69482,1.06274,0.61539,0.11746,0.10074,0.04427,1.54837,1.59165,1.03526,0.00998764,0.00998764,0.00998764
11,435.134,1.64309,1.64971,1.05518,0.44978,0.12451,0.10664,0.0472,1.56137,1.56551,1.02993,0.00998474,0.00998474,0.00998474
12,474.286,1.6251,1.61859,1.04527,0.5438,0.13767,0.11873,0.05274,1.51688,1.48794,1.02305,0.00998154,0.00998154,0.00998154
13,513.32,1.61788,1.59415,1.04002,0.53869,0.12994,0.11314,0.04811,1.53932,1.48509,1.02488,0.00997803,0.00997803,0.00997803
14,552.128,1.59238,1.56676,1.03457,0.45081,0.13508,0.11261,0.04903,1.53129,1.48622,1.02047,0.00997422,0.00997422,0.00997422
15,591.44,1.57828,1.54657,1.03423,0.46067,0.16771,0.12712,0.05668,1.47986,1.41394,1.00946,0.00997011,0.00997011,0.00997011
16,629.739,1.57111,1.52657,1.02833,0.5721,0.14921,0.13803,0.06271,1.46499,1.41699,1.01069,0.00996569,0.00996569,0.00996569
17,667.686,1.55908,1.51731,1.02583,0.35134,0.16185,0.11923,0.0518,1.50696,1.45891,1.00978,0.00996097,0.00996097,0.00996097
18,704.959,1.54563,1.49793,1.02242,0.43242,0.16407,0.13432,0.06049,1.4684,1.40064,1.00223,0.00995594,0.00995594,0.00995594
19,743.307,1.54345,1.47922,1.01793,0.42436,0.16949,0.14291,0.063,1.47574,1.39021,0.99969,0.00995062,0.00995062,0.00995062
20,781.657,1.53162,1.46748,1.02114,0.3164,0.17413,0.14466,0.06515,1.45673,1.36969,0.9961,0.00994499,0.00994499,0.00994499
21,819.93,1.52984,1.45699,1.01136,0.36307,0.18401,0.15105,0.06889,1.42869,1.35711,0.99221,0.00993906,0.00993906,0.00993906
22,856.934,1.51703,1.43545,1.00947,0.41844,0.16826,0.14768,0.06718,1.43543,1.38528,0.99229,0.00993282,0.00993282,0.00993282
23,895.488,1.51696,1.43648,1.0129,0.36969,0.18051,0.1554,0.07206,1.42247,1.35883,0.99005,0.00992629,0.00992629,0.00992629
24,932.906,1.50165,1.42402,1.00592,0.38844,0.16878,0.15757,0.07101,1.4208,1.32557,0.98719,0.00991946,0.00991946,0.00991946
25,971.044,1.51073,1.42232,0.99976,0.38121,0.16526,0.1539,0.07084,1.41343,1.36228,0.98488,0.00991232,0.00991232,0.00991232
26,1009.43,1.4992,1.40829,1.00494,0.3286,0.18748,0.15962,0.07249,1.40329,1.30075,0.98186,0.00990489,0.00990489,0.00990489
27,1047.64,1.50446,1.39799,0.99513,0.28765,0.19463,0.16135,0.07418,1.41249,1.29964,0.98198,0.00989715,0.00989715,0.00989715
28,1085.85,1.49252,1.39174,0.9993,0.39503,0.18591,0.17133,0.07966,1.39231,1.26103,0.98168,0.00988912,0.00988912,0.00988912
29,1124.17,1.4891,1.37451,0.99646,0.31761,0.18445,0.16765,0.07686,1.39296,1.29343,0.97844,0.00988079,0.00988079,0.00988079
30,1162.22,1.49085,1.38489,0.99539,0.36726,0.1944,0.1642,0.0748,1.39366,1.28343,0.97805,0.00987216,0.00987216,0.00987216
31,1200.52,1.48317,1.37588,0.99454,0.49491,0.17071,0.1656,0.07772,1.39773,1.31563,0.97488,0.00986323,0.00986323,0.00986323
32,1239.28,1.48401,1.37577,0.98522,0.37014,0.19904,0.17621,0.08197,1.39515,1.29361,0.974,0.00985401,0.00985401,0.00985401
33,1277.58,1.48121,1.37564,0.98751,0.34367,0.19993,0.17049,0.07865,1.40475,1.31477,0.97151,0.00984449,0.00984449,0.00984449
34,1316.34,1.48593,1.38103,0.98436,0.31695,0.19089,0.17273,0.08051,1.38503,1.2866,0.96575,0.00983467,0.00983467,0.00983467
35,1354.36,1.47888,1.37541,0.98344,0.3779,0.20495,0.17551,0.08033,1.3871,1.28442,0.9655,0.00982456,0.00982456,0.00982456
36,1393.5,1.47175,1.37004,0.97673,0.37945,0.19296,0.16827,0.07834,1.37369,1.30096,0.96127,0.00981415,0.00981415,0.00981415
