epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1321,5.46277,6.00114,3.40141,0.00235,0.00194,0.00054,0.00014,4.54716,4.12784,2.42471,0.00332801,0.00332801,0.0700479
2,99.2778,3.65395,3.06926,1.66754,0.53463,0.01936,0.01538,0.00529,3.24748,2.52788,1.33712,0.00666124,0.00666124,0.0400478
3,143.876,3.04285,2.48251,1.31097,0.55355,0.03205,0.02618,0.01049,2.79633,2.29775,1.25188,0.00999406,0.00999406,0.0100473
4,186.154,2.79061,2.23804,1.21244,0.55004,0.05501,0.03382,0.01394,2.60662,2.25781,1.17984,0.00999863,0.00999863,0.00999863
5,228.558,2.60563,2.05808,1.15495,0.34015,0.06736,0.05003,0.0209,2.38914,1.80135,1.11095,0.00999756,0.00999756,0.00999756
6,271.343,2.52552,1.95157,1.12049,0.44661,0.07505,0.05883,0.02569,2.44225,1.78206,1.08748,0.00999618,0.00999618,0.00999618
7,312.96,2.44237,1.85188,1.10594,0.48868,0.09751,0.07493,0.03271,2.27652,1.68121,1.06953,0.0099945,0.0099945,0.0099945
8,356.688,2.40124,1.79034,1.08144,0.38024,0.10884,0.07378,0.03185,2.26438,1.77098,1.05751,0.00999252,0.00999252,0.00999252
9,400.828,2.35411,1.73834,1.06959,0.40021,0.13005,0.0909,0.04073,2.19005,1.61802,1.04383,0.00999023,0.00999023,0.00999023
10,443.091,2.32511,1.71207,1.06377,0.40296,0.13329,0.09455,0.0424,2.16119,1.65348,1.0312,0.00998764,0.00998764,0.00998764
11,486.212,2.28755,1.65936,1.05635,0.42124,0.13518,0.10639,0.04838,2.14528,1.51657,1.02669,0.00998474,0.00998474,0.00998474
12,529.636,2.26107,1.62715,1.04491,0.41988,0.13188,0.10631,0.0481,2.12871,1.50968,1.02495,0.00998154,0.00998154,0.00998154
13,572.523,2.24962,1.60305,1.03965,0.45374,0.13166,0.11069,0.04869,2.15418,1.47006,1.02477,0.00997803,0.00997803,0.00997803
14,615.438,2.21446,1.57727,1.03458,0.51143,0.1232,0.10126,0.04538,2.15278,1.46472,1.02392,0.00997422,0.00997422,0.00997422
15,658.074,2.19348,1.55416,1.03448,0.5331,0.1558,0.11485,0.05147,2.07743,1.4391,1.00876,0.00997011,0.00997011,0.00997011
16,701.363,2.18398,1.53466,1.02833,0.54542,0.15324,0.1284,0.05885,2.04799,1.39895,1.00421,0.00996569,0.00996569,0.00996569
17,744.489,2.16448,1.51986,1.02431,0.56358,0.14778,0.12122,0.05409,2.04651,1.411,1.00005,0.00996097,0.00996097,0.00996097
18,786.701,2.14871,1.50294,1.02223,0.52308,0.16391,0.13414,0.0624,2.01789,1.39232,0.99913,0.00995594,0.00995594,0.00995594
19,829.36,2.14229,1.48035,1.01704,0.55859,0.15516,0.13632,0.06314,2.02722,1.39747,0.99289,0.00995062,0.00995062,0.00995062
20,872.52,2.12924,1.46658,1.02082,0.54049,0.15887,0.13973,0.06453,2.01519,1.39704,0.99328,0.00994499,0.00994499,0.00994499
21,915.656,2.12209,1.45798,1.00989,0.57045,0.16964,0.13946,0.06325,2.01499,1.36699,0.99135,0.00993906,0.00993906,0.00993906
22,958.493,2.10357,1.43422,1.00767,0.55699,0.17154,0.14409,0.06577,1.99579,1.39487,0.99023,0.00993282,0.00993282,0.00993282
23,1000.22,2.10061,1.43734,1.01094,0.48086,0.17802,0.15388,0.07369,1.96574,1.34397,0.98508,0.00992629,0.00992629,0.00992629
24,1042.99,2.08284,1.42197,1.00415,0.56141,0.15846,0.15015,0.07089,1.96592,1.32179,0.98106,0.00991946,0.00991946,0.00991946
25,1087,2.09076,1.42028,0.99776,0.42212,0.17082,0.15479,0.07273,1.96419,1.35109,0.98421,0.00991232,0.00991232,0.00991232
26,1130.19,2.07684,1.40992,1.00328,0.36198,0.1759,0.15607,0.07342,1.95058,1.29702,0.98037,0.00990489,0.00990489,0.00990489
27,1173.67,2.08382,1.39522,0.99318,0.37251,0.17131,0.15012,0.07072,1.97012,1.30679,0.98115,0.00989715,0.00989715,0.00989715
28,1217.41,2.06811,1.39069,0.99713,0.36216,0.18104,0.16185,0.07649,1.93531,1.27751,0.9779,0.00988912,0.00988912,0.00988912
29,1261.14,2.05808,1.37407,0.99424,0.43636,0.16994,0.16371,0.07866,1.93295,1.27315,0.97462,0.00988079,0.00988079,0.00988079
30,1304.72,2.06017,1.38286,0.99146,0.35342,0.18238,0.1545,0.07154,1.94505,1.28952,0.97571,0.00987216,0.00987216,0.00987216
31,1347.57,2.04301,1.36423,0.99209,0.37573,0.18359,0.16195,0.07736,1.92475,1.28802,0.97192,0.00986323,0.00986323,0.00986323
32,1390.71,2.04429,1.35661,0.98434,0.35387,0.18103,0.16022,0.07651,1.94381,1.27063,0.97378,0.00985401,0.00985401,0.00985401
33,1434.38,2.03181,1.34916,0.98632,0.36597,0.18634,0.16429,0.07804,1.92274,1.26579,0.97196,0.00984449,0.00984449,0.00984449
34,1476.62,2.03616,1.34958,0.9859,0.39955,0.19177,0.16548,0.07846,1.91128,1.25372,0.96943,0.00983467,0.00983467,0.00983467
35,1519.33,2.02244,1.3383,0.98649,0.35906,0.18897,0.17116,0.08186,1.90012,1.25876,0.96661,0.00982456,0.00982456,0.00982456
36,1562.22,2.01711,1.33356,0.98157,0.39494,0.19773,0.17248,0.08164,1.88985,1.26088,0.96582,0.00981415,0.00981415,0.00981415
37,1606.02,2.00624,1.32917,0.98209,0.40849,0.19225,0.17564,0.0818,1.90938,1.23774,0.96625,0.00980345,0.00980345,0.00980345
38,1649.46,2.01635,1.33062,0.98154,0.28026,0.20095,0.17553,0.08277,1.92135,1.23988,0.96673,0.00979246,0.00979246,0.00979246
39,1692.51,2.01366,1.32397,0.97979,0.30839,0.20274,0.1803,0.08611,1.88691,1.21478,0.96136,0.00978118,0.00978118,0.00978118
40,1737.67,2.00832,1.31341,0.97903,0.38932,0.20678,0.18235,0.08736,1.89808,1.22694,0.96379,0.0097696,0.0097696,0.0097696
41,1780.74,2.00099,1.31125,0.97874,0.39111,0.20298,0.18129,0.08598,1.87458,1.21362,0.96109,0.00975773,0.00975773,0.00975773
42,1824.23,1.9956,1.30508,0.97671,0.33856,0.19496,0.17844,0.08461,1.87969,1.22783,0.9602,0.00974557,0.00974557,0.00974557
43,1867.13,1.98972,1.29988,0.97789,0.40047,0.19284,0.1765,0.08373,1.88858,1.20713,0.96082,0.00973312,0.00973312,0.00973312
44,1912.02,1.99004,1.2901,0.97417,0.3958,0.21029,0.1858,0.08756,1.88392,1.2233,0.96019,0.00972039,0.00972039,0.00972039
45,1955.31,1.99299,1.29695,0.97332,0.39647,0.19984,0.18093,0.08653,1.87396,1.202,0.9574,0.00970736,0.00970736,0.00970736
46,1998.67,1.9876,1.28992,0.97109,0.40644,0.20825,0.18405,0.08724,1.86674,1.1913,0.95681,0.00969405,0.00969405,0.00969405
47,2040.74,1.97156,1.27915,0.9723,0.41724,0.20369,0.18235,0.08656,1.86097,1.19205,0.95733,0.00968045,0.00968045,0.00968045
48,2084.13,1.97681,1.27198,0.96669,0.3683,0.20719,0.19148,0.09474,1.85263,1.17633,0.95333,0.00966656,0.00966656,0.00966656
49,2128.15,1.97817,1.28019,0.96858,0.34015,0.21113,0.18967,0.09206,1.85711,1.17236,0.95583,0.00965239,0.00965239,0.00965239
50,2171.65,1.94826,1.25965,0.96843,0.32537,0.21651,0.19212,0.09314,1.86166,1.1827,0.95498,0.00963794,0.00963794,0.00963794
51,2215.55,1.97256,1.27525,0.96768,0.39583,0.21735,0.19599,0.09387,1.85545,1.16626,0.95416,0.0096232,0.0096232,0.0096232
52,2257.06,1.96511,1.2625,0.96789,0.39095,0.20559,0.18936,0.09124,1.86419,1.17295,0.9549,0.00960819,0.00960819,0.00960819
53,2298.63,1.9512,1.25095,0.96512,0.42889,0.2151,0.19514,0.09448,1.84566,1.17014,0.95176,0.00959289,0.00959289,0.00959289
54,2340.73,1.9455,1.24935,0.9671,0.42969,0.20311,0.19679,0.09585,1.83754,1.15536,0.94921,0.00957731,0.00957731,0.00957731
55,2383.24,1.94122,1.24796,0.96591,0.41651,0.21491,0.20086,0.09773,1.83616,1.15068,0.95005,0.00956145,0.00956145,0.00956145
56,2425.69,1.96488,1.24958,0.96333,0.44552,0.21073,0.1997,0.09488,1.84723,1.1653,0.95149,0.00954531,0.00954531,0.00954531
57,2467.8,1.93204,1.2427,0.96615,0.32504,0.22186,0.1969,0.09509,1.83256,1.15824,0.9488,0.00952889,0.00952889,0.00952889
58,2510.15,1.94646,1.2426,0.96399,0.37477,0.2182,0.19955,0.09669,1.82488,1.1497,0.94686,0.0095122,0.0095122,0.0095122
59,2552.75,1.94183,1.24015,0.96275,0.40869,0.20999,0.19448,0.09361,1.83336,1.15553,0.94843,0.00949524,0.00949524,0.00949524
60,2595.42,1.93485,1.24315,0.96583,0.33436,0.21124,0.19533,0.09505,1.83371,1.15036,0.94761,0.009478,0.009478,0.009478
