epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7849,4.80446,4.79218,2.82116,0.00349,0.00816,0.00279,0.00081,3.97752,5.27568,1.8083,0.00332801,0.00332801,0.0700479
2,91.1566,3.47845,2.89561,1.49406,0.45777,0.02404,0.02109,0.00704,3.05845,2.47372,1.34738,0.00666124,0.00666124,0.0400478
3,130.502,2.93792,2.36907,1.26483,0.55814,0.0458,0.03256,0.01274,2.70952,2.2059,1.2402,0.00999406,0.00999406,0.0100473
4,170.71,2.67542,2.1003,1.17324,0.37545,0.07,0.05328,0.02282,2.41838,1.88847,1.13312,0.00999863,0.00999863,0.00999863
5,209.753,2.49451,1.91573,1.11717,0.40487,0.09593,0.07333,0.03225,2.29436,1.68579,1.08398,0.00999756,0.00999756,0.00999756
6,249.427,2.41298,1.80338,1.08578,0.44173,0.10984,0.09395,0.04151,2.19474,1.56724,1.05144,0.00999618,0.00999618,0.00999618
7,288.781,2.32225,1.70584,1.07185,0.42383,0.12636,0.10077,0.04505,2.15886,1.55604,1.03974,0.0099945,0.0099945,0.0099945
8,328.693,2.28575,1.64596,1.04983,0.34849,0.12754,0.09861,0.04394,2.11621,1.58212,1.02869,0.00999252,0.00999252,0.00999252
9,367.744,2.24348,1.60501,1.03854,0.37325,0.15681,0.12086,0.05546,2.07788,1.48863,1.01645,0.00999023,0.00999023,0.00999023
10,407.171,2.21001,1.5689,1.03209,0.5806,0.13611,0.12165,0.0555,2.04149,1.48309,1.0085,0.00998764,0.00998764,0.00998764
11,446.719,2.17359,1.52599,1.0251,0.45734,0.14658,0.12542,0.05744,2.02222,1.43497,0.99975,0.00998474,0.00998474,0.00998474
12,485.999,2.14904,1.49196,1.01524,0.57043,0.15168,0.13981,0.06571,2.0171,1.37851,1.00026,0.00998154,0.00998154,0.00998154
13,524.531,2.1317,1.4622,1.01013,0.474,0.15903,0.13605,0.06008,2.0218,1.36743,0.99593,0.00997803,0.00997803,0.00997803
14,563.854,2.10006,1.43922,1.00556,0.38893,0.16402,0.14358,0.0663,1.9875,1.32263,0.99088,0.00997422,0.00997422,0.00997422
15,603.411,2.08016,1.4197,1.00469,0.34187,0.18734,0.14909,0.06953,1.96847,1.30742,0.98407,0.00997011,0.00997011,0.00997011
16,642.933,2.06832,1.39768,0.99946,0.36441,0.18258,0.16526,0.07915,1.92375,1.28836,0.97883,0.00996569,0.00996569,0.00996569
17,682.627,2.0511,1.38279,0.9958,0.28328,0.18342,0.16035,0.074,1.93272,1.27428,0.97415,0.00996097,0.00996097,0.00996097
18,722.245,2.03078,1.36445,0.99224,0.39428,0.18596,0.16965,0.0811,1.90769,1.24914,0.97157,0.00995594,0.00995594,0.00995594
19,760.761,2.03034,1.34579,0.98829,0.39643,0.18532,0.1705,0.08057,1.9152,1.27855,0.9688,0.00995062,0.00995062,0.00995062
20,799.295,2.01277,1.33257,0.99062,0.40372,0.19539,0.17293,0.08231,1.91028,1.27067,0.97073,0.00994499,0.00994499,0.00994499
21,838.399,2.00542,1.32243,0.98148,0.32036,0.20434,0.17856,0.08221,1.88959,1.21863,0.96747,0.00993906,0.00993906,0.00993906
22,877.557,1.98551,1.3017,0.97836,0.39323,0.20138,0.17736,0.08252,1.88481,1.25888,0.96528,0.00993282,0.00993282,0.00993282
23,916.992,1.98529,1.30157,0.98089,0.37455,0.21444,0.1862,0.089,1.86186,1.23082,0.95979,0.00992629,0.00992629,0.00992629
24,956.119,1.96583,1.286,0.97553,0.40712,0.20491,0.19388,0.09157,1.86745,1.18783,0.96127,0.00991946,0.00991946,0.00991946
25,995.363,1.97823,1.28496,0.97085,0.45568,0.20261,0.18873,0.08999,1.85531,1.19923,0.96054,0.00991232,0.00991232,0.00991232
26,1034.41,1.95782,1.27164,0.97343,0.33299,0.22188,0.19945,0.09383,1.8413,1.16925,0.95575,0.00990489,0.00990489,0.00990489
27,1073.59,1.96364,1.26332,0.96415,0.31326,0.22479,0.19717,0.09429,1.85262,1.17126,0.95634,0.00989715,0.00989715,0.00989715
28,1112.82,1.95397,1.25549,0.9698,0.33249,0.22275,0.20576,0.10041,1.82456,1.14929,0.95244,0.00988912,0.00988912,0.00988912
29,1152.23,1.94128,1.23482,0.96474,0.42789,0.21422,0.19951,0.09569,1.84262,1.15662,0.95301,0.00988079,0.00988079,0.00988079
30,1191.55,1.94275,1.24626,0.96345,0.3136,0.22514,0.20514,0.09793,1.82128,1.14687,0.95079,0.00987216,0.00987216,0.00987216
31,1230.43,1.92672,1.22674,0.96468,0.38222,0.20979,0.19415,0.09133,1.83954,1.14993,0.95218,0.00986323,0.00986323,0.00986323
32,1270.54,1.92641,1.22137,0.95601,0.39302,0.23381,0.20799,0.10189,1.81493,1.14812,0.94673,0.00985401,0.00985401,0.00985401
33,1309.82,1.91612,1.2158,0.95902,0.41909,0.22767,0.21005,0.1027,1.80357,1.13413,0.94551,0.00984449,0.00984449,0.00984449
34,1348.26,1.91837,1.21536,0.95852,0.32522,0.23108,0.20785,0.10036,1.80478,1.11874,0.94526,0.00983467,0.00983467,0.00983467
35,1387.2,1.9084,1.20658,0.95847,0.32498,0.24248,0.21542,0.10538,1.79052,1.12382,0.94278,0.00982456,0.00982456,0.00982456
36,1426.28,1.9024,1.20024,0.95441,0.3606,0.23094,0.21461,0.10482,1.78323,1.12007,0.94157,0.00981415,0.00981415,0.00981415
37,1465.68,1.8869,1.1939,0.95426,0.38088,0.23116,0.22039,0.10629,1.78902,1.11241,0.94362,0.00980345,0.00980345,0.00980345
38,1503.46,1.89622,1.19283,0.95359,0.36002,0.24276,0.22419,0.10843,1.79923,1.10703,0.94175,0.00979246,0.00979246,0.00979246
39,1542.41,1.8981,1.19422,0.95187,0.37037,0.244,0.21812,0.10608,1.78113,1.10569,0.93909,0.00978118,0.00978118,0.00978118
40,1581.4,1.89097,1.18266,0.95139,0.345,0.23829,0.21825,0.10638,1.78394,1.10101,0.93949,0.0097696,0.0097696,0.0097696
41,1619.57,1.88155,1.17642,0.95144,0.34603,0.23544,0.22104,0.10725,1.76562,1.09366,0.93687,0.00975773,0.00975773,0.00975773
42,1659.17,1.87406,1.16967,0.94853,0.34995,0.23502,0.22145,0.10859,1.77209,1.09689,0.9372,0.00974557,0.00974557,0.00974557
43,1697.87,1.87319,1.16864,0.95068,0.35706,0.25053,0.22494,0.10787,1.77753,1.08143,0.93914,0.00973312,0.00973312,0.00973312
44,1737.47,1.87225,1.15864,0.94688,0.40331,0.2522,0.22779,0.11026,1.77403,1.08996,0.93698,0.00972039,0.00972039,0.00972039
45,1776.76,1.87522,1.16124,0.94677,0.37809,0.25182,0.2325,0.11545,1.76043,1.07463,0.93583,0.00970736,0.00970736,0.00970736
46,1816.43,1.86365,1.15133,0.94414,0.36746,0.25312,0.23054,0.11447,1.7509,1.08787,0.9335,0.00969405,0.00969405,0.00969405
47,1855.09,1.85185,1.14644,0.94413,0.35373,0.2489,0.22867,0.11194,1.75386,1.07694,0.93543,0.00968045,0.00968045,0.00968045
48,1894.15,1.85591,1.13878,0.94016,0.38062,0.24618,0.23096,0.11064,1.76334,1.07344,0.93473,0.00966656,0.00966656,0.00966656
49,1934.07,1.85881,1.14676,0.94162,0.37418,0.26437,0.23676,0.11745,1.74872,1.06735,0.93272,0.00965239,0.00965239,0.00965239
50,1973.69,1.83293,1.13676,0.94153,0.35774,0.25427,0.24023,0.11761,1.75571,1.06631,0.93215,0.00963794,0.00963794,0.00963794
51,2013.23,1.86415,1.15517,0.93931,0.38495,0.2489,0.23725,0.11708,1.75617,1.07586,0.93114,0.0096232,0.0096232,0.0096232
52,2052.49,1.85924,1.14769,0.94043,0.38821,0.24497,0.23835,0.11884,1.76513,1.08395,0.93099,0.00960819,0.00960819,0.00960819
53,2092.21,1.85723,1.14486,0.93703,0.39737,0.25041,0.23728,0.11503,1.76718,1.08764,0.92933,0.00959289,0.00959289,0.00959289
54,2131.98,1.85102,1.14878,0.93721,0.4104,0.24113,0.23718,0.11735,1.76301,1.08311,0.92755,0.00957731,0.00957731,0.00957731
55,2171.03,1.8454,1.14976,0.93463,0.3642,0.25219,0.23949,0.11889,1.75342,1.07876,0.92599,0.00956145,0.00956145,0.00956145
56,2209.43,1.86383,1.15334,0.93079,0.39874,0.25138,0.23829,0.11541,1.76368,1.09192,0.92572,0.00954531,0.00954531,0.00954531
57,2248.48,1.83349,1.14964,0.93272,0.37557,0.26067,0.24258,0.12015,1.73998,1.08203,0.92166,0.00952889,0.00952889,0.00952889
58,2287.31,1.84216,1.14675,0.9291,0.42575,0.24562,0.24536,0.12183,1.7394,1.0694,0.92067,0.0095122,0.0095122,0.0095122
59,2326.14,1.8329,1.14155,0.92628,0.38188,0.27771,0.24738,0.12198,1.73974,1.06718,0.92006,0.00949524,0.00949524,0.00949524
60,2364.57,1.82891,1.14501,0.92906,0.35966,0.27035,0.24548,0.12136,1.73589,1.06114,0.91866,0.009478,0.009478,0.009478
61,2403.76,1.83807,1.14659,0.9227,0.36048,0.25443,0.24589,0.12112,1.73757,1.06638,0.91972,0.00946048,0.00946048,0.00946048
62,2442.89,1.82277,1.13248,0.92116,0.40786,0.26159,0.24472,0.11931,1.72819,1.06146,0.91759,0.0094427,0.0094427,0.0094427
63,2482.13,1.82435,1.13294,0.92261,0.39341,0.26375,0.24819,0.12233,1.72909,1.05946,0.91685,0.00942464,0.00942464,0.00942464
64,2521.12,1.81598,1.12682,0.92338,0.3696,0.28687,0.25234,0.12426,1.72959,1.05459,0.91629,0.00940631,0.00940631,0.00940631
65,2560.19,1.81822,1.12665,0.92086,0.39702,0.26109,0.25241,0.12288,1.7219,1.05425,0.91456,0.00938772,0.00938772,0.00938772
