epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5284,4.43789,5.13611,0.01091,0.00086,0.00718,0.00047,9e-05,4.36488,4.20522,0.01282,0.00332801,0.00332801,0.0700479
2,114.19,3.93835,3.75719,0.00675,0.52102,0.0158,0.00854,0.00252,3.74136,3.09493,0.00813,0.00666124,0.00666124,0.0400478
3,167.111,3.41098,3.11189,0.00516,0.62271,0.03051,0.02027,0.00705,3.11261,2.74443,0.00648,0.00999406,0.00999406,0.0100473
4,219.13,3.19139,2.85986,0.00453,0.71759,0.03686,0.02609,0.00987,2.91254,2.63027,0.00579,0.00999863,0.00999863,0.00999863
5,271.412,3.05589,2.70812,0.00418,0.51238,0.04821,0.03658,0.01452,2.89825,2.37652,0.00539,0.00999756,0.00999756,0.00999756
6,323.392,2.98333,2.59264,0.00394,0.56352,0.05722,0.04482,0.018,2.79143,2.27476,0.00495,0.00999618,0.00999618,0.00999618
7,375.937,2.91792,2.50669,0.00383,0.57839,0.0735,0.05748,0.02381,2.68965,2.20345,0.00484,0.0099945,0.0099945,0.0099945
8,428.19,2.87884,2.41863,0.00367,0.45389,0.10699,0.06372,0.02605,2.65034,2.27343,0.00467,0.00999252,0.00999252,0.00999252
9,479.31,2.85429,2.38474,0.00361,0.40674,0.10132,0.0675,0.02729,2.64999,2.19462,0.00461,0.00999023,0.00999023,0.00999023
10,531.498,2.82834,2.32979,0.00355,0.51643,0.11111,0.07975,0.03289,2.61822,2.18032,0.0045,0.00998764,0.00998764,0.00998764
11,584.124,2.79155,2.27619,0.00349,0.40974,0.11566,0.08341,0.036,2.57966,2.05679,0.00445,0.00998474,0.00998474,0.00998474
12,636.553,2.77602,2.2382,0.00341,0.50655,0.1156,0.08922,0.03777,2.62147,2.11324,0.0044,0.00998154,0.00998154,0.00998154
13,689.351,2.75539,2.19086,0.00338,0.4089,0.11842,0.08212,0.03351,2.66832,2.17004,0.00447,0.00997803,0.00997803,0.00997803
14,741.78,2.72852,2.16531,0.00336,0.41484,0.11659,0.08517,0.03616,2.64907,2.01137,0.00439,0.00997422,0.00997422,0.00997422
15,794.699,2.71507,2.14545,0.00334,0.42877,0.13215,0.0973,0.04168,2.55615,1.96374,0.00427,0.00997011,0.00997011,0.00997011
16,846.184,2.69777,2.10788,0.0033,0.33406,0.14692,0.10987,0.04814,2.51543,1.96432,0.00422,0.00996569,0.00996569,0.00996569
17,898.117,2.68862,2.10207,0.00328,0.34789,0.13385,0.10597,0.04562,2.51358,1.93183,0.00418,0.00996097,0.00996097,0.00996097
18,950.714,2.67144,2.0689,0.00324,0.44241,0.13531,0.10771,0.04646,2.50795,1.91307,0.00416,0.00995594,0.00995594,0.00995594
19,1002.87,2.67156,2.03751,0.00322,0.44141,0.13508,0.1116,0.04747,2.5686,1.93797,0.00421,0.00995062,0.00995062,0.00995062
20,1055.01,2.65336,2.02956,0.00322,0.37878,0.14826,0.11637,0.05195,2.49361,1.88743,0.00411,0.00994499,0.00994499,0.00994499
21,1107.57,2.66141,2.01009,0.00318,0.3898,0.16471,0.12148,0.05265,2.4959,1.87566,0.00409,0.00993906,0.00993906,0.00993906
22,1159.77,2.64819,1.9901,0.00317,0.36467,0.16481,0.12295,0.05409,2.48161,1.91505,0.00406,0.00993282,0.00993282,0.00993282
23,1212.69,2.63613,1.98468,0.00317,0.37873,0.15878,0.12632,0.05725,2.45201,1.86925,0.00404,0.00992629,0.00992629,0.00992629
24,1264.97,2.63062,1.96943,0.00314,0.43972,0.15122,0.1294,0.0577,2.45763,1.82971,0.00403,0.00991946,0.00991946,0.00991946
25,1317.18,2.63042,1.95735,0.00311,0.353,0.16665,0.12999,0.05774,2.45076,1.86525,0.00403,0.00991232,0.00991232,0.00991232
26,1369.87,2.62265,1.94973,0.00313,0.374,0.15519,0.13024,0.05752,2.46063,1.82449,0.00398,0.00990489,0.00990489,0.00990489
27,1422.22,2.62446,1.9316,0.00304,0.36412,0.15947,0.12898,0.05652,2.44308,1.85471,0.00395,0.00989715,0.00989715,0.00989715
28,1473.57,2.61154,1.91259,0.00307,0.31771,0.16743,0.141,0.06435,2.41793,1.75355,0.00395,0.00988912,0.00988912,0.00988912
29,1526.19,2.603,1.89747,0.00306,0.39857,0.1543,0.13669,0.06195,2.44379,1.79288,0.00396,0.00988079,0.00988079,0.00988079
30,1578.27,2.60312,1.90854,0.00306,0.33607,0.16084,0.13132,0.05928,2.41637,1.7624,0.00394,0.00987216,0.00987216,0.00987216
31,1630.49,2.58931,1.88355,0.00305,0.40143,0.16466,0.14709,0.06727,2.40948,1.74787,0.00391,0.00986323,0.00986323,0.00986323
32,1683.42,2.59073,1.88059,0.00299,0.32854,0.1584,0.14345,0.06576,2.41511,1.7976,0.0039,0.00985401,0.00985401,0.00985401
33,1735.2,2.57782,1.86324,0.003,0.34794,0.16815,0.14433,0.06543,2.41386,1.74846,0.00392,0.00984449,0.00984449,0.00984449
34,1787.43,2.58113,1.8687,0.00302,0.47579,0.1748,0.1465,0.06786,2.3906,1.74391,0.00385,0.00983467,0.00983467,0.00983467
35,1839.07,2.57398,1.85064,0.00301,0.42246,0.17226,0.14644,0.06787,2.40138,1.75711,0.00387,0.00982456,0.00982456,0.00982456
36,1890.8,2.56474,1.84525,0.00298,0.43033,0.17177,0.15414,0.07111,2.38162,1.69855,0.00384,0.00981415,0.00981415,0.00981415
37,1942.82,2.55573,1.83342,0.00297,0.40294,0.17373,0.15071,0.06897,2.4108,1.7429,0.00384,0.00980345,0.00980345,0.00980345
38,1994.47,2.56165,1.83237,0.00296,0.41323,0.17654,0.15301,0.07089,2.39882,1.69672,0.00381,0.00979246,0.00979246,0.00979246
39,2046.21,2.56074,1.82916,0.00296,0.3987,0.17764,0.15349,0.06994,2.39345,1.71948,0.00382,0.00978118,0.00978118,0.00978118
40,2098.2,2.56141,1.81644,0.00295,0.49176,0.18167,0.15628,0.07241,2.40585,1.69379,0.00381,0.0097696,0.0097696,0.0097696
41,2150.7,2.54448,1.81162,0.00294,0.43941,0.18341,0.15389,0.06956,2.3806,1.70566,0.0038,0.00975773,0.00975773,0.00975773
42,2203.03,2.54724,1.80151,0.00294,0.47533,0.18209,0.15956,0.07208,2.37455,1.69851,0.00378,0.00974557,0.00974557,0.00974557
43,2254.85,2.55559,1.81316,0.00296,0.45169,0.17738,0.15336,0.07108,2.38838,1.68938,0.00377,0.00973312,0.00973312,0.00973312
44,2306.9,2.54282,1.79271,0.00291,0.45246,0.18209,0.16124,0.07462,2.3697,1.69126,0.00378,0.00972039,0.00972039,0.00972039
45,2359.61,2.5387,1.79347,0.00291,0.51102,0.18723,0.1649,0.07557,2.37968,1.66278,0.00375,0.00970736,0.00970736,0.00970736
46,2411.93,2.53654,1.78576,0.00289,0.45976,0.19164,0.16957,0.07818,2.36572,1.66819,0.00374,0.00969405,0.00969405,0.00969405
47,2464.93,2.531,1.77403,0.0029,0.33906,0.19244,0.16943,0.07833,2.36195,1.65422,0.00374,0.00968045,0.00968045,0.00968045
48,2516.59,2.53442,1.76234,0.00287,0.34973,0.18586,0.16437,0.07443,2.36252,1.68598,0.00373,0.00966656,0.00966656,0.00966656
49,2568.99,2.53237,1.77457,0.00288,0.35357,0.19481,0.16665,0.07669,2.36152,1.65199,0.00373,0.00965239,0.00965239,0.00965239
50,2621.68,2.51247,1.75507,0.00289,0.35054,0.18722,0.17414,0.08164,2.35869,1.64722,0.00371,0.00963794,0.00963794,0.00963794
51,2675.27,2.53098,1.76401,0.00287,0.43062,0.197,0.17221,0.07878,2.35726,1.67742,0.00369,0.0096232,0.0096232,0.0096232
52,2727.05,2.5191,1.75477,0.00287,0.35359,0.18541,0.16929,0.07828,2.3553,1.65004,0.00369,0.00960819,0.00960819,0.00960819
53,2779.61,2.51036,1.74316,0.00286,0.45017,0.19499,0.18124,0.08467,2.34303,1.63607,0.0037,0.00959289,0.00959289,0.00959289
54,2831.42,2.50394,1.74874,0.00287,0.347,0.18615,0.1777,0.08332,2.3353,1.6266,0.00367,0.00957731,0.00957731,0.00957731
55,2883.36,2.5016,1.74004,0.00286,0.31763,0.19156,0.17586,0.08254,2.34832,1.62613,0.00368,0.00956145,0.00956145,0.00956145
56,2935.04,2.52423,1.7389,0.00283,0.33119,0.19599,0.17663,0.08156,2.35441,1.6452,0.00369,0.00954531,0.00954531,0.00954531
57,2987.18,2.49109,1.73599,0.00286,0.32479,0.19741,0.1782,0.08305,2.33289,1.61898,0.00366,0.00952889,0.00952889,0.00952889
58,3039.24,2.50289,1.73279,0.00283,0.45043,0.19634,0.17897,0.08409,2.33088,1.61357,0.00365,0.0095122,0.0095122,0.0095122
59,3091.46,2.49588,1.72075,0.00283,0.35059,0.18624,0.17946,0.08336,2.33075,1.62095,0.00365,0.00949524,0.00949524,0.00949524
60,3143.34,2.49666,1.73379,0.00285,0.37431,0.19635,0.18227,0.08533,2.33074,1.60118,0.00366,0.009478,0.009478,0.009478
61,3195.58,2.50433,1.72507,0.00282,0.32281,0.2016,0.18396,0.08715,2.32384,1.60455,0.00363,0.00946048,0.00946048,0.00946048
62,3249.01,2.4926,1.71026,0.0028,0.33848,0.19554,0.18296,0.08515,2.32576,1.59878,0.00363,0.0094427,0.0094427,0.0094427
63,3300.7,2.49138,1.71097,0.00282,0.38643,0.19614,0.1883,0.08818,2.31638,1.58786,0.00361,0.00942464,0.00942464,0.00942464
64,3352.59,2.4832,1.70642,0.00282,0.32938,0.19877,0.18792,0.08984,2.33028,1.59908,0.00362,0.00940631,0.00940631,0.00940631
65,3405.69,2.49764,1.70717,0.0028,0.35488,0.20312,0.18902,0.08836,2.32443,1.60308,0.00361,0.00938772,0.00938772,0.00938772
66,3457.15,2.48525,1.70578,0.00278,0.36787,0.20417,0.19144,0.09033,2.31129,1.58664,0.00359,0.00936886,0.00936886,0.00936886
67,3509.75,2.48468,1.69545,0.00278,0.35146,0.20657,0.19459,0.09268,2.31076,1.5849,0.00358,0.00934973,0.00934973,0.00934973
68,3560.53,2.48752,1.71256,0.00282,0.2962,0.20169,0.19055,0.09069,2.30407,1.5863,0.00358,0.00933033,0.00933033,0.00933033
69,3613.59,2.47813,1.69511,0.00279,0.32628,0.21075,0.19225,0.09069,2.31261,1.59381,0.00359,0.00931067,0.00931067,0.00931067
70,3666.37,2.48097,1.68545,0.00278,0.31189,0.20887,0.19382,0.09142,2.3111,1.57584,0.00359,0.00929075,0.00929075,0.00929075
71,3718.42,2.48343,1.6903,0.00279,0.31909,0.20549,0.19106,0.09022,2.31838,1.58149,0.00357,0.00927057,0.00927057,0.00927057
72,3771.05,2.46876,1.68483,0.00277,0.35142,0.20273,0.19573,0.09283,2.30705,1.57514,0.00358,0.00925013,0.00925013,0.00925013
73,3822.77,2.45617,1.68058,0.00276,0.3244,0.19808,0.19303,0.09099,2.30029,1.56993,0.00357,0.00922942,0.00922942,0.00922942
74,3875.97,2.4649,1.66516,0.00275,0.34204,0.21102,0.19726,0.09318,2.30306,1.5747,0.00356,0.00920846,0.00920846,0.00920846
75,3927.65,2.46033,1.68202,0.00279,0.32532,0.21155,0.19697,0.09345,2.29315,1.57405,0.00354,0.00918725,0.00918725,0.00918725
76,3978.82,2.46107,1.67596,0.00276,0.32919,0.21504,0.19938,0.09343,2.30097,1.56392,0.00356,0.00916577,0.00916577,0.00916577
77,4031.02,2.46627,1.67296,0.00276,0.44189,0.21143,0.19993,0.09373,2.30164,1.56708,0.00355,0.00914405,0.00914405,0.00914405
78,4084.49,2.46865,1.66688,0.00274,0.34008,0.21355,0.20115,0.09573,2.29711,1.55961,0.00354,0.00912207,0.00912207,0.00912207
79,4136.67,2.46093,1.66399,0.00275,0.37678,0.20877,0.20304,0.09718,2.29879,1.56184,0.00354,0.00909984,0.00909984,0.00909984
80,4188.78,2.46774,1.6713,0.00275,0.33967,0.20534,0.20087,0.09592,2.30017,1.56141,0.00353,0.00907736,0.00907736,0.00907736
81,4240.82,2.45461,1.66382,0.00273,0.35719,0.21592,0.20435,0.09783,2.2967,1.56068,0.00353,0.00905463,0.00905463,0.00905463
82,4292.6,2.45002,1.64302,0.00274,0.33789,0.21829,0.20592,0.09781,2.2894,1.55435,0.00352,0.00903166,0.00903166,0.00903166
83,4344.83,2.45463,1.64735,0.00271,0.31958,0.21332,0.20188,0.09647,2.28802,1.55161,0.00352,0.00900844,0.00900844,0.00900844
84,4396.49,2.45665,1.65301,0.00272,0.34608,0.21372,0.20502,0.0981,2.28647,1.54457,0.00353,0.00898497,0.00898497,0.00898497
85,4448.5,2.45638,1.65485,0.00272,0.33062,0.21949,0.20513,0.09738,2.28167,1.54954,0.00352,0.00896127,0.00896127,0.00896127
86,4500.72,2.45659,1.66351,0.00272,0.4011,0.20903,0.20497,0.09787,2.28958,1.54386,0.00351,0.00893732,0.00893732,0.00893732
87,4552.86,2.4492,1.64733,0.00272,0.37594,0.21389,0.21039,0.10042,2.28161,1.5356,0.00351,0.00891313,0.00891313,0.00891313
88,4605.44,2.44955,1.65488,0.00272,0.36301,0.2187,0.20964,0.10027,2.27751,1.53774,0.00349,0.0088887,0.0088887,0.0088887
89,4657.84,2.43553,1.65379,0.00272,0.34942,0.22626,0.20946,0.09934,2.27739,1.54004,0.00349,0.00886404,0.00886404,0.00886404
90,4709.57,2.45449,1.65499,0.00273,0.33568,0.23652,0.21152,0.10028,2.27648,1.53387,0.0035,0.00883914,0.00883914,0.00883914
91,4761.16,2.43813,1.63374,0.00271,0.37026,0.22346,0.21125,0.10003,2.27017,1.53228,0.00349,0.00881401,0.00881401,0.00881401
92,4813.79,2.4407,1.63634,0.00272,0.34035,0.22856,0.21227,0.10178,2.27538,1.53801,0.00348,0.00878864,0.00878864,0.00878864
93,4867.46,2.44424,1.63704,0.00269,0.33372,0.22104,0.21093,0.10136,2.27219,1.54133,0.00347,0.00876305,0.00876305,0.00876305
94,4918.85,2.44078,1.63346,0.00271,0.35243,0.21083,0.21086,0.10176,2.27432,1.53547,0.00348,0.00873723,0.00873723,0.00873723
95,4971.57,2.43477,1.62973,0.00269,0.3444,0.21943,0.21379,0.10357,2.27029,1.52788,0.00348,0.00871117,0.00871117,0.00871117
96,5023.95,2.42802,1.62251,0.00271,0.35226,0.22327,0.21469,0.10325,2.26914,1.53034,0.00348,0.0086849,0.0086849,0.0086849
97,5075.91,2.44753,1.6331,0.00269,0.35771,0.21827,0.2153,0.10293,2.26674,1.52999,0.00346,0.00865839,0.00865839,0.00865839
98,5127.03,2.43247,1.6251,0.0027,0.35832,0.22161,0.21633,0.10402,2.26763,1.52453,0.00347,0.00863167,0.00863167,0.00863167
99,5179.85,2.44455,1.62265,0.00268,0.34646,0.22831,0.2155,0.103,2.26697,1.52434,0.00346,0.00860473,0.00860473,0.00860473
100,5231.92,2.43369,1.62774,0.00269,0.34172,0.23039,0.21453,0.10298,2.26142,1.52238,0.00346,0.00857756,0.00857756,0.00857756
101,5283.91,2.42486,1.62322,0.00269,0.34586,0.22487,0.21339,0.10262,2.26419,1.52682,0.00346,0.00855018,0.00855018,0.00855018
102,5336.25,2.4278,1.61689,0.00269,0.32944,0.23402,0.21747,0.10467,2.2625,1.51917,0.00345,0.00852258,0.00852258,0.00852258
103,5389.3,2.42631,1.61437,0.00268,0.36933,0.22793,0.2227,0.10835,2.26241,1.51565,0.00345,0.00849477,0.00849477,0.00849477
104,5441.69,2.40421,1.5986,0.00269,0.35476,0.23375,0.2229,0.10806,2.26123,1.51719,0.00345,0.00846674,0.00846674,0.00846674
105,5494.1,2.41645,1.61729,0.00269,0.34975,0.22633,0.22177,0.10789,2.25711,1.51412,0.00344,0.00843851,0.00843851,0.00843851
106,5546.13,2.41278,1.6117,0.00268,0.33311,0.2374,0.21989,0.10638,2.25645,1.50955,0.00344,0.00841006,0.00841006,0.00841006
107,5597.84,2.42384,1.62106,0.00269,0.35123,0.22846,0.22146,0.1072,2.25732,1.50943,0.00344,0.00838141,0.00838141,0.00838141
108,5650.38,2.41818,1.60982,0.00268,0.35573,0.23085,0.2215,0.10657,2.25642,1.51206,0.00344,0.00835255,0.00835255,0.00835255
109,5702.84,2.41823,1.61555,0.00266,0.36475,0.22517,0.22162,0.10592,2.25769,1.51455,0.00344,0.00832349,0.00832349,0.00832349
110,5753.45,2.41024,1.60141,0.00266,0.36698,0.22693,0.22186,0.10545,2.25668,1.51034,0.00344,0.00829423,0.00829423,0.00829423
111,5805.62,2.4169,1.59878,0.00266,0.37044,0.232,0.22377,0.10719,2.25165,1.50937,0.00343,0.00826477,0.00826477,0.00826477
112,5858.52,2.40976,1.60099,0.00268,0.35921,0.23799,0.2244,0.1075,2.25312,1.50824,0.00343,0.00823511,0.00823511,0.00823511
113,5910.29,2.40098,1.60158,0.00267,0.36661,0.23494,0.22582,0.10893,2.24868,1.50249,0.00342,0.00820525,0.00820525,0.00820525
114,5962,2.42166,1.60523,0.00266,0.37781,0.23504,0.2267,0.1083,2.247,1.50594,0.00342,0.0081752,0.0081752,0.0081752
115,6014.47,2.41797,1.6028,0.00265,0.38167,0.23252,0.22469,0.10774,2.24712,1.50313,0.00341,0.00814495,0.00814495,0.00814495
116,6066.05,2.40886,1.5955,0.00265,0.38739,0.2422,0.22649,0.10822,2.24675,1.50094,0.00341,0.00811452,0.00811452,0.00811452
117,6118.16,2.40246,1.59565,0.00265,0.37147,0.24049,0.22411,0.10783,2.24614,1.50369,0.00341,0.00808389,0.00808389,0.00808389
118,6169.91,2.41222,1.5927,0.00265,0.36683,0.23921,0.22482,0.10752,2.2464,1.4998,0.00341,0.00805308,0.00805308,0.00805308
119,6222.28,2.40188,1.59392,0.00265,0.37609,0.24108,0.22587,0.10784,2.24735,1.49803,0.00341,0.00802208,0.00802208,0.00802208
120,6275.96,2.41762,1.59245,0.00263,0.38191,0.2341,0.22543,0.10823,2.24702,1.50001,0.00341,0.0079909,0.0079909,0.0079909
121,6328.81,2.40205,1.58909,0.00263,0.38021,0.23664,0.22751,0.10862,2.24535,1.49968,0.00341,0.00795954,0.00795954,0.00795954
122,6379.56,2.40967,1.59212,0.00263,0.3804,0.23635,0.22896,0.10959,2.24599,1.49822,0.00341,0.007928,0.007928,0.007928
123,6431.44,2.40398,1.58632,0.00264,0.3656,0.24335,0.23025,0.11055,2.24688,1.49424,0.00341,0.00789628,0.00789628,0.00789628
124,6483.27,2.39242,1.57839,0.00265,0.35933,0.24262,0.23014,0.11062,2.24323,1.49348,0.0034,0.00786438,0.00786438,0.00786438
125,6535.28,2.40253,1.58153,0.00263,0.38045,0.24075,0.23058,0.11106,2.24196,1.49292,0.0034,0.00783231,0.00783231,0.00783231
126,6586.91,2.38768,1.57972,0.00264,0.38717,0.2404,0.23143,0.11175,2.23921,1.49048,0.0034,0.00780007,0.00780007,0.00780007
127,6639.58,2.39348,1.582,0.00263,0.37339,0.24009,0.23353,0.11245,2.23908,1.49087,0.0034,0.00776766,0.00776766,0.00776766
128,6692.61,2.39324,1.57965,0.00265,0.37733,0.24249,0.23361,0.11278,2.23687,1.49142,0.00339,0.00773509,0.00773509,0.00773509
129,6745.42,2.39523,1.58308,0.00264,0.37561,0.24348,0.23191,0.11253,2.23886,1.48839,0.0034,0.00770234,0.00770234,0.00770234
130,6797.78,2.39186,1.56839,0.00261,0.36967,0.24193,0.23185,0.11229,2.24128,1.48663,0.00339,0.00766944,0.00766944,0.00766944
131,6849.65,2.40874,1.58005,0.00263,0.36563,0.24839,0.23296,0.11284,2.2395,1.48568,0.00339,0.00763637,0.00763637,0.00763637
132,6902.97,2.40036,1.57351,0.00263,0.37388,0.24331,0.23242,0.11321,2.23849,1.48613,0.00339,0.00760314,0.00760314,0.00760314
133,6955.85,2.39983,1.57192,0.00262,0.38061,0.24331,0.23441,0.11371,2.23703,1.48671,0.00339,0.00756976,0.00756976,0.00756976
134,7007.74,2.38276,1.56054,0.0026,0.38887,0.24378,0.23557,0.11365,2.23858,1.48524,0.00339,0.00753621,0.00753621,0.00753621
135,7060.37,2.38252,1.55801,0.00261,0.38174,0.24324,0.2349,0.11399,2.2385,1.48497,0.00339,0.00750252,0.00750252,0.00750252
136,7111.86,2.38849,1.56491,0.00261,0.39072,0.23806,0.23494,0.11393,2.23692,1.48532,0.00338,0.00746868,0.00746868,0.00746868
137,7164.35,2.37923,1.56389,0.00261,0.37799,0.23825,0.23405,0.11284,2.23795,1.48501,0.00338,0.00743468,0.00743468,0.00743468
138,7215.87,2.3789,1.55942,0.00261,0.36552,0.24298,0.23381,0.1125,2.23787,1.48219,0.00338,0.00740054,0.00740054,0.00740054
139,7267.8,2.38326,1.5529,0.00259,0.37058,0.24262,0.23441,0.11293,2.23644,1.48195,0.00338,0.00736625,0.00736625,0.00736625
140,7320,2.37686,1.56573,0.00262,0.36358,0.24641,0.23409,0.11287,2.23492,1.48176,0.00338,0.00733182,0.00733182,0.00733182
141,7372.86,2.3729,1.55487,0.00259,0.36954,0.24162,0.23601,0.11345,2.23426,1.4797,0.00338,0.00729725,0.00729725,0.00729725
142,7425.56,2.38393,1.56245,0.0026,0.359,0.25196,0.23533,0.11457,2.23301,1.47954,0.00338,0.00726254,0.00726254,0.00726254
143,7478.17,2.38011,1.56009,0.00261,0.36766,0.24931,0.23831,0.11518,2.23297,1.47711,0.00338,0.0072277,0.0072277,0.0072277
144,7529.88,2.38459,1.56,0.00259,0.3689,0.25114,0.23573,0.11466,2.23496,1.47663,0.00338,0.00719272,0.00719272,0.00719272
145,7581.3,2.3833,1.55401,0.0026,0.37565,0.24567,0.23588,0.11465,2.2342,1.47512,0.00338,0.00715761,0.00715761,0.00715761
146,7634.42,2.3677,1.54602,0.00259,0.37782,0.24725,0.23682,0.11499,2.23323,1.47607,0.00338,0.00712237,0.00712237,0.00712237
147,7686.88,2.36771,1.55366,0.00261,0.39612,0.24074,0.23966,0.11507,2.2315,1.47503,0.00337,0.007087,0.007087,0.007087
148,7740.52,2.37372,1.54421,0.00256,0.37289,0.25078,0.2403,0.11539,2.23082,1.47613,0.00337,0.0070515,0.0070515,0.0070515
149,7792.91,2.36614,1.54943,0.00257,0.37634,0.25206,0.24115,0.11598,2.22988,1.47435,0.00337,0.00701588,0.00701588,0.00701588
150,7846.92,2.37516,1.54194,0.00257,0.38076,0.24981,0.23943,0.11566,2.23057,1.47235,0.00337,0.00698014,0.00698014,0.00698014
151,7900.54,2.37479,1.54154,0.0026,0.38243,0.24698,0.23874,0.11508,2.23013,1.47061,0.00337,0.00694428,0.00694428,0.00694428
152,7952.78,2.35368,1.5378,0.00257,0.38052,0.24806,0.23882,0.11522,2.22999,1.47001,0.00337,0.00690831,0.00690831,0.00690831
153,8005.47,2.36877,1.54175,0.00258,0.37327,0.25649,0.23881,0.11531,2.23078,1.47073,0.00337,0.00687222,0.00687222,0.00687222
154,8057.59,2.3736,1.55075,0.00258,0.37473,0.25685,0.23895,0.11547,2.22988,1.47005,0.00337,0.00683601,0.00683601,0.00683601
155,8109.08,2.37578,1.54038,0.00257,0.37982,0.25294,0.24021,0.11562,2.22895,1.46977,0.00337,0.0067997,0.0067997,0.0067997
156,8161.06,2.37411,1.54315,0.00255,0.38223,0.25201,0.24007,0.11538,2.22855,1.46946,0.00336,0.00676328,0.00676328,0.00676328
157,8212.76,2.36536,1.53755,0.00258,0.38063,0.25369,0.24076,0.11586,2.22923,1.46934,0.00336,0.00672675,0.00672675,0.00672675
158,8265.66,2.36723,1.53711,0.00258,0.38439,0.25431,0.2412,0.11635,2.22901,1.46778,0.00336,0.00669012,0.00669012,0.00669012
159,8318.56,2.36413,1.53127,0.00255,0.38396,0.25411,0.24131,0.11637,2.228,1.46734,0.00336,0.00665339,0.00665339,0.00665339
160,8369.71,2.3606,1.53972,0.00257,0.38581,0.25173,0.24148,0.11629,2.22748,1.46746,0.00336,0.00661656,0.00661656,0.00661656
161,8422.25,2.35864,1.53396,0.00256,0.39719,0.24702,0.24174,0.11634,2.22719,1.46711,0.00336,0.00657963,0.00657963,0.00657963
162,8474.51,2.34845,1.52441,0.00257,0.39609,0.24654,0.24174,0.11684,2.22752,1.46582,0.00336,0.00654261,0.00654261,0.00654261
163,8527.82,2.35803,1.53159,0.00257,0.39474,0.2501,0.24272,0.11725,2.22774,1.46538,0.00336,0.0065055,0.0065055,0.0065055
164,8580.05,2.34795,1.52559,0.00255,0.40066,0.24784,0.24383,0.11764,2.22727,1.46404,0.00336,0.0064683,0.0064683,0.0064683
165,8632.47,2.3527,1.5232,0.00256,0.4062,0.24596,0.24372,0.11773,2.22729,1.46329,0.00336,0.00643101,0.00643101,0.00643101
166,8685.86,2.36304,1.52768,0.00254,0.399,0.24695,0.24424,0.11823,2.22658,1.46248,0.00336,0.00639363,0.00639363,0.00639363
167,8738.56,2.34596,1.52291,0.00257,0.39911,0.25012,0.24502,0.11864,2.22526,1.46229,0.00335,0.00635617,0.00635617,0.00635617
168,8790.88,2.35995,1.52794,0.00254,0.3969,0.25008,0.24509,0.11878,2.22559,1.4629,0.00335,0.00631863,0.00631863,0.00631863
169,8842.92,2.35948,1.5266,0.00254,0.39318,0.25024,0.24542,0.11906,2.22522,1.46314,0.00335,0.00628101,0.00628101,0.00628101
170,8895.11,2.35581,1.52536,0.00254,0.40136,0.24901,0.2449,0.1189,2.22551,1.46205,0.00335,0.00624332,0.00624332,0.00624332
171,8947.96,2.35589,1.52224,0.00254,0.41149,0.24646,0.24556,0.1193,2.22444,1.46174,0.00335,0.00620555,0.00620555,0.00620555
172,9000.5,2.35247,1.52423,0.00255,0.3983,0.25042,0.2464,0.11973,2.22424,1.46072,0.00335,0.00616772,0.00616772,0.00616772
173,9053.01,2.34048,1.52184,0.00253,0.39442,0.25143,0.24646,0.11984,2.22364,1.4607,0.00335,0.00612981,0.00612981,0.00612981
174,9105.14,2.34603,1.52353,0.00256,0.39789,0.25088,0.24646,0.1199,2.22347,1.46148,0.00335,0.00609184,0.00609184,0.00609184
175,9157.29,2.34161,1.50993,0.00252,0.40879,0.24623,0.24521,0.11949,2.22283,1.46088,0.00335,0.0060538,0.0060538,0.0060538
176,9209.4,2.33501,1.51545,0.00253,0.40428,0.24888,0.24568,0.11976,2.22164,1.46006,0.00335,0.0060157,0.0060157,0.0060157
177,9260.65,2.33998,1.51846,0.00253,0.40646,0.24837,0.24561,0.11963,2.22177,1.45938,0.00335,0.00597754,0.00597754,0.00597754
178,9313.12,2.34384,1.52155,0.00255,0.40996,0.24728,0.24588,0.11972,2.22139,1.45923,0.00335,0.00593932,0.00593932,0.00593932
179,9366.02,2.35197,1.51732,0.00254,0.40296,0.24912,0.2457,0.11973,2.22147,1.45863,0.00335,0.00590105,0.00590105,0.00590105
180,9419.03,2.34569,1.52285,0.00252,0.40076,0.25018,0.24594,0.11978,2.22104,1.45822,0.00335,0.00586272,0.00586272,0.00586272
