model,Precision(%),Recall(%),mAP@50(%),mAP@50:95(%),params(M),GFLOPS
yolov11n,41.2,26.4,24.9,12.2,2.58,6.3
RSSYOLO,44.1,32.6,30.4,15.6,2.57,20.38
RSSYOLO_LITE,45.7,30.9,30.3,15.3,2114739,15.3

RSSYOLO_LITE_1.5,46.0,32.2,31.0,15.9,1.25,10.3
RSSYOLO_LITE_1.7,41.5,30.8,29.3,14.9,1.11,9.1
RSSYOLO_LITE_2.0,41.2,30.5,28.4,14.4,0.99,7.6
RSSYOLO_LITE_2.5,42.9,27.3,27.5,13.8,0.87,6.1


yolov8n,36.4,27.1,24.0,11.7,2686903,6.8
yolov26n,40.6,24.8,24.3,11.5,2377371,5.2
yolov11s,43.9,31.2,29.1,14.3,9417831,21.3
FBRT-YOLOn,39.5,26.5,24.8,12.8,852710,6.7
FBRT-YOLOs,44.9,32.6,30.5,15.9,2895126,22.9
YOLO-Mastern,39.6,26.7,24.6,12.0,2653867,8.5
YOLO-Masters,43.7,30.2,28.3,14.4,9659603,28.9


