epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3009,4.76082,4.68716,2.66815,0.00736,0.0086,0.00337,0.00091,3.8358,4.46531,1.74873,0.00332801,0.00332801,0.0700479
2,89.375,3.45804,2.90125,1.46905,0.11824,0.02221,0.01586,0.0052,3.20534,2.85284,1.3261,0.00666124,0.00666124,0.0400478
3,129.536,2.99686,2.45753,1.27861,0.63499,0.02812,0.02676,0.01015,2.7767,2.4253,1.25705,0.00999406,0.00999406,0.0100473
4,169.361,2.76836,2.22908,1.20042,0.46235,0.05647,0.03449,0.01398,2.55352,2.22569,1.19005,0.00999863,0.00999863,0.00999863
5,209.101,2.59493,2.06766,1.14834,0.32961,0.0642,0.04812,0.02054,2.49194,1.95228,1.10948,0.00999756,0.00999756,0.00999756
6,248.597,2.52045,1.95744,1.117,0.37959,0.08178,0.06397,0.02768,2.35328,1.76395,1.08324,0.00999618,0.00999618,0.00999618
7,287.469,2.44022,1.86735,1.10337,0.50774,0.08615,0.07388,0.03266,2.27707,1.72645,1.07293,0.0099945,0.0099945,0.0099945
8,326.723,2.40669,1.79989,1.08078,0.49243,0.11142,0.08345,0.03724,2.20816,1.66703,1.05515,0.00999252,0.00999252,0.00999252
9,366.045,2.35745,1.75456,1.06989,0.40141,0.1311,0.09063,0.04058,2.17355,1.61761,1.0498,0.00999023,0.00999023,0.00999023
10,404.71,2.33044,1.72284,1.06284,0.5041,0.1161,0.09339,0.0416,2.14999,1.64031,1.02927,0.00998764,0.00998764,0.00998764
11,441.578,2.28958,1.67235,1.05457,0.51749,0.12374,0.10491,0.0461,2.15762,1.5255,1.02857,0.00998474,0.00998474,0.00998474
12,479.728,2.26727,1.64296,1.04486,0.56401,0.139,0.11959,0.05413,2.09932,1.48836,1.02176,0.00998154,0.00998154,0.00998154
13,519.045,2.25156,1.61518,1.0384,0.52346,0.13582,0.10825,0.04597,2.1549,1.48176,1.0219,0.00997803,0.00997803,0.00997803
14,557.863,2.21924,1.58859,1.03468,0.43943,0.13787,0.10749,0.04677,2.13377,1.44974,1.02032,0.00997422,0.00997422,0.00997422
15,595.526,2.2009,1.57272,1.03568,0.46001,0.15475,0.11769,0.05258,2.06712,1.47735,1.01001,0.00997011,0.00997011,0.00997011
16,634.545,2.19486,1.55279,1.02857,0.52857,0.149,0.1344,0.06296,2.05417,1.42475,1.00549,0.00996569,0.00996569,0.00996569
17,672.906,2.18477,1.54779,1.02515,0.478,0.14847,0.12025,0.0533,2.06304,1.4325,0.99631,0.00996097,0.00996097,0.00996097
18,711.992,2.16974,1.53006,1.01881,0.46754,0.15444,0.13411,0.0622,2.04904,1.47535,0.99234,0.00995594,0.00995594,0.00995594
19,750.127,2.17227,1.51838,1.01395,0.44218,0.15255,0.13888,0.06403,2.0643,1.43123,0.9935,0.00995062,0.00995062,0.00995062
20,788.362,2.15969,1.51397,1.01479,0.49928,0.15872,0.13857,0.06436,2.04021,1.42039,0.98661,0.00994499,0.00994499,0.00994499
21,827.335,2.15645,1.507,1.00362,0.41004,0.16146,0.12787,0.05742,2.03007,1.38709,0.98599,0.00993906,0.00993906,0.00993906
22,866.291,2.13769,1.48775,1.00084,0.38878,0.1681,0.13935,0.06313,2.01451,1.40805,0.9808,0.00993282,0.00993282,0.00993282
23,904.999,2.12796,1.48711,0.99939,0.50226,0.15854,0.13777,0.06433,1.98846,1.38953,0.97413,0.00992629,0.00992629,0.00992629
24,943.487,2.11174,1.47781,0.99255,0.43201,0.16652,0.14692,0.06773,1.99748,1.3559,0.97375,0.00991946,0.00991946,0.00991946
25,982.386,2.12284,1.47511,0.98678,0.44253,0.1661,0.14291,0.06542,1.99193,1.38782,0.97509,0.00991232,0.00991232,0.00991232
26,1021.98,2.10216,1.45967,0.98994,0.28359,0.18149,0.15283,0.06999,1.98493,1.35977,0.96906,0.00990489,0.00990489,0.00990489
27,1061.44,2.10699,1.44777,0.97942,0.28616,0.18848,0.15661,0.0732,1.96381,1.32706,0.96586,0.00989715,0.00989715,0.00989715
28,1100.38,2.09181,1.4389,0.9833,0.47345,0.1859,0.16585,0.07926,1.95053,1.3205,0.96405,0.00988912,0.00988912,0.00988912
29,1137.7,2.08644,1.42583,0.98033,0.37351,0.17263,0.1567,0.07265,1.96165,1.31995,0.96318,0.00988079,0.00988079,0.00988079
30,1175.4,2.08359,1.43282,0.97818,0.28499,0.20171,0.15614,0.0709,1.95225,1.32937,0.96371,0.00987216,0.00987216,0.00987216
31,1214.05,2.0692,1.41306,0.97859,0.49457,0.16951,0.16566,0.07926,1.92841,1.29861,0.95768,0.00986323,0.00986323,0.00986323
32,1252.89,2.06689,1.40732,0.96893,0.41189,0.19325,0.16106,0.07418,1.95847,1.32194,0.96175,0.00985401,0.00985401,0.00985401
33,1291.65,2.05305,1.4001,0.97092,0.34072,0.19712,0.16693,0.07702,1.92328,1.28674,0.95653,0.00984449,0.00984449,0.00984449
