model,Precision(%),Recall(%),mAP@50(%),mAP@50:95(%),params,GFLOPS
yolov11n,36.9,27.7,25.1,12.6,2584687,6.3
RFD,39.6,29.7,27.0,13.6,2481969,6.3
SACSP,38.3,30.8,27.3,13.8,2803679,8.4
P2,39.2,29.2,27.4,14.2,1933815,9.6
SFPN3,41.9,27.8,26.4,13.3,2593999,7.9
SDCIOU,37.8,28.4,25.5,12.5


RFD+SACSP,42.4,30.1,28.6,14.4,2700961,8.43
RFD+SACSP+P2,41.9,31.3,29.6,15.0,2.09,11.81

RFD+SACSP+P2+SFPN3,43.4,32.0,31.1,15.9,2.57,20.38
RFD+SACSP+P2+SFPN3+SDCIOU,44.1,33.4,31.4,16.1,2.57,20.38

RSSYOLO_LITE,42.1,31.9,30.4,15.5,2114739,15.3
RSSYOLO_LITE_1.5,46.0,32.2,31.0,15.9,1.25,10.3
RSSYOLO_LITE_1.7,41.9,31.9,30.1,15.6,1.11,9.1
RSSYOLO_LITE_2.0,41.1,30.9,29.1,15.0,0.99,7.6
RSSYOLO_LITE_2.5,42.9,28.3,27.5,14.2,0.87,6.1
