epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9573,4.62386,4.63441,2.58356,0.01444,0.01146,0.00548,0.00166,3.61601,3.3999,1.67214,0.00332801,0.00332801,0.0700479
2,91.425,3.46253,2.8926,1.44945,0.37327,0.01935,0.01918,0.00651,3.16665,2.67713,1.32329,0.00666124,0.00666124,0.0400478
3,134.309,2.99071,2.43009,1.27622,0.74021,0.02515,0.02907,0.01048,2.8189,2.34178,1.2725,0.00999406,0.00999406,0.0100473
4,174.665,2.75777,2.20185,1.19405,0.40607,0.05884,0.04033,0.01628,2.55221,2.02782,1.17241,0.00999863,0.00999863,0.00999863
5,214.765,2.58898,2.04649,1.14326,0.43377,0.07025,0.05515,0.02377,2.40951,1.7868,1.11251,0.00999756,0.00999756,0.00999756
6,254.759,2.52262,1.94613,1.11524,0.58749,0.07913,0.06629,0.02916,2.33752,1.75466,1.08463,0.00999618,0.00999618,0.00999618
7,294.227,2.44329,1.85877,1.10271,0.47679,0.08698,0.06956,0.03078,2.2819,1.74763,1.07378,0.0099945,0.0099945,0.0099945
8,334.323,2.40771,1.79769,1.08121,0.53427,0.09687,0.07414,0.03304,2.22792,1.75615,1.05268,0.00999252,0.00999252,0.00999252
9,373.643,2.36677,1.75428,1.07049,0.42466,0.11528,0.08826,0.03911,2.21063,1.6463,1.04927,0.00999023,0.00999023,0.00999023
10,413.852,2.33623,1.72151,1.0641,0.5189,0.1179,0.09107,0.04004,2.15152,1.64064,1.03384,0.00998764,0.00998764,0.00998764
11,454.052,2.2997,1.6713,1.05719,0.42326,0.12354,0.09919,0.04404,2.16552,1.55224,1.03049,0.00998474,0.00998474,0.00998474
12,492.698,2.2764,1.64226,1.0465,0.34602,0.14063,0.11266,0.05068,2.13362,1.50183,1.02656,0.00998154,0.00998154,0.00998154
13,532.908,2.2616,1.61321,1.0411,0.52158,0.11726,0.0994,0.04355,2.21643,1.56239,1.03573,0.00997803,0.00997803,0.00997803
14,572.039,2.2294,1.59049,1.03658,0.44291,0.13664,0.11294,0.05063,2.13214,1.46536,1.0215,0.00997422,0.00997422,0.00997422
15,613.357,2.20932,1.57264,1.03755,0.47321,0.16165,0.12722,0.05779,2.07009,1.43275,1.01248,0.00997011,0.00997011,0.00997011
16,654.614,2.19534,1.54976,1.03002,0.46962,0.15095,0.13043,0.06043,2.0536,1.41754,1.01174,0.00996569,0.00996569,0.00996569
17,695.26,2.17767,1.53597,1.0276,0.44796,0.15602,0.12056,0.05375,2.06757,1.44489,1.00433,0.00996097,0.00996097,0.00996097
18,736.787,2.16087,1.51312,1.02365,0.45468,0.17698,0.14087,0.06438,2.0336,1.39677,1.00236,0.00995594,0.00995594,0.00995594
19,777.217,2.16002,1.49519,1.02031,0.4559,0.16646,0.13598,0.06279,2.05232,1.44804,0.99773,0.00995062,0.00995062,0.00995062
20,817.579,2.14066,1.48314,1.02227,0.55298,0.14885,0.12951,0.05913,2.04713,1.44251,0.99985,0.00994499,0.00994499,0.00994499
21,856.437,2.13836,1.47416,1.01278,0.48834,0.16728,0.14126,0.06406,2.01708,1.3607,0.99636,0.00993906,0.00993906,0.00993906
22,896.301,2.11676,1.44993,1.01087,0.38619,0.17897,0.14108,0.06328,2.01939,1.40531,0.99387,0.00993282,0.00993282,0.00993282
23,935.122,2.11998,1.45246,1.014,0.49833,0.18025,0.15934,0.07503,1.98059,1.35379,0.9892,0.00992629,0.00992629,0.00992629
24,973.86,2.10152,1.44103,1.00692,0.44811,0.17282,0.15646,0.07327,1.97847,1.34549,0.98791,0.00991946,0.00991946,0.00991946
25,1012.64,2.11141,1.43571,1.00168,0.4534,0.172,0.15254,0.07026,1.97759,1.36025,0.98715,0.00991232,0.00991232,0.00991232
26,1052.28,2.09698,1.42462,1.00615,0.38021,0.18574,0.15608,0.07271,1.96505,1.31478,0.98021,0.00990489,0.00990489,0.00990489
27,1092.91,2.1032,1.41741,0.99605,0.35718,0.1916,0.16438,0.07695,1.97376,1.32019,0.9821,0.00989715,0.00989715,0.00989715
28,1133.45,2.09573,1.41805,1.00094,0.42344,0.18443,0.16656,0.07836,1.9718,1.30323,0.98406,0.00988912,0.00988912,0.00988912
29,1172.38,2.09719,1.41044,0.99771,0.49766,0.16299,0.15619,0.07374,1.97373,1.34047,0.97873,0.00988079,0.00988079,0.00988079
30,1211.25,2.0984,1.42201,0.99376,0.32948,0.19244,0.16754,0.0761,1.96918,1.31829,0.97624,0.00987216,0.00987216,0.00987216
31,1252.58,2.0888,1.41234,0.99394,0.53735,0.16949,0.16442,0.07741,1.95568,1.32258,0.97274,0.00986323,0.00986323,0.00986323
32,1291.88,2.09135,1.41137,0.9841,0.37942,0.17767,0.1637,0.07759,1.97275,1.32459,0.97061,0.00985401,0.00985401,0.00985401
33,1332.27,2.08157,1.40796,0.98512,0.34131,0.2003,0.1666,0.07857,1.94817,1.29325,0.96821,0.00984449,0.00984449,0.00984449
34,1372.35,2.07936,1.40596,0.98177,0.37965,0.18288,0.1686,0.07941,1.93823,1.29374,0.9637,0.00983467,0.00983467,0.00983467
35,1411.8,2.06749,1.40131,0.98143,0.43709,0.18167,0.17099,0.08098,1.93834,1.32509,0.96385,0.00982456,0.00982456,0.00982456
36,1450.51,2.05669,1.39116,0.97499,0.36377,0.20317,0.16227,0.07534,1.92524,1.30203,0.95916,0.00981415,0.00981415,0.00981415
37,1491.32,2.04449,1.38502,0.97477,0.39181,0.1929,0.16727,0.07675,1.93098,1.29128,0.96013,0.00980345,0.00980345,0.00980345
38,1530.78,2.05178,1.3842,0.973,0.34998,0.18878,0.17376,0.08291,1.92933,1.28275,0.95802,0.00979246,0.00979246,0.00979246
39,1570.15,2.05115,1.38304,0.97092,0.33972,0.19807,0.17344,0.07875,1.91487,1.28985,0.95672,0.00978118,0.00978118,0.00978118
40,1608.73,2.04607,1.37218,0.97063,0.30055,0.21156,0.18398,0.08705,1.91928,1.25454,0.95562,0.0097696,0.0097696,0.0097696
41,1650.29,2.03396,1.36562,0.96938,0.39042,0.19085,0.17176,0.07981,1.90144,1.25787,0.95358,0.00975773,0.00975773,0.00975773
42,1693.2,2.02867,1.35986,0.96658,0.37456,0.20073,0.17326,0.0808,1.90228,1.25915,0.95271,0.00974557,0.00974557,0.00974557
43,1733.85,2.02617,1.35989,0.96793,0.38723,0.20583,0.18032,0.08484,1.89933,1.25217,0.95144,0.00973312,0.00973312,0.00973312
44,1774.15,2.02011,1.34731,0.96276,0.3078,0.21477,0.18055,0.08492,1.8973,1.25586,0.94929,0.00972039,0.00972039,0.00972039
45,1814.41,2.02777,1.3513,0.964,0.42832,0.20049,0.19056,0.09176,1.89178,1.23663,0.9501,0.00970736,0.00970736,0.00970736
46,1854.77,2.01747,1.34488,0.96063,0.30885,0.21867,0.18948,0.08959,1.89791,1.23627,0.94969,0.00969405,0.00969405,0.00969405
47,1897.52,2.0039,1.33424,0.96092,0.3355,0.2056,0.18636,0.08878,1.88788,1.23333,0.9477,0.00968045,0.00968045,0.00968045
48,1939.05,2.00763,1.32613,0.95578,0.30127,0.20942,0.1892,0.08918,1.88631,1.24319,0.94744,0.00966656,0.00966656,0.00966656
49,1977.84,2.00775,1.33184,0.95677,0.30732,0.20972,0.19103,0.0904,1.88305,1.21956,0.94847,0.00965239,0.00965239,0.00965239
50,2018.85,1.97952,1.31748,0.95784,0.2972,0.21867,0.19206,0.09298,1.87369,1.2172,0.94696,0.00963794,0.00963794,0.00963794
51,2060.29,2.00343,1.32974,0.95606,0.34982,0.22008,0.19821,0.09462,1.87669,1.21429,0.94661,0.0096232,0.0096232,0.0096232
52,2101.94,1.99662,1.3208,0.95717,0.35311,0.20246,0.19141,0.09163,1.88056,1.22125,0.94581,0.00960819,0.00960819,0.00960819
53,2141.44,1.98541,1.30866,0.95474,0.43676,0.21291,0.19324,0.09096,1.86855,1.22371,0.94341,0.00959289,0.00959289,0.00959289
54,2180.72,1.97712,1.30682,0.95595,0.45486,0.21249,0.19814,0.09624,1.8575,1.206,0.94284,0.00957731,0.00957731,0.00957731
55,2220.41,1.97541,1.30316,0.9548,0.33831,0.21073,0.1972,0.09577,1.85884,1.19516,0.94314,0.00956145,0.00956145,0.00956145
