epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.352,3.20058,4.15747,3.0911,0.24906,0.06199,0.02945,0.01016,2.29885,2.84554,2.14992,0.00332921,0.00332921,0.0700371
2,225.9,2.09452,2.82159,1.9154,0.17837,0.09898,0.0669,0.02912,1.94149,2.34025,1.74142,0.00666244,0.00666244,0.040037
3,342.259,1.81511,2.44267,1.67244,0.2572,0.11815,0.09367,0.04494,1.66302,2.06092,1.55532,0.00999527,0.00999527,0.0100365
4,453.05,1.67143,2.20642,1.55136,0.24952,0.15036,0.11879,0.05918,1.56786,1.88245,1.48091,0.00999863,0.00999863,0.00999863
5,562.4,1.57435,2.04194,1.4729,0.28444,0.17538,0.12601,0.06467,1.50067,1.78503,1.43509,0.00999756,0.00999756,0.00999756
6,673.552,1.51866,1.91398,1.42476,0.20042,0.20673,0.1602,0.08499,1.40177,1.65072,1.36273,0.00999618,0.00999618,0.00999618
7,789.066,1.4643,1.81812,1.39025,0.21473,0.21444,0.16977,0.09133,1.39207,1.57571,1.34579,0.0099945,0.0099945,0.0099945
8,896.691,1.42939,1.74535,1.37059,0.23837,0.23258,0.18843,0.10062,1.36126,1.53969,1.3263,0.00999252,0.00999252,0.00999252
9,1009.11,1.40428,1.68217,1.34368,0.27346,0.23388,0.20111,0.10869,1.32945,1.49906,1.30701,0.00999023,0.00999023,0.00999023
10,1113.49,1.37425,1.6329,1.33056,0.28512,0.24143,0.21987,0.12121,1.31195,1.44955,1.29103,0.00998764,0.00998764,0.00998764
11,1220.83,1.36238,1.59487,1.32074,0.3102,0.25774,0.23047,0.12725,1.29033,1.40792,1.27645,0.00998474,0.00998474,0.00998474
12,1327.62,1.34884,1.57368,1.30825,0.31337,0.25636,0.23783,0.12991,1.29132,1.39992,1.27393,0.00998154,0.00998154,0.00998154
13,1437.4,1.32804,1.52952,1.29535,0.31627,0.27005,0.24418,0.13574,1.26563,1.37385,1.263,0.00997803,0.00997803,0.00997803
14,1550.51,1.32014,1.50998,1.28623,0.38661,0.26482,0.25931,0.14584,1.23595,1.34854,1.24708,0.00997422,0.00997422,0.00997422
15,1663,1.31028,1.48831,1.28141,0.36351,0.28865,0.27046,0.15104,1.25322,1.32616,1.24689,0.00997011,0.00997011,0.00997011
16,1780.21,1.2961,1.4621,1.27284,0.39146,0.28671,0.27837,0.15723,1.22195,1.29778,1.23443,0.00996569,0.00996569,0.00996569
17,1892.66,1.29147,1.44353,1.26552,0.37648,0.2871,0.27613,0.15513,1.22462,1.29682,1.22885,0.00996097,0.00996097,0.00996097
18,2001.64,1.29486,1.42877,1.25903,0.39399,0.29897,0.29187,0.16451,1.23971,1.27851,1.22571,0.00995594,0.00995594,0.00995594
19,2115.98,1.31817,1.42461,1.24984,0.39419,0.30646,0.29747,0.17015,1.27329,1.2775,1.22154,0.00995062,0.00995062,0.00995062
20,2228.4,1.33825,1.40647,1.24715,0.39962,0.30253,0.29614,0.1694,1.27565,1.2763,1.2125,0.00994499,0.00994499,0.00994499
21,2340.15,1.34719,1.39625,1.2408,0.39442,0.30532,0.29861,0.17005,1.27023,1.26361,1.20527,0.00993906,0.00993906,0.00993906
22,2452.38,1.3478,1.38336,1.23632,0.41264,0.31268,0.31097,0.17677,1.28651,1.26077,1.20664,0.00993282,0.00993282,0.00993282
23,2564.9,1.34983,1.37296,1.23153,0.40746,0.31471,0.31247,0.17933,1.28366,1.24897,1.20132,0.00992629,0.00992629,0.00992629
24,2678.03,1.34817,1.36588,1.22614,0.41424,0.32149,0.32137,0.18519,1.27607,1.23213,1.19212,0.00991946,0.00991946,0.00991946
25,2796.16,1.3527,1.35839,1.22061,0.41581,0.32413,0.31852,0.18438,1.28874,1.23268,1.19208,0.00991232,0.00991232,0.00991232
26,2909.75,1.35405,1.3502,1.222,0.41644,0.32744,0.32326,0.18677,1.27867,1.22498,1.18745,0.00990489,0.00990489,0.00990489
27,3023.84,1.35446,1.34506,1.21458,0.41341,0.33261,0.32558,0.18698,1.28531,1.22519,1.18428,0.00989715,0.00989715,0.00989715
28,3138.1,1.35045,1.32885,1.21102,0.42443,0.33248,0.33019,0.19141,1.28217,1.2116,1.1822,0.00988912,0.00988912,0.00988912
29,3250.31,1.35307,1.32305,1.20896,0.44466,0.32756,0.33462,0.19494,1.28695,1.21037,1.17639,0.00988079,0.00988079,0.00988079
30,3354.24,1.3485,1.31247,1.20092,0.45576,0.33112,0.33593,0.19481,1.27555,1.20067,1.17385,0.00987216,0.00987216,0.00987216
31,3466.75,1.3432,1.31103,1.20197,0.44079,0.33573,0.33772,0.1956,1.27407,1.19975,1.17171,0.00986323,0.00986323,0.00986323
32,3583.08,1.3416,1.30569,1.19871,0.44992,0.3394,0.34518,0.2004,1.26942,1.19171,1.16921,0.00985401,0.00985401,0.00985401
33,3692.75,1.33637,1.29729,1.19638,0.44727,0.33678,0.34262,0.19893,1.2708,1.18543,1.16958,0.00984449,0.00984449,0.00984449
34,3808.39,1.3448,1.29705,1.19854,0.44736,0.34539,0.34863,0.20343,1.26933,1.17904,1.16448,0.00983467,0.00983467,0.00983467
35,3922.21,1.33291,1.28096,1.19103,0.44008,0.34635,0.34675,0.20214,1.26845,1.17884,1.16152,0.00982456,0.00982456,0.00982456
36,4031.14,1.32976,1.27657,1.19049,0.44981,0.33843,0.34693,0.20281,1.2631,1.17755,1.16248,0.00981415,0.00981415,0.00981415
37,4138.82,1.3315,1.27059,1.18282,0.44505,0.35339,0.35134,0.20424,1.25426,1.17105,1.15934,0.00980345,0.00980345,0.00980345
38,4244.76,1.32693,1.26806,1.18554,0.46622,0.34357,0.35302,0.20628,1.26222,1.16575,1.15682,0.00979246,0.00979246,0.00979246
39,4357.35,1.32903,1.26187,1.18236,0.44818,0.35174,0.35314,0.2077,1.25889,1.16178,1.1554,0.00978118,0.00978118,0.00978118
40,4463.88,1.32505,1.25154,1.18318,0.46018,0.35256,0.36106,0.21131,1.25538,1.1579,1.15429,0.0097696,0.0097696,0.0097696
41,4577.8,1.32509,1.25124,1.18487,0.44727,0.35764,0.35733,0.20937,1.25698,1.15583,1.15288,0.00975773,0.00975773,0.00975773
42,4692.48,1.32822,1.25061,1.17795,0.46846,0.35341,0.35701,0.20802,1.25903,1.15688,1.15103,0.00974557,0.00974557,0.00974557
43,4800.94,1.32247,1.24505,1.1746,0.45257,0.36122,0.36198,0.21295,1.24503,1.14596,1.14709,0.00973312,0.00973312,0.00973312
44,4911.86,1.31804,1.23947,1.17782,0.44658,0.35765,0.36089,0.21237,1.25126,1.14523,1.14921,0.00972039,0.00972039,0.00972039
45,5023.96,1.31126,1.23014,1.17114,0.47222,0.35412,0.36464,0.2139,1.25389,1.14013,1.14856,0.00970736,0.00970736,0.00970736
46,5135.11,1.31821,1.22962,1.17098,0.46057,0.35815,0.36447,0.21405,1.25042,1.13546,1.14631,0.00969405,0.00969405,0.00969405
47,5249.6,1.31494,1.22691,1.1718,0.46794,0.35613,0.36709,0.21625,1.24725,1.13548,1.14347,0.00968045,0.00968045,0.00968045
48,5363.81,1.31346,1.22291,1.16992,0.4755,0.36068,0.37287,0.21987,1.24713,1.12856,1.14202,0.00966656,0.00966656,0.00966656
49,5475.74,1.30805,1.21347,1.16464,0.47421,0.36022,0.37104,0.21852,1.24084,1.12091,1.1393,0.00965239,0.00965239,0.00965239
50,5588.52,1.31164,1.21456,1.17188,0.48189,0.35917,0.37347,0.21873,1.24554,1.12244,1.14268,0.00963794,0.00963794,0.00963794
51,5700.65,1.30747,1.21412,1.16772,0.46829,0.37075,0.37857,0.22244,1.24737,1.12115,1.14218,0.0096232,0.0096232,0.0096232
52,5816.09,1.30461,1.20442,1.16646,0.47616,0.36817,0.37607,0.22277,1.24056,1.1173,1.1374,0.00960819,0.00960819,0.00960819
53,5933.92,1.30284,1.20129,1.16546,0.47384,0.37047,0.37566,0.22167,1.23732,1.11489,1.13763,0.00959289,0.00959289,0.00959289
54,6048.3,1.29857,1.19631,1.16332,0.47573,0.36928,0.38081,0.22609,1.23422,1.1076,1.13587,0.00957731,0.00957731,0.00957731
55,6161.69,1.30208,1.19779,1.1619,0.4866,0.36475,0.38072,0.22413,1.23813,1.11244,1.13569,0.00956145,0.00956145,0.00956145
56,6277.49,1.3019,1.19471,1.15781,0.47489,0.36902,0.3787,0.2233,1.23773,1.11127,1.13556,0.00954531,0.00954531,0.00954531
57,6387.85,1.29908,1.193,1.15526,0.48406,0.3631,0.37897,0.22454,1.23101,1.11006,1.13195,0.00952889,0.00952889,0.00952889
58,6503.45,1.29094,1.18041,1.15806,0.48073,0.37111,0.38238,0.22583,1.23144,1.10262,1.13231,0.0095122,0.0095122,0.0095122
59,6613.69,1.2892,1.18423,1.15914,0.49168,0.36677,0.38087,0.22533,1.23648,1.10321,1.13097,0.00949524,0.00949524,0.00949524
60,6731.76,1.29955,1.18383,1.15632,0.48658,0.37286,0.38416,0.22699,1.22801,1.09825,1.1286,0.009478,0.009478,0.009478
61,6850.12,1.29006,1.17179,1.151,0.49756,0.37149,0.38444,0.22835,1.22932,1.09714,1.1289,0.00946048,0.00946048,0.00946048
62,6966.35,1.2904,1.16897,1.15214,0.48897,0.37151,0.38509,0.22766,1.22559,1.09428,1.1273,0.0094427,0.0094427,0.0094427
63,7077.19,1.28454,1.16673,1.14983,0.48762,0.37276,0.38757,0.23058,1.22489,1.09052,1.12764,0.00942464,0.00942464,0.00942464
64,7189.16,1.28777,1.17074,1.15425,0.49643,0.37274,0.38981,0.23121,1.22622,1.08862,1.12718,0.00940631,0.00940631,0.00940631
65,7303.25,1.28808,1.16519,1.15656,0.48487,0.37835,0.3912,0.23031,1.22246,1.08475,1.12679,0.00938772,0.00938772,0.00938772
66,7410.61,1.28597,1.16232,1.14773,0.48826,0.37744,0.39336,0.23278,1.22313,1.08693,1.12484,0.00936886,0.00936886,0.00936886
67,7519.54,1.28359,1.15625,1.14822,0.48984,0.38156,0.39325,0.23309,1.22431,1.08127,1.12426,0.00934973,0.00934973,0.00934973
68,7632.56,1.2786,1.15475,1.14798,0.48866,0.3797,0.39238,0.23282,1.22034,1.08422,1.12256,0.00933033,0.00933033,0.00933033
69,7746.97,1.28086,1.15211,1.14421,0.49042,0.38596,0.3979,0.2358,1.22425,1.08217,1.12341,0.00931067,0.00931067,0.00931067
70,7856.09,1.27996,1.14947,1.14779,0.49515,0.37826,0.39554,0.23499,1.21899,1.08028,1.12275,0.00929075,0.00929075,0.00929075
71,7966.55,1.28717,1.15109,1.15038,0.49741,0.38387,0.39643,0.23514,1.22045,1.07901,1.12196,0.00927057,0.00927057,0.00927057
72,8082.84,1.28025,1.15137,1.14601,0.48681,0.38383,0.39713,0.23499,1.22465,1.07826,1.12243,0.00925013,0.00925013,0.00925013
73,8191.39,1.2762,1.13966,1.14465,0.48675,0.38791,0.3991,0.23732,1.22224,1.07492,1.12118,0.00922942,0.00922942,0.00922942
74,8302.37,1.27931,1.14082,1.14556,0.49903,0.38701,0.40009,0.23767,1.21872,1.0725,1.11934,0.00920846,0.00920846,0.00920846
75,8413.01,1.26821,1.13645,1.14649,0.49151,0.38889,0.39851,0.23671,1.21874,1.07246,1.11894,0.00918725,0.00918725,0.00918725
