epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.605,3.47593,4.55852,3.57757,0.20359,0.0067,0.00469,0.00114,3.17605,4.01357,2.87332,0.00332921,0.00332921,0.0700371
2,270.388,2.36583,3.1641,2.2136,0.28992,0.10119,0.06274,0.02697,1.92723,2.3607,1.75784,0.00666244,0.00666244,0.040037
3,438.117,1.84719,2.4778,1.70564,0.40546,0.12312,0.09094,0.04426,1.66547,2.03297,1.56689,0.00999527,0.00999527,0.0100365
4,568.561,1.67327,2.19159,1.5544,0.13419,0.16933,0.11838,0.05973,1.51792,1.85561,1.45522,0.00999863,0.00999863,0.00999863
5,696.386,1.57946,2.00897,1.4713,0.28356,0.19343,0.13868,0.07235,1.45927,1.73429,1.40652,0.00999756,0.00999756,0.00999756
6,824.886,1.52032,1.88722,1.42382,0.22858,0.2039,0.16613,0.08828,1.41856,1.62185,1.3599,0.00999618,0.00999618,0.00999618
7,957.396,1.47094,1.79678,1.38806,0.23102,0.21067,0.17507,0.09477,1.37921,1.57259,1.34303,0.0099945,0.0099945,0.0099945
8,1087.12,1.43827,1.72571,1.36846,0.24405,0.2386,0.19709,0.10529,1.37235,1.52522,1.32625,0.00999252,0.00999252,0.00999252
9,1218.28,1.41013,1.66886,1.34148,0.25717,0.24051,0.20544,0.11121,1.34056,1.47454,1.30157,0.00999023,0.00999023,0.00999023
10,1342.34,1.38008,1.61973,1.32783,0.28167,0.2556,0.22576,0.12374,1.32931,1.43269,1.29245,0.00998764,0.00998764,0.00998764
11,1471.87,1.36941,1.58002,1.3177,0.29572,0.25429,0.22519,0.12375,1.31683,1.42223,1.28328,0.00998474,0.00998474,0.00998474
12,1596.02,1.35171,1.55889,1.30352,0.33123,0.26517,0.24693,0.13727,1.29167,1.38652,1.27035,0.00998154,0.00998154,0.00998154
13,1721.42,1.32775,1.51572,1.29036,0.32149,0.2676,0.24788,0.13784,1.27656,1.37591,1.26478,0.00997803,0.00997803,0.00997803
14,1847.58,1.31914,1.49482,1.28267,0.43796,0.26913,0.26087,0.14773,1.23431,1.33689,1.25027,0.00997422,0.00997422,0.00997422
15,1973.65,1.30543,1.4671,1.27793,0.34957,0.29038,0.27319,0.15389,1.24716,1.32346,1.24099,0.00997011,0.00997011,0.00997011
16,2106.02,1.2939,1.44353,1.26793,0.36125,0.29454,0.27643,0.15491,1.236,1.30705,1.23712,0.00996569,0.00996569,0.00996569
17,2233.4,1.28373,1.42468,1.2602,0.34223,0.29088,0.27156,0.15423,1.21038,1.31061,1.23335,0.00996097,0.00996097,0.00996097
18,2359.61,1.27319,1.40465,1.25495,0.377,0.30714,0.29058,0.16311,1.2151,1.27582,1.22522,0.00995594,0.00995594,0.00995594
19,2492.71,1.26735,1.39703,1.2466,0.38918,0.30479,0.29569,0.16681,1.20426,1.26915,1.21802,0.00995062,0.00995062,0.00995062
20,2618.59,1.25627,1.37457,1.24273,0.38115,0.31922,0.3007,0.16859,1.20924,1.25779,1.21794,0.00994499,0.00994499,0.00994499
21,2746.63,1.2556,1.35984,1.23805,0.37138,0.31309,0.29577,0.16814,1.20084,1.24946,1.21362,0.00993906,0.00993906,0.00993906
22,2871.64,1.26019,1.34729,1.23359,0.38454,0.31674,0.30449,0.17207,1.21263,1.24603,1.21018,0.00993282,0.00993282,0.00993282
23,2993.42,1.27498,1.33721,1.22876,0.38916,0.32171,0.30925,0.17546,1.23313,1.24128,1.2076,0.00992629,0.00992629,0.00992629
24,3122.17,1.29971,1.33646,1.22479,0.40372,0.33083,0.31806,0.18238,1.23716,1.2206,1.19824,0.00991946,0.00991946,0.00991946
25,3256.69,1.31132,1.32875,1.21853,0.4014,0.33322,0.32025,0.18425,1.25309,1.22015,1.19455,0.00991232,0.00991232,0.00991232
26,3387.64,1.31706,1.32484,1.22129,0.40902,0.32889,0.31881,0.18254,1.2548,1.22329,1.18936,0.00990489,0.00990489,0.00990489
27,3515.86,1.32185,1.31881,1.21211,0.40146,0.33254,0.32513,0.18567,1.26947,1.21844,1.18774,0.00989715,0.00989715,0.00989715
28,3645.96,1.32213,1.30488,1.20867,0.40583,0.33266,0.32441,0.1861,1.26271,1.21293,1.18358,0.00988912,0.00988912,0.00988912
29,3773.69,1.32913,1.30237,1.20626,0.42657,0.33952,0.33068,0.18847,1.27271,1.20988,1.17859,0.00988079,0.00988079,0.00988079
30,3896.85,1.32703,1.29319,1.19869,0.42849,0.3425,0.3376,0.1945,1.25964,1.193,1.17258,0.00987216,0.00987216,0.00987216
31,4021.6,1.32651,1.28911,1.19845,0.42337,0.3341,0.33584,0.1941,1.26368,1.19684,1.17511,0.00986323,0.00986323,0.00986323
32,4152.36,1.32603,1.2869,1.19486,0.42607,0.34422,0.34271,0.19874,1.26865,1.18823,1.17018,0.00985401,0.00985401,0.00985401
33,4276.49,1.32262,1.27883,1.19238,0.42829,0.34161,0.33942,0.1955,1.26869,1.18621,1.16815,0.00984449,0.00984449,0.00984449
34,4403.73,1.32841,1.27834,1.19366,0.44774,0.34616,0.3449,0.20056,1.26623,1.18251,1.16718,0.00983467,0.00983467,0.00983467
35,4532.96,1.32312,1.26377,1.18792,0.44528,0.3471,0.34775,0.20233,1.26125,1.1747,1.16205,0.00982456,0.00982456,0.00982456
36,4660.21,1.32004,1.25872,1.18713,0.44542,0.34626,0.34442,0.20048,1.25962,1.17553,1.16096,0.00981415,0.00981415,0.00981415
37,4785.22,1.32075,1.25535,1.1786,0.4409,0.3499,0.35225,0.20592,1.25894,1.168,1.15692,0.00980345,0.00980345,0.00980345
38,4906.46,1.31671,1.2496,1.18057,0.45407,0.35641,0.35503,0.20782,1.26152,1.16489,1.15376,0.00979246,0.00979246,0.00979246
39,5032.6,1.31914,1.24457,1.17776,0.44283,0.35533,0.35645,0.20842,1.25725,1.1583,1.15471,0.00978118,0.00978118,0.00978118
40,5154.77,1.31702,1.23456,1.17885,0.45321,0.3556,0.35705,0.20965,1.24913,1.15314,1.15127,0.0097696,0.0097696,0.0097696
41,5281.48,1.31725,1.2352,1.18074,0.44595,0.35853,0.35708,0.20994,1.25393,1.1507,1.15016,0.00975773,0.00975773,0.00975773
42,5410.8,1.32017,1.23478,1.17301,0.46254,0.35921,0.35974,0.21067,1.25099,1.15209,1.14641,0.00974557,0.00974557,0.00974557
43,5532.57,1.3151,1.23113,1.16949,0.45951,0.36504,0.3644,0.21258,1.24809,1.13962,1.14536,0.00973312,0.00973312,0.00973312
44,5658.96,1.31096,1.22501,1.17287,0.46218,0.35691,0.3607,0.21281,1.25036,1.14312,1.14393,0.00972039,0.00972039,0.00972039
45,5784.87,1.30525,1.21483,1.16564,0.44977,0.36385,0.36398,0.21421,1.25326,1.14002,1.14437,0.00970736,0.00970736,0.00970736
46,5907.13,1.31214,1.2125,1.16656,0.45845,0.36679,0.36785,0.21592,1.25101,1.13454,1.14273,0.00969405,0.00969405,0.00969405
47,6033.98,1.30963,1.21597,1.16812,0.46102,0.37068,0.36954,0.21701,1.24567,1.13409,1.14049,0.00968045,0.00968045,0.00968045
48,6162.08,1.30672,1.20849,1.16435,0.46143,0.36879,0.37237,0.21952,1.24061,1.12602,1.13841,0.00966656,0.00966656,0.00966656
49,6285.48,1.30223,1.20045,1.15941,0.46798,0.3721,0.37524,0.22159,1.24242,1.11836,1.13586,0.00965239,0.00965239,0.00965239
50,6413.32,1.30542,1.20134,1.1669,0.45623,0.37535,0.37417,0.22,1.24981,1.12118,1.14026,0.00963794,0.00963794,0.00963794
51,6539.37,1.30071,1.198,1.16196,0.46714,0.37298,0.37772,0.22377,1.24215,1.11901,1.13699,0.0096232,0.0096232,0.0096232
52,6662.39,1.29873,1.18909,1.16066,0.47538,0.37069,0.37605,0.2224,1.24031,1.12003,1.13364,0.00960819,0.00960819,0.00960819
53,6794.35,1.29858,1.1869,1.15961,0.46064,0.38122,0.37768,0.2225,1.23739,1.1106,1.13207,0.00959289,0.00959289,0.00959289
54,6922.06,1.29158,1.18294,1.15823,0.47705,0.37544,0.38124,0.22658,1.23524,1.10695,1.13107,0.00957731,0.00957731,0.00957731
55,7048.14,1.29651,1.18303,1.15666,0.46379,0.37882,0.37893,0.22405,1.23662,1.11348,1.13027,0.00956145,0.00956145,0.00956145
56,7180.38,1.29616,1.17894,1.15258,0.47886,0.37899,0.38471,0.22809,1.23329,1.10458,1.12916,0.00954531,0.00954531,0.00954531
57,7303.75,1.29213,1.17765,1.14923,0.48537,0.37359,0.38466,0.22862,1.23387,1.1062,1.12951,0.00952889,0.00952889,0.00952889
58,7430.33,1.28852,1.16959,1.15365,0.48438,0.37688,0.38514,0.22881,1.23369,1.10237,1.12925,0.0095122,0.0095122,0.0095122
59,7554.01,1.28344,1.16931,1.15363,0.4923,0.37718,0.38568,0.22867,1.23536,1.09917,1.12765,0.00949524,0.00949524,0.00949524
60,7684.2,1.2942,1.16999,1.15071,0.48252,0.37748,0.38554,0.22924,1.23403,1.09577,1.12708,0.009478,0.009478,0.009478
61,7814.59,1.28212,1.1576,1.14526,0.48955,0.38196,0.38728,0.23013,1.23045,1.09431,1.12756,0.00946048,0.00946048,0.00946048
62,7944.77,1.28467,1.15696,1.14671,0.48688,0.38232,0.38879,0.23095,1.23323,1.09237,1.12657,0.0094427,0.0094427,0.0094427
63,8070.79,1.27935,1.15195,1.14456,0.48704,0.38102,0.38729,0.23063,1.22837,1.08976,1.12373,0.00942464,0.00942464,0.00942464
64,8195.82,1.28091,1.1571,1.14888,0.49701,0.37797,0.38822,0.23126,1.22958,1.08754,1.12407,0.00940631,0.00940631,0.00940631
65,8320.33,1.28335,1.15006,1.1505,0.48471,0.3852,0.38918,0.23265,1.22751,1.08659,1.12186,0.00938772,0.00938772,0.00938772
66,8441.47,1.28079,1.15024,1.14231,0.49252,0.38678,0.39096,0.23291,1.22691,1.08665,1.12203,0.00936886,0.00936886,0.00936886
67,8568.15,1.28091,1.14233,1.14324,0.50248,0.38105,0.39216,0.23379,1.22626,1.08219,1.12184,0.00934973,0.00934973,0.00934973
68,8698.09,1.27213,1.14321,1.14252,0.50261,0.38191,0.39337,0.23592,1.22329,1.08036,1.11962,0.00933033,0.00933033,0.00933033
69,8826.67,1.27688,1.14119,1.13947,0.49938,0.38306,0.39407,0.23584,1.22478,1.08283,1.12011,0.00931067,0.00931067,0.00931067
70,8948.92,1.27609,1.13819,1.1428,0.49312,0.38772,0.39453,0.2354,1.2257,1.08048,1.12046,0.00929075,0.00929075,0.00929075
71,9075.13,1.28024,1.13767,1.14436,0.49509,0.38798,0.39645,0.23647,1.22566,1.07496,1.11885,0.00927057,0.00927057,0.00927057
72,9200.42,1.27265,1.137,1.13915,0.48994,0.39181,0.39771,0.23667,1.22701,1.07563,1.11971,0.00925013,0.00925013,0.00925013
73,9322.95,1.27138,1.12828,1.1392,0.49333,0.38775,0.39801,0.23808,1.2215,1.07088,1.11754,0.00922942,0.00922942,0.00922942
74,9446.2,1.27371,1.12508,1.13927,0.49657,0.38903,0.40107,0.24009,1.22141,1.06717,1.11734,0.00920846,0.00920846,0.00920846
75,9570.61,1.26168,1.12453,1.14007,0.50107,0.39224,0.40125,0.23985,1.2239,1.06874,1.11792,0.00918725,0.00918725,0.00918725
76,9698.32,1.2704,1.12814,1.13828,0.4943,0.393,0.40039,0.23945,1.22085,1.06909,1.11735,0.00916577,0.00916577,0.00916577
77,9821.36,1.27108,1.11914,1.1372,0.50235,0.3862,0.40059,0.23941,1.21868,1.06592,1.11593,0.00914405,0.00914405,0.00914405
78,9947.17,1.26958,1.11819,1.13606,0.50045,0.38967,0.40179,0.24008,1.21643,1.06584,1.11483,0.00912207,0.00912207,0.00912207
79,10067.7,1.26023,1.11654,1.13124,0.50141,0.39049,0.39957,0.24038,1.21569,1.06464,1.11425,0.00909984,0.00909984,0.00909984
80,10190,1.26135,1.11304,1.13433,0.5014,0.39214,0.40188,0.24103,1.21463,1.06327,1.11333,0.00907736,0.00907736,0.00907736
81,10315.7,1.26072,1.11121,1.13525,0.49883,0.3948,0.40322,0.24237,1.21414,1.06159,1.11325,0.00905463,0.00905463,0.00905463
82,10445.1,1.26342,1.11254,1.13021,0.50556,0.39508,0.40612,0.24389,1.21589,1.05862,1.11344,0.00903166,0.00903166,0.00903166
83,10573.4,1.26329,1.11228,1.13222,0.50626,0.3966,0.4074,0.24449,1.21491,1.05855,1.11319,0.00900844,0.00900844,0.00900844
84,10704.9,1.26353,1.10908,1.13287,0.50878,0.3949,0.4092,0.24557,1.21504,1.05537,1.11227,0.00898497,0.00898497,0.00898497
85,10830.7,1.26028,1.10643,1.12965,0.50122,0.39612,0.40953,0.24569,1.21321,1.05388,1.11186,0.00896127,0.00896127,0.00896127
86,10954.3,1.26119,1.10679,1.13515,0.50435,0.396,0.40918,0.24539,1.21229,1.05461,1.11177,0.00893732,0.00893732,0.00893732
87,11081.8,1.25928,1.10142,1.12729,0.50675,0.3956,0.41028,0.24543,1.21515,1.05346,1.11179,0.00891313,0.00891313,0.00891313
88,11205.6,1.26297,1.10805,1.12998,0.50001,0.39665,0.40953,0.24542,1.21441,1.05291,1.11191,0.0088887,0.0088887,0.0088887
89,11333.2,1.26443,1.10765,1.13177,0.50949,0.39647,0.40836,0.2451,1.21306,1.05082,1.11089,0.00886404,0.00886404,0.00886404
90,11459.2,1.26144,1.09931,1.13057,0.50789,0.40009,0.41189,0.24687,1.21089,1.04808,1.10984,0.00883914,0.00883914,0.00883914
91,11588.4,1.26268,1.1096,1.12728,0.49951,0.40804,0.41178,0.24722,1.21099,1.04728,1.10922,0.00881401,0.00881401,0.00881401
92,11715,1.25539,1.09481,1.12482,0.50355,0.40454,0.41112,0.24715,1.21044,1.04687,1.10882,0.00878864,0.00878864,0.00878864
93,11847.7,1.2625,1.10081,1.12714,0.50605,0.40512,0.41172,0.24769,1.21065,1.04757,1.10801,0.00876305,0.00876305,0.00876305
94,11976,1.25972,1.09424,1.1256,0.51147,0.40468,0.41316,0.24775,1.21098,1.04563,1.10749,0.00873723,0.00873723,0.00873723
95,12100,1.25661,1.09188,1.12927,0.50686,0.40873,0.41353,0.24813,1.20931,1.04525,1.10769,0.00871117,0.00871117,0.00871117
96,12228.8,1.25253,1.09319,1.12811,0.5087,0.40542,0.4135,0.24766,1.21063,1.04593,1.10796,0.0086849,0.0086849,0.0086849
97,12356.8,1.25356,1.08844,1.1277,0.51001,0.40336,0.41503,0.2486,1.20843,1.04401,1.10687,0.00865839,0.00865839,0.00865839
98,12480.6,1.2507,1.08339,1.12583,0.50886,0.40592,0.41443,0.24844,1.20753,1.04321,1.10609,0.00863167,0.00863167,0.00863167
99,12603.4,1.24852,1.08739,1.12327,0.51303,0.40389,0.41589,0.2495,1.20744,1.03993,1.10586,0.00860473,0.00860473,0.00860473
100,12729.6,1.24782,1.07761,1.11995,0.52293,0.40051,0.41593,0.24953,1.20795,1.0395,1.10597,0.00857756,0.00857756,0.00857756
101,12853.6,1.24995,1.07876,1.11997,0.51486,0.40542,0.41779,0.24984,1.2085,1.03898,1.1059,0.00855018,0.00855018,0.00855018
102,12982.8,1.24921,1.08025,1.12375,0.51509,0.40423,0.41809,0.25057,1.20779,1.03902,1.1056,0.00852258,0.00852258,0.00852258
103,13107.7,1.24747,1.08267,1.12249,0.52235,0.4023,0.42007,0.25224,1.20707,1.03766,1.10534,0.00849477,0.00849477,0.00849477
104,13241.1,1.24652,1.07543,1.11828,0.51917,0.40806,0.42023,0.25248,1.20716,1.03666,1.10488,0.00846674,0.00846674,0.00846674
105,13366.8,1.24569,1.0722,1.12107,0.51659,0.40904,0.42016,0.25205,1.20715,1.03638,1.10442,0.00843851,0.00843851,0.00843851
106,13493.7,1.24984,1.07673,1.1209,0.51681,0.4088,0.42098,0.25252,1.20773,1.03493,1.10418,0.00841006,0.00841006,0.00841006
107,13623.8,1.24819,1.07714,1.1192,0.5179,0.40747,0.42131,0.2528,1.20708,1.03453,1.10427,0.00838141,0.00838141,0.00838141
108,13748.3,1.24662,1.07364,1.11832,0.5126,0.40879,0.42162,0.25305,1.20702,1.03378,1.10416,0.00835255,0.00835255,0.00835255
109,13876,1.24642,1.06961,1.12143,0.51375,0.40889,0.42155,0.25289,1.20763,1.03312,1.1042,0.00832349,0.00832349,0.00832349
110,14005.7,1.24622,1.07142,1.11908,0.51395,0.40828,0.42175,0.25288,1.20718,1.03256,1.10411,0.00829423,0.00829423,0.00829423
111,14136,1.24621,1.06988,1.11878,0.51706,0.41062,0.42324,0.25388,1.20697,1.03158,1.10389,0.00826477,0.00826477,0.00826477
112,14265.1,1.24379,1.06723,1.11634,0.52247,0.40865,0.42354,0.25401,1.2066,1.03077,1.1039,0.00823511,0.00823511,0.00823511
113,14389.2,1.24188,1.06554,1.11515,0.51804,0.41319,0.42393,0.25441,1.20638,1.03024,1.10398,0.00820525,0.00820525,0.00820525
114,14512.6,1.24305,1.06471,1.11354,0.51817,0.41316,0.42506,0.25524,1.20605,1.02929,1.10382,0.0081752,0.0081752,0.0081752
115,14641.5,1.24213,1.05878,1.11743,0.51649,0.41362,0.42612,0.2553,1.20499,1.02856,1.10337,0.00814495,0.00814495,0.00814495
116,14769.7,1.24777,1.06639,1.11992,0.51875,0.41146,0.42562,0.25518,1.20488,1.02744,1.10323,0.00811452,0.00811452,0.00811452
117,14897,1.24043,1.06131,1.11941,0.51984,0.40844,0.42445,0.25457,1.20328,1.02672,1.10316,0.00808389,0.00808389,0.00808389
118,15021.4,1.23228,1.05367,1.11938,0.51467,0.41187,0.42443,0.25495,1.20263,1.02584,1.10285,0.00805308,0.00805308,0.00805308
