epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2176,2.20186,3.1144,1.95655,0.20133,0.2108,0.15506,0.07721,1.60805,1.72514,1.45803,0.001,0.001,0.001
2,172.091,1.60846,1.73881,1.41511,0.2968,0.2531,0.21544,0.11498,1.47992,1.48955,1.33466,0.000999985,0.000999985,0.000999985
3,255.975,1.52356,1.57229,1.33707,0.33683,0.28021,0.25139,0.13728,1.43423,1.39155,1.28833,0.000999939,0.000999939,0.000999939
4,340.281,1.4791,1.4867,1.29971,0.35379,0.29238,0.26737,0.14709,1.40983,1.35041,1.2633,0.000999863,0.000999863,0.000999863
5,424.523,1.45112,1.4458,1.2762,0.36937,0.2985,0.2801,0.15483,1.37669,1.31501,1.243,0.000999756,0.000999756,0.000999756
6,508.729,1.43623,1.41682,1.26024,0.37765,0.31417,0.29156,0.16182,1.36724,1.30394,1.23192,0.000999618,0.000999618,0.000999618
7,592.73,1.41538,1.38614,1.24808,0.37802,0.32399,0.29964,0.16763,1.34352,1.26886,1.21813,0.00099945,0.00099945,0.00099945
8,675.785,1.40519,1.36803,1.24403,0.3928,0.32014,0.30504,0.17128,1.34503,1.25588,1.21459,0.000999252,0.000999252,0.000999252
9,759.209,1.39543,1.34548,1.22887,0.39019,0.32872,0.31096,0.17503,1.33247,1.245,1.20577,0.000999023,0.000999023,0.000999023
10,841.923,1.37935,1.32585,1.22564,0.39508,0.3327,0.31633,0.17887,1.32215,1.236,1.1992,0.000998764,0.000998764,0.000998764
11,925.288,1.38541,1.32069,1.22489,0.39462,0.33174,0.31617,0.17795,1.32962,1.23154,1.19791,0.000998474,0.000998474,0.000998474
12,1009.05,1.37892,1.31852,1.21729,0.39511,0.33654,0.31735,0.17933,1.32236,1.22104,1.19415,0.000998154,0.000998154,0.000998154
13,1092.54,1.36532,1.29646,1.21152,0.40984,0.33234,0.31974,0.18126,1.31694,1.2174,1.19219,0.000997803,0.000997803,0.000997803
14,1176.31,1.36622,1.29645,1.2077,0.39439,0.34261,0.32398,0.18439,1.31441,1.21446,1.18641,0.000997422,0.000997422,0.000997422
15,1260,1.36083,1.28625,1.20823,0.42201,0.33999,0.32816,0.1853,1.31116,1.20157,1.18536,0.000997011,0.000997011,0.000997011
16,1343.95,1.35374,1.27687,1.20251,0.42121,0.34178,0.32952,0.18754,1.3045,1.19847,1.18152,0.000996569,0.000996569,0.000996569
17,1428.46,1.35507,1.27231,1.19853,0.42082,0.33938,0.33195,0.18832,1.308,1.19313,1.18324,0.000996097,0.000996097,0.000996097
18,1512.14,1.35171,1.26638,1.1968,0.41705,0.34638,0.33386,0.18942,1.30486,1.18652,1.17795,0.000995594,0.000995594,0.000995594
19,1595.76,1.35094,1.26735,1.19102,0.42289,0.34713,0.33355,0.19071,1.29903,1.18848,1.17436,0.000995062,0.000995062,0.000995062
20,1679.34,1.34325,1.25434,1.19077,0.42417,0.34643,0.33456,0.18918,1.30784,1.18828,1.17883,0.000994499,0.000994499,0.000994499
21,1762.39,1.34155,1.24988,1.18936,0.43803,0.34545,0.34178,0.19506,1.29137,1.17464,1.17076,0.000993906,0.000993906,0.000993906
22,1845.72,1.33769,1.24037,1.18833,0.43012,0.34665,0.34286,0.19503,1.30044,1.17642,1.17371,0.000993282,0.000993282,0.000993282
23,1928.68,1.33181,1.23616,1.18558,0.42567,0.3541,0.34243,0.19581,1.29564,1.17026,1.17255,0.000992629,0.000992629,0.000992629
24,2012.76,1.33324,1.23441,1.18416,0.43979,0.35077,0.34743,0.19958,1.28505,1.16464,1.16615,0.000991946,0.000991946,0.000991946
25,2096.79,1.32939,1.23201,1.1798,0.43185,0.35402,0.34569,0.19812,1.29039,1.16624,1.16592,0.000991232,0.000991232,0.000991232
26,2180.48,1.33039,1.23011,1.18397,0.43768,0.34625,0.34377,0.19722,1.29453,1.16616,1.16695,0.000990489,0.000990489,0.000990489
27,2264.23,1.32783,1.22834,1.17745,0.44123,0.35265,0.3499,0.20076,1.28332,1.16031,1.164,0.000989715,0.000989715,0.000989715
28,2348.08,1.32638,1.21949,1.17772,0.44054,0.35577,0.35214,0.20278,1.28438,1.16077,1.16415,0.000988912,0.000988912,0.000988912
29,2431.86,1.32903,1.21632,1.17756,0.43609,0.35622,0.35156,0.20277,1.28837,1.15874,1.16289,0.000988079,0.000988079,0.000988079
30,2516.3,1.32159,1.21181,1.17058,0.44403,0.35214,0.35241,0.2038,1.28249,1.15368,1.1599,0.000987216,0.000987216,0.000987216
31,2599.99,1.31903,1.21169,1.1732,0.44533,0.35738,0.35423,0.20405,1.27722,1.15509,1.16054,0.000986323,0.000986323,0.000986323
32,2683.45,1.31762,1.20895,1.17229,0.44789,0.35762,0.35733,0.20707,1.27518,1.1458,1.15774,0.000985401,0.000985401,0.000985401
33,2766.39,1.31274,1.20485,1.17193,0.44347,0.35812,0.35398,0.20433,1.27526,1.14775,1.15843,0.000984449,0.000984449,0.000984449
34,2849.23,1.3198,1.20586,1.17348,0.4424,0.35931,0.3547,0.20551,1.2763,1.14696,1.15757,0.000983467,0.000983467,0.000983467
35,2932.58,1.31062,1.19789,1.1692,0.45042,0.36029,0.35889,0.20833,1.27429,1.14242,1.15631,0.000982456,0.000982456,0.000982456
36,3015.8,1.30937,1.19395,1.16958,0.44162,0.36169,0.35704,0.20645,1.27479,1.14798,1.15654,0.000981415,0.000981415,0.000981415
37,3099.54,1.31183,1.19397,1.16287,0.45779,0.36083,0.35847,0.20887,1.27387,1.14332,1.15644,0.000980345,0.000980345,0.000980345
38,3183.46,1.30617,1.19229,1.16635,0.45078,0.35837,0.36094,0.20882,1.275,1.14199,1.15437,0.000979246,0.000979246,0.000979246
39,3267.63,1.30978,1.19165,1.16509,0.45227,0.36287,0.36348,0.2115,1.27298,1.1381,1.15521,0.000978118,0.000978118,0.000978118
40,3351.7,1.30825,1.18298,1.16686,0.45905,0.35771,0.3627,0.21034,1.27163,1.13619,1.15474,0.00097696,0.00097696,0.00097696
41,3435.72,1.30947,1.18597,1.16999,0.45283,0.36145,0.36387,0.21126,1.27505,1.13625,1.15388,0.000975773,0.000975773,0.000975773
42,3520.17,1.31133,1.18782,1.16317,0.4493,0.36101,0.36114,0.20959,1.27439,1.13763,1.15333,0.000974557,0.000974557,0.000974557
43,3604.08,1.30891,1.18547,1.16188,0.44951,0.36385,0.36331,0.21168,1.26903,1.13443,1.1525,0.000973312,0.000973312,0.000973312
44,3687.58,1.30615,1.18161,1.16639,0.44623,0.361,0.36064,0.20922,1.26714,1.13463,1.15176,0.000972039,0.000972039,0.000972039
45,3771.06,1.29886,1.17538,1.15884,0.45851,0.36391,0.36632,0.21224,1.27166,1.12755,1.15102,0.000970736,0.000970736,0.000970736
46,3854.43,1.30622,1.17648,1.15938,0.44577,0.37012,0.36592,0.21273,1.27043,1.12864,1.15175,0.000969405,0.000969405,0.000969405
47,3938.88,1.30392,1.1812,1.16233,0.4526,0.36023,0.36343,0.21131,1.26931,1.13275,1.15067,0.000968045,0.000968045,0.000968045
48,4022.38,1.30266,1.17538,1.1603,0.45769,0.36416,0.36798,0.21432,1.26429,1.12434,1.14786,0.000966656,0.000966656,0.000966656
49,4106.28,1.30018,1.1698,1.15666,0.45283,0.37114,0.36826,0.21441,1.26859,1.12287,1.14808,0.000965239,0.000965239,0.000965239
