epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7585,1.58247,1.28085,1.22062,0.39695,0.33173,0.33024,0.19066,1.52039,1.20893,1.20717,0.001,0.001,0.001
2,142.807,1.55303,1.22258,1.20101,0.42803,0.34305,0.34918,0.20263,1.49373,1.17945,1.18942,0.000999973,0.000999973,0.000999973
3,213.164,1.53176,1.18936,1.18215,0.43299,0.35137,0.35944,0.20986,1.4865,1.16137,1.17833,0.000999891,0.000999891,0.000999891
4,283.605,1.5128,1.16182,1.17041,0.44724,0.35367,0.36971,0.21579,1.48557,1.15221,1.17301,0.000999756,0.000999756,0.000999756
5,354.608,1.50444,1.15366,1.1654,0.45069,0.3579,0.37359,0.22014,1.47053,1.13921,1.16644,0.000999566,0.000999566,0.000999566
6,425.044,1.50153,1.14344,1.15864,0.4511,0.37406,0.38177,0.22356,1.45982,1.13978,1.16049,0.000999322,0.000999322,0.000999322
7,495.63,1.48755,1.13206,1.15508,0.45063,0.37354,0.38414,0.22601,1.4628,1.13081,1.1596,0.000999023,0.000999023,0.000999023
8,565.363,1.48202,1.12694,1.15639,0.45211,0.37393,0.38558,0.22757,1.45972,1.12794,1.15646,0.000998671,0.000998671,0.000998671
9,636.405,1.48226,1.11897,1.14929,0.46163,0.37142,0.38648,0.22838,1.45412,1.12734,1.15461,0.000998264,0.000998264,0.000998264
10,705.547,1.46599,1.10665,1.14867,0.45441,0.37703,0.38661,0.22875,1.45366,1.12147,1.15315,0.000997803,0.000997803,0.000997803
11,773.867,1.47311,1.10783,1.14997,0.45531,0.37895,0.39098,0.22968,1.45421,1.12065,1.15216,0.000997288,0.000997288,0.000997288
12,842.977,1.46936,1.10775,1.14604,0.46004,0.37521,0.39028,0.23116,1.45156,1.11272,1.15041,0.00099672,0.00099672,0.00099672
13,913.622,1.46025,1.09504,1.14263,0.46412,0.37918,0.39177,0.23278,1.44749,1.11395,1.1489,0.000996097,0.000996097,0.000996097
14,985.222,1.46608,1.09832,1.14227,0.47345,0.37869,0.39674,0.23318,1.4474,1.11138,1.14787,0.00099542,0.00099542,0.00099542
15,1055.7,1.45864,1.09381,1.14354,0.46657,0.37868,0.39491,0.23447,1.44427,1.10537,1.14576,0.00099469,0.00099469,0.00099469
16,1124.76,1.45724,1.08894,1.13981,0.46925,0.38583,0.39811,0.2376,1.44055,1.10494,1.14457,0.000993906,0.000993906,0.000993906
17,1195.56,1.45647,1.08686,1.13845,0.46885,0.38075,0.398,0.23713,1.44195,1.10306,1.14443,0.000993068,0.000993068,0.000993068
18,1266.35,1.45318,1.08297,1.13739,0.47397,0.37687,0.39661,0.23685,1.44014,1.10241,1.14334,0.000992177,0.000992177,0.000992177
19,1336.49,1.45537,1.08643,1.13373,0.46714,0.38372,0.3974,0.23686,1.43955,1.10296,1.14186,0.000991232,0.000991232,0.000991232
20,1406.47,1.4504,1.0801,1.13466,0.46437,0.37874,0.39578,0.23666,1.43538,1.09988,1.14265,0.000990234,0.000990234,0.000990234
21,1476.57,1.44606,1.07611,1.13324,0.48546,0.36998,0.39775,0.23757,1.44028,1.09716,1.14197,0.000989183,0.000989183,0.000989183
22,1547.54,1.43968,1.07215,1.13234,0.47588,0.37862,0.39894,0.23719,1.43816,1.09416,1.14198,0.000988079,0.000988079,0.000988079
23,1618.49,1.43752,1.06835,1.13057,0.47922,0.37989,0.40167,0.23792,1.44077,1.09502,1.1414,0.000986922,0.000986922,0.000986922
24,1688.94,1.44098,1.06917,1.12996,0.47989,0.38454,0.40444,0.24152,1.43183,1.0888,1.14019,0.000985711,0.000985711,0.000985711
25,1758.64,1.44166,1.06906,1.12786,0.47106,0.38533,0.39977,0.23829,1.43511,1.09354,1.14075,0.000984449,0.000984449,0.000984449
26,1829.87,1.43901,1.06733,1.13182,0.48464,0.37922,0.39933,0.23765,1.43575,1.09633,1.14037,0.000983133,0.000983133,0.000983133
27,1900.65,1.44115,1.06857,1.12675,0.48098,0.38344,0.40498,0.24108,1.43055,1.09094,1.1374,0.000981765,0.000981765,0.000981765
28,1971.95,1.43898,1.06285,1.12777,0.49547,0.37829,0.40372,0.24166,1.42962,1.08875,1.13738,0.000980345,0.000980345,0.000980345
29,2041.93,1.44079,1.06229,1.12808,0.48267,0.38472,0.40278,0.24176,1.4272,1.09144,1.13532,0.000978873,0.000978873,0.000978873
30,2111.85,1.43623,1.05767,1.12268,0.48125,0.38718,0.40447,0.24213,1.43165,1.08564,1.13729,0.000977349,0.000977349,0.000977349
31,2181.99,1.43142,1.05869,1.12495,0.48566,0.3804,0.40409,0.24273,1.43149,1.08738,1.13718,0.000975773,0.000975773,0.000975773
32,2252.15,1.43364,1.05902,1.1253,0.48622,0.38689,0.40602,0.24276,1.4249,1.0832,1.13478,0.000974145,0.000974145,0.000974145
33,2322.02,1.42793,1.05573,1.12438,0.48696,0.38457,0.40504,0.24254,1.42555,1.0832,1.13407,0.000972466,0.000972466,0.000972466
34,2392.42,1.43588,1.05952,1.1265,0.49289,0.38555,0.40772,0.24365,1.42592,1.07996,1.13423,0.000970736,0.000970736,0.000970736
35,2461.2,1.42509,1.05111,1.12342,0.50094,0.37896,0.40751,0.24332,1.42287,1.08129,1.13337,0.000968955,0.000968955,0.000968955
36,2531.11,1.42339,1.04963,1.12432,0.49688,0.37927,0.40623,0.24307,1.42326,1.08201,1.13339,0.000967122,0.000967122,0.000967122
37,2601.39,1.42913,1.05123,1.11908,0.49662,0.38431,0.40709,0.2442,1.42233,1.0828,1.1323,0.000965239,0.000965239,0.000965239
38,2671.89,1.42222,1.04891,1.12185,0.50014,0.37737,0.40722,0.24366,1.42387,1.07977,1.13216,0.000963306,0.000963306,0.000963306
39,2743.19,1.42818,1.052,1.12114,0.49341,0.38124,0.40886,0.24472,1.42149,1.08022,1.1331,0.000961322,0.000961322,0.000961322
40,2812.67,1.42345,1.04334,1.12244,0.4894,0.3857,0.40987,0.24582,1.41865,1.07569,1.13135,0.000959289,0.000959289,0.000959289
41,2882.2,1.42621,1.04913,1.1257,0.4961,0.38263,0.41026,0.24455,1.42133,1.07632,1.13251,0.000957205,0.000957205,0.000957205
42,2953.28,1.42971,1.04975,1.12051,0.48807,0.38703,0.4097,0.2457,1.42356,1.07744,1.13345,0.000955072,0.000955072,0.000955072
43,3023.82,1.42507,1.04737,1.11813,0.49922,0.38513,0.41245,0.24736,1.41952,1.07626,1.13196,0.000952889,0.000952889,0.000952889
44,3094.24,1.41952,1.04341,1.12237,0.48489,0.38294,0.40817,0.24511,1.41793,1.07647,1.13008,0.000950658,0.000950658,0.000950658
