epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.6625,1.58247,1.28085,1.22062,0.39577,0.33314,0.31437,0.17769,1.52039,1.20893,1.20717,0.001,0.001,0.001
2,143.67,1.55303,1.22258,1.20101,0.42858,0.34322,0.33303,0.18933,1.49373,1.17945,1.18942,0.000999973,0.000999973,0.000999973
3,213.897,1.53176,1.18936,1.18215,0.43287,0.35134,0.34398,0.19691,1.4865,1.16137,1.17833,0.000999891,0.000999891,0.000999891
4,283.975,1.5128,1.16182,1.17041,0.44777,0.35402,0.35472,0.20298,1.48557,1.15221,1.17301,0.000999756,0.000999756,0.000999756
5,354.28,1.50444,1.15366,1.1654,0.4508,0.35794,0.36001,0.20809,1.47053,1.13921,1.16644,0.000999566,0.000999566,0.000999566
6,424.421,1.50153,1.14344,1.15864,0.45111,0.37407,0.3682,0.21192,1.45982,1.13978,1.16049,0.000999322,0.000999322,0.000999322
7,494.432,1.48755,1.13206,1.15508,0.45077,0.37365,0.36975,0.21322,1.4628,1.13081,1.1596,0.000999023,0.000999023,0.000999023
8,563.741,1.48202,1.12694,1.15639,0.45212,0.37394,0.37066,0.21447,1.45972,1.12794,1.15646,0.000998671,0.000998671,0.000998671
9,633.469,1.48226,1.11897,1.14929,0.46221,0.37179,0.37242,0.21608,1.45412,1.12734,1.15461,0.000998264,0.000998264,0.000998264
10,702.347,1.46599,1.10665,1.14867,0.45443,0.37706,0.37242,0.21628,1.45366,1.12147,1.15315,0.000997803,0.000997803,0.000997803
11,771.869,1.47311,1.10783,1.14997,0.45518,0.3789,0.37755,0.21787,1.45421,1.12065,1.15216,0.000997288,0.000997288,0.000997288
12,841.411,1.46936,1.10775,1.14604,0.46007,0.37524,0.37669,0.21902,1.45156,1.11272,1.15041,0.00099672,0.00099672,0.00099672
13,911.716,1.46025,1.09504,1.14263,0.46155,0.37985,0.37723,0.21973,1.44749,1.11395,1.1489,0.000996097,0.000996097,0.000996097
14,981.577,1.46608,1.09832,1.14227,0.47346,0.3787,0.38319,0.22118,1.4474,1.11138,1.14787,0.00099542,0.00099542,0.00099542
15,1051.66,1.45864,1.09381,1.14354,0.46615,0.37896,0.38005,0.22148,1.44427,1.10537,1.14576,0.00099469,0.00099469,0.00099469
16,1121.25,1.45724,1.08894,1.13981,0.46918,0.38579,0.38374,0.22465,1.44055,1.10494,1.14457,0.000993906,0.000993906,0.000993906
17,1191.54,1.45647,1.08686,1.13845,0.4689,0.38078,0.38295,0.22387,1.44195,1.10306,1.14443,0.000993068,0.000993068,0.000993068
18,1261.37,1.45318,1.08297,1.13739,0.47394,0.37685,0.38125,0.22352,1.44014,1.10241,1.14334,0.000992177,0.000992177,0.000992177
