epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2567,1.75702,1.65216,1.28769,0.42972,0.33398,0.33104,0.19254,1.49396,1.18823,1.16829,0.001,0.001,0.001
2,154.698,1.55473,1.27815,1.17839,0.46984,0.35689,0.36377,0.21506,1.4524,1.13275,1.14455,0.000999973,0.000999973,0.000999973
3,228.172,1.52236,1.22141,1.15899,0.48619,0.36259,0.37554,0.22186,1.43887,1.10863,1.13619,0.000999891,0.000999891,0.000999891
4,304.058,1.50051,1.18564,1.14956,0.49115,0.36773,0.37871,0.22449,1.43665,1.10174,1.12949,0.000999756,0.000999756,0.000999756
5,376.672,1.4907,1.17324,1.14424,0.50268,0.37049,0.3877,0.23022,1.41407,1.0873,1.12366,0.000999566,0.000999566,0.000999566
6,452.659,1.48716,1.15808,1.13996,0.49939,0.3778,0.3878,0.2299,1.41381,1.08437,1.12279,0.000999322,0.000999322,0.000999322
7,524.451,1.47443,1.14331,1.13651,0.49324,0.38653,0.3933,0.23434,1.40952,1.0793,1.12069,0.000999023,0.000999023,0.000999023
8,598.562,1.46796,1.13673,1.13809,0.49701,0.38306,0.3956,0.23415,1.40784,1.0744,1.11923,0.000998671,0.000998671,0.000998671
9,670.963,1.46802,1.12824,1.1316,0.5044,0.37802,0.39288,0.23471,1.40381,1.07717,1.11743,0.000998264,0.000998264,0.000998264
10,745.797,1.45389,1.11589,1.13273,0.48961,0.39206,0.39766,0.23644,1.40103,1.06649,1.11509,0.000997803,0.000997803,0.000997803
11,817.007,1.46116,1.11507,1.13361,0.50011,0.39091,0.40032,0.23832,1.39925,1.07047,1.11442,0.000997288,0.000997288,0.000997288
12,890.734,1.45819,1.11712,1.12992,0.49973,0.38537,0.39955,0.23726,1.40586,1.06259,1.11641,0.00099672,0.00099672,0.00099672
13,963.362,1.44764,1.1026,1.12635,0.50688,0.38327,0.39809,0.23701,1.40318,1.06745,1.11384,0.000996097,0.000996097,0.000996097
14,1038.83,1.45424,1.10459,1.12646,0.49604,0.39039,0.40037,0.23834,1.40412,1.06308,1.11421,0.00099542,0.00099542,0.00099542
15,1110.91,1.44749,1.0986,1.12788,0.50804,0.39131,0.4038,0.24073,1.39822,1.05841,1.11249,0.00099469,0.00099469,0.00099469
16,1186.62,1.44515,1.09527,1.12408,0.50419,0.39261,0.40585,0.242,1.39482,1.05488,1.11135,0.000993906,0.000993906,0.000993906
17,1261.95,1.44547,1.09331,1.12309,0.51049,0.38627,0.40314,0.24103,1.39613,1.05759,1.11242,0.000993068,0.000993068,0.000993068
18,1338.16,1.44284,1.08888,1.12244,0.51389,0.39084,0.4069,0.24345,1.39537,1.05299,1.11172,0.000992177,0.000992177,0.000992177
19,1412.23,1.44419,1.09121,1.11837,0.51049,0.39742,0.40986,0.24498,1.3915,1.05094,1.11053,0.000991232,0.000991232,0.000991232
20,1488.83,1.43873,1.08318,1.11928,0.50866,0.39467,0.40656,0.24264,1.39365,1.05338,1.1122,0.000990234,0.000990234,0.000990234
21,1561.86,1.43476,1.07729,1.11825,0.51742,0.39238,0.40878,0.24412,1.3898,1.04734,1.10871,0.000989183,0.000989183,0.000989183
22,1637.28,1.42878,1.07431,1.11871,0.50284,0.40006,0.41104,0.24496,1.39246,1.04511,1.11022,0.000988079,0.000988079,0.000988079
23,1710.93,1.42573,1.06964,1.11665,0.49928,0.39583,0.4068,0.24211,1.39917,1.04797,1.11158,0.000986922,0.000986922,0.000986922
24,1784.04,1.43153,1.07125,1.116,0.50883,0.39594,0.41048,0.24532,1.38941,1.04319,1.10939,0.000985711,0.000985711,0.000985711
25,1858,1.43143,1.07057,1.11378,0.5124,0.3975,0.41295,0.24721,1.38711,1.0457,1.10769,0.000984449,0.000984449,0.000984449
26,1929.2,1.42852,1.07016,1.11787,0.51091,0.39379,0.40766,0.24418,1.39298,1.04898,1.10994,0.000983133,0.000983133,0.000983133
27,2004.01,1.43094,1.07053,1.11373,0.50742,0.3975,0.41153,0.24612,1.38732,1.04115,1.10826,0.000981765,0.000981765,0.000981765
28,2077.45,1.42787,1.06356,1.1141,0.5222,0.39603,0.41317,0.24686,1.38715,1.03976,1.10819,0.000980345,0.000980345,0.000980345
29,2150.03,1.43113,1.06346,1.11515,0.51073,0.39878,0.41074,0.24539,1.39074,1.04618,1.10781,0.000978873,0.000978873,0.000978873
30,2224.34,1.42695,1.05944,1.10915,0.52188,0.39422,0.41218,0.2456,1.3893,1.0399,1.10848,0.000977349,0.000977349,0.000977349
31,2296.97,1.4219,1.05957,1.11154,0.52221,0.39606,0.41502,0.24761,1.39184,1.03928,1.1087,0.000975773,0.000975773,0.000975773
32,2370.74,1.42208,1.05984,1.11167,0.52777,0.39419,0.41726,0.249,1.38146,1.0341,1.10516,0.000974145,0.000974145,0.000974145
33,2446,1.41807,1.05812,1.11162,0.51656,0.4035,0.41439,0.24755,1.38468,1.03868,1.10622,0.000972466,0.000972466,0.000972466
34,2517.96,1.4255,1.05995,1.11402,0.52124,0.39581,0.41343,0.24726,1.38248,1.03666,1.1045,0.000970736,0.000970736,0.000970736
35,2592.97,1.41562,1.0521,1.11092,0.519,0.3978,0.41528,0.24828,1.38336,1.03599,1.10562,0.000968955,0.000968955,0.000968955
36,2666.77,1.41424,1.05119,1.11136,0.51656,0.39739,0.41328,0.24796,1.38097,1.03842,1.10575,0.000967122,0.000967122,0.000967122
37,2739.72,1.42066,1.05248,1.10697,0.51251,0.40214,0.41471,0.24877,1.38062,1.03811,1.10527,0.000965239,0.000965239,0.000965239
38,2813.76,1.4123,1.04978,1.1094,0.51332,0.40059,0.41347,0.24736,1.38634,1.03831,1.10621,0.000963306,0.000963306,0.000963306
39,2887.44,1.41942,1.05196,1.10936,0.52263,0.39826,0.41617,0.25034,1.38024,1.03458,1.10432,0.000961322,0.000961322,0.000961322
40,2961.36,1.4145,1.04381,1.11085,0.53564,0.391,0.41896,0.25051,1.38009,1.03357,1.10423,0.000959289,0.000959289,0.000959289
41,3036.51,1.41763,1.0499,1.11374,0.51877,0.40347,0.41885,0.25095,1.37945,1.03492,1.10383,0.000957205,0.000957205,0.000957205
42,3108.36,1.42066,1.05042,1.10822,0.52553,0.40001,0.41829,0.25107,1.38097,1.03381,1.10411,0.000955072,0.000955072,0.000955072
43,3182.89,1.41547,1.04845,1.10583,0.52213,0.40028,0.41774,0.2513,1.38239,1.03121,1.10394,0.000952889,0.000952889,0.000952889
44,3256.52,1.41087,1.0443,1.11029,0.52586,0.39593,0.41772,0.25043,1.38003,1.03145,1.10339,0.000950658,0.000950658,0.000950658
45,3330.08,1.40785,1.04102,1.10592,0.52003,0.40397,0.41832,0.25064,1.38222,1.03136,1.10431,0.000948377,0.000948377,0.000948377
46,3404.96,1.41523,1.04184,1.10714,0.52251,0.40408,0.42028,0.25117,1.38227,1.03008,1.10472,0.000946048,0.000946048,0.000946048
47,3477.62,1.41347,1.04569,1.1089,0.52059,0.40301,0.41987,0.25154,1.37995,1.03061,1.10347,0.000943671,0.000943671,0.000943671
48,3551.47,1.41303,1.04105,1.10736,0.52171,0.40268,0.41957,0.25108,1.3807,1.02705,1.10378,0.000941245,0.000941245,0.000941245
49,3626.58,1.4103,1.03711,1.10465,0.51401,0.40454,0.41949,0.25108,1.38138,1.03129,1.10395,0.000938772,0.000938772,0.000938772
50,3697.85,1.41031,1.03748,1.11079,0.52524,0.40259,0.41938,0.25125,1.3814,1.03093,1.10339,0.000936251,0.000936251,0.000936251
51,3772.75,1.40818,1.04102,1.10775,0.51771,0.40432,0.42038,0.25231,1.37724,1.02992,1.10271,0.000933683,0.000933683,0.000933683
52,3845.6,1.40842,1.03771,1.1083,0.50702,0.4098,0.42027,0.25229,1.37912,1.02785,1.10393,0.000931067,0.000931067,0.000931067
53,3919.75,1.40889,1.03777,1.1082,0.51563,0.40482,0.42038,0.25175,1.37996,1.02839,1.10462,0.000928405,0.000928405,0.000928405
54,3993.14,1.40521,1.03471,1.10706,0.5204,0.40473,0.41948,0.25211,1.37908,1.02796,1.10371,0.000925697,0.000925697,0.000925697
55,4065.25,1.40979,1.03796,1.10764,0.52154,0.40082,0.41965,0.25205,1.37843,1.02862,1.10352,0.000922942,0.000922942,0.000922942
56,4140.34,1.41088,1.03668,1.10362,0.52736,0.40228,0.42165,0.25325,1.38109,1.02909,1.10434,0.000920142,0.000920142,0.000920142
57,4216.05,1.40775,1.03522,1.1018,0.52524,0.40362,0.42051,0.25219,1.37867,1.02869,1.10435,0.000917296,0.000917296,0.000917296
58,4290.05,1.40151,1.03081,1.10684,0.5179,0.40861,0.42187,0.25324,1.37493,1.02636,1.10256,0.000914405,0.000914405,0.000914405
59,4364.71,1.39624,1.03274,1.1059,0.52226,0.40473,0.42172,0.25305,1.38007,1.02698,1.1038,0.000911469,0.000911469,0.000911469
60,4437.79,1.41059,1.03555,1.10515,0.5248,0.40233,0.42171,0.25315,1.37756,1.02523,1.10268,0.000908488,0.000908488,0.000908488
61,4511.06,1.40023,1.02653,1.10029,0.53131,0.40085,0.42177,0.25254,1.37636,1.02523,1.10258,0.000905463,0.000905463,0.000905463
62,4586.07,1.40054,1.02642,1.10198,0.52818,0.40271,0.4214,0.25364,1.37489,1.02359,1.10188,0.000902395,0.000902395,0.000902395
63,4657.26,1.39935,1.02458,1.10151,0.52362,0.40581,0.42355,0.25481,1.37393,1.02422,1.10159,0.000899282,0.000899282,0.000899282
64,4731.34,1.4009,1.03087,1.10624,0.52823,0.40311,0.42314,0.25435,1.37438,1.02421,1.10206,0.000896127,0.000896127,0.000896127
65,4806.28,1.40148,1.0263,1.10752,0.52073,0.4076,0.42292,0.254,1.3738,1.02208,1.10133,0.000892928,0.000892928,0.000892928
66,4878.67,1.40019,1.0272,1.10059,0.52753,0.40712,0.42309,0.25413,1.37495,1.02373,1.10165,0.000889687,0.000889687,0.000889687
67,4954.76,1.4013,1.0243,1.10235,0.52727,0.40443,0.42322,0.2546,1.3752,1.02218,1.10204,0.000886404,0.000886404,0.000886404
68,5026.96,1.39287,1.02269,1.10215,0.53385,0.40029,0.42172,0.25372,1.37256,1.02412,1.10062,0.000883079,0.000883079,0.000883079
69,5099.55,1.3979,1.02367,1.09879,0.53412,0.39859,0.42079,0.25402,1.37566,1.02392,1.10205,0.000879713,0.000879713,0.000879713
70,5173.77,1.39742,1.02257,1.1028,0.53275,0.40286,0.42211,0.25361,1.37651,1.02288,1.10189,0.000876305,0.000876305,0.000876305
71,5246.24,1.40287,1.02383,1.10526,0.5229,0.40447,0.42347,0.25485,1.37451,1.02203,1.10166,0.000872857,0.000872857,0.000872857
72,5325.11,1.39988,1.02717,1.10199,0.52629,0.40432,0.42317,0.25437,1.37558,1.02178,1.10131,0.000869368,0.000869368,0.000869368
73,5399.79,1.39476,1.01799,1.10178,0.53308,0.40319,0.42221,0.25319,1.37723,1.02189,1.10233,0.000865839,0.000865839,0.000865839
74,5471.73,1.39933,1.0192,1.10221,0.5234,0.40576,0.42374,0.2546,1.37545,1.02176,1.10124,0.000862271,0.000862271,0.000862271
75,5546.21,1.38768,1.01741,1.10488,0.53529,0.40391,0.42471,0.25519,1.37558,1.02244,1.10123,0.000858664,0.000858664,0.000858664
76,5619.78,1.39707,1.02124,1.10241,0.53319,0.40201,0.4243,0.25454,1.37567,1.02169,1.10126,0.000855018,0.000855018,0.000855018
77,5693.8,1.39726,1.01815,1.1025,0.5352,0.39994,0.42285,0.25415,1.37543,1.02241,1.10133,0.000851333,0.000851333,0.000851333
78,5769.98,1.39616,1.01699,1.10141,0.53446,0.39958,0.42269,0.25359,1.37675,1.02159,1.10128,0.000847611,0.000847611,0.000847611
79,5847.45,1.38935,1.01555,1.09755,0.53104,0.40389,0.42467,0.25449,1.37526,1.02114,1.10079,0.000843851,0.000843851,0.000843851
80,5923.57,1.39244,1.01556,1.10203,0.53746,0.40012,0.42426,0.25458,1.3741,1.02106,1.1005,0.000840054,0.000840054,0.000840054
81,5997.11,1.38905,1.01357,1.1019,0.53374,0.39962,0.42388,0.2546,1.37385,1.02058,1.10051,0.00083622,0.00083622,0.00083622
82,6069.55,1.39504,1.01713,1.09798,0.53112,0.40522,0.42484,0.25487,1.37301,1.01886,1.1003,0.000832349,0.000832349,0.000832349
83,6145.18,1.39296,1.01782,1.10013,0.52926,0.40658,0.42477,0.25536,1.37408,1.0185,1.10031,0.000828443,0.000828443,0.000828443
84,6217.22,1.39227,1.01469,1.10055,0.52321,0.40715,0.42593,0.25586,1.37361,1.0181,1.1002,0.000824502,0.000824502,0.000824502
85,6291.81,1.3928,1.01529,1.09907,0.52578,0.40478,0.4248,0.25559,1.37358,1.01883,1.10049,0.000820525,0.000820525,0.000820525
86,6366.76,1.39109,1.0165,1.10372,0.53117,0.40296,0.42514,0.25598,1.37423,1.0189,1.10073,0.000816514,0.000816514,0.000816514
87,6438.87,1.39084,1.01133,1.09666,0.53368,0.39984,0.42406,0.256,1.375,1.0199,1.10124,0.000812468,0.000812468,0.000812468
88,6513.93,1.39883,1.01953,1.09978,0.52908,0.40188,0.424,0.25596,1.37574,1.02063,1.10119,0.000808389,0.000808389,0.000808389
89,6589.65,1.39732,1.02088,1.10177,0.52955,0.40235,0.42411,0.25537,1.37482,1.02016,1.10055,0.000804277,0.000804277,0.000804277
90,6664.05,1.39663,1.01311,1.10184,0.53424,0.40561,0.42526,0.25563,1.37524,1.01953,1.10107,0.000800131,0.000800131,0.000800131
91,6741.2,1.4031,1.02333,1.09904,0.52856,0.40681,0.42516,0.25576,1.37438,1.01974,1.1011,0.000795954,0.000795954,0.000795954
92,6814.23,1.3898,1.0117,1.09636,0.53226,0.40468,0.42571,0.25613,1.37331,1.01916,1.10035,0.000791744,0.000791744,0.000791744
93,6889.14,1.39996,1.01978,1.09933,0.53349,0.40477,0.42545,0.25566,1.37392,1.01854,1.10054,0.000787503,0.000787503,0.000787503
94,6964.08,1.39805,1.01455,1.0981,0.53232,0.40516,0.4264,0.25599,1.37462,1.01713,1.1009,0.000783231,0.000783231,0.000783231
95,7036.5,1.39289,1.01173,1.10108,0.52964,0.40576,0.42664,0.25577,1.37385,1.01683,1.10037,0.000778929,0.000778929,0.000778929
96,7110.73,1.3895,1.01516,1.10076,0.52731,0.40705,0.42683,0.25592,1.37275,1.01609,1.09978,0.000774596,0.000774596,0.000774596
