epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.363,4.4035,4.62053,3.63372,0.50561,0.00671,0.00221,0.00058,3.84601,3.81826,2.93783,0.00332921,0.00332921,0.0700371
2,378.739,3.00472,3.14727,2.2135,0.27747,0.09759,0.06472,0.02841,2.43442,2.43021,1.74533,0.00666244,0.00666244,0.040037
3,565.656,2.36422,2.45388,1.69512,0.29437,0.12334,0.09123,0.04446,2.16859,2.06638,1.56351,0.00999527,0.00999527,0.0100365
4,693.229,2.14235,2.19224,1.54555,0.22178,0.1447,0.11519,0.05819,1.98388,1.90544,1.45941,0.00999863,0.00999863,0.00999863
5,820.504,2.02037,2.0146,1.46423,0.28278,0.18354,0.13569,0.07211,1.8809,1.7563,1.40173,0.00999756,0.00999756,0.00999756
6,949.238,1.94455,1.89454,1.41473,0.20933,0.20747,0.16371,0.08866,1.75805,1.63021,1.34473,0.00999618,0.00999618,0.00999618
7,1078.33,1.87703,1.79751,1.37948,0.24934,0.21636,0.17312,0.09616,1.74842,1.59278,1.32713,0.0099945,0.0099945,0.0099945
8,1203.89,1.8318,1.72852,1.36019,0.26342,0.2402,0.19432,0.10584,1.70683,1.51136,1.31098,0.00999252,0.00999252,0.00999252
9,1366.72,1.80293,1.66578,1.33359,0.25478,0.251,0.20183,0.11055,1.68235,1.47994,1.29676,0.00999023,0.00999023,0.00999023
10,1534.64,1.76087,1.61688,1.32078,0.28368,0.26125,0.22379,0.12506,1.64728,1.43502,1.27902,0.00998764,0.00998764,0.00998764
11,1706.14,1.74418,1.57831,1.31051,0.31171,0.26114,0.229,0.12728,1.64068,1.40141,1.2671,0.00998474,0.00998474,0.00998474
12,1876.85,1.72957,1.55594,1.29745,0.31012,0.26759,0.24156,0.13493,1.60867,1.37374,1.25924,0.00998154,0.00998154,0.00998154
13,2049.97,1.70136,1.5097,1.28453,0.31895,0.25801,0.24229,0.1367,1.60918,1.37431,1.2532,0.00997803,0.00997803,0.00997803
14,2225.27,1.69199,1.49312,1.27642,0.35633,0.27668,0.26208,0.15088,1.57495,1.33007,1.23834,0.00997422,0.00997422,0.00997422
15,2398.37,1.6741,1.46739,1.27159,0.35887,0.2818,0.26314,0.1518,1.56787,1.3259,1.23671,0.00997011,0.00997011,0.00997011
16,2581.11,1.65945,1.4424,1.26239,0.35129,0.28761,0.26967,0.15567,1.54828,1.30272,1.22562,0.00996569,0.00996569,0.00996569
17,2757.11,1.65058,1.42245,1.25523,0.34144,0.28523,0.27062,0.15655,1.53433,1.28482,1.22323,0.00996097,0.00996097,0.00996097
18,2929.63,1.6368,1.40845,1.24975,0.37241,0.29154,0.28065,0.16178,1.5441,1.27478,1.22172,0.00995594,0.00995594,0.00995594
19,3106.11,1.63506,1.39546,1.24155,0.38246,0.29893,0.28995,0.1654,1.5281,1.26113,1.21319,0.00995062,0.00995062,0.00995062
20,3274.82,1.61689,1.37323,1.23707,0.39972,0.30805,0.29826,0.17347,1.50976,1.24941,1.20365,0.00994499,0.00994499,0.00994499
21,3448.02,1.60711,1.35803,1.23251,0.38052,0.30717,0.2982,0.17288,1.50108,1.23705,1.20203,0.00993906,0.00993906,0.00993906
22,3617.73,1.5936,1.34128,1.22855,0.40923,0.30705,0.30636,0.17766,1.49802,1.22264,1.19786,0.00993282,0.00993282,0.00993282
23,3783.37,1.5857,1.32816,1.22363,0.40043,0.32242,0.31065,0.18051,1.49601,1.21587,1.19668,0.00992629,0.00992629,0.00992629
24,3954.65,1.58344,1.32463,1.22117,0.40381,0.32495,0.31444,0.18443,1.48087,1.19946,1.18759,0.00991946,0.00991946,0.00991946
25,4136.94,1.57934,1.30758,1.21485,0.41288,0.3276,0.31479,0.18344,1.48269,1.20332,1.18828,0.00991232,0.00991232,0.00991232
