epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6615,4.46307,4.10898,2.83428,0.01466,0.02433,0.0072,0.00206,3.65978,4.1114,1.82231,0.00332921,0.00332921,0.0700371
2,117.829,3.09751,2.74137,1.56925,0.28179,0.08678,0.06102,0.02536,2.61338,2.12282,1.30696,0.00666244,0.00666244,0.040037
3,168.888,2.56699,2.22899,1.32612,0.20235,0.12242,0.08216,0.03668,2.24299,1.84687,1.20597,0.00999527,0.00999527,0.0100365
4,218.821,2.32278,1.99055,1.22741,0.25227,0.14553,0.10407,0.04794,2.13733,1.69492,1.18057,0.00999863,0.00999863,0.00999863
5,269.271,2.18781,1.84534,1.17704,0.2695,0.16325,0.11444,0.05338,2.04536,1.63019,1.11987,0.00999756,0.00999756,0.00999756
6,318.807,2.1099,1.74555,1.14529,0.18971,0.18931,0.13717,0.06928,1.89663,1.49699,1.08096,0.00999618,0.00999618,0.00999618
7,369.458,2.03489,1.66725,1.12357,0.21902,0.19417,0.15344,0.07951,1.85708,1.42829,1.07109,0.0099945,0.0099945,0.0099945
8,419.452,1.98493,1.60727,1.11216,0.22278,0.20465,0.1596,0.08161,1.83683,1.42046,1.06271,0.00999252,0.00999252,0.00999252
9,469.844,1.95167,1.55581,1.09264,0.23091,0.21103,0.16976,0.08829,1.78973,1.37086,1.05422,0.00999023,0.00999023,0.00999023
10,519.408,1.90844,1.51858,1.08636,0.25685,0.2186,0.18246,0.09447,1.75901,1.33716,1.04016,0.00998764,0.00998764,0.00998764
11,568.919,1.89215,1.48925,1.07952,0.25443,0.21797,0.18324,0.09666,1.75799,1.32038,1.03783,0.00998474,0.00998474,0.00998474
12,618.139,1.87758,1.47422,1.07289,0.27609,0.2295,0.19113,0.10108,1.72511,1.29405,1.03038,0.00998154,0.00998154,0.00998154
13,667.489,1.84534,1.4316,1.0652,0.28332,0.23055,0.19642,0.10431,1.71315,1.28422,1.02888,0.00997803,0.00997803,0.00997803
14,718.573,1.83716,1.41932,1.05918,0.30721,0.23736,0.20763,0.11053,1.68348,1.25617,1.02064,0.00997422,0.00997422,0.00997422
15,769.362,1.81569,1.39758,1.05708,0.30072,0.24185,0.2117,0.11321,1.69372,1.25578,1.01893,0.00997011,0.00997011,0.00997011
16,819.857,1.80267,1.37512,1.05062,0.30802,0.24451,0.21855,0.11714,1.66518,1.23794,1.00795,0.00996569,0.00996569,0.00996569
17,869.845,1.78971,1.36239,1.0461,0.30577,0.24235,0.21739,0.11719,1.65624,1.23485,1.01162,0.00996097,0.00996097,0.00996097
18,920.225,1.77687,1.34988,1.04171,0.31029,0.24929,0.22436,0.11988,1.64143,1.2088,1.00787,0.00995594,0.00995594,0.00995594
19,970.156,1.77796,1.34526,1.03704,0.3209,0.25293,0.22603,0.12324,1.65197,1.20878,1.00608,0.00995062,0.00995062,0.00995062
20,1020.39,1.75718,1.32391,1.03558,0.33217,0.25644,0.23291,0.12572,1.62751,1.18946,1.00137,0.00994499,0.00994499,0.00994499
21,1070.14,1.74465,1.30763,1.03316,0.31188,0.26486,0.23691,0.1279,1.61802,1.17881,0.99403,0.00993906,0.00993906,0.00993906
22,1120.13,1.72731,1.29546,1.02783,0.34067,0.25647,0.23944,0.12864,1.61421,1.17734,0.99875,0.00993282,0.00993282,0.00993282
23,1169.67,1.72153,1.28598,1.02705,0.32899,0.26159,0.24308,0.13208,1.60361,1.16241,0.99162,0.00992629,0.00992629,0.00992629
24,1219.24,1.7173,1.27725,1.02325,0.34348,0.26436,0.2448,0.13395,1.58889,1.15569,0.98972,0.00991946,0.00991946,0.00991946
25,1268.26,1.71361,1.26954,1.02049,0.34102,0.26727,0.24608,0.13415,1.59083,1.15263,0.98817,0.00991232,0.00991232,0.00991232
26,1317.78,1.70626,1.26673,1.02329,0.34131,0.2671,0.24829,0.13483,1.58503,1.15306,0.98765,0.00990489,0.00990489,0.00990489
27,1367.73,1.71016,1.2617,1.01778,0.3466,0.28214,0.25867,0.14013,1.57578,1.13888,0.98456,0.00989715,0.00989715,0.00989715
28,1416.65,1.69566,1.24684,1.01512,0.34503,0.27429,0.25631,0.13979,1.57377,1.13529,0.98529,0.00988912,0.00988912,0.00988912
