epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.652,3.2225,4.56686,3.62787,0.10523,0.00663,0.00336,0.00098,2.85998,3.77929,2.9949,0.00332921,0.00332921,0.0700371
2,262.567,2.20853,3.14072,2.24952,0.37237,0.10406,0.06053,0.02604,1.77297,2.39599,1.74681,0.00666244,0.00666244,0.040037
3,397.083,1.72329,2.46298,1.71082,0.38447,0.12211,0.08338,0.03987,1.56028,2.13661,1.56451,0.00999527,0.00999527,0.0100365
4,522.757,1.55498,2.18368,1.55685,0.41684,0.16012,0.10997,0.05631,1.41806,1.86868,1.46851,0.00999863,0.00999863,0.00999863
5,648.732,1.46605,2.00675,1.47508,0.25789,0.18767,0.1339,0.06997,1.37082,1.74603,1.41981,0.00999756,0.00999756,0.00999756
6,774.343,1.40984,1.87979,1.42482,0.21953,0.20396,0.16411,0.08832,1.28702,1.61455,1.36727,0.00999618,0.00999618,0.00999618
7,901.181,1.35855,1.78255,1.38946,0.21983,0.22021,0.17598,0.09608,1.26588,1.55332,1.339,0.0099945,0.0099945,0.0099945
8,1024.86,1.32605,1.7086,1.36954,0.25313,0.23263,0.19588,0.10732,1.24139,1.50289,1.32378,0.00999252,0.00999252,0.00999252
9,1152.03,1.30242,1.64632,1.34091,0.25045,0.24855,0.20459,0.11202,1.22028,1.46609,1.29872,0.00999023,0.00999023,0.00999023
10,1271.52,1.27172,1.59993,1.32773,0.30204,0.24604,0.22115,0.12357,1.18947,1.41158,1.2834,0.00998764,0.00998764,0.00998764
11,1394.39,1.26136,1.5626,1.31681,0.30648,0.25673,0.23103,0.12938,1.18085,1.39154,1.2729,0.00998474,0.00998474,0.00998474
12,1513.78,1.24846,1.54118,1.30379,0.31231,0.25715,0.2353,0.13249,1.16035,1.36188,1.26014,0.00998154,0.00998154,0.00998154
13,1636.85,1.2278,1.49845,1.29024,0.31688,0.26136,0.2416,0.13697,1.15163,1.34247,1.2557,0.00997803,0.00997803,0.00997803
14,1760.43,1.22263,1.48,1.28225,0.42997,0.27584,0.25826,0.14712,1.13365,1.31525,1.24269,0.00997422,0.00997422,0.00997422
15,1882.25,1.2099,1.45374,1.27771,0.33579,0.29182,0.26574,0.15292,1.12577,1.31393,1.23634,0.00997011,0.00997011,0.00997011
16,2007.93,1.19829,1.42986,1.26804,0.34112,0.28773,0.26959,0.15384,1.11374,1.27653,1.22781,0.00996569,0.00996569,0.00996569
17,2131.2,1.19268,1.41307,1.26071,0.34129,0.29329,0.27134,0.1562,1.11266,1.27655,1.22631,0.00996097,0.00996097,0.00996097
18,2251.41,1.18255,1.39442,1.25454,0.37321,0.29366,0.28273,0.16161,1.10589,1.25786,1.2187,0.00995594,0.00995594,0.00995594
19,2375.94,1.17975,1.38484,1.24608,0.39115,0.29785,0.29083,0.16805,1.09778,1.24797,1.21582,0.00995062,0.00995062,0.00995062
20,2496.79,1.16773,1.36081,1.2425,0.38555,0.30739,0.29315,0.16915,1.08783,1.23481,1.20854,0.00994499,0.00994499,0.00994499
21,2619.85,1.1605,1.34791,1.23806,0.37384,0.30399,0.29577,0.17072,1.08486,1.22961,1.20502,0.00993906,0.00993906,0.00993906
22,2742.32,1.15065,1.32967,1.23399,0.40068,0.31024,0.30389,0.17409,1.07896,1.20747,1.2012,0.00993282,0.00993282,0.00993282
23,2860.33,1.1446,1.31907,1.22931,0.3877,0.31431,0.30635,0.17796,1.08582,1.21639,1.20254,0.00992629,0.00992629,0.00992629
24,2981.8,1.14382,1.31045,1.22687,0.41358,0.31589,0.31279,0.18254,1.06968,1.19617,1.19453,0.00991946,0.00991946,0.00991946
25,3109.18,1.14048,1.29914,1.22003,0.41224,0.32269,0.31783,0.18404,1.0685,1.18678,1.19356,0.00991232,0.00991232,0.00991232
26,3230.98,1.13544,1.29393,1.22314,0.40205,0.32228,0.31671,0.18432,1.06405,1.18499,1.18968,0.00990489,0.00990489,0.00990489
27,3353.59,1.13319,1.2863,1.21534,0.41448,0.32577,0.32053,0.18535,1.06727,1.17916,1.1915,0.00989715,0.00989715,0.00989715
28,3479.43,1.12623,1.2692,1.21291,0.41,0.32944,0.3228,0.18818,1.05711,1.16674,1.18266,0.00988912,0.00988912,0.00988912
29,3600.12,1.12572,1.26157,1.211,0.42101,0.32918,0.32816,0.19172,1.05129,1.16468,1.18012,0.00988079,0.00988079,0.00988079
30,3717.62,1.11983,1.25233,1.20331,0.41722,0.34036,0.33255,0.1926,1.04664,1.15336,1.17769,0.00987216,0.00987216,0.00987216
31,3839.76,1.11322,1.24827,1.20427,0.43336,0.3428,0.33927,0.19758,1.04634,1.14442,1.17627,0.00986323,0.00986323,0.00986323
32,3965.38,1.11028,1.24322,1.20158,0.43697,0.342,0.34047,0.19963,1.04063,1.14149,1.17355,0.00985401,0.00985401,0.00985401
33,4089.18,1.10548,1.23494,1.20005,0.43107,0.34271,0.33714,0.19626,1.04125,1.13925,1.17418,0.00984449,0.00984449,0.00984449
34,4212.88,1.10947,1.23501,1.20169,0.44006,0.34783,0.34307,0.20062,1.03626,1.13022,1.16926,0.00983467,0.00983467,0.00983467
35,4338.52,1.09931,1.21613,1.19587,0.42639,0.34669,0.34261,0.19974,1.03648,1.13089,1.17041,0.00982456,0.00982456,0.00982456
36,4459.06,1.0952,1.21409,1.19417,0.42865,0.3444,0.34279,0.20173,1.03484,1.12963,1.16806,0.00981415,0.00981415,0.00981415
37,4580.95,1.09761,1.20786,1.18824,0.43993,0.35585,0.34873,0.20391,1.03022,1.11849,1.16443,0.00980345,0.00980345,0.00980345
38,4698.77,1.08961,1.2042,1.18942,0.43896,0.35672,0.35152,0.20724,1.02826,1.11177,1.16207,0.00979246,0.00979246,0.00979246
39,4822.82,1.09277,1.19752,1.18703,0.4364,0.35673,0.35513,0.2089,1.02543,1.10935,1.16114,0.00978118,0.00978118,0.00978118
40,4941.7,1.08815,1.18854,1.18826,0.45411,0.35389,0.35685,0.21024,1.02297,1.10525,1.15975,0.0097696,0.0097696,0.0097696
41,5065.95,1.08866,1.18871,1.19077,0.44346,0.36195,0.35769,0.21052,1.02106,1.10123,1.158,0.00975773,0.00975773,0.00975773
42,5190.97,1.08913,1.18604,1.18357,0.47302,0.35518,0.36255,0.21277,1.01921,1.09959,1.15731,0.00974557,0.00974557,0.00974557
43,5309.37,1.08402,1.18255,1.17993,0.459,0.36171,0.36182,0.21366,1.0178,1.09356,1.15609,0.00973312,0.00973312,0.00973312
44,5433.92,1.08013,1.1791,1.18433,0.46509,0.35753,0.36339,0.21409,1.01899,1.09752,1.15685,0.00972039,0.00972039,0.00972039
45,5558.68,1.0748,1.16674,1.17701,0.45814,0.36292,0.36567,0.21665,1.01815,1.0903,1.15486,0.00970736,0.00970736,0.00970736
46,5680.45,1.07856,1.16477,1.17682,0.45313,0.36022,0.36248,0.21389,1.0179,1.09198,1.15432,0.00969405,0.00969405,0.00969405
47,5804.46,1.07628,1.1685,1.17844,0.4578,0.3666,0.36665,0.2167,1.0162,1.0925,1.15256,0.00968045,0.00968045,0.00968045
48,5927.75,1.07343,1.15935,1.17512,0.45834,0.3664,0.37095,0.22016,1.01141,1.07843,1.15008,0.00966656,0.00966656,0.00966656
49,6047.71,1.07086,1.1535,1.17137,0.46544,0.36476,0.36961,0.21911,1.00958,1.07998,1.14941,0.00965239,0.00965239,0.00965239
50,6169.49,1.07019,1.15158,1.1785,0.47472,0.36672,0.37285,0.22052,1.01011,1.07385,1.14949,0.00963794,0.00963794,0.00963794
51,6290.9,1.06646,1.15208,1.17398,0.46767,0.36958,0.37734,0.22259,1.00941,1.07112,1.14849,0.0096232,0.0096232,0.0096232
52,6412.15,1.06418,1.14172,1.17228,0.46738,0.3717,0.37609,0.2231,1.00532,1.07332,1.1466,0.00960819,0.00960819,0.00960819
53,6538.57,1.064,1.13954,1.17115,0.47039,0.37139,0.37737,0.22385,1.00558,1.07025,1.14633,0.00959289,0.00959289,0.00959289
54,6661.56,1.06002,1.1356,1.16974,0.46913,0.37925,0.38109,0.22553,1.00338,1.06446,1.14405,0.00957731,0.00957731,0.00957731
55,6783.1,1.06131,1.13589,1.16897,0.47005,0.37485,0.38019,0.22497,1.0021,1.06457,1.14279,0.00956145,0.00956145,0.00956145
56,6910.03,1.06291,1.13182,1.1647,0.4813,0.3684,0.38211,0.22726,1.00111,1.06139,1.14265,0.00954531,0.00954531,0.00954531
57,7030.12,1.05792,1.12934,1.16059,0.47957,0.38045,0.38434,0.2285,0.99944,1.05867,1.14039,0.00952889,0.00952889,0.00952889
58,7155.16,1.05278,1.11896,1.16537,0.4836,0.37845,0.38582,0.23034,0.99758,1.05748,1.1411,0.0095122,0.0095122,0.0095122
59,7277.55,1.04962,1.12173,1.16528,0.47588,0.37642,0.3845,0.22724,0.99751,1.05395,1.13877,0.00949524,0.00949524,0.00949524
60,7402.86,1.05818,1.12124,1.16309,0.48107,0.38277,0.3875,0.2309,0.99487,1.04861,1.13788,0.009478,0.009478,0.009478
61,7527.35,1.04936,1.1098,1.15725,0.48373,0.38121,0.38916,0.23202,0.99331,1.05037,1.13772,0.00946048,0.00946048,0.00946048
62,7656.59,1.04928,1.10746,1.15871,0.48658,0.38346,0.38809,0.2312,0.99334,1.05099,1.13685,0.0094427,0.0094427,0.0094427
63,7779.29,1.04613,1.10448,1.1568,0.48106,0.38656,0.39069,0.23328,0.99138,1.0471,1.13608,0.00942464,0.00942464,0.00942464
64,7901.62,1.04625,1.10839,1.16105,0.48966,0.37943,0.3908,0.23377,0.99181,1.04613,1.13618,0.00940631,0.00940631,0.00940631
65,8023.9,1.04646,1.10206,1.16261,0.4865,0.38083,0.3926,0.23388,0.99001,1.0404,1.13514,0.00938772,0.00938772,0.00938772
66,8142.94,1.04559,1.10175,1.15461,0.49604,0.38548,0.39568,0.23703,0.98892,1.04278,1.13388,0.00936886,0.00936886,0.00936886
67,8267.13,1.04527,1.09524,1.15607,0.48506,0.38872,0.39519,0.2363,0.99108,1.0388,1.13411,0.00934973,0.00934973,0.00934973
68,8389.67,1.03719,1.09393,1.15449,0.50077,0.38289,0.39505,0.23713,0.98692,1.03535,1.13304,0.00933033,0.00933033,0.00933033
69,8512.62,1.03976,1.09281,1.15168,0.4882,0.38879,0.39518,0.23691,0.9876,1.03674,1.13354,0.00931067,0.00931067,0.00931067
70,8632.64,1.0394,1.08942,1.15495,0.49483,0.39118,0.39934,0.2381,0.98727,1.03464,1.13363,0.00929075,0.00929075,0.00929075
71,8755.61,1.0416,1.08956,1.15633,0.49416,0.38493,0.39949,0.23973,0.98523,1.03101,1.13137,0.00927057,0.00927057,0.00927057
72,8879,1.03882,1.08995,1.15187,0.48416,0.39306,0.39866,0.23895,0.98555,1.03125,1.13138,0.00925013,0.00925013,0.00925013
73,8998.67,1.03322,1.0787,1.15022,0.49189,0.39076,0.40051,0.23985,0.98499,1.02872,1.13013,0.00922942,0.00922942,0.00922942
74,9119.77,1.03788,1.07929,1.15183,0.49206,0.38712,0.39898,0.23953,0.98456,1.03118,1.12957,0.00920846,0.00920846,0.00920846
75,9241.43,1.02636,1.07365,1.15269,0.49374,0.3906,0.40149,0.24077,0.98591,1.02871,1.13133,0.00918725,0.00918725,0.00918725
76,9365.92,1.03593,1.08062,1.15108,0.48546,0.39229,0.40207,0.2407,0.98386,1.02547,1.12985,0.00916577,0.00916577,0.00916577
77,9487.3,1.03407,1.07274,1.14989,0.4958,0.3909,0.40076,0.24044,0.98281,1.02555,1.1293,0.00914405,0.00914405,0.00914405
78,9608.26,1.03267,1.06975,1.1489,0.49339,0.39267,0.40323,0.24086,0.98142,1.02177,1.1286,0.00912207,0.00912207,0.00912207
79,9725.22,1.02614,1.06734,1.14318,0.4984,0.39175,0.40427,0.2424,0.9799,1.02147,1.1273,0.00909984,0.00909984,0.00909984
80,9844.93,1.02656,1.06591,1.14715,0.49777,0.39653,0.40763,0.24449,0.9784,1.02028,1.127,0.00907736,0.00907736,0.00907736
81,9968.45,1.02397,1.06159,1.14677,0.49529,0.40276,0.40847,0.24535,0.97765,1.0188,1.12623,0.00905463,0.00905463,0.00905463
82,10093.5,1.0284,1.06538,1.14258,0.49452,0.40229,0.40935,0.24587,0.97639,1.01627,1.12553,0.00903166,0.00903166,0.00903166
83,10218.2,1.02662,1.06474,1.14432,0.49123,0.39938,0.40758,0.24518,0.97698,1.01703,1.1256,0.00900844,0.00900844,0.00900844
84,10343.1,1.02598,1.06149,1.14484,0.49969,0.39429,0.40788,0.24562,0.97618,1.01635,1.12504,0.00898497,0.00898497,0.00898497
85,10465.7,1.02334,1.05843,1.14127,0.49892,0.39355,0.40917,0.24609,0.97503,1.01378,1.12397,0.00896127,0.00896127,0.00896127
86,10586,1.02452,1.06073,1.14752,0.49837,0.39233,0.40835,0.24521,0.97555,1.01499,1.12391,0.00893732,0.00893732,0.00893732
87,10710.3,1.02304,1.05485,1.1392,0.49341,0.39933,0.40837,0.245,0.975,1.01404,1.12366,0.00891313,0.00891313,0.00891313
88,10829.2,1.02947,1.06295,1.14139,0.49789,0.39941,0.40997,0.24632,0.9757,1.01416,1.12271,0.0088887,0.0088887,0.0088887
89,10951.2,1.0306,1.06518,1.14367,0.50313,0.39914,0.41085,0.24609,0.97656,1.01481,1.12334,0.00886404,0.00886404,0.00886404
90,11074.8,1.02857,1.05909,1.14198,0.50339,0.39464,0.41104,0.24616,0.97778,1.0158,1.12297,0.00883914,0.00883914,0.00883914
91,11200.2,1.03685,1.07359,1.13996,0.51443,0.39183,0.41344,0.24815,0.97882,1.01726,1.12251,0.00881401,0.00881401,0.00881401
92,11322.8,1.02925,1.06349,1.1358,0.50591,0.4012,0.41527,0.24975,0.97895,1.01768,1.12093,0.00878864,0.00878864,0.00878864
93,11449.7,1.03663,1.07088,1.13734,0.50825,0.40311,0.41545,0.24979,0.98044,1.01881,1.11994,0.00876305,0.00876305,0.00876305
94,11575.3,1.03542,1.0671,1.1344,0.49735,0.40467,0.41508,0.24947,0.98205,1.02123,1.11921,0.00873723,0.00873723,0.00873723
95,11697,1.03317,1.06523,1.13757,0.49798,0.40627,0.41515,0.24916,0.98267,1.02147,1.1183,0.00871117,0.00871117,0.00871117
96,11820.9,1.02927,1.07008,1.13599,0.5081,0.40223,0.41631,0.24995,0.9826,1.02206,1.11677,0.0086849,0.0086849,0.0086849
97,11944.6,1.02948,1.06589,1.13374,0.50485,0.40399,0.41648,0.24992,0.98288,1.02336,1.1159,0.00865839,0.00865839,0.00865839
