epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4479,3.06414,3.84131,2.56485,0.34102,0.05148,0.0258,0.00862,2.31252,2.6638,1.6717,0.00332921,0.00332921,0.0700371
2,100.672,2.13592,2.61039,1.50927,0.18565,0.10285,0.06255,0.02686,1.8095,2.10069,1.30089,0.00666244,0.00666244,0.040037
3,145.236,1.83241,2.19492,1.32571,0.29639,0.12068,0.08143,0.03688,1.64135,1.8358,1.2032,0.00999527,0.00999527,0.0100365
4,188.575,1.66519,1.96661,1.23032,0.26782,0.14144,0.10832,0.05156,1.51164,1.6491,1.16904,0.00999863,0.00999863,0.00999863
5,232.126,1.56884,1.82553,1.17668,0.17266,0.15496,0.11894,0.05723,1.45401,1.60753,1.11255,0.00999756,0.00999756,0.00999756
6,276.506,1.51406,1.73039,1.14666,0.18972,0.18544,0.14008,0.07034,1.34537,1.50495,1.08008,0.00999618,0.00999618,0.00999618
7,320.043,1.46257,1.65886,1.12543,0.22908,0.18998,0.15315,0.07861,1.33255,1.42799,1.06666,0.0099945,0.0099945,0.0099945
8,363.693,1.42636,1.60355,1.11243,0.2319,0.1998,0.16151,0.08319,1.3133,1.40598,1.05581,0.00999252,0.00999252,0.00999252
9,408.174,1.40607,1.55696,1.0948,0.24735,0.20881,0.17313,0.08948,1.28141,1.36166,1.04962,0.00999023,0.00999023,0.00999023
10,452.169,1.37252,1.51822,1.08678,0.35089,0.21167,0.17845,0.09243,1.26995,1.34723,1.04514,0.00998764,0.00998764,0.00998764
11,495.587,1.36096,1.4923,1.08087,0.26068,0.22766,0.19057,0.10083,1.25134,1.31589,1.03097,0.00998474,0.00998474,0.00998474
12,538.703,1.35273,1.47641,1.07412,0.27067,0.22603,0.1981,0.1043,1.22869,1.29009,1.02694,0.00998154,0.00998154,0.00998154
13,581.682,1.32783,1.43806,1.06619,0.28937,0.23522,0.20337,0.1078,1.22099,1.27356,1.01866,0.00997803,0.00997803,0.00997803
14,625.316,1.32229,1.42699,1.05973,0.27859,0.23255,0.20679,0.11044,1.21165,1.27196,1.01417,0.00997422,0.00997422,0.00997422
15,669.443,1.30642,1.40685,1.05805,0.29883,0.24494,0.21375,0.1135,1.20241,1.25162,1.01281,0.00997011,0.00997011,0.00997011
16,712.426,1.29769,1.38407,1.05063,0.31371,0.25545,0.22096,0.11638,1.1946,1.23532,1.00912,0.00996569,0.00996569,0.00996569
17,755.514,1.28677,1.36964,1.04621,0.31617,0.24898,0.22169,0.11797,1.18229,1.22769,1.00487,0.00996097,0.00996097,0.00996097
18,798.73,1.27722,1.35629,1.04179,0.3254,0.25999,0.23082,0.12246,1.1777,1.21349,1.00889,0.00995594,0.00995594,0.00995594
19,842.152,1.27966,1.35598,1.03801,0.33241,0.25895,0.23407,0.12629,1.1744,1.20336,1.0006,0.00995062,0.00995062,0.00995062
20,885.088,1.2632,1.33185,1.0351,0.34696,0.25338,0.2383,0.12751,1.16652,1.19397,0.9978,0.00994499,0.00994499,0.00994499
21,928.701,1.25536,1.31915,1.03312,0.32295,0.26217,0.23789,0.129,1.15554,1.19022,0.99103,0.00993906,0.00993906,0.00993906
22,972.463,1.24484,1.30575,1.0293,0.33538,0.26614,0.24561,0.1335,1.15559,1.18158,0.99357,0.00993282,0.00993282,0.00993282
23,1014.52,1.23786,1.29412,1.02717,0.35445,0.27006,0.25126,0.13615,1.14801,1.16611,0.98956,0.00992629,0.00992629,0.00992629
24,1058.49,1.2363,1.28937,1.02456,0.33956,0.2762,0.25136,0.13709,1.14361,1.15846,0.9894,0.00991946,0.00991946,0.00991946
25,1102.45,1.23424,1.28152,1.02141,0.34579,0.27877,0.25137,0.1366,1.1354,1.15914,0.98406,0.00991232,0.00991232,0.00991232
26,1146.03,1.23001,1.27844,1.02376,0.36132,0.27213,0.25459,0.13997,1.13348,1.15811,0.98394,0.00990489,0.00990489,0.00990489
27,1189.64,1.23192,1.27011,1.01912,0.36137,0.27829,0.26063,0.14267,1.13061,1.14734,0.98134,0.00989715,0.00989715,0.00989715
28,1234.03,1.22087,1.25635,1.01561,0.35212,0.27941,0.26069,0.14213,1.12385,1.14006,0.9787,0.00988912,0.00988912,0.00988912
