epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.056,4.01104,4.16032,3.06765,0.24632,0.05787,0.02914,0.01069,2.9538,2.90848,2.11576,0.00332921,0.00332921,0.0700371
2,206.825,2.71463,2.87551,1.92586,0.05761,0.11451,0.0564,0.02421,2.56097,2.47719,1.75712,0.00666244,0.00666244,0.040037
3,315.376,2.37455,2.50442,1.68621,0.22605,0.11371,0.08721,0.04167,2.17206,2.13447,1.57558,0.00999527,0.00999527,0.0100365
4,419.896,2.19338,2.27836,1.56192,0.32223,0.13536,0.10752,0.05399,2.05305,1.98534,1.47467,0.00999863,0.00999863,0.00999863
5,518.295,2.08439,2.1101,1.48773,0.1533,0.18555,0.13068,0.06648,1.93535,1.81741,1.41797,0.00999756,0.00999756,0.00999756
6,621.252,2.01211,1.98712,1.44066,0.18353,0.1937,0.1447,0.07509,1.84323,1.73075,1.38619,0.00999618,0.00999618,0.00999618
7,724.685,1.94741,1.89761,1.40701,0.20817,0.19849,0.15637,0.08359,1.81034,1.6471,1.34929,0.0099945,0.0099945,0.0099945
8,821.981,1.90737,1.82961,1.39074,0.23634,0.21708,0.17513,0.09226,1.78865,1.61185,1.34928,0.00999252,0.00999252,0.00999252
9,922.023,1.87945,1.77066,1.36479,0.22644,0.22735,0.18318,0.09825,1.75246,1.56277,1.32158,0.00999023,0.00999023,0.00999023
10,1018.86,1.83987,1.72322,1.35164,0.2568,0.23923,0.19062,0.1026,1.70611,1.50827,1.30216,0.00998764,0.00998764,0.00998764
11,1116.64,1.82552,1.68356,1.34278,0.27186,0.23945,0.20439,0.11101,1.69799,1.48264,1.29092,0.00998474,0.00998474,0.00998474
12,1211.97,1.80796,1.66096,1.3276,0.27659,0.24171,0.2116,0.11582,1.67027,1.46988,1.28436,0.00998154,0.00998154,0.00998154
13,1307.06,1.7826,1.62045,1.31577,0.26978,0.24321,0.21088,0.11649,1.68232,1.46581,1.28875,0.00997803,0.00997803,0.00997803
14,1403.57,1.77364,1.6035,1.30741,0.3071,0.2599,0.23041,0.1281,1.64097,1.41815,1.26175,0.00997422,0.00997422,0.00997422
15,1503.03,1.75597,1.57918,1.30323,0.32135,0.26194,0.23471,0.13136,1.63287,1.40616,1.26182,0.00997011,0.00997011,0.00997011
16,1604.07,1.74078,1.55028,1.29266,0.30871,0.27438,0.24367,0.13733,1.61319,1.3877,1.24676,0.00996569,0.00996569,0.00996569
17,1701.47,1.73352,1.53474,1.28509,0.31188,0.27255,0.24252,0.1356,1.60938,1.37667,1.24399,0.00996097,0.00996097,0.00996097
18,1794.36,1.71878,1.51563,1.27833,0.32713,0.28333,0.25678,0.14276,1.60606,1.35712,1.24478,0.00995594,0.00995594,0.00995594
19,1898.08,1.71661,1.50742,1.27003,0.34165,0.29031,0.25986,0.14756,1.59452,1.35367,1.23171,0.00995062,0.00995062,0.00995062
20,1994.31,1.70239,1.48516,1.26713,0.33449,0.29648,0.26453,0.14905,1.57466,1.32978,1.22218,0.00994499,0.00994499,0.00994499
21,2091.94,1.6945,1.47243,1.26122,0.33842,0.29465,0.26724,0.15134,1.58625,1.33381,1.22442,0.00993906,0.00993906,0.00993906
22,2192.76,1.68534,1.4599,1.25716,0.35886,0.29209,0.2703,0.15184,1.57953,1.32567,1.2187,0.00993282,0.00993282,0.00993282
23,2289.12,1.68242,1.45532,1.25112,0.35769,0.29619,0.27267,0.15424,1.57986,1.32362,1.2113,0.00992629,0.00992629,0.00992629
24,2386.17,1.67986,1.45005,1.24602,0.36186,0.29941,0.28072,0.1601,1.5633,1.31323,1.20963,0.00991946,0.00991946,0.00991946
25,2488.2,1.67998,1.44253,1.24046,0.37423,0.30951,0.2855,0.16186,1.56787,1.3051,1.20594,0.00991232,0.00991232,0.00991232
26,2589.44,1.67419,1.43443,1.24145,0.36563,0.29819,0.28339,0.16325,1.56324,1.30458,1.20009,0.00990489,0.00990489,0.00990489
27,2687.08,1.67351,1.42741,1.23387,0.3796,0.30479,0.28754,0.16452,1.56433,1.29839,1.205,0.00989715,0.00989715,0.00989715
28,2788.51,1.66456,1.41555,1.2307,0.3813,0.30457,0.29083,0.16618,1.54867,1.2874,1.19594,0.00988912,0.00988912,0.00988912
29,2886.42,1.66169,1.40835,1.2276,0.39659,0.30688,0.29601,0.16968,1.55167,1.29329,1.19223,0.00988079,0.00988079,0.00988079
30,2978.96,1.65689,1.40054,1.22101,0.3878,0.31114,0.29534,0.16955,1.54207,1.27964,1.18796,0.00987216,0.00987216,0.00987216
31,3078.76,1.64968,1.39665,1.22088,0.39388,0.30634,0.29653,0.17004,1.54208,1.27492,1.18635,0.00986323,0.00986323,0.00986323
32,3182.89,1.64468,1.391,1.21724,0.39428,0.31875,0.30342,0.17383,1.53447,1.27091,1.18278,0.00985401,0.00985401,0.00985401
33,3281.31,1.63779,1.38438,1.2151,0.40233,0.31744,0.30419,0.17475,1.53493,1.26351,1.18357,0.00984449,0.00984449,0.00984449
34,3379.89,1.64391,1.3833,1.21673,0.40392,0.31718,0.30389,0.17596,1.52646,1.25726,1.1785,0.00983467,0.00983467,0.00983467
35,3481.17,1.62776,1.3688,1.2087,0.40829,0.31855,0.31049,0.17828,1.53147,1.25522,1.17821,0.00982456,0.00982456,0.00982456
36,3576.98,1.62528,1.36419,1.2092,0.4031,0.31849,0.3085,0.1784,1.52347,1.2504,1.17391,0.00981415,0.00981415,0.00981415
37,3673.19,1.62692,1.35684,1.2005,0.40663,0.32048,0.31209,0.17897,1.51831,1.24468,1.17197,0.00980345,0.00980345,0.00980345
38,3769.25,1.61797,1.35536,1.20308,0.41161,0.3191,0.31444,0.18203,1.51373,1.24166,1.17069,0.00979246,0.00979246,0.00979246
39,3867.8,1.62281,1.34963,1.20005,0.41894,0.3188,0.31719,0.18289,1.51451,1.24093,1.16871,0.00978118,0.00978118,0.00978118
40,3964.68,1.6139,1.33803,1.20042,0.40584,0.32982,0.31883,0.18299,1.51091,1.23715,1.167,0.0097696,0.0097696,0.0097696
