epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5566,4.07085,3.82949,2.44335,0.34072,0.05153,0.02587,0.0084,2.80925,2.6758,1.55125,0.00332921,0.00332921,0.0700371
2,94.1107,2.70557,2.64193,1.4788,0.17253,0.10081,0.05835,0.02303,2.40359,2.15283,1.31231,0.00666244,0.00666244,0.040037
3,137.185,2.37035,2.21911,1.31464,0.24484,0.12276,0.07718,0.03257,2.18297,1.90554,1.21451,0.00999527,0.00999527,0.0100365
4,180.183,2.20303,1.99224,1.22771,0.23788,0.15973,0.1069,0.05113,1.94586,1.71769,1.15218,0.00999863,0.00999863,0.00999863
5,222.2,2.1057,1.84978,1.17668,0.18243,0.16039,0.12146,0.05884,1.91007,1.58972,1.11052,0.00999756,0.00999756,0.00999756
6,264.859,2.05179,1.75508,1.14561,0.21011,0.18291,0.13818,0.06844,1.77847,1.52708,1.08573,0.00999618,0.00999618,0.00999618
7,306.489,1.98476,1.68135,1.12417,0.228,0.19236,0.15625,0.07949,1.77424,1.45118,1.07081,0.0099945,0.0099945,0.0099945
8,348.147,1.93337,1.62447,1.11086,0.21957,0.19876,0.15861,0.07949,1.75553,1.43136,1.05961,0.00999252,0.00999252,0.00999252
9,390.549,1.91133,1.57918,1.092,0.23094,0.20823,0.16869,0.0857,1.72881,1.40107,1.05211,0.00999023,0.00999023,0.00999023
10,432.591,1.86435,1.54158,1.08641,0.24801,0.21906,0.18124,0.09397,1.67715,1.35797,1.03959,0.00998764,0.00998764,0.00998764
11,474.293,1.84556,1.5134,1.07913,0.26022,0.22306,0.18677,0.09638,1.67586,1.33754,1.03308,0.00998474,0.00998474,0.00998474
12,515.8,1.84139,1.50253,1.07344,0.2985,0.22869,0.19754,0.10325,1.63847,1.31674,1.02778,0.00998154,0.00998154,0.00998154
13,557.289,1.80208,1.46417,1.06544,0.28648,0.2265,0.19881,0.10402,1.62698,1.29931,1.02239,0.00997803,0.00997803,0.00997803
14,599.19,1.7996,1.45041,1.05975,0.38045,0.23662,0.21173,0.11182,1.60206,1.28559,1.01663,0.00997422,0.00997422,0.00997422
