epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0907,4.21792,3.85095,2.50889,0.23817,0.0437,0.02385,0.00815,3.21065,2.75225,1.68007,0.00332921,0.00332921,0.0700371
2,95.2968,2.98053,2.65083,1.50383,0.06897,0.10136,0.05268,0.02118,2.79779,2.22435,1.35064,0.00666244,0.00666244,0.040037
3,140.33,2.56178,2.22814,1.32555,0.20334,0.12451,0.08017,0.03561,2.28031,1.87586,1.21514,0.00999527,0.00999527,0.0100365
4,184.218,2.33027,2.00359,1.23468,0.26078,0.14738,0.10555,0.05111,2.11194,1.68872,1.1709,0.00999863,0.00999863,0.00999863
5,227.504,2.19557,1.86191,1.18166,0.15852,0.16439,0.1164,0.05671,2.01994,1.60121,1.11429,0.00999756,0.00999756,0.00999756
6,271.488,2.11578,1.76383,1.14977,0.19023,0.18398,0.13415,0.06925,1.90036,1.51178,1.09022,0.00999618,0.00999618,0.00999618
7,315.005,2.04129,1.68779,1.12885,0.21851,0.19535,0.15429,0.08076,1.85318,1.45053,1.07223,0.0099945,0.0099945,0.0099945
8,358.223,1.98689,1.62911,1.11469,0.21676,0.20157,0.15936,0.0824,1.81581,1.4252,1.05831,0.00999252,0.00999252,0.00999252
9,402.692,1.95848,1.5811,1.09679,0.22081,0.20718,0.16766,0.08742,1.80192,1.38484,1.05188,0.00999023,0.00999023,0.00999023
10,446.587,1.91148,1.54048,1.08889,0.26876,0.22018,0.17882,0.09416,1.75279,1.35154,1.03957,0.00998764,0.00998764,0.00998764
11,490.386,1.89485,1.51348,1.08246,0.25,0.21537,0.18368,0.09597,1.77053,1.34375,1.04197,0.00998474,0.00998474,0.00998474
12,534.498,1.88264,1.50064,1.07502,0.26481,0.22503,0.19163,0.10234,1.71397,1.32514,1.02463,0.00998154,0.00998154,0.00998154
13,577.22,1.85137,1.46102,1.06766,0.2536,0.23194,0.19688,0.10503,1.71475,1.30115,1.02538,0.00997803,0.00997803,0.00997803
14,616.98,1.84252,1.44782,1.06126,0.28916,0.2323,0.20264,0.10942,1.69112,1.27929,1.0236,0.00997422,0.00997422,0.00997422
15,659.95,1.82034,1.42666,1.05935,0.30001,0.24458,0.21339,0.11452,1.68893,1.28263,1.01706,0.00997011,0.00997011,0.00997011
16,703.737,1.80712,1.40356,1.05256,0.29512,0.24022,0.21509,0.1155,1.67942,1.2599,1.01803,0.00996569,0.00996569,0.00996569
