epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.8584,1.48668,1.07948,0.95048,0.40266,0.32032,0.3174,0.18808,1.46921,1.08819,0.94446,0.001,0.001,0.001
2,135.049,1.50872,1.08473,0.95003,0.4005,0.32693,0.32253,0.19096,1.46581,1.08447,0.94014,0.000999973,0.000999973,0.000999973
3,203.768,1.50445,1.07472,0.94544,0.42002,0.32296,0.32936,0.19434,1.46737,1.07477,0.93741,0.000999891,0.000999891,0.000999891
4,273.265,1.49426,1.05695,0.94111,0.43032,0.32259,0.33141,0.19583,1.46367,1.06652,0.93386,0.000999756,0.000999756,0.000999756
5,343.256,1.4921,1.05565,0.93903,0.42301,0.32769,0.3341,0.19786,1.45193,1.05986,0.93245,0.000999566,0.000999566,0.000999566
6,413.331,1.49553,1.05067,0.9377,0.42215,0.32544,0.33085,0.19512,1.45315,1.06203,0.93299,0.000999322,0.000999322,0.000999322
7,483.06,1.48558,1.04418,0.93572,0.41443,0.33697,0.33464,0.1985,1.44987,1.05405,0.93138,0.000999023,0.000999023,0.000999023
8,549.528,1.47918,1.04168,0.93812,0.42826,0.32814,0.33442,0.1971,1.45058,1.05517,0.93059,0.000998671,0.000998671,0.000998671
9,614.453,1.48247,1.0362,0.93312,0.41642,0.33648,0.33712,0.19949,1.44963,1.04953,0.93156,0.000998264,0.000998264,0.000998264
10,681.954,1.46927,1.02589,0.93498,0.42132,0.33379,0.33556,0.19847,1.44714,1.05072,0.92999,0.000997803,0.000997803,0.000997803
11,749.968,1.47819,1.02923,0.93576,0.42186,0.3361,0.33784,0.19851,1.44737,1.04776,0.92922,0.000997288,0.000997288,0.000997288
12,816.141,1.48189,1.0342,0.93483,0.42002,0.33587,0.33803,0.19798,1.44863,1.04724,0.92929,0.00099672,0.00099672,0.00099672
13,883.644,1.47113,1.02293,0.93371,0.41501,0.33653,0.33945,0.19992,1.44809,1.04597,0.92968,0.000996097,0.000996097,0.000996097
14,950.554,1.47895,1.02706,0.93304,0.42536,0.33173,0.33819,0.19859,1.44668,1.04427,0.92859,0.00099542,0.00099542,0.00099542
15,1018.65,1.47322,1.02284,0.93487,0.41452,0.33914,0.33945,0.1993,1.44478,1.04362,0.92922,0.00099469,0.00099469,0.00099469
16,1085.25,1.46867,1.01772,0.93231,0.41489,0.33637,0.339,0.19887,1.44406,1.03795,0.92789,0.000993906,0.000993906,0.000993906
17,1158.74,1.47134,1.01835,0.9322,0.43061,0.33041,0.34014,0.20004,1.44938,1.04219,0.93029,0.000993068,0.000993068,0.000993068
18,1232.44,1.46799,1.01684,0.93176,0.42464,0.33517,0.33915,0.19799,1.44441,1.04057,0.93022,0.000992177,0.000992177,0.000992177
19,1304.44,1.47593,1.02152,0.92994,0.42274,0.34008,0.34111,0.19974,1.44922,1.04067,0.93062,0.000991232,0.000991232,0.000991232
20,1376.86,1.46695,1.01356,0.93076,0.42455,0.3357,0.34056,0.19896,1.44699,1.04195,0.92995,0.000990234,0.000990234,0.000990234
21,1450.36,1.46602,1.01173,0.93108,0.42377,0.33559,0.34192,0.20145,1.44416,1.03854,0.92803,0.000989183,0.000989183,0.000989183
22,1522.55,1.45838,1.01002,0.92962,0.42766,0.33674,0.34095,0.19909,1.44706,1.03865,0.92904,0.000988079,0.000988079,0.000988079
23,1593.75,1.45746,1.00648,0.92988,0.41545,0.33871,0.34021,0.19838,1.44679,1.03927,0.92872,0.000986922,0.000986922,0.000986922
24,1664.16,1.46226,1.00676,0.92934,0.42369,0.33796,0.34136,0.19984,1.43963,1.03862,0.92777,0.000985711,0.000985711,0.000985711
25,1737.55,1.46424,1.00674,0.92808,0.42379,0.33827,0.34218,0.20081,1.43985,1.03809,0.92833,0.000984449,0.000984449,0.000984449
26,1812.34,1.46043,1.0092,0.93118,0.42876,0.33453,0.33976,0.19845,1.44531,1.03953,0.92839,0.000983133,0.000983133,0.000983133
27,1883.54,1.46895,1.01064,0.92871,0.42009,0.33767,0.34123,0.20109,1.44144,1.03412,0.92813,0.000981765,0.000981765,0.000981765
28,1958.24,1.46218,1.00192,0.92794,0.43478,0.33445,0.34531,0.20231,1.44201,1.03583,0.92777,0.000980345,0.000980345,0.000980345
29,2032.75,1.46548,1.00202,0.92803,0.43258,0.33501,0.34349,0.20188,1.44222,1.03495,0.92792,0.000978873,0.000978873,0.000978873
30,2105.93,1.46379,1.00231,0.9249,0.43057,0.34042,0.34405,0.20143,1.44135,1.03345,0.92829,0.000977349,0.000977349,0.000977349
31,2181.06,1.4584,1.00239,0.92678,0.43412,0.3395,0.34438,0.20185,1.44247,1.03301,0.92735,0.000975773,0.000975773,0.000975773
32,2254.15,1.45871,1.00116,0.92753,0.42357,0.34292,0.34262,0.20076,1.43919,1.03629,0.92711,0.000974145,0.000974145,0.000974145
33,2329.97,1.45185,0.99788,0.92755,0.42222,0.34234,0.3424,0.20055,1.43987,1.03491,0.92591,0.000972466,0.000972466,0.000972466
34,2405.76,1.46398,1.0037,0.9293,0.43089,0.34358,0.34413,0.20226,1.4368,1.03159,0.92631,0.000970736,0.000970736,0.000970736
