epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7373,1.48668,1.07948,0.95048,0.4027,0.32034,0.32216,0.19205,1.46921,1.08819,0.94446,0.001,0.001,0.001
2,115.532,1.50872,1.08473,0.95003,0.4005,0.32693,0.32708,0.19474,1.46581,1.08447,0.94014,0.000999973,0.000999973,0.000999973
3,169.714,1.50445,1.07472,0.94544,0.41976,0.32278,0.33346,0.19779,1.46737,1.07477,0.93741,0.000999891,0.000999891,0.000999891
4,227.846,1.49426,1.05695,0.94111,0.43032,0.32258,0.33504,0.199,1.46367,1.06652,0.93386,0.000999756,0.000999756,0.000999756
5,282.928,1.4921,1.05565,0.93903,0.42434,0.32673,0.3382,0.20134,1.45193,1.05986,0.93245,0.000999566,0.000999566,0.000999566
6,343.848,1.49553,1.05067,0.9377,0.42215,0.32544,0.33435,0.19833,1.45315,1.06203,0.93299,0.000999322,0.000999322,0.000999322
7,401.536,1.48558,1.04418,0.93572,0.41443,0.33696,0.33847,0.20183,1.44987,1.05405,0.93138,0.000999023,0.000999023,0.000999023
8,463.349,1.47918,1.04168,0.93812,0.42809,0.32806,0.33823,0.2004,1.45058,1.05517,0.93059,0.000998671,0.000998671,0.000998671
9,520.947,1.48247,1.0362,0.93312,0.41788,0.33547,0.34158,0.2032,1.44963,1.04953,0.93156,0.000998264,0.000998264,0.000998264
10,579.816,1.46927,1.02589,0.93498,0.42135,0.3338,0.33953,0.20189,1.44714,1.05072,0.92999,0.000997803,0.000997803,0.000997803
11,639.339,1.47819,1.02923,0.93576,0.42204,0.33626,0.3419,0.20204,1.44737,1.04776,0.92922,0.000997288,0.000997288,0.000997288
12,696.726,1.48189,1.0342,0.93483,0.41992,0.33583,0.34145,0.20116,1.44863,1.04724,0.92929,0.00099672,0.00099672,0.00099672
13,755.047,1.47113,1.02293,0.93371,0.41488,0.33644,0.3435,0.20349,1.44809,1.04597,0.92968,0.000996097,0.000996097,0.000996097
14,815.132,1.47895,1.02706,0.93304,0.42537,0.33173,0.34201,0.2021,1.44668,1.04427,0.92859,0.00099542,0.00099542,0.00099542
15,872.634,1.47322,1.02284,0.93487,0.41454,0.33915,0.34353,0.2028,1.44478,1.04362,0.92922,0.00099469,0.00099469,0.00099469
16,931.137,1.46867,1.01772,0.93231,0.41493,0.3364,0.34305,0.20243,1.44406,1.03795,0.92789,0.000993906,0.000993906,0.000993906
17,989.537,1.47134,1.01835,0.9322,0.43257,0.32986,0.34393,0.20338,1.44938,1.04219,0.93029,0.000993068,0.000993068,0.000993068
18,1046.93,1.46799,1.01684,0.93176,0.42467,0.33519,0.34313,0.20132,1.44441,1.04057,0.93022,0.000992177,0.000992177,0.000992177
