epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1983,1.48668,1.07948,0.95048,0.40271,0.32037,0.29963,0.1738,1.46921,1.08819,0.94446,0.001,0.001,0.001
2,89.2998,1.50872,1.08473,0.95003,0.4005,0.32693,0.3059,0.17752,1.46581,1.08447,0.94014,0.000999973,0.000999973,0.000999973
3,132.686,1.50445,1.07472,0.94544,0.41976,0.32278,0.31272,0.18094,1.46737,1.07477,0.93741,0.000999891,0.000999891,0.000999891
4,175.206,1.49426,1.05695,0.94111,0.42874,0.32343,0.31466,0.1822,1.46367,1.06652,0.93386,0.000999756,0.000999756,0.000999756
5,216.836,1.4921,1.05565,0.93903,0.42295,0.32766,0.31888,0.18539,1.45193,1.05986,0.93245,0.000999566,0.000999566,0.000999566
6,260.621,1.49553,1.05067,0.9377,0.42221,0.32548,0.31444,0.182,1.45315,1.06203,0.93299,0.000999322,0.000999322,0.000999322
7,303.593,1.48558,1.04418,0.93572,0.41444,0.33696,0.31858,0.18539,1.44987,1.05405,0.93138,0.000999023,0.000999023,0.000999023
8,346.622,1.47918,1.04168,0.93812,0.42913,0.32776,0.31981,0.18502,1.45058,1.05517,0.93059,0.000998671,0.000998671,0.000998671
9,388.612,1.48247,1.0362,0.93312,0.41784,0.33545,0.32077,0.18582,1.44963,1.04953,0.93156,0.000998264,0.000998264,0.000998264
10,431.515,1.46927,1.02589,0.93498,0.42131,0.33378,0.31959,0.18536,1.44714,1.05072,0.92999,0.000997803,0.000997803,0.000997803
11,475.025,1.47819,1.02923,0.93576,0.42184,0.33609,0.32259,0.18603,1.44737,1.04776,0.92922,0.000997288,0.000997288,0.000997288
12,518.097,1.48189,1.0342,0.93483,0.4199,0.33582,0.32313,0.18578,1.44863,1.04724,0.92929,0.00099672,0.00099672,0.00099672
13,561.576,1.47113,1.02293,0.93371,0.41486,0.33644,0.32249,0.18591,1.44809,1.04597,0.92968,0.000996097,0.000996097,0.000996097
14,605.645,1.47895,1.02706,0.93304,0.42536,0.33173,0.32179,0.18524,1.44668,1.04427,0.92859,0.00099542,0.00099542,0.00099542
15,649.831,1.47322,1.02284,0.93487,0.41455,0.33916,0.32313,0.18572,1.44478,1.04362,0.92922,0.00099469,0.00099469,0.00099469
16,692.893,1.46867,1.01772,0.93231,0.41499,0.33641,0.32436,0.18675,1.44406,1.03795,0.92789,0.000993906,0.000993906,0.000993906
17,734.898,1.47134,1.01835,0.9322,0.43257,0.32986,0.32342,0.18623,1.44938,1.04219,0.93029,0.000993068,0.000993068,0.000993068
18,778.098,1.46799,1.01684,0.93176,0.42464,0.33518,0.32371,0.18542,1.44441,1.04057,0.93022,0.000992177,0.000992177,0.000992177
19,822.339,1.47593,1.02152,0.92994,0.42271,0.34004,0.32493,0.18646,1.44922,1.04067,0.93062,0.000991232,0.000991232,0.000991232
20,865.134,1.46695,1.01356,0.93076,0.42454,0.33569,0.3257,0.18692,1.44699,1.04195,0.92995,0.000990234,0.000990234,0.000990234
21,907.784,1.46602,1.01173,0.93108,0.42368,0.33555,0.3244,0.18717,1.44416,1.03854,0.92803,0.000989183,0.000989183,0.000989183
22,951.944,1.45838,1.01002,0.92962,0.42763,0.33671,0.32593,0.18655,1.44706,1.03865,0.92904,0.000988079,0.000988079,0.000988079
23,995.765,1.45746,1.00648,0.92988,0.41543,0.3387,0.32562,0.18636,1.44679,1.03927,0.92872,0.000986922,0.000986922,0.000986922
24,1039.31,1.46226,1.00676,0.92934,0.42371,0.33797,0.32559,0.18694,1.43963,1.03862,0.92777,0.000985711,0.000985711,0.000985711
25,1082.95,1.46424,1.00674,0.92808,0.42388,0.33832,0.32721,0.1885,1.43985,1.03809,0.92833,0.000984449,0.000984449,0.000984449
26,1126.86,1.46043,1.0092,0.93118,0.42884,0.33458,0.3243,0.18595,1.44531,1.03953,0.92839,0.000983133,0.000983133,0.000983133
27,1170.92,1.46895,1.01064,0.92871,0.41981,0.33752,0.32544,0.18783,1.44144,1.03412,0.92813,0.000981765,0.000981765,0.000981765
28,1213.74,1.46218,1.00192,0.92794,0.43478,0.33444,0.32897,0.18878,1.44201,1.03583,0.92777,0.000980345,0.000980345,0.000980345
29,1258.51,1.46548,1.00202,0.92803,0.4326,0.33502,0.32658,0.18811,1.44222,1.03495,0.92792,0.000978873,0.000978873,0.000978873
30,1302.12,1.46379,1.00231,0.9249,0.43057,0.34042,0.32867,0.18888,1.44135,1.03345,0.92829,0.000977349,0.000977349,0.000977349
31,1346.69,1.4584,1.00239,0.92678,0.43421,0.33956,0.32683,0.18746,1.44247,1.03301,0.92735,0.000975773,0.000975773,0.000975773
32,1391.75,1.45871,1.00116,0.92753,0.42354,0.34291,0.32731,0.18817,1.43919,1.03629,0.92711,0.000974145,0.000974145,0.000974145
