model,Precision(%),Recall(%),mAP@50(%),mAP@50:95(%),params,GFLOPS
yolov11n,45.1,34.4,34.2,19.8,2584102,6.3
RFD(-1),46.2,34.7,35.0,20.3,2483590,6.2
RFD,47.2,35.1,35.8,20.7,2483822,6.4
SACSP,

SFPN1,49.9,38.4,39.3,23.4,2006398,12.2
SFPN2,51.3,39.3,41.2,25.0,2208574,15.2
SFPN3,
SFPN4,

SDCIOU(1024),46.4,34.5,35.1,20.2

RFD+SACSP,
RFD+SACSP+SFPN,56.8,41.1,44.5,27.1,2568694 ,20.5
RFD+SACSP+SFPN+SDCIOU,54.0,42.6,44.8,27.5,2568694,20.5
RFD+SACSP+SFPN+DFIOU,54.0,42.6,44.8,27.5,2568694,20.5

RSS_YOLO_lamp_pruned_0.50,48.4,38.4,39.3,23.3,1100868,9.3
