epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.394,3.85407,4.04393,2.92371,0.03268,0.08983,0.02895,0.01038,2.8784,2.91228,2.0654,0.00332921,0.00332921,0.0700371
2,198.256,2.73848,2.95897,1.90413,0.05461,0.14175,0.06117,0.02675,2.41891,2.44002,1.68088,0.00666244,0.00666244,0.040037
3,301.711,2.42492,2.5713,1.6612,0.19424,0.13292,0.08276,0.03884,2.17007,2.14017,1.55266,0.00999527,0.00999527,0.0100365
4,401.759,2.24051,2.32073,1.53706,0.23445,0.14603,0.10344,0.05108,2.04068,1.98645,1.44523,0.00999863,0.00999863,0.00999863
5,499.381,2.12255,2.15748,1.46436,0.23942,0.17261,0.11763,0.05923,1.97607,1.89788,1.39649,0.00999756,0.00999756,0.00999756
6,600.132,2.05302,2.03882,1.41553,0.29071,0.18359,0.14177,0.07395,1.8722,1.74833,1.35408,0.00999618,0.00999618,0.00999618
7,700.955,1.98746,1.95604,1.37938,0.31221,0.19694,0.15441,0.08105,1.83482,1.69444,1.32827,0.0099945,0.0099945,0.0099945
8,792.76,1.95034,1.89147,1.36049,0.21575,0.20871,0.168,0.08913,1.81535,1.65482,1.30832,0.00999252,0.00999252,0.00999252
9,885.412,1.92175,1.83591,1.33277,0.2386,0.22166,0.18241,0.09761,1.78603,1.60738,1.29732,0.00999023,0.00999023,0.00999023
10,974.593,1.88258,1.79166,1.31699,0.25127,0.22368,0.18736,0.10115,1.76008,1.58605,1.27425,0.00998764,0.00998764,0.00998764
11,1065.64,1.87517,1.76055,1.30462,0.26175,0.23289,0.19551,0.10638,1.76054,1.56807,1.2541,0.00998474,0.00998474,0.00998474
12,1156.01,1.86358,1.74474,1.2892,0.26554,0.23748,0.20278,0.10933,1.72511,1.53874,1.24187,0.00998154,0.00998154,0.00998154
13,1245.42,1.84193,1.70905,1.27458,0.27245,0.23789,0.20582,0.11251,1.74054,1.54893,1.23665,0.00997803,0.00997803,0.00997803
14,1335.94,1.83661,1.69384,1.2641,0.28732,0.24198,0.21506,0.11923,1.7064,1.50998,1.21942,0.00997422,0.00997422,0.00997422
15,1427.03,1.81859,1.67002,1.25574,0.2768,0.25251,0.21892,0.1203,1.69786,1.49977,1.21989,0.00997011,0.00997011,0.00997011
16,1522.18,1.80674,1.64271,1.24452,0.29853,0.2567,0.22822,0.12423,1.68314,1.48309,1.20879,0.00996569,0.00996569,0.00996569
17,1613.95,1.80065,1.63061,1.23493,0.30045,0.25191,0.22752,0.12659,1.66803,1.4717,1.1953,0.00996097,0.00996097,0.00996097
18,1705.18,1.78459,1.60926,1.22654,0.31755,0.25973,0.23552,0.131,1.65806,1.44774,1.18409,0.00995594,0.00995594,0.00995594
19,1800.27,1.78254,1.6031,1.22005,0.33106,0.2674,0.24225,0.13453,1.66965,1.44126,1.18178,0.00995062,0.00995062,0.00995062
20,1890.71,1.76683,1.5764,1.21197,0.31947,0.26121,0.24491,0.13773,1.64299,1.4199,1.17391,0.00994499,0.00994499,0.00994499
21,1983.46,1.75611,1.56445,1.20531,0.3201,0.272,0.2497,0.1404,1.63303,1.41823,1.16617,0.00993906,0.00993906,0.00993906
22,2075.16,1.74465,1.5468,1.20174,0.33389,0.27172,0.25343,0.14237,1.63311,1.40263,1.16582,0.00993282,0.00993282,0.00993282
23,2165.9,1.73888,1.53594,1.19578,0.34,0.27116,0.25233,0.14215,1.62147,1.3987,1.16085,0.00992629,0.00992629,0.00992629
24,2255.66,1.73379,1.5272,1.18898,0.3388,0.27959,0.25922,0.14639,1.61334,1.38773,1.15104,0.00991946,0.00991946,0.00991946
25,2349.45,1.73126,1.51568,1.18251,0.34219,0.28309,0.26037,0.14801,1.60732,1.38076,1.14497,0.00991232,0.00991232,0.00991232
