epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.284,4.12832,4.2866,3.16243,0.02805,0.04434,0.01513,0.0046,3.36719,3.40047,2.45351,0.00332921,0.00332921,0.0700371
2,245.869,2.92116,3.10314,2.06938,0.09278,0.1164,0.06628,0.02836,2.44681,2.50255,1.74512,0.00666244,0.00666244,0.040037
3,367.45,2.42465,2.51442,1.69306,0.29696,0.13699,0.08319,0.03846,2.18775,2.18807,1.54867,0.00999527,0.00999527,0.0100365
4,485.564,2.19326,2.23061,1.53169,0.16395,0.15229,0.11317,0.05606,2.00498,1.89952,1.45726,0.00999863,0.00999863,0.00999863
5,601.628,2.06214,2.06238,1.44691,0.25613,0.18536,0.13025,0.06625,1.92579,1.79094,1.37817,0.00999756,0.00999756,0.00999756
6,719.348,1.99138,1.94357,1.39777,0.19354,0.19843,0.14842,0.07804,1.80554,1.67422,1.33689,0.00999618,0.00999618,0.00999618
7,838.998,1.9269,1.85699,1.3633,0.21927,0.20664,0.1665,0.08853,1.77995,1.61531,1.31696,0.0099945,0.0099945,0.0099945
8,951.559,1.88884,1.7948,1.34567,0.2621,0.22962,0.18681,0.09981,1.74536,1.57141,1.29763,0.00999252,0.00999252,0.00999252
9,1067.39,1.85955,1.73696,1.3203,0.25345,0.23247,0.18716,0.10136,1.74113,1.55424,1.28363,0.00999023,0.00999023,0.00999023
10,1177.38,1.82373,1.69422,1.30778,0.28528,0.24582,0.20878,0.11414,1.69976,1.49576,1.27238,0.00998764,0.00998764,0.00998764
11,1290.64,1.80878,1.65966,1.29636,0.27743,0.2475,0.21368,0.1188,1.68808,1.4721,1.24374,0.00998474,0.00998474,0.00998474
12,1401.64,1.79543,1.63678,1.2814,0.28642,0.24798,0.21896,0.12164,1.66192,1.45299,1.23463,0.00998154,0.00998154,0.00998154
13,1514.29,1.77049,1.59866,1.26697,0.29763,0.26503,0.22559,0.12716,1.64639,1.43618,1.22691,0.00997803,0.00997803,0.00997803
14,1627.66,1.76791,1.58574,1.25871,0.31574,0.26756,0.24539,0.13751,1.6397,1.41254,1.2169,0.00997422,0.00997422,0.00997422
15,1741.04,1.75414,1.56347,1.25024,0.33398,0.27048,0.24787,0.14002,1.62721,1.39713,1.20848,0.00997011,0.00997011,0.00997011
16,1860.56,1.7454,1.54588,1.24007,0.32665,0.27277,0.25194,0.14211,1.61675,1.39984,1.19578,0.00996569,0.00996569,0.00996569
17,1973.8,1.73922,1.53277,1.23051,0.33124,0.27137,0.25352,0.14455,1.61411,1.39248,1.19677,0.00996097,0.00996097,0.00996097
18,2087.59,1.72785,1.51566,1.22212,0.3316,0.2708,0.25344,0.14543,1.61415,1.38587,1.17876,0.00995594,0.00995594,0.00995594
19,2204.32,1.72534,1.50782,1.21402,0.33826,0.28858,0.26444,0.15098,1.59838,1.35221,1.17636,0.00995062,0.00995062,0.00995062
20,2318.62,1.70861,1.48523,1.20727,0.35875,0.28315,0.27016,0.15621,1.59215,1.35066,1.16909,0.00994499,0.00994499,0.00994499
21,2433.78,1.70036,1.47305,1.20112,0.34025,0.29093,0.26914,0.15531,1.58673,1.34259,1.1638,0.00993906,0.00993906,0.00993906
22,2549.09,1.68743,1.456,1.19614,0.35357,0.30135,0.28036,0.15976,1.58321,1.32721,1.1641,0.00993282,0.00993282,0.00993282
23,2658.74,1.68072,1.44334,1.19019,0.3539,0.30025,0.27924,0.1607,1.5769,1.31895,1.15903,0.00992629,0.00992629,0.00992629
24,2768.8,1.67901,1.43763,1.18549,0.36811,0.29985,0.28676,0.16618,1.5629,1.30717,1.15686,0.00991946,0.00991946,0.00991946
25,2890.79,1.67504,1.42421,1.17949,0.37477,0.29764,0.28327,0.16431,1.55588,1.30528,1.14767,0.00991232,0.00991232,0.00991232
26,3007.47,1.66804,1.42287,1.17962,0.38479,0.30057,0.28715,0.16853,1.55376,1.29683,1.14287,0.00990489,0.00990489,0.00990489
27,3120.82,1.6649,1.41223,1.1722,0.37781,0.30409,0.29016,0.16804,1.55061,1.29264,1.13863,0.00989715,0.00989715,0.00989715
28,3237.56,1.65797,1.39684,1.16845,0.37582,0.30627,0.29267,0.16948,1.54443,1.28349,1.13744,0.00988912,0.00988912,0.00988912
29,3349.95,1.65552,1.39001,1.16559,0.3922,0.31122,0.2973,0.17346,1.54229,1.2827,1.13311,0.00988079,0.00988079,0.00988079
30,3457.15,1.64671,1.38192,1.15805,0.39063,0.31579,0.30084,0.17498,1.53859,1.27257,1.13185,0.00987216,0.00987216,0.00987216
31,3573.38,1.63809,1.37486,1.15797,0.38175,0.31665,0.30485,0.17757,1.53461,1.26533,1.12922,0.00986323,0.00986323,0.00986323
32,3692.13,1.63581,1.37258,1.15483,0.3886,0.32038,0.30622,0.1784,1.52388,1.26028,1.124,0.00985401,0.00985401,0.00985401
33,3804.95,1.62759,1.36362,1.15178,0.39195,0.3138,0.30556,0.1776,1.52714,1.25592,1.12435,0.00984449,0.00984449,0.00984449
