epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.495,4.48385,4.10838,2.75011,0.01612,0.01718,0.00789,0.0023,3.58998,3.1917,1.96639,0.00332921,0.00332921,0.0700371
2,141.588,3.13583,2.78598,1.59052,0.06726,0.11719,0.05671,0.02237,2.66698,2.19181,1.3314,0.00666244,0.00666244,0.040037
3,205.789,2.54607,2.21177,1.31959,0.11123,0.13148,0.08436,0.0382,2.22303,1.81018,1.18722,0.00999527,0.00999527,0.0100365
4,271.316,2.28667,1.94949,1.21511,0.13775,0.15489,0.10781,0.05139,2.04782,1.65923,1.13668,0.00999863,0.00999863,0.00999863
5,336.647,2.14359,1.79537,1.16156,0.17635,0.16578,0.12695,0.06276,1.95296,1.55897,1.09608,0.00999756,0.00999756,0.00999756
6,401.592,2.06289,1.69866,1.12936,0.19769,0.18907,0.14833,0.07518,1.84455,1.45823,1.0694,0.00999618,0.00999618,0.00999618
7,466.56,1.98852,1.62073,1.10698,0.23072,0.1879,0.15735,0.08192,1.82913,1.41125,1.05786,0.0099945,0.0099945,0.0099945
8,531.09,1.9365,1.55943,1.09469,0.25339,0.20619,0.17547,0.09116,1.76815,1.36259,1.04498,0.00999252,0.00999252,0.00999252
9,596.985,1.90305,1.51006,1.07641,0.25501,0.20957,0.18085,0.09461,1.76359,1.33531,1.045,0.00999023,0.00999023,0.00999023
10,662.499,1.85705,1.47179,1.06958,0.27509,0.21981,0.18909,0.09958,1.7256,1.32554,1.02603,0.00998764,0.00998764,0.00998764
11,728.053,1.83801,1.43988,1.06223,0.27976,0.22534,0.1976,0.10503,1.72324,1.28172,1.02549,0.00998474,0.00998474,0.00998474
12,793.907,1.82515,1.42721,1.05587,0.28824,0.23324,0.20467,0.10958,1.67389,1.26641,1.01256,0.00998154,0.00998154,0.00998154
13,859.165,1.79081,1.38586,1.04784,0.2865,0.24224,0.21356,0.11351,1.64952,1.25123,1.00967,0.00997803,0.00997803,0.00997803
14,924.932,1.78353,1.37412,1.04146,0.34379,0.24941,0.22134,0.12034,1.63005,1.22563,1.00122,0.00997422,0.00997422,0.00997422
15,990.306,1.75845,1.35292,1.03892,0.31216,0.25212,0.2287,0.12329,1.62424,1.22436,1.00068,0.00997011,0.00997011,0.00997011
16,1055.79,1.74462,1.32958,1.03165,0.31989,0.25259,0.22897,0.12295,1.60875,1.2003,0.99361,0.00996569,0.00996569,0.00996569
17,1121.56,1.73253,1.31474,1.02809,0.31983,0.25003,0.23221,0.12637,1.59609,1.19343,0.99249,0.00996097,0.00996097,0.00996097
18,1186.48,1.71717,1.30389,1.02288,0.32866,0.26761,0.24447,0.1319,1.58338,1.16889,0.98801,0.00995594,0.00995594,0.00995594
19,1251.38,1.71955,1.29817,1.01943,0.345,0.27154,0.25214,0.13727,1.59071,1.1615,0.98876,0.00995062,0.00995062,0.00995062
20,1317.21,1.69911,1.27478,1.01737,0.33602,0.27528,0.24937,0.13623,1.58085,1.16558,0.98374,0.00994499,0.00994499,0.00994499
21,1382.88,1.6861,1.26359,1.01476,0.33619,0.27422,0.25579,0.14182,1.56115,1.14518,0.97855,0.00993906,0.00993906,0.00993906
22,1448.5,1.67097,1.247,1.01037,0.35504,0.27273,0.26214,0.14321,1.55083,1.13295,0.9777,0.00993282,0.00993282,0.00993282
23,1514,1.6628,1.23884,1.00942,0.34822,0.28191,0.25888,0.14182,1.55459,1.13452,0.97849,0.00992629,0.00992629,0.00992629
24,1579.31,1.65806,1.22992,1.00575,0.34808,0.28356,0.26177,0.14452,1.53779,1.12515,0.97398,0.00991946,0.00991946,0.00991946
25,1644.91,1.65563,1.22354,1.00283,0.35809,0.29047,0.26672,0.14678,1.53621,1.12032,0.97424,0.00991232,0.00991232,0.00991232
26,1710.78,1.65046,1.2182,1.00529,0.37423,0.28311,0.26717,0.1479,1.52635,1.11093,0.97002,0.00990489,0.00990489,0.00990489
27,1776.36,1.65048,1.21439,1.00063,0.3722,0.29487,0.27729,0.15198,1.51732,1.09918,0.96958,0.00989715,0.00989715,0.00989715
28,1842.04,1.63721,1.19864,0.99764,0.37204,0.28158,0.27564,0.15203,1.51046,1.09782,0.96815,0.00988912,0.00988912,0.00988912
29,1906.15,1.63469,1.19215,0.99607,0.38199,0.29359,0.27765,0.153,1.51305,1.09909,0.96507,0.00988079,0.00988079,0.00988079
30,1968.91,1.6303,1.18627,0.99072,0.37563,0.29575,0.28266,0.15495,1.50343,1.08317,0.96639,0.00987216,0.00987216,0.00987216
31,2033.99,1.61796,1.18213,0.99219,0.35921,0.29492,0.27549,0.15192,1.50279,1.08917,0.96259,0.00986323,0.00986323,0.00986323
32,2099.37,1.61364,1.17663,0.99127,0.37227,0.30203,0.28388,0.15684,1.48801,1.07897,0.95981,0.00985401,0.00985401,0.00985401
33,2164.85,1.60065,1.16945,0.9906,0.39373,0.30231,0.28601,0.15858,1.49214,1.07601,0.96261,0.00984449,0.00984449,0.00984449
34,2230.93,1.61079,1.17193,0.99126,0.38975,0.29899,0.28796,0.16029,1.4892,1.06897,0.96052,0.00983467,0.00983467,0.00983467
35,2295.75,1.59428,1.15615,0.98735,0.38221,0.30319,0.28839,0.16051,1.48642,1.06659,0.95832,0.00982456,0.00982456,0.00982456
36,2361.22,1.59099,1.15147,0.98764,0.38099,0.3042,0.29016,0.16225,1.48023,1.06474,0.95818,0.00981415,0.00981415,0.00981415
37,2426.88,1.5913,1.14818,0.98194,0.39308,0.30787,0.29374,0.16377,1.4751,1.06081,0.95673,0.00980345,0.00980345,0.00980345
38,2491.89,1.58483,1.14834,0.98439,0.40791,0.30084,0.29546,0.16427,1.47236,1.05343,0.95708,0.00979246,0.00979246,0.00979246
39,2557.49,1.59045,1.14286,0.98261,0.40099,0.30633,0.29801,0.16687,1.46682,1.05138,0.95597,0.00978118,0.00978118,0.00978118
