epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1624,4.48105,4.04959,2.74639,0.01511,0.02017,0.00971,0.00295,3.5492,3.31041,1.8207,0.00332921,0.00332921,0.0700371
2,122.583,3.05675,2.74532,1.54622,0.16831,0.10205,0.05728,0.02348,2.58546,2.18464,1.30913,0.00666244,0.00666244,0.040037
3,180.603,2.57218,2.24874,1.32607,0.23559,0.12583,0.08325,0.03587,2.2716,1.84691,1.19925,0.00999527,0.00999527,0.0100365
4,236.961,2.3349,2.0104,1.23311,0.23643,0.15358,0.10298,0.04892,2.08563,1.70855,1.14501,0.00999863,0.00999863,0.00999863
5,291.855,2.18784,1.85766,1.17919,0.26477,0.16211,0.11494,0.05445,2.07515,1.62229,1.12105,0.00999756,0.00999756,0.00999756
6,348.612,2.1061,1.75655,1.14605,0.18434,0.18533,0.13782,0.07087,1.87238,1.48776,1.07561,0.00999618,0.00999618,0.00999618
7,405.706,2.03107,1.67463,1.12273,0.215,0.19081,0.15284,0.07825,1.84772,1.44586,1.07268,0.0099945,0.0099945,0.0099945
8,461.823,1.97719,1.61329,1.11036,0.22423,0.20358,0.16012,0.08273,1.81018,1.41519,1.05225,0.00999252,0.00999252,0.00999252
9,516.949,1.94137,1.55644,1.08961,0.24505,0.216,0.17571,0.09093,1.784,1.35789,1.05309,0.00999023,0.00999023,0.00999023
10,572.389,1.89279,1.51656,1.08244,0.26504,0.21853,0.18482,0.09828,1.74609,1.33758,1.03808,0.00998764,0.00998764,0.00998764
11,629.106,1.87544,1.48341,1.07502,0.26711,0.22557,0.18522,0.09846,1.7559,1.33134,1.02838,0.00998474,0.00998474,0.00998474
12,684.9,1.86356,1.46791,1.06804,0.27771,0.23023,0.1995,0.10537,1.70546,1.29731,1.02395,0.00998154,0.00998154,0.00998154
13,740.15,1.82993,1.42936,1.06106,0.28268,0.23772,0.2057,0.10924,1.69587,1.27321,1.01789,0.00997803,0.00997803,0.00997803
14,795.805,1.82301,1.41547,1.05561,0.30869,0.24122,0.21276,0.11571,1.67633,1.25653,1.0156,0.00997422,0.00997422,0.00997422
15,851.471,1.79772,1.39492,1.05204,0.2932,0.24443,0.21528,0.11649,1.66544,1.27037,1.011,0.00997011,0.00997011,0.00997011
16,905.713,1.78541,1.37256,1.04449,0.31329,0.24378,0.22624,0.12077,1.63473,1.21783,1.00222,0.00996569,0.00996569,0.00996569
17,961.419,1.77298,1.35775,1.04027,0.30184,0.24541,0.22512,0.12027,1.63303,1.21573,1.00323,0.00996097,0.00996097,0.00996097
18,1017.92,1.75882,1.34238,1.03548,0.31143,0.25541,0.23097,0.12382,1.62523,1.20875,1.00152,0.00995594,0.00995594,0.00995594
19,1073.73,1.7618,1.34136,1.03233,0.31428,0.26278,0.22899,0.12343,1.63711,1.20899,1.00077,0.00995062,0.00995062,0.00995062
20,1129.19,1.7393,1.31648,1.02982,0.32238,0.26255,0.23789,0.12893,1.60653,1.18143,0.99448,0.00994499,0.00994499,0.00994499
21,1184.35,1.72856,1.30507,1.02802,0.31295,0.26908,0.24225,0.13352,1.59659,1.17807,0.98932,0.00993906,0.00993906,0.00993906
22,1239.7,1.71158,1.28796,1.02243,0.334,0.26919,0.24909,0.13506,1.58776,1.15821,0.99053,0.00993282,0.00993282,0.00993282
23,1296.17,1.7046,1.27851,1.02059,0.33304,0.27024,0.2476,0.1367,1.58155,1.16261,0.98306,0.00992629,0.00992629,0.00992629
24,1352.88,1.70775,1.27676,1.01744,0.33771,0.27418,0.25335,0.13895,1.58395,1.16454,0.98348,0.00991946,0.00991946,0.00991946
25,1409.03,1.71425,1.27792,1.01377,0.35776,0.2838,0.2594,0.14258,1.58145,1.16931,0.97915,0.00991232,0.00991232,0.00991232
26,1465.93,1.7116,1.28214,1.01497,0.3539,0.27393,0.25339,0.14009,1.59055,1.17359,0.97778,0.00990489,0.00990489,0.00990489
27,1521.4,1.72209,1.28737,1.00921,0.35391,0.27769,0.25673,0.14263,1.58706,1.17103,0.97532,0.00989715,0.00989715,0.00989715
28,1577.89,1.70879,1.27247,1.00403,0.36057,0.27659,0.25954,0.14355,1.58277,1.17052,0.97408,0.00988912,0.00988912,0.00988912
29,1631.86,1.70998,1.27184,1.00127,0.35849,0.28434,0.26622,0.14824,1.57452,1.16898,0.9677,0.00988079,0.00988079,0.00988079
30,1687.55,1.70293,1.26527,0.99437,0.35638,0.28229,0.26163,0.14533,1.57586,1.16133,0.96821,0.00987216,0.00987216,0.00987216
31,1742.94,1.69061,1.26095,0.9942,0.35732,0.28477,0.2651,0.14765,1.56547,1.15856,0.96287,0.00986323,0.00986323,0.00986323
32,1796.96,1.68325,1.25743,0.99195,0.36606,0.27944,0.26734,0.14864,1.56066,1.15361,0.96206,0.00985401,0.00985401,0.00985401
33,1853.32,1.67345,1.25013,0.99114,0.36939,0.28633,0.26867,0.15061,1.55637,1.1448,0.95929,0.00984449,0.00984449,0.00984449
34,1906.43,1.68292,1.24996,0.99139,0.38267,0.29111,0.2736,0.15321,1.54476,1.14253,0.95694,0.00983467,0.00983467,0.00983467
35,1962.85,1.6663,1.23721,0.9876,0.37823,0.28883,0.27597,0.15407,1.54126,1.13133,0.95759,0.00982456,0.00982456,0.00982456
