epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.67,3.09575,4.41426,3.41887,0.00787,0.0103,0.00402,0.00119,2.6918,4.72189,2.82744,0.00332921,0.00332921,0.0700371
2,246.015,2.13774,3.07386,2.16301,0.28166,0.09346,0.06198,0.02734,1.82828,2.50733,1.77634,0.00666244,0.00666244,0.040037
3,366.786,1.72227,2.44224,1.71243,0.34508,0.12268,0.09484,0.04435,1.53017,2.01061,1.585,0.00999527,0.00999527,0.0100365
4,485.309,1.57044,2.1737,1.57273,0.26335,0.16561,0.12151,0.06074,1.42482,1.83431,1.48666,0.00999863,0.00999863,0.00999863
5,603.418,1.48047,2.00266,1.48966,0.35634,0.18277,0.13406,0.06858,1.39676,1.75461,1.42568,0.00999756,0.00999756,0.00999756
6,720.239,1.42632,1.87666,1.44021,0.22204,0.20534,0.1693,0.08892,1.29016,1.61668,1.37235,0.00999618,0.00999618,0.00999618
7,839.649,1.37901,1.78542,1.40668,0.24158,0.22005,0.17813,0.09485,1.27027,1.5448,1.35127,0.0099945,0.0099945,0.0099945
8,954.931,1.34633,1.72125,1.38615,0.2488,0.23353,0.19384,0.10304,1.2629,1.52096,1.34551,0.00999252,0.00999252,0.00999252
9,1071.85,1.32407,1.66385,1.35925,0.25812,0.24808,0.20116,0.10797,1.22653,1.47508,1.31585,0.00999023,0.00999023,0.00999023
10,1183.18,1.29517,1.61812,1.34614,0.2893,0.25457,0.22224,0.12267,1.20939,1.4399,1.29887,0.00998764,0.00998764,0.00998764
11,1298.76,1.28365,1.58382,1.3359,0.29905,0.26263,0.2314,0.12649,1.19414,1.40851,1.28414,0.00998474,0.00998474,0.00998474
12,1410,1.27425,1.55972,1.3237,0.31864,0.26883,0.2418,0.13335,1.18084,1.37473,1.281,0.00998154,0.00998154,0.00998154
13,1522.83,1.25294,1.5209,1.3099,0.31091,0.27046,0.24275,0.13504,1.16612,1.36516,1.26706,0.00997803,0.00997803,0.00997803
14,1636.27,1.24587,1.5058,1.30155,0.33452,0.26679,0.25151,0.14245,1.14788,1.34459,1.2612,0.00997422,0.00997422,0.00997422
15,1750.42,1.23277,1.47969,1.29667,0.32792,0.28274,0.25463,0.14361,1.15424,1.34629,1.25795,0.00997011,0.00997011,0.00997011
16,1867.62,1.22414,1.45744,1.28748,0.34282,0.29023,0.26567,0.14939,1.13704,1.31272,1.24573,0.00996569,0.00996569,0.00996569
17,1981.18,1.21674,1.44129,1.27973,0.34022,0.28351,0.26413,0.15088,1.13102,1.30589,1.24225,0.00996097,0.00996097,0.00996097
18,2095.11,1.20682,1.42273,1.27414,0.35438,0.29503,0.2731,0.15443,1.12979,1.29215,1.23809,0.00995594,0.00995594,0.00995594
19,2213.58,1.20482,1.41586,1.26573,0.3407,0.30895,0.27835,0.15863,1.1199,1.28063,1.23185,0.00995062,0.00995062,0.00995062
20,2326.24,1.19322,1.39272,1.26189,0.37098,0.29486,0.28689,0.16509,1.11232,1.26394,1.22462,0.00994499,0.00994499,0.00994499
21,2444.34,1.18535,1.38049,1.25735,0.35808,0.30614,0.28618,0.16516,1.10357,1.25836,1.22005,0.00993906,0.00993906,0.00993906
22,2561.07,1.17687,1.36445,1.25379,0.36782,0.30911,0.2921,0.16667,1.11016,1.24929,1.22451,0.00993282,0.00993282,0.00993282
23,2674.17,1.17036,1.35176,1.24833,0.37358,0.31088,0.29353,0.16915,1.10286,1.24706,1.21833,0.00992629,0.00992629,0.00992629
24,2788.63,1.16827,1.34776,1.24458,0.36964,0.31914,0.30038,0.17218,1.08802,1.23052,1.20987,0.00991946,0.00991946,0.00991946
25,2910.85,1.16678,1.33358,1.23973,0.39448,0.31482,0.30154,0.173,1.08837,1.2307,1.20604,0.00991232,0.00991232,0.00991232
