epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2265,4.24456,3.95185,2.625,0.14439,0.04488,0.02669,0.00924,3.14355,2.65334,1.58226,0.00332921,0.00332921,0.0700371
2,119.37,2.90927,2.59567,1.47564,0.16923,0.09274,0.05514,0.02334,2.61753,2.11563,1.30811,0.00666244,0.00666244,0.040037
3,174.498,2.52774,2.20274,1.3106,0.19106,0.11921,0.07338,0.03125,2.32121,1.88287,1.21147,0.00999527,0.00999527,0.0100365
4,224.886,2.30375,1.97691,1.22427,0.25198,0.14792,0.10332,0.04989,2.10072,1.67268,1.16047,0.00999863,0.00999863,0.00999863
5,275.279,2.16931,1.83254,1.17222,0.16674,0.1671,0.11733,0.05806,1.97131,1.57297,1.10371,0.00999756,0.00999756,0.00999756
6,327.36,2.08351,1.72797,1.13902,0.193,0.18681,0.13974,0.07121,1.86175,1.48437,1.07725,0.00999618,0.00999618,0.00999618
7,377.49,2.00993,1.65139,1.11683,0.22172,0.19388,0.14987,0.07805,1.82894,1.43584,1.06251,0.0099945,0.0099945,0.0099945
8,426.805,1.95647,1.59017,1.10472,0.23976,0.19955,0.16334,0.08503,1.79885,1.38463,1.05443,0.00999252,0.00999252,0.00999252
9,477.003,1.92585,1.53928,1.08452,0.24018,0.21364,0.17595,0.09238,1.75837,1.34807,1.04407,0.00999023,0.00999023,0.00999023
10,528.586,1.87777,1.49772,1.07744,0.25158,0.22011,0.18379,0.09614,1.73212,1.3369,1.03357,0.00998764,0.00998764,0.00998764
11,581.52,1.86189,1.46893,1.07103,0.27278,0.21654,0.18737,0.09845,1.73967,1.3226,1.03076,0.00998474,0.00998474,0.00998474
12,634.462,1.84609,1.4549,1.06248,0.28235,0.23157,0.20043,0.10647,1.68669,1.2852,1.02054,0.00998154,0.00998154,0.00998154
13,689.301,1.81201,1.41404,1.05562,0.30121,0.23147,0.20989,0.11291,1.68461,1.26323,1.01751,0.00997803,0.00997803,0.00997803
14,740.911,1.80546,1.39706,1.049,0.40634,0.23789,0.21661,0.11748,1.64993,1.23997,1.00782,0.00997422,0.00997422,0.00997422
15,793.903,1.78032,1.37499,1.04594,0.30264,0.24813,0.22326,0.12077,1.63898,1.22896,1.00233,0.00997011,0.00997011,0.00997011
16,847.063,1.76236,1.34948,1.03819,0.32576,0.24988,0.2318,0.12629,1.61718,1.21573,0.99766,0.00996569,0.00996569,0.00996569
17,900.031,1.75099,1.3394,1.03458,0.31628,0.25206,0.22722,0.12332,1.61183,1.19932,0.99694,0.00996097,0.00996097,0.00996097
18,952.575,1.73308,1.32567,1.02883,0.32728,0.25612,0.23551,0.12712,1.60434,1.19381,0.99513,0.00995594,0.00995594,0.00995594
19,1005.42,1.73806,1.31898,1.02509,0.33575,0.26254,0.24028,0.13041,1.60654,1.18598,0.99288,0.00995062,0.00995062,0.00995062
20,1058.19,1.71598,1.29843,1.02345,0.3224,0.26186,0.24472,0.13353,1.58204,1.17431,0.98577,0.00994499,0.00994499,0.00994499
21,1109.66,1.70282,1.28384,1.02021,0.35127,0.26848,0.251,0.13852,1.56761,1.16123,0.98244,0.00993906,0.00993906,0.00993906
22,1162.27,1.68794,1.26936,1.01618,0.34998,0.26479,0.25384,0.13755,1.56063,1.15367,0.98192,0.00993282,0.00993282,0.00993282
23,1215.14,1.67763,1.25824,1.01386,0.35786,0.27237,0.25864,0.14159,1.55174,1.14352,0.97905,0.00992629,0.00992629,0.00992629
24,1267.47,1.67453,1.25252,1.01092,0.34669,0.2768,0.26016,0.14392,1.5463,1.13927,0.97748,0.00991946,0.00991946,0.00991946
25,1318.07,1.67128,1.24343,1.00796,0.37931,0.26693,0.25874,0.14282,1.53988,1.13608,0.97511,0.00991232,0.00991232,0.00991232
26,1370.55,1.66334,1.23945,1.01023,0.369,0.28298,0.26656,0.14762,1.54024,1.12631,0.97452,0.00990489,0.00990489,0.00990489
27,1423.55,1.66869,1.23507,1.00653,0.37603,0.28582,0.27195,0.14963,1.52718,1.11619,0.97096,0.00989715,0.00989715,0.00989715
28,1475.1,1.65313,1.21884,1.00311,0.37987,0.28205,0.27149,0.1503,1.52696,1.1144,0.97237,0.00988912,0.00988912,0.00988912
29,1527.12,1.65351,1.21362,1.00184,0.36856,0.29213,0.27754,0.15269,1.51968,1.10898,0.96848,0.00988079,0.00988079,0.00988079
30,1579.68,1.64343,1.20746,0.99612,0.37613,0.2903,0.27669,0.15297,1.51939,1.10449,0.97079,0.00987216,0.00987216,0.00987216
31,1631.33,1.63434,1.20065,0.99751,0.38089,0.2915,0.27864,0.15609,1.50825,1.09746,0.96663,0.00986323,0.00986323,0.00986323
32,1683.37,1.62846,1.19798,0.99685,0.37397,0.29311,0.28115,0.15653,1.49837,1.09067,0.96457,0.00985401,0.00985401,0.00985401
33,1735.17,1.61536,1.18997,0.99492,0.3815,0.29488,0.27901,0.15567,1.50479,1.0931,0.96574,0.00984449,0.00984449,0.00984449
34,1788.01,1.62565,1.19038,0.99518,0.39923,0.29055,0.28365,0.1567,1.49523,1.08252,0.96296,0.00983467,0.00983467,0.00983467
35,1840.73,1.61056,1.17842,0.99264,0.38296,0.29866,0.28436,0.15709,1.48502,1.08221,0.9604,0.00982456,0.00982456,0.00982456
36,1892.93,1.60586,1.17636,0.99221,0.37975,0.29952,0.28556,0.15878,1.48654,1.07777,0.96068,0.00981415,0.00981415,0.00981415
37,1945.9,1.6068,1.1708,0.98651,0.38075,0.30396,0.2877,0.16108,1.48356,1.07731,0.95824,0.00980345,0.00980345,0.00980345
38,1998.72,1.59956,1.16914,0.98899,0.37489,0.30255,0.28957,0.16298,1.47894,1.06523,0.95781,0.00979246,0.00979246,0.00979246
39,2051.51,1.60521,1.1644,0.98712,0.38835,0.30201,0.29233,0.16362,1.47671,1.06395,0.95765,0.00978118,0.00978118,0.00978118
40,2102.93,1.596,1.15243,0.98693,0.37954,0.30264,0.29174,0.16454,1.47247,1.06026,0.95575,0.0097696,0.0097696,0.0097696
41,2155.39,1.58972,1.15052,0.98824,0.38095,0.30748,0.29325,0.1649,1.47002,1.05836,0.95649,0.00975773,0.00975773,0.00975773
