epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.805,4.32885,4.60223,3.58167,0.22553,0.02613,0.01254,0.00388,3.28142,3.26957,2.50492,0.00332921,0.00332921,0.0700371
2,235.297,2.82683,2.97454,2.07232,0.08077,0.09135,0.05753,0.02557,2.39995,3.05234,1.7404,0.00666244,0.00666244,0.040037
3,358.349,2.37832,2.48353,1.70945,0.08437,0.12532,0.07836,0.03804,2.12267,2.1967,1.56051,0.00999527,0.00999527,0.0100365
4,476.901,2.1632,2.23111,1.56171,0.30807,0.14079,0.10012,0.05088,2.03097,1.95377,1.48136,0.00999863,0.00999863,0.00999863
5,590.991,2.03777,2.05046,1.47685,0.3405,0.17632,0.12443,0.06452,1.89137,1.78635,1.41073,0.00999756,0.00999756,0.00999756
6,705.328,1.96402,1.92978,1.42725,0.18672,0.19927,0.15005,0.07898,1.80277,1.67259,1.3658,0.00999618,0.00999618,0.00999618
7,823.777,1.90099,1.83359,1.39266,0.22629,0.2063,0.17067,0.09262,1.7618,1.59189,1.33934,0.0099945,0.0099945,0.0099945
8,939.214,1.85451,1.76253,1.37166,0.24558,0.2276,0.18518,0.10082,1.73494,1.54064,1.32249,0.00999252,0.00999252,0.00999252
9,1051.79,1.82817,1.70161,1.34619,0.24397,0.23424,0.19005,0.1035,1.70717,1.51088,1.3108,0.00999023,0.00999023,0.00999023
10,1160.35,1.78344,1.64813,1.33231,0.36796,0.2449,0.21127,0.11589,1.67749,1.44487,1.29329,0.00998764,0.00998764,0.00998764
11,1272.53,1.7705,1.61124,1.32245,0.27665,0.24959,0.21354,0.11698,1.67511,1.43854,1.28551,0.00998474,0.00998474,0.00998474
12,1380.99,1.75433,1.58895,1.30928,0.29929,0.25963,0.22733,0.12723,1.64207,1.40213,1.26717,0.00998154,0.00998154,0.00998154
13,1490.66,1.72652,1.54342,1.29715,0.3011,0.27052,0.23171,0.12917,1.62075,1.37563,1.26308,0.00997803,0.00997803,0.00997803
14,1603.41,1.71933,1.52768,1.28934,0.41417,0.26372,0.23961,0.13605,1.61139,1.37192,1.25692,0.00997422,0.00997422,0.00997422
15,1715.5,1.70064,1.49891,1.28348,0.33298,0.27709,0.25129,0.14145,1.59446,1.3461,1.24777,0.00997011,0.00997011,0.00997011
16,1831.47,1.68529,1.47349,1.27333,0.3333,0.28138,0.26017,0.14825,1.57826,1.32637,1.23639,0.00996569,0.00996569,0.00996569
17,1942.33,1.67882,1.45838,1.26742,0.33911,0.27654,0.26008,0.14801,1.57406,1.32338,1.23833,0.00996097,0.00996097,0.00996097
18,2050.73,1.6646,1.44021,1.26168,0.35838,0.28914,0.27183,0.15352,1.5667,1.2957,1.23292,0.00995594,0.00995594,0.00995594
19,2164.05,1.66187,1.43044,1.25327,0.35971,0.30007,0.27736,0.15812,1.56067,1.29194,1.22887,0.00995062,0.00995062,0.00995062
20,2274.76,1.64279,1.40443,1.24817,0.37866,0.29281,0.28007,0.16035,1.54062,1.27073,1.21844,0.00994499,0.00994499,0.00994499
21,2386.35,1.63282,1.38903,1.24366,0.36127,0.30273,0.28583,0.16339,1.53906,1.26605,1.2179,0.00993906,0.00993906,0.00993906
22,2499.04,1.62018,1.37369,1.24079,0.39478,0.30046,0.29319,0.16615,1.52935,1.24445,1.21289,0.00993282,0.00993282,0.00993282
23,2609.93,1.61263,1.36242,1.23505,0.39456,0.30598,0.29722,0.16876,1.52295,1.23668,1.20909,0.00992629,0.00992629,0.00992629
24,2721.06,1.61131,1.3555,1.23219,0.38687,0.31616,0.30075,0.17343,1.51422,1.22148,1.20401,0.00991946,0.00991946,0.00991946
25,2839.39,1.60623,1.3435,1.22621,0.41395,0.30899,0.30218,0.17375,1.50933,1.22664,1.19992,0.00991232,0.00991232,0.00991232
26,2954.22,1.59914,1.33845,1.22845,0.40636,0.31744,0.30722,0.17805,1.49878,1.21005,1.1936,0.00990489,0.00990489,0.00990489
27,3064.86,1.59623,1.33076,1.22072,0.40191,0.32074,0.30781,0.17634,1.50503,1.21079,1.19548,0.00989715,0.00989715,0.00989715
28,3176.6,1.5889,1.31601,1.21915,0.42057,0.3221,0.31468,0.18237,1.49084,1.19691,1.18954,0.00988912,0.00988912,0.00988912
29,3292.14,1.58654,1.30798,1.21598,0.4093,0.32667,0.31402,0.18063,1.49232,1.1992,1.18627,0.00988079,0.00988079,0.00988079
30,3400.29,1.58191,1.3013,1.20971,0.41092,0.3299,0.3197,0.18525,1.47961,1.19018,1.18164,0.00987216,0.00987216,0.00987216
31,3510.65,1.57462,1.2987,1.21036,0.41235,0.3286,0.3203,0.1865,1.49278,1.19645,1.18432,0.00986323,0.00986323,0.00986323
32,3628.12,1.57247,1.29888,1.20622,0.42138,0.33143,0.32543,0.18835,1.4817,1.18424,1.17898,0.00985401,0.00985401,0.00985401
33,3741.39,1.56875,1.29373,1.20475,0.41993,0.33034,0.32623,0.189,1.47991,1.18508,1.17909,0.00984449,0.00984449,0.00984449
34,3854.1,1.57872,1.29891,1.20594,0.43381,0.33948,0.33532,0.19463,1.48076,1.18116,1.17608,0.00983467,0.00983467,0.00983467
35,3970.14,1.56656,1.28157,1.1991,0.42108,0.34165,0.33094,0.19244,1.47477,1.17937,1.17238,0.00982456,0.00982456,0.00982456
36,4079.94,1.56341,1.27909,1.19909,0.41606,0.33828,0.32817,0.19129,1.47822,1.18162,1.17143,0.00981415,0.00981415,0.00981415
37,4191.53,1.56551,1.277,1.18973,0.43465,0.33983,0.33333,0.19498,1.47585,1.17607,1.16809,0.00980345,0.00980345,0.00980345
38,4302.59,1.5572,1.2735,1.19164,0.4407,0.33973,0.3364,0.19712,1.46463,1.17086,1.16312,0.00979246,0.00979246,0.00979246
39,4414.95,1.56534,1.27028,1.18974,0.45045,0.33242,0.33691,0.19734,1.471,1.16694,1.16338,0.00978118,0.00978118,0.00978118
40,4525.49,1.55614,1.26238,1.18903,0.44269,0.33951,0.34155,0.20031,1.46048,1.16368,1.15932,0.0097696,0.0097696,0.0097696
41,4640.33,1.55808,1.26492,1.19177,0.43378,0.35406,0.3448,0.20233,1.46058,1.15835,1.15855,0.00975773,0.00975773,0.00975773
42,4754.97,1.55962,1.26254,1.18322,0.43415,0.35432,0.34681,0.20395,1.46041,1.16,1.1558,0.00974557,0.00974557,0.00974557
43,4862.34,1.55301,1.25805,1.17889,0.43999,0.34707,0.34491,0.20377,1.45667,1.15777,1.15549,0.00973312,0.00973312,0.00973312
44,4973.56,1.54681,1.25482,1.18227,0.45124,0.3524,0.35109,0.20706,1.45168,1.15162,1.1517,0.00972039,0.00972039,0.00972039
45,5086.56,1.5388,1.24272,1.17514,0.44081,0.35511,0.35083,0.2062,1.45528,1.14905,1.15221,0.00970736,0.00970736,0.00970736
46,5200.01,1.54542,1.24182,1.17501,0.44014,0.35348,0.35093,0.20714,1.45031,1.14613,1.15045,0.00969405,0.00969405,0.00969405
47,5317.56,1.54246,1.24383,1.17599,0.44468,0.35186,0.35072,0.2067,1.44548,1.14678,1.14586,0.00968045,0.00968045,0.00968045
48,5433.2,1.53972,1.23738,1.17257,0.44496,0.35664,0.35471,0.20974,1.44808,1.14038,1.14747,0.00966656,0.00966656,0.00966656
49,5546.42,1.53387,1.22944,1.16645,0.45531,0.35781,0.35544,0.21026,1.44511,1.13511,1.14565,0.00965239,0.00965239,0.00965239
50,5659.75,1.53466,1.23048,1.17469,0.45528,0.35938,0.35896,0.21322,1.44097,1.1307,1.14342,0.00963794,0.00963794,0.00963794
51,5772.37,1.52916,1.22909,1.16971,0.45608,0.35812,0.35896,0.21216,1.43932,1.131,1.14283,0.0096232,0.0096232,0.0096232
52,5887.79,1.52722,1.2198,1.16829,0.44979,0.35955,0.35994,0.21314,1.4375,1.12531,1.14095,0.00960819,0.00960819,0.00960819
53,6003.66,1.52611,1.21664,1.16806,0.4641,0.36386,0.36331,0.2139,1.43729,1.12149,1.14018,0.00959289,0.00959289,0.00959289
54,6115.73,1.52009,1.21248,1.16518,0.47355,0.35592,0.36161,0.2155,1.43238,1.12065,1.13763,0.00957731,0.00957731,0.00957731
55,6227.87,1.52341,1.21489,1.16421,0.45142,0.35787,0.35947,0.21293,1.43304,1.12251,1.13788,0.00956145,0.00956145,0.00956145
56,6343.19,1.52458,1.21157,1.15983,0.46153,0.36394,0.36516,0.21636,1.43139,1.11608,1.13659,0.00954531,0.00954531,0.00954531
57,6451.46,1.51889,1.2068,1.15601,0.46339,0.36563,0.36667,0.218,1.43167,1.11454,1.13652,0.00952889,0.00952889,0.00952889
58,6566.09,1.51086,1.19613,1.16014,0.47583,0.36474,0.36997,0.22022,1.42721,1.11077,1.13419,0.0095122,0.0095122,0.0095122
59,6675.91,1.5069,1.19951,1.16077,0.46909,0.36339,0.36534,0.21756,1.42854,1.11348,1.13494,0.00949524,0.00949524,0.00949524
60,6794.36,1.5191,1.19928,1.15791,0.46372,0.3673,0.36806,0.21902,1.42363,1.10872,1.13298,0.009478,0.009478,0.009478
61,6910.3,1.50495,1.1858,1.15214,0.46749,0.36973,0.37103,0.22057,1.42162,1.10472,1.13043,0.00946048,0.00946048,0.00946048
62,7027.87,1.5065,1.18575,1.15353,0.46816,0.36794,0.37142,0.22181,1.41778,1.10117,1.12858,0.0094427,0.0094427,0.0094427
63,7140.39,1.50237,1.18139,1.15144,0.46696,0.37036,0.37144,0.2223,1.41548,1.09973,1.12854,0.00942464,0.00942464,0.00942464
64,7253.27,1.50113,1.18648,1.15513,0.46797,0.37115,0.37322,0.22281,1.42047,1.10208,1.12984,0.00940631,0.00940631,0.00940631
65,7366.88,1.50297,1.1789,1.15697,0.47969,0.3705,0.3752,0.22337,1.41717,1.09715,1.12897,0.00938772,0.00938772,0.00938772
66,7476.78,1.49923,1.17895,1.14827,0.48109,0.37014,0.37506,0.22405,1.41603,1.09787,1.12728,0.00936886,0.00936886,0.00936886
67,7588.64,1.49776,1.17263,1.14846,0.47226,0.37391,0.37909,0.2256,1.41402,1.09217,1.12627,0.00934973,0.00934973,0.00934973
68,7701.02,1.48845,1.17007,1.14824,0.47928,0.37466,0.37806,0.22564,1.41227,1.09028,1.125,0.00933033,0.00933033,0.00933033
69,7814.11,1.49234,1.16705,1.14485,0.47501,0.37784,0.37972,0.22809,1.41216,1.0901,1.12482,0.00931067,0.00931067,0.00931067
