epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.828,4.73814,4.33657,3.09588,0.11232,0.02122,0.00611,0.00173,3.62134,3.61345,2.07437,0.00332921,0.00332921,0.0700371
2,117.491,3.15419,2.83428,1.63583,0.17481,0.0799,0.05367,0.02254,2.6453,2.20204,1.33218,0.00666244,0.00666244,0.040037
3,168.431,2.60005,2.29563,1.35269,0.17314,0.10827,0.06558,0.02834,2.38465,1.93639,1.22605,0.00999527,0.00999527,0.0100365
4,218.792,2.34361,2.02772,1.24174,0.24157,0.1363,0.0987,0.04704,2.11796,1.69813,1.14687,0.00999863,0.00999863,0.00999863
5,269.467,2.19805,1.8776,1.18444,0.36029,0.14684,0.11279,0.0549,2.00761,1.61097,1.11157,0.00999756,0.00999756,0.00999756
6,321.76,2.11297,1.78279,1.15104,0.20016,0.1651,0.12666,0.06493,1.90393,1.5254,1.08496,0.00999618,0.00999618,0.00999618
7,371.249,2.03863,1.70447,1.12778,0.21586,0.18239,0.14429,0.07526,1.84843,1.45716,1.07415,0.0099945,0.0099945,0.0099945
8,422.277,1.98202,1.64189,1.11455,0.20953,0.18682,0.14658,0.07543,1.82682,1.43233,1.06317,0.00999252,0.00999252,0.00999252
9,473.605,1.94949,1.58757,1.09426,0.2437,0.18949,0.15915,0.08283,1.78756,1.38581,1.04968,0.00999023,0.00999023,0.00999023
10,522.894,1.90544,1.54841,1.08737,0.34314,0.19981,0.16878,0.08861,1.76395,1.36669,1.05259,0.00998764,0.00998764,0.00998764
11,573.17,1.88855,1.51598,1.08032,0.2619,0.20194,0.173,0.09191,1.75281,1.36065,1.03544,0.00998474,0.00998474,0.00998474
12,624.434,1.87378,1.50126,1.07277,0.36493,0.2128,0.18504,0.09881,1.7099,1.31235,1.02895,0.00998154,0.00998154,0.00998154
13,675.605,1.83745,1.45751,1.06409,0.27211,0.2138,0.18947,0.10082,1.70759,1.30021,1.0271,0.00997803,0.00997803,0.00997803
14,726.139,1.83405,1.44531,1.0586,0.37244,0.22247,0.19639,0.10551,1.68011,1.2753,1.01865,0.00997422,0.00997422,0.00997422
15,776.607,1.80849,1.4212,1.05577,0.30176,0.22173,0.20561,0.10986,1.67609,1.26762,1.01787,0.00997011,0.00997011,0.00997011
16,827.692,1.79354,1.40017,1.04854,0.30082,0.23516,0.20723,0.11114,1.66191,1.25362,1.01096,0.00996569,0.00996569,0.00996569
17,878.377,1.77839,1.38287,1.04284,0.2812,0.22977,0.20538,0.11017,1.65124,1.24974,1.00572,0.00996097,0.00996097,0.00996097
18,929.479,1.76478,1.36818,1.03821,0.32162,0.23564,0.21458,0.11496,1.63599,1.22459,1.00313,0.00995594,0.00995594,0.00995594
19,981.411,1.76805,1.3642,1.03441,0.36714,0.24137,0.21653,0.11661,1.63691,1.21814,0.99986,0.00995062,0.00995062,0.00995062
20,1032.42,1.74523,1.34189,1.03161,0.4123,0.24014,0.22372,0.12168,1.6147,1.20087,0.99368,0.00994499,0.00994499,0.00994499
21,1084.32,1.73357,1.32724,1.02973,0.34207,0.24578,0.22814,0.12457,1.59399,1.18877,0.99037,0.00993906,0.00993906,0.00993906
22,1135.37,1.7169,1.30991,1.02503,0.38492,0.24229,0.23138,0.12533,1.59675,1.1833,0.99036,0.00993282,0.00993282,0.00993282
23,1186.42,1.70732,1.29914,1.02288,0.38138,0.2453,0.23413,0.12916,1.59122,1.16581,0.98632,0.00992629,0.00992629,0.00992629
24,1237.86,1.70278,1.29145,1.01935,0.34586,0.2603,0.24015,0.13328,1.56871,1.16239,0.98397,0.00991946,0.00991946,0.00991946
25,1289.67,1.70134,1.2807,1.01588,0.39353,0.25204,0.23933,0.13171,1.5795,1.16047,0.98181,0.00991232,0.00991232,0.00991232
26,1339.99,1.69318,1.27736,1.01845,0.37269,0.25413,0.24837,0.13742,1.56301,1.14792,0.98003,0.00990489,0.00990489,0.00990489
27,1389.94,1.69513,1.27307,1.01291,0.35849,0.26325,0.2497,0.13743,1.56522,1.1449,0.98076,0.00989715,0.00989715,0.00989715
28,1440.41,1.68022,1.25253,1.00982,0.35185,0.26254,0.24763,0.13691,1.54868,1.13499,0.97651,0.00988912,0.00988912,0.00988912
29,1491.76,1.67805,1.24837,1.0086,0.35961,0.26387,0.25331,0.14084,1.54496,1.13401,0.97344,0.00988079,0.00988079,0.00988079
30,1542.94,1.67169,1.24272,1.00366,0.36823,0.2622,0.25312,0.14004,1.54479,1.12991,0.97447,0.00987216,0.00987216,0.00987216
31,1593.98,1.66218,1.23498,1.00424,0.36199,0.26334,0.25466,0.14109,1.5425,1.12656,0.97206,0.00986323,0.00986323,0.00986323
32,1645.56,1.65466,1.23311,1.00282,0.3629,0.2632,0.25714,0.14354,1.53484,1.11792,0.97204,0.00985401,0.00985401,0.00985401
