epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.0601,1.10729,1.19776,1.17832,0.48036,0.37619,0.37683,0.21897,1.0403,1.1218,1.14812,0.000332921,0.000332921,0.0670408
2,189.552,1.05868,1.11124,1.14044,0.48042,0.38868,0.39132,0.23029,1.01904,1.088,1.12875,0.000665604,0.000665604,0.0340401
3,278.32,1.03733,1.07697,1.12294,0.49356,0.39349,0.40066,0.23831,1.009,1.06861,1.12026,0.000995686,0.000995686,0.00103689
4,366.783,1.02233,1.04587,1.11409,0.48689,0.39865,0.40333,0.23953,1.00686,1.05893,1.11681,0.000991232,0.000991232,0.000991232
5,455.232,1.0163,1.03915,1.11022,0.48801,0.40502,0.40841,0.24431,0.99654,1.04578,1.11409,0.000984449,0.000984449,0.000984449
6,542.9,1.01599,1.03448,1.10785,0.50073,0.40099,0.40715,0.24348,0.99619,1.04783,1.11192,0.000975773,0.000975773,0.000975773
7,632.103,1.00809,1.02304,1.10485,0.50626,0.39857,0.4118,0.24682,0.99559,1.04542,1.11095,0.000965239,0.000965239,0.000965239
8,719.34,1.00546,1.02146,1.108,0.49944,0.40418,0.41291,0.24732,0.9951,1.04264,1.11122,0.000952889,0.000952889,0.000952889
9,807.091,1.00768,1.01867,1.10273,0.51065,0.40502,0.41239,0.2456,0.99602,1.03913,1.11118,0.000938772,0.000938772,0.000938772
10,894.346,0.99767,1.00651,1.10368,0.50534,0.40932,0.41316,0.24668,0.99506,1.03903,1.11104,0.000922942,0.000922942,0.000922942
11,981.836,1.00529,1.01059,1.10623,0.51226,0.40417,0.41555,0.24753,0.9928,1.03725,1.10845,0.000905463,0.000905463,0.000905463
12,1069.58,1.00348,1.01166,1.10291,0.50392,0.40642,0.41424,0.24794,0.99224,1.0347,1.10786,0.000886404,0.000886404,0.000886404
13,1156.98,0.99699,1.00125,1.09984,0.51678,0.39756,0.41479,0.2482,0.99212,1.03886,1.10775,0.000865839,0.000865839,0.000865839
14,1244.18,1.0021,1.00556,1.10058,0.50529,0.41238,0.41755,0.25022,0.99302,1.03329,1.10824,0.000843851,0.000843851,0.000843851
15,1331.66,0.99748,1.00157,1.10167,0.49821,0.40918,0.41461,0.2479,0.99161,1.03188,1.1068,0.000820525,0.000820525,0.000820525
16,1418.79,0.99573,0.99813,1.09898,0.50006,0.41183,0.41626,0.24911,0.99095,1.03212,1.10681,0.000795954,0.000795954,0.000795954
17,1506.73,0.99778,0.99748,1.09816,0.50492,0.40751,0.41735,0.24984,0.99249,1.0291,1.10821,0.000770234,0.000770234,0.000770234
