epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.581,1.41639,1.79333,1.42507,0.3334,0.2736,0.23797,0.12617,1.23241,1.42209,1.30846,0.000332921,0.000332921,0.0670408
2,193.301,1.23667,1.42217,1.27735,0.39613,0.29677,0.28508,0.15775,1.15255,1.29977,1.23467,0.000665604,0.000665604,0.0340401
3,283.778,1.17411,1.31458,1.22417,0.42394,0.32518,0.31836,0.18106,1.11206,1.23447,1.2007,0.000995686,0.000995686,0.00103689
4,370.23,1.13733,1.24464,1.19597,0.42668,0.34439,0.33565,0.19235,1.09502,1.20011,1.18243,0.000991232,0.000991232,0.000991232
5,456.847,1.12066,1.22095,1.18254,0.44283,0.34701,0.34379,0.19821,1.07724,1.17584,1.17526,0.000984449,0.000984449,0.000984449
6,542.83,1.11288,1.20369,1.17494,0.44291,0.34622,0.34224,0.19844,1.07277,1.17728,1.16976,0.000975773,0.000975773,0.000975773
7,629.114,1.10205,1.18798,1.16924,0.44551,0.34773,0.34938,0.20118,1.06993,1.16407,1.16654,0.000965239,0.000965239,0.000965239
8,714.766,1.09534,1.18141,1.16939,0.44722,0.3568,0.35203,0.20398,1.06706,1.15659,1.16313,0.000952889,0.000952889,0.000952889
9,800.933,1.09431,1.17193,1.16145,0.44134,0.3611,0.35594,0.20673,1.05955,1.15064,1.15909,0.000938772,0.000938772,0.000938772
10,886.083,1.08285,1.15849,1.1614,0.44541,0.36184,0.35645,0.20722,1.06172,1.14858,1.15985,0.000922942,0.000922942,0.000922942
11,971.851,1.0884,1.15756,1.16252,0.45722,0.36087,0.35868,0.20797,1.06046,1.1469,1.1567,0.000905463,0.000905463,0.000905463
12,1057.35,1.08679,1.16018,1.15856,0.46916,0.35976,0.36374,0.21179,1.05563,1.13546,1.15464,0.000886404,0.000886404,0.000886404
13,1143.55,1.07789,1.1451,1.15455,0.45358,0.36648,0.35931,0.2095,1.05907,1.14076,1.15533,0.000865839,0.000865839,0.000865839
14,1229.13,1.08096,1.14822,1.15392,0.47154,0.36277,0.36384,0.21153,1.05669,1.13648,1.15278,0.000843851,0.000843851,0.000843851
15,1314.49,1.07664,1.14261,1.15523,0.46321,0.36025,0.36039,0.20946,1.05634,1.13655,1.15292,0.000820525,0.000820525,0.000820525
16,1399.92,1.07335,1.13683,1.15109,0.47267,0.36655,0.36589,0.21378,1.0521,1.13137,1.15132,0.000795954,0.000795954,0.000795954
17,1486.08,1.07465,1.13447,1.14916,0.46384,0.36646,0.36509,0.2133,1.05145,1.1258,1.15043,0.000770234,0.000770234,0.000770234
18,1571.66,1.07176,1.13173,1.1487,0.46762,0.36436,0.36666,0.21371,1.0471,1.12445,1.14856,0.000743468,0.000743468,0.000743468
19,1657.44,1.07288,1.13388,1.14456,0.4697,0.37259,0.37092,0.21651,1.04859,1.12177,1.14758,0.000715761,0.000715761,0.000715761
20,1743.41,1.06965,1.12795,1.14615,0.47816,0.37027,0.37258,0.217,1.05046,1.11811,1.15104,0.000687222,0.000687222,0.000687222
21,1829.67,1.06703,1.12272,1.1451,0.47555,0.36688,0.37245,0.21817,1.04529,1.11654,1.1456,0.000657963,0.000657963,0.000657963
22,1914.89,1.06172,1.11806,1.14434,0.47698,0.37229,0.37374,0.21777,1.04638,1.11556,1.14638,0.000628101,0.000628101,0.000628101
23,2000.5,1.05946,1.11348,1.14167,0.48495,0.36677,0.37231,0.21667,1.04866,1.1139,1.14721,0.000597754,0.000597754,0.000597754
24,2086.42,1.0626,1.11506,1.142,0.47183,0.37154,0.37397,0.21905,1.04098,1.11485,1.14276,0.00056704,0.00056704,0.00056704
25,2172.4,1.0632,1.11589,1.13932,0.48496,0.36803,0.37259,0.21768,1.04219,1.11602,1.14206,0.000536081,0.000536081,0.000536081
26,2258.07,1.06214,1.11431,1.14426,0.48549,0.37125,0.37599,0.2202,1.04207,1.11471,1.14326,0.000505,0.000505,0.000505
27,2343.89,1.06255,1.11511,1.13947,0.47543,0.37378,0.37564,0.22044,1.03895,1.11038,1.14125,0.000473919,0.000473919,0.000473919
28,2430.21,1.06115,1.10746,1.13983,0.4774,0.3723,0.3743,0.21947,1.03779,1.10902,1.14162,0.00044296,0.00044296,0.00044296
29,2516.43,1.06324,1.10922,1.14034,0.48031,0.37139,0.37507,0.22005,1.0381,1.11042,1.14114,0.000412246,0.000412246,0.000412246
30,2601.71,1.05965,1.10404,1.13496,0.47651,0.37484,0.37656,0.22045,1.03922,1.10688,1.14135,0.000381899,0.000381899,0.000381899
31,2687.67,1.05632,1.1054,1.1372,0.48045,0.37854,0.37861,0.22156,1.0374,1.10471,1.1402,0.000352037,0.000352037,0.000352037
32,2773.85,1.05647,1.10456,1.13681,0.48338,0.37245,0.37811,0.22174,1.03493,1.10444,1.13881,0.000322778,0.000322778,0.000322778
33,2859.6,1.05463,1.10267,1.13697,0.48645,0.37241,0.37733,0.22105,1.0382,1.10586,1.13977,0.000294239,0.000294239,0.000294239
34,2945.3,1.05936,1.10434,1.13976,0.48707,0.37324,0.37913,0.22209,1.03632,1.10422,1.13864,0.000266532,0.000266532,0.000266532
35,3030.58,1.05103,1.09564,1.13568,0.48737,0.37388,0.37966,0.22199,1.03928,1.10334,1.14032,0.000239766,0.000239766,0.000239766
36,3115.89,1.05065,1.09627,1.13697,0.49042,0.37197,0.37977,0.22262,1.03423,1.10182,1.13884,0.000214046,0.000214046,0.000214046
