epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.0345,1.18613,1.34805,1.23036,0.43896,0.34416,0.34027,0.19408,1.09408,1.20306,1.18635,0.000332921,0.000332921,0.0670408
2,169.803,1.12517,1.22732,1.18573,0.44493,0.35628,0.35416,0.20374,1.06771,1.16439,1.16475,0.000665604,0.000665604,0.0340401
3,248.862,1.09867,1.18356,1.16307,0.45886,0.36545,0.36394,0.21251,1.05287,1.13919,1.15269,0.000995686,0.000995686,0.00103689
4,328.639,1.07942,1.14383,1.15176,0.47213,0.36501,0.37065,0.21587,1.04821,1.1274,1.14582,0.000991232,0.000991232,0.000991232
5,407.109,1.07128,1.13491,1.14571,0.47137,0.37171,0.37574,0.21935,1.03581,1.10908,1.14179,0.000984449,0.000984449,0.000984449
6,485.927,1.06946,1.12594,1.14199,0.48404,0.37004,0.38028,0.22342,1.03128,1.11018,1.13673,0.000975773,0.000975773,0.000975773
7,564.633,1.0616,1.11521,1.13877,0.47365,0.37495,0.37799,0.22215,1.03016,1.10693,1.13631,0.000965239,0.000965239,0.000965239
8,642.265,1.05771,1.11327,1.14127,0.47993,0.37942,0.38204,0.22368,1.03322,1.10263,1.13684,0.000952889,0.000952889,0.000952889
9,720.333,1.05891,1.10778,1.13502,0.48288,0.37445,0.38047,0.2232,1.02842,1.10184,1.13552,0.000938772,0.000938772,0.000938772
10,797.968,1.04919,1.09741,1.13589,0.47802,0.38005,0.3834,0.22505,1.02958,1.09915,1.13464,0.000922942,0.000922942,0.000922942
11,876.209,1.05501,1.09861,1.13795,0.47157,0.38219,0.38419,0.22493,1.02828,1.09783,1.13287,0.000905463,0.000905463,0.000905463
12,953.848,1.05465,1.10247,1.13439,0.47787,0.38451,0.3873,0.22715,1.0273,1.09303,1.13213,0.000886404,0.000886404,0.000886404
13,1031.57,1.04688,1.09158,1.13127,0.47489,0.37914,0.38327,0.22598,1.0287,1.09503,1.13302,0.000865839,0.000865839,0.000865839
14,1109.61,1.05264,1.09514,1.1327,0.46841,0.38785,0.38643,0.22652,1.02816,1.09479,1.13229,0.000843851,0.000843851,0.000843851
15,1187.98,1.04787,1.09112,1.13329,0.47571,0.38565,0.38752,0.22775,1.02518,1.08841,1.13044,0.000820525,0.000820525,0.000820525
16,1266.76,1.04618,1.08748,1.13014,0.47684,0.38525,0.38713,0.22877,1.02482,1.09024,1.12969,0.000795954,0.000795954,0.000795954
17,1345.15,1.0472,1.08678,1.12861,0.48902,0.37941,0.38767,0.22884,1.0233,1.08666,1.12955,0.000770234,0.000770234,0.000770234
18,1422.26,1.04559,1.08537,1.12965,0.47611,0.38575,0.38991,0.23024,1.02194,1.08721,1.12925,0.000743468,0.000743468,0.000743468
19,1500.63,1.04783,1.0875,1.12573,0.49208,0.38078,0.3908,0.23046,1.02294,1.08816,1.12907,0.000715761,0.000715761,0.000715761
20,1579.21,1.04347,1.08229,1.12633,0.48084,0.38203,0.38932,0.22967,1.02324,1.08636,1.1294,0.000687222,0.000687222,0.000687222
21,1657.75,1.04223,1.07762,1.12665,0.49096,0.37941,0.39145,0.23167,1.02061,1.08145,1.12759,0.000657963,0.000657963,0.000657963
22,1735.52,1.03833,1.07537,1.12646,0.49118,0.38119,0.3919,0.23109,1.02307,1.08275,1.12904,0.000628101,0.000628101,0.000628101
23,1813.67,1.03705,1.07121,1.12507,0.48401,0.38378,0.39318,0.23103,1.02161,1.08376,1.12818,0.000597754,0.000597754,0.000597754
24,1891.91,1.04007,1.07489,1.12503,0.49147,0.38285,0.3941,0.23174,1.01895,1.08279,1.12689,0.00056704,0.00056704,0.00056704
25,1970.48,1.03897,1.07325,1.12164,0.49959,0.37987,0.39473,0.23269,1.02023,1.08079,1.12716,0.000536081,0.000536081,0.000536081
26,2049.72,1.039,1.07468,1.12695,0.49083,0.38012,0.39325,0.23152,1.02166,1.0833,1.12778,0.000505,0.000505,0.000505
27,2128.3,1.03966,1.07577,1.12239,0.48893,0.38503,0.39465,0.23312,1.01858,1.07691,1.12706,0.000473919,0.000473919,0.000473919
28,2206.43,1.03913,1.06888,1.12386,0.48726,0.38378,0.39303,0.23177,1.01791,1.0788,1.12614,0.00044296,0.00044296,0.00044296
29,2285.05,1.04192,1.06958,1.12458,0.47833,0.3878,0.39364,0.23172,1.01977,1.08258,1.12698,0.000412246,0.000412246,0.000412246
30,2362.96,1.03788,1.0664,1.11908,0.48453,0.38888,0.39367,0.23171,1.02126,1.07893,1.1278,0.000381899,0.000381899,0.000381899
31,2441.26,1.03495,1.06825,1.12161,0.49015,0.38671,0.39667,0.23356,1.01895,1.07678,1.12621,0.000352037,0.000352037,0.000352037
32,2519.93,1.03656,1.06834,1.12166,0.48752,0.38698,0.39461,0.2334,1.01576,1.07836,1.12436,0.000322778,0.000322778,0.000322778
33,2598.86,1.03332,1.06566,1.12162,0.48765,0.38715,0.39546,0.23385,1.01541,1.07642,1.12408,0.000294239,0.000294239,0.000294239
34,2677.25,1.03858,1.0694,1.12412,0.48964,0.38761,0.39637,0.23462,1.0153,1.07625,1.12391,0.000266532,0.000266532,0.000266532
35,2755.16,1.03125,1.06133,1.12069,0.4836,0.3873,0.39525,0.23358,1.01769,1.07802,1.12483,0.000239766,0.000239766,0.000239766
36,2832.63,1.03127,1.0611,1.1219,0.4891,0.38737,0.39609,0.23375,1.01775,1.0761,1.12459,0.000214046,0.000214046,0.000214046
