epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.011,1.32411,1.58975,1.33242,0.38683,0.29429,0.28223,0.15509,1.18559,1.34505,1.25517,0.000332921,0.000332921,0.0670408
2,170.882,1.21233,1.38097,1.24555,0.42352,0.31073,0.31087,0.17371,1.13326,1.27017,1.20842,0.000665604,0.000665604,0.0340401
3,249.794,1.16658,1.303,1.20854,0.43065,0.32984,0.32902,0.18638,1.11046,1.22659,1.19099,0.000995686,0.000995686,0.00103689
4,328.445,1.13956,1.24869,1.19139,0.44485,0.33301,0.33675,0.19125,1.09627,1.20421,1.17663,0.000991232,0.000991232,0.000991232
5,406.726,1.12721,1.2334,1.1813,0.44283,0.34316,0.33969,0.19512,1.0807,1.19071,1.17105,0.000984449,0.000984449,0.000984449
6,484.767,1.12339,1.22004,1.17608,0.45043,0.35014,0.34565,0.19774,1.07473,1.18435,1.16605,0.000975773,0.000975773,0.000975773
7,563.398,1.1126,1.20674,1.17159,0.43246,0.34888,0.34422,0.19948,1.07399,1.17644,1.16572,0.000965239,0.000965239,0.000965239
8,641.935,1.10719,1.20182,1.17218,0.44477,0.34834,0.3466,0.20113,1.07469,1.17572,1.16384,0.000952889,0.000952889,0.000952889
9,720.427,1.1078,1.19349,1.16578,0.4509,0.34919,0.34995,0.20248,1.06584,1.16538,1.16041,0.000938772,0.000938772,0.000938772
10,798.421,1.09711,1.18277,1.16639,0.45386,0.34606,0.34795,0.20167,1.06983,1.1706,1.16134,0.000922942,0.000922942,0.000922942
11,875.955,1.10267,1.18307,1.1678,0.44304,0.35312,0.34939,0.20179,1.06297,1.16446,1.15592,0.000905463,0.000905463,0.000905463
12,953.148,1.10187,1.18561,1.16395,0.45552,0.35275,0.35461,0.20557,1.06539,1.15922,1.15843,0.000886404,0.000886404,0.000886404
13,1031.25,1.09375,1.17298,1.16091,0.45625,0.34797,0.35196,0.20358,1.06365,1.16064,1.15719,0.000865839,0.000865839,0.000865839
14,1108.71,1.09861,1.17654,1.16137,0.45715,0.35308,0.3529,0.20479,1.06416,1.15987,1.15685,0.000843851,0.000843851,0.000843851
15,1186.76,1.09408,1.17204,1.16219,0.44809,0.35611,0.35543,0.20587,1.06127,1.15436,1.15391,0.000820525,0.000820525,0.000820525
16,1264.97,1.0919,1.167,1.15901,0.46214,0.35396,0.35702,0.20797,1.06009,1.15132,1.15332,0.000795954,0.000795954,0.000795954
17,1343.8,1.09257,1.16633,1.15732,0.45882,0.35329,0.35609,0.20769,1.05897,1.15109,1.15346,0.000770234,0.000770234,0.000770234
