epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5679,1.50895,1.87604,1.5372,0.29471,0.24086,0.20354,0.10464,1.3202,1.5294,1.39268,0.000332921,0.000332921,0.0670408
2,169.994,1.34456,1.58514,1.36972,0.34355,0.26922,0.24798,0.13324,1.22672,1.41132,1.30079,0.000666214,0.000666214,0.0340408
3,247.78,1.27463,1.47922,1.30144,0.36376,0.29318,0.27124,0.14932,1.18496,1.35173,1.25895,0.000999344,0.000999344,0.00104055
4,325.235,1.23062,1.40563,1.26603,0.36211,0.30417,0.27975,0.15654,1.16504,1.32099,1.23434,0.00099945,0.00099945,0.00099945
5,402.818,1.2108,1.37727,1.24712,0.37521,0.30776,0.29278,0.16519,1.14246,1.29062,1.2231,0.000999023,0.000999023,0.000999023
6,479.825,1.20305,1.35684,1.23738,0.37695,0.31304,0.29314,0.1662,1.13277,1.28723,1.21272,0.000998474,0.000998474,0.000998474
7,557.029,1.1895,1.33955,1.2286,0.37446,0.31893,0.29426,0.16673,1.13543,1.28087,1.21084,0.000997803,0.000997803,0.000997803
8,633.298,1.18145,1.33072,1.22745,0.39436,0.31955,0.30311,0.17351,1.13021,1.26385,1.20524,0.000997011,0.000997011,0.000997011
9,710.754,1.18151,1.3191,1.2192,0.39054,0.31909,0.30284,0.17191,1.12363,1.2622,1.20329,0.000996097,0.000996097,0.000996097
10,787.33,1.16872,1.30285,1.21776,0.40182,0.32194,0.30498,0.17425,1.12439,1.25907,1.2027,0.000995062,0.000995062,0.000995062
11,863.798,1.17273,1.30455,1.21886,0.38396,0.33469,0.30811,0.17573,1.11763,1.25506,1.19648,0.000993906,0.000993906,0.000993906
12,940.21,1.17199,1.30713,1.21389,0.39056,0.32551,0.30945,0.17613,1.11823,1.24808,1.19473,0.000992629,0.000992629,0.000992629
13,1017.7,1.16177,1.28938,1.20902,0.41073,0.32067,0.31082,0.17796,1.11602,1.24858,1.19248,0.000991232,0.000991232,0.000991232
14,1094.43,1.1658,1.29411,1.20831,0.4082,0.33094,0.31549,0.18147,1.11623,1.24431,1.19326,0.000989715,0.000989715,0.000989715
15,1171.83,1.1602,1.28515,1.20891,0.40551,0.32505,0.31347,0.1799,1.1142,1.23965,1.19012,0.000988079,0.000988079,0.000988079
16,1248.21,1.1568,1.2811,1.2046,0.40284,0.33135,0.31593,0.18117,1.11017,1.23758,1.18736,0.000986323,0.000986323,0.000986323
17,1325.87,1.15803,1.27945,1.20243,0.41251,0.32482,0.31342,0.17959,1.11121,1.23418,1.18917,0.000984449,0.000984449,0.000984449
18,1403.31,1.15462,1.27421,1.2009,0.40649,0.32571,0.31493,0.18135,1.10649,1.23077,1.1849,0.000982456,0.000982456,0.000982456
19,1479.38,1.15591,1.27538,1.19729,0.42638,0.32853,0.32111,0.18569,1.10425,1.22718,1.18411,0.000980345,0.000980345,0.000980345
20,1557.19,1.15072,1.26725,1.19694,0.42676,0.32845,0.32162,0.1855,1.10425,1.22589,1.18384,0.000978118,0.000978118,0.000978118
21,1634.71,1.14832,1.26444,1.19578,0.42423,0.32519,0.32008,0.18523,1.10381,1.22584,1.18264,0.000975773,0.000975773,0.000975773
22,1710.83,1.14394,1.26061,1.19559,0.42307,0.33009,0.32362,0.18576,1.10468,1.22241,1.18214,0.000973312,0.000973312,0.000973312
23,1787.9,1.14178,1.25566,1.19406,0.42572,0.3306,0.3232,0.18552,1.10122,1.22081,1.18145,0.000970736,0.000970736,0.000970736
24,1865.2,1.1442,1.25595,1.19343,0.43195,0.33089,0.32565,0.18897,1.09792,1.21631,1.17912,0.000968045,0.000968045,0.000968045
25,1942.43,1.14375,1.25551,1.18908,0.42921,0.33417,0.3258,0.18831,1.09745,1.21832,1.17892,0.000965239,0.000965239,0.000965239
26,2019.18,1.14291,1.25547,1.19486,0.42919,0.32647,0.32239,0.18649,1.09959,1.22003,1.17827,0.00096232,0.00096232,0.00096232
27,2096.54,1.14423,1.25593,1.1897,0.42592,0.33271,0.32819,0.18971,1.09899,1.21225,1.17913,0.000959289,0.000959289,0.000959289
28,2173.59,1.14233,1.24829,1.18957,0.43578,0.33346,0.32787,0.19024,1.09447,1.20812,1.17445,0.000956145,0.000956145,0.000956145
29,2251.1,1.14446,1.248,1.19002,0.42926,0.33658,0.33067,0.19248,1.09532,1.21292,1.17433,0.000952889,0.000952889,0.000952889
30,2327.98,1.14028,1.24445,1.18423,0.42624,0.33683,0.32836,0.18972,1.09391,1.20988,1.17525,0.000949524,0.000949524,0.000949524
31,2405.46,1.13642,1.24586,1.18687,0.42876,0.34137,0.33068,0.19226,1.09154,1.20692,1.17391,0.000946048,0.000946048,0.000946048
32,2483.75,1.13694,1.24255,1.18602,0.43497,0.33234,0.3311,0.19279,1.09049,1.2033,1.17211,0.000942464,0.000942464,0.000942464
33,2559.85,1.13302,1.24073,1.18643,0.42791,0.33535,0.32903,0.19054,1.09148,1.20427,1.17208,0.000938772,0.000938772,0.000938772
34,2637.13,1.13899,1.24418,1.18878,0.43539,0.33757,0.32875,0.19223,1.08961,1.20524,1.17088,0.000934973,0.000934973,0.000934973
35,2713.94,1.13105,1.23457,1.18456,0.42948,0.34114,0.331,0.1913,1.09116,1.20119,1.17113,0.000931067,0.000931067,0.000931067
36,2790.37,1.13051,1.23346,1.18631,0.43551,0.33506,0.32968,0.19194,1.08874,1.20118,1.17159,0.000927057,0.000927057,0.000927057
37,2867.45,1.13261,1.23301,1.17915,0.42789,0.33959,0.33048,0.19225,1.09107,1.20183,1.17067,0.000922942,0.000922942,0.000922942
38,2944.53,1.12881,1.23276,1.18238,0.41882,0.34015,0.32932,0.19097,1.09079,1.20149,1.17049,0.000918725,0.000918725,0.000918725
39,3021.3,1.13373,1.23505,1.18224,0.42595,0.34197,0.33202,0.19286,1.09007,1.20111,1.17202,0.000914405,0.000914405,0.000914405
40,3098.43,1.13025,1.22751,1.18422,0.4313,0.34228,0.33143,0.19254,1.08676,1.19739,1.16977,0.000909984,0.000909984,0.000909984
41,3175.86,1.13226,1.23221,1.18698,0.42773,0.33844,0.33104,0.19317,1.08716,1.19944,1.16933,0.000905463,0.000905463,0.000905463
42,3254.26,1.13256,1.23196,1.1802,0.43624,0.33955,0.33293,0.19352,1.08708,1.19688,1.16879,0.000900844,0.000900844,0.000900844
43,3331.62,1.13219,1.23051,1.17872,0.43753,0.33994,0.33552,0.19613,1.08461,1.19451,1.16818,0.000896127,0.000896127,0.000896127
44,3408.58,1.1269,1.22735,1.18305,0.43261,0.33983,0.33214,0.19328,1.08615,1.19614,1.16808,0.000891313,0.000891313,0.000891313
45,3487.11,1.12504,1.2232,1.17756,0.42804,0.34354,0.33455,0.19443,1.08837,1.19209,1.16928,0.000886404,0.000886404,0.000886404
46,3563.93,1.13048,1.22552,1.17965,0.43,0.342,0.33451,0.19465,1.08667,1.19134,1.16904,0.000881401,0.000881401,0.000881401
47,3641.49,1.12951,1.22966,1.18179,0.43224,0.3443,0.33433,0.1941,1.08755,1.19251,1.16858,0.000876305,0.000876305,0.000876305
48,3717.97,1.128,1.22511,1.17933,0.42951,0.34326,0.33456,0.19489,1.08158,1.19254,1.1656,0.000871117,0.000871117,0.000871117
49,3794.9,1.1257,1.21984,1.17549,0.43411,0.33892,0.33461,0.19494,1.08553,1.18989,1.16712,0.000865839,0.000865839,0.000865839
50,3870.8,1.12601,1.22004,1.18327,0.42609,0.34431,0.33571,0.19545,1.08515,1.18808,1.16597,0.000860473,0.000860473,0.000860473
51,3947.28,1.12381,1.22258,1.17947,0.43097,0.34097,0.33575,0.1955,1.08347,1.18873,1.16695,0.000855018,0.000855018,0.000855018
52,4023.94,1.1228,1.21788,1.17919,0.43124,0.34112,0.3347,0.19501,1.08306,1.19068,1.16614,0.000849477,0.000849477,0.000849477
53,4101.18,1.12364,1.21685,1.17896,0.42806,0.34484,0.33456,0.19361,1.08427,1.18689,1.16666,0.000843851,0.000843851,0.000843851
54,4177.32,1.12109,1.21298,1.17844,0.43623,0.34059,0.33567,0.19585,1.08143,1.18601,1.16472,0.000838141,0.000838141,0.000838141
55,4254.02,1.12359,1.2198,1.17744,0.4311,0.34778,0.33707,0.19586,1.08046,1.18726,1.16411,0.000832349,0.000832349,0.000832349
56,4331.2,1.12555,1.21771,1.17404,0.43292,0.34409,0.33847,0.19728,1.08107,1.18419,1.16453,0.000826477,0.000826477,0.000826477
57,4408.96,1.12295,1.21666,1.17205,0.42685,0.34546,0.3367,0.19612,1.08014,1.18784,1.16379,0.000820525,0.000820525,0.000820525
58,4485.1,1.11706,1.21022,1.17645,0.43364,0.34378,0.33873,0.19726,1.07905,1.18476,1.16325,0.000814495,0.000814495,0.000814495
59,4561.97,1.11509,1.21144,1.17719,0.43202,0.34628,0.33783,0.19629,1.08037,1.18506,1.16349,0.000808389,0.000808389,0.000808389
60,4639.72,1.12493,1.21611,1.17539,0.43597,0.34314,0.33771,0.19651,1.07868,1.18078,1.16317,0.000802208,0.000802208,0.000802208
61,4716.67,1.11705,1.20521,1.17109,0.44508,0.34302,0.3396,0.19814,1.07729,1.18167,1.16303,0.000795954,0.000795954,0.000795954
62,4794.82,1.11706,1.20476,1.17207,0.43405,0.34437,0.33771,0.19645,1.07658,1.18046,1.16166,0.000789628,0.000789628,0.000789628
63,4871.03,1.11645,1.20463,1.17148,0.43209,0.34652,0.33818,0.19691,1.07628,1.18099,1.16139,0.000783231,0.000783231,0.000783231
64,4947.25,1.1162,1.20839,1.17637,0.43375,0.34825,0.33767,0.19715,1.0772,1.18124,1.16268,0.000776766,0.000776766,0.000776766
65,5024.44,1.11758,1.206,1.1777,0.43509,0.34893,0.33865,0.19723,1.07713,1.17898,1.16176,0.000770234,0.000770234,0.000770234
66,5101.37,1.11646,1.20426,1.17021,0.43871,0.34273,0.33869,0.1975,1.0763,1.17867,1.16168,0.000763637,0.000763637,0.000763637
67,5178.16,1.11655,1.20121,1.17132,0.43616,0.34537,0.33956,0.19762,1.07808,1.17825,1.16208,0.000756976,0.000756976,0.000756976
68,5254.99,1.11046,1.20207,1.17194,0.43924,0.34658,0.33962,0.19817,1.07592,1.17762,1.16074,0.000750252,0.000750252,0.000750252
69,5332.76,1.1137,1.1998,1.16807,0.43636,0.34983,0.33997,0.19841,1.07562,1.17891,1.15988,0.000743468,0.000743468,0.000743468
70,5410.15,1.11253,1.19833,1.17203,0.43826,0.34938,0.34074,0.19936,1.07596,1.17648,1.15992,0.000736625,0.000736625,0.000736625
71,5487.18,1.11851,1.20193,1.17521,0.43077,0.35181,0.34057,0.19885,1.07519,1.17786,1.16036,0.000729725,0.000729725,0.000729725
72,5563.71,1.11629,1.20386,1.17151,0.43834,0.34569,0.34135,0.19881,1.07572,1.17582,1.16023,0.00072277,0.00072277,0.00072277
73,5641.17,1.11232,1.1964,1.17043,0.44112,0.34495,0.34126,0.19911,1.07562,1.17501,1.16039,0.000715761,0.000715761,0.000715761
74,5718.61,1.11445,1.19433,1.1708,0.43879,0.34631,0.34161,0.19905,1.07683,1.17641,1.16108,0.0007087,0.0007087,0.0007087
75,5794.85,1.10653,1.19515,1.17391,0.43298,0.34621,0.33955,0.19826,1.07598,1.17573,1.16086,0.000701588,0.000701588,0.000701588
76,5873.05,1.11328,1.19771,1.17077,0.44109,0.34325,0.33948,0.19816,1.07665,1.17661,1.16071,0.000694428,0.000694428,0.000694428
77,5950.42,1.11211,1.19416,1.17055,0.42887,0.34988,0.34009,0.1984,1.07542,1.17583,1.15986,0.000687222,0.000687222,0.000687222
78,6027.42,1.11211,1.1921,1.17011,0.4347,0.34854,0.34059,0.19876,1.07446,1.17525,1.15958,0.00067997,0.00067997,0.00067997
79,6104.91,1.10796,1.19235,1.16668,0.43503,0.35107,0.34121,0.19978,1.07373,1.17321,1.15851,0.000672675,0.000672675,0.000672675
80,6181.43,1.10925,1.19118,1.17029,0.43664,0.34924,0.34063,0.19894,1.07444,1.17273,1.15896,0.000665339,0.000665339,0.000665339
81,6257.8,1.10659,1.18831,1.16987,0.43522,0.3512,0.3421,0.19938,1.07343,1.17167,1.15855,0.000657963,0.000657963,0.000657963
82,6335.28,1.11069,1.19187,1.16594,0.43092,0.35133,0.34246,0.19986,1.07357,1.1725,1.15822,0.00065055,0.00065055,0.00065055
83,6413.2,1.10994,1.19393,1.16809,0.43104,0.35242,0.34249,0.19978,1.07374,1.17323,1.15833,0.000643101,0.000643101,0.000643101
84,6490.27,1.11028,1.191,1.16929,0.43243,0.35234,0.34264,0.20004,1.07328,1.17212,1.15867,0.000635617,0.000635617,0.000635617
85,6567.68,1.10956,1.19183,1.16707,0.42675,0.35165,0.34216,0.20014,1.07309,1.17183,1.15855,0.000628101,0.000628101,0.000628101
86,6644.67,1.10872,1.19164,1.1726,0.43285,0.35213,0.34393,0.20095,1.07336,1.17139,1.15863,0.000620555,0.000620555,0.000620555
87,6721.63,1.10817,1.18797,1.16505,0.43159,0.35113,0.34385,0.20061,1.07293,1.171,1.15863,0.000612981,0.000612981,0.000612981
88,6798.75,1.11361,1.19442,1.16689,0.43689,0.34971,0.34226,0.19984,1.07316,1.17155,1.1586,0.00060538,0.00060538,0.00060538
89,6876.45,1.11416,1.19714,1.16986,0.43823,0.3499,0.34341,0.20062,1.07357,1.17144,1.15858,0.000597754,0.000597754,0.000597754
90,6953.14,1.1102,1.18658,1.16853,0.44359,0.349,0.34364,0.20054,1.07338,1.17059,1.15859,0.000590105,0.000590105,0.000590105
91,7031.12,1.11766,1.20145,1.16637,0.44032,0.34999,0.34367,0.20099,1.07273,1.17008,1.15859,0.000582435,0.000582435,0.000582435
92,7108.06,1.10716,1.18587,1.1635,0.43975,0.35119,0.34323,0.20051,1.07293,1.16896,1.15864,0.000574746,0.000574746,0.000574746
93,7185.9,1.11418,1.19437,1.16695,0.43726,0.35162,0.34325,0.20054,1.07324,1.16937,1.15884,0.00056704,0.00056704,0.00056704
94,7264.28,1.11266,1.18852,1.16452,0.44482,0.34907,0.34393,0.20125,1.07237,1.16878,1.15805,0.000559318,0.000559318,0.000559318
95,7341.58,1.10907,1.18711,1.16851,0.44501,0.35055,0.34359,0.20075,1.07222,1.16842,1.15793,0.000551584,0.000551584,0.000551584
96,7418.52,1.10586,1.18889,1.16794,0.43836,0.35118,0.34304,0.20037,1.07172,1.16773,1.15786,0.000543837,0.000543837,0.000543837
97,7494.9,1.10789,1.18587,1.16877,0.44309,0.34672,0.34359,0.20063,1.07152,1.1676,1.15769,0.000536081,0.000536081,0.000536081
98,7571.67,1.10518,1.18255,1.16728,0.43979,0.35053,0.34328,0.20065,1.07157,1.16826,1.15772,0.000528318,0.000528318,0.000528318
99,7647.95,1.10635,1.18871,1.16476,0.44306,0.35035,0.34413,0.20101,1.07136,1.16724,1.15783,0.000520548,0.000520548,0.000520548
100,7726.08,1.10483,1.17875,1.1619,0.44016,0.35204,0.34443,0.20132,1.07169,1.1671,1.15807,0.000512775,0.000512775,0.000512775
101,7803.39,1.10651,1.1813,1.16139,0.44227,0.35141,0.34538,0.20161,1.07155,1.16706,1.1578,0.000505,0.000505,0.000505
102,7880.9,1.10377,1.18259,1.16529,0.43827,0.35219,0.34505,0.2016,1.07166,1.1661,1.15755,0.000497225,0.000497225,0.000497225
103,7957.32,1.1069,1.18689,1.16573,0.43612,0.35078,0.34479,0.20152,1.07135,1.16643,1.15748,0.000489452,0.000489452,0.000489452
104,8034.17,1.10406,1.17854,1.16018,0.43957,0.3498,0.34468,0.2013,1.07169,1.16604,1.15783,0.000481682,0.000481682,0.000481682
105,8111.02,1.10205,1.17791,1.16285,0.43978,0.35119,0.34526,0.20175,1.07165,1.1655,1.15748,0.000473919,0.000473919,0.000473919
106,8188.98,1.10718,1.18545,1.16403,0.44255,0.35041,0.34483,0.20143,1.07127,1.16476,1.15716,0.000466163,0.000466163,0.000466163
107,8266.91,1.10818,1.18428,1.16268,0.44314,0.35045,0.34519,0.20171,1.07087,1.16492,1.15696,0.000458416,0.000458416,0.000458416
108,8344.02,1.10681,1.18375,1.16267,0.44317,0.35156,0.34532,0.20173,1.07036,1.16446,1.15685,0.000450682,0.000450682,0.000450682
109,8421.41,1.10341,1.17902,1.1656,0.44081,0.35248,0.34504,0.20131,1.07089,1.16444,1.15694,0.00044296,0.00044296,0.00044296
110,8497.96,1.10631,1.18173,1.16412,0.43876,0.35303,0.34562,0.20177,1.07108,1.16467,1.15703,0.000435254,0.000435254,0.000435254
111,8575.57,1.10744,1.18364,1.16374,0.43754,0.35555,0.34559,0.20175,1.07109,1.16465,1.15681,0.000427565,0.000427565,0.000427565
112,8652.23,1.10383,1.18075,1.16161,0.44074,0.35108,0.34574,0.2016,1.07054,1.16429,1.15672,0.000419895,0.000419895,0.000419895
113,8728.91,1.10213,1.17613,1.15931,0.43945,0.35294,0.34612,0.20189,1.07086,1.16412,1.15672,0.000412246,0.000412246,0.000412246
114,8806.85,1.10494,1.18023,1.15922,0.43752,0.35321,0.34542,0.20179,1.07065,1.16383,1.15651,0.00040462,0.00040462,0.00040462
115,8884.32,1.10389,1.17385,1.16272,0.44016,0.35242,0.34597,0.20204,1.07019,1.16334,1.15636,0.000397019,0.000397019,0.000397019
116,8960.95,1.10996,1.18384,1.16666,0.44105,0.35158,0.34608,0.20188,1.07038,1.16301,1.15616,0.000389445,0.000389445,0.000389445
117,9037.24,1.10349,1.17975,1.16624,0.44087,0.35168,0.34572,0.20167,1.0701,1.16285,1.1562,0.000381899,0.000381899,0.000381899
118,9114.47,1.09457,1.17216,1.16589,0.43463,0.35319,0.346,0.20169,1.06985,1.1629,1.15605,0.000374383,0.000374383,0.000374383
119,9191.45,1.10747,1.1833,1.16298,0.43629,0.35288,0.34546,0.20139,1.06943,1.16258,1.15603,0.000366899,0.000366899,0.000366899
120,9268.7,1.10429,1.17556,1.15701,0.4364,0.35301,0.346,0.20151,1.06936,1.16252,1.15599,0.00035945,0.00035945,0.00035945
121,9345.93,1.1034,1.1813,1.16421,0.43593,0.35285,0.34553,0.20148,1.06957,1.16278,1.15602,0.000352037,0.000352037,0.000352037
122,9422.85,1.10255,1.17776,1.16389,0.43647,0.35352,0.34579,0.20159,1.06937,1.16225,1.15588,0.000344661,0.000344661,0.000344661
123,9499.68,1.10371,1.17929,1.15937,0.43513,0.35459,0.34613,0.20161,1.06954,1.16187,1.15595,0.000337325,0.000337325,0.000337325
124,9576.85,1.09803,1.17362,1.15891,0.43471,0.35498,0.34635,0.20201,1.06973,1.16174,1.156,0.00033003,0.00033003,0.00033003
125,9653.71,1.1032,1.17689,1.16125,0.43672,0.35448,0.34648,0.20213,1.06965,1.16152,1.15589,0.000322778,0.000322778,0.000322778
126,9730.73,1.10009,1.173,1.16157,0.43812,0.35321,0.34653,0.20206,1.06955,1.1617,1.15576,0.000315572,0.000315572,0.000315572
127,9808.7,1.10385,1.17247,1.16169,0.43779,0.35335,0.34667,0.20212,1.06953,1.16157,1.15562,0.000308412,0.000308412,0.000308412
128,9885.51,1.09933,1.17386,1.15953,0.43626,0.35464,0.3463,0.2021,1.06958,1.16193,1.1558,0.0003013,0.0003013,0.0003013
129,9961.86,1.0963,1.16596,1.1631,0.43785,0.35548,0.34673,0.20208,1.06958,1.16192,1.15591,0.000294239,0.000294239,0.000294239
130,10038.8,1.09887,1.17372,1.15979,0.43618,0.35598,0.3465,0.20216,1.06972,1.16165,1.15596,0.00028723,0.00028723,0.00028723
131,10116.3,1.10151,1.17327,1.16314,0.43643,0.35522,0.3465,0.20212,1.06974,1.16186,1.15607,0.000280275,0.000280275,0.000280275
132,10193.6,1.10248,1.17338,1.16075,0.43731,0.35466,0.34673,0.20212,1.06961,1.16109,1.15614,0.000273375,0.000273375,0.000273375
133,10270.8,1.102,1.17501,1.16356,0.43703,0.35492,0.3468,0.20216,1.06962,1.16105,1.15612,0.000266532,0.000266532,0.000266532
134,10347.2,1.09721,1.16918,1.15734,0.43703,0.3558,0.34654,0.20207,1.06967,1.1614,1.15607,0.000259748,0.000259748,0.000259748
135,10423.4,1.09918,1.17048,1.15898,0.43648,0.35658,0.34679,0.20205,1.06977,1.16147,1.15614,0.000253024,0.000253024,0.000253024
136,10500.2,1.09798,1.16891,1.15861,0.43706,0.35588,0.34681,0.20218,1.06953,1.16144,1.15601,0.000246363,0.000246363,0.000246363
137,10578.2,1.09559,1.16591,1.16045,0.43543,0.35618,0.34689,0.20225,1.06975,1.16152,1.15611,0.000239766,0.000239766,0.000239766
