epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.2239,1.33273,1.59988,1.35134,0.35282,0.28765,0.26646,0.14605,1.19817,1.37631,1.27052,0.000332921,0.000332921,0.0670408
2,182.293,1.21891,1.38941,1.25882,0.37893,0.31804,0.29788,0.16731,1.14331,1.29384,1.22185,0.000666214,0.000666214,0.0340408
3,266.275,1.1738,1.31227,1.22027,0.41314,0.32732,0.31921,0.18082,1.11891,1.24161,1.20264,0.000999344,0.000999344,0.00104055
4,349.878,1.14686,1.26162,1.20136,0.42956,0.33316,0.33021,0.1873,1.10407,1.21839,1.18732,0.00099945,0.00099945,0.00099945
5,433.588,1.13347,1.24226,1.18999,0.43422,0.33682,0.33431,0.19147,1.09311,1.20278,1.18409,0.000999023,0.000999023,0.000999023
6,518.042,1.12934,1.23082,1.18443,0.42601,0.34731,0.34071,0.19411,1.08372,1.19455,1.17501,0.000998474,0.000998474,0.000998474
7,601.682,1.11755,1.21597,1.17864,0.44961,0.33856,0.34205,0.19521,1.08611,1.19105,1.17649,0.000997803,0.000997803,0.000997803
8,684.064,1.11257,1.20941,1.17993,0.43961,0.34814,0.34486,0.19809,1.08212,1.17933,1.17116,0.000997011,0.000997011,0.000997011
9,766.17,1.11279,1.20208,1.17255,0.43893,0.3524,0.34517,0.19815,1.07869,1.17462,1.17033,0.000996097,0.000996097,0.000996097
10,849.183,1.10154,1.18989,1.17306,0.4448,0.351,0.34583,0.19916,1.07677,1.17813,1.17005,0.000995062,0.000995062,0.000995062
11,932.979,1.1067,1.18965,1.17459,0.4481,0.35166,0.35077,0.20077,1.07712,1.1704,1.16606,0.000993906,0.000993906,0.000993906
12,1017.03,1.10594,1.1935,1.17048,0.45045,0.35625,0.35231,0.20263,1.06978,1.16187,1.16327,0.000992629,0.000992629,0.000992629
13,1101.34,1.09748,1.17841,1.16706,0.43945,0.35658,0.3501,0.20234,1.06973,1.16479,1.16164,0.000991232,0.000991232,0.000991232
14,1184.58,1.10161,1.18208,1.16668,0.46677,0.35384,0.35711,0.2053,1.06898,1.1613,1.16035,0.000989715,0.000989715,0.000989715
15,1268.06,1.0969,1.17636,1.16838,0.4559,0.35487,0.35242,0.20308,1.06725,1.15477,1.16,0.000988079,0.000988079,0.000988079
16,1350.65,1.09416,1.17121,1.16409,0.45158,0.35438,0.35153,0.20514,1.06778,1.16312,1.15977,0.000986323,0.000986323,0.000986323
17,1435.08,1.09588,1.17037,1.16244,0.45342,0.35599,0.35788,0.20678,1.06807,1.1504,1.16008,0.000984449,0.000984449,0.000984449
18,1518.99,1.09261,1.16721,1.16205,0.45838,0.3521,0.35564,0.20589,1.06247,1.15229,1.15834,0.000982456,0.000982456,0.000982456
19,1603.37,1.0947,1.17034,1.1581,0.46173,0.35682,0.35951,0.20871,1.06211,1.14659,1.15587,0.000980345,0.000980345,0.000980345
20,1687.63,1.09054,1.16415,1.15916,0.46518,0.35952,0.36166,0.20912,1.06373,1.14252,1.15735,0.000978118,0.000978118,0.000978118
21,1771.72,1.08817,1.15789,1.1584,0.45658,0.36572,0.36406,0.21053,1.06177,1.13902,1.15593,0.000975773,0.000975773,0.000975773
22,1855.7,1.08347,1.15494,1.15787,0.46947,0.35628,0.36256,0.20964,1.06124,1.13964,1.1556,0.000973312,0.000973312,0.000973312
23,1939.62,1.08124,1.15124,1.15578,0.46515,0.35624,0.362,0.20988,1.06384,1.14111,1.15602,0.000970736,0.000970736,0.000970736
24,2023.96,1.08448,1.15309,1.15572,0.46817,0.36191,0.36556,0.2126,1.0551,1.13458,1.15198,0.000968045,0.000968045,0.000968045
25,2107.51,1.08538,1.15331,1.15316,0.47486,0.35806,0.36432,0.21092,1.05817,1.1362,1.15347,0.000965239,0.000965239,0.000965239
26,2191.59,1.08437,1.15232,1.15847,0.47086,0.36011,0.36496,0.21166,1.0563,1.13636,1.15245,0.00096232,0.00096232,0.00096232
27,2275.98,1.08447,1.15211,1.153,0.46451,0.36176,0.36512,0.21067,1.05584,1.13127,1.15178,0.000959289,0.000959289,0.000959289
28,2360.33,1.083,1.1449,1.15334,0.46132,0.36058,0.36276,0.21169,1.05263,1.13253,1.1511,0.000956145,0.000956145,0.000956145
29,2444.61,1.0859,1.14539,1.15416,0.4574,0.36393,0.36509,0.21245,1.05511,1.13551,1.15136,0.000952889,0.000952889,0.000952889
