epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.9894,2.19499,3.36054,2.15013,0.49957,0.10387,0.07314,0.03046,1.69411,2.31624,1.7856,0.000332921,0.000332921,0.0670408
2,182.866,1.65735,2.27963,1.68256,0.5217,0.14287,0.10963,0.05139,1.47383,1.91834,1.55921,0.000666214,0.000666214,0.0340408
3,267.158,1.49371,1.9769,1.51112,0.35657,0.192,0.14979,0.07524,1.36276,1.71269,1.43716,0.000999344,0.000999344,0.00104055
4,350.931,1.39399,1.77195,1.41657,0.37953,0.22518,0.18193,0.09683,1.29545,1.59192,1.36754,0.00099945,0.00099945,0.00099945
5,434.528,1.34141,1.66779,1.36537,0.23883,0.24534,0.20401,0.10999,1.25369,1.51551,1.32905,0.000999023,0.000999023,0.000999023
6,518.308,1.31211,1.60168,1.33315,0.26921,0.27161,0.22111,0.11948,1.22919,1.46926,1.30523,0.000998474,0.000998474,0.000998474
7,602.089,1.28449,1.55118,1.31009,0.29174,0.27961,0.23469,0.12945,1.21007,1.42653,1.28877,0.000997803,0.000997803,0.000997803
8,685.229,1.26667,1.51582,1.29944,0.31247,0.28387,0.24759,0.13654,1.19948,1.39562,1.27319,0.000997011,0.000997011,0.000997011
9,768.149,1.25488,1.48241,1.2804,0.31309,0.2884,0.25482,0.14123,1.18638,1.37873,1.26216,0.000996097,0.000996097,0.000996097
10,851.185,1.23299,1.452,1.27202,0.32865,0.29215,0.26001,0.14558,1.17662,1.35925,1.252,0.000995062,0.000995062,0.000995062
11,934.207,1.23139,1.43636,1.26784,0.33525,0.2955,0.26627,0.14757,1.1735,1.34841,1.246,0.000993906,0.000993906,0.000993906
12,1017.15,1.22268,1.42243,1.25653,0.34816,0.29218,0.26717,0.15067,1.16576,1.33934,1.24031,0.000992629,0.000992629,0.000992629
13,1100.48,1.2081,1.39513,1.24783,0.34443,0.30219,0.27421,0.15445,1.15588,1.32113,1.2338,0.000991232,0.000991232,0.000991232
14,1183.35,1.20693,1.39089,1.24304,0.35769,0.30643,0.28155,0.15871,1.15046,1.31019,1.22689,0.000989715,0.000989715,0.000989715
15,1266.16,1.197,1.37662,1.24133,0.36666,0.30284,0.28439,0.1605,1.14522,1.29606,1.22348,0.000988079,0.000988079,0.000988079
16,1348.29,1.19206,1.36188,1.23426,0.37498,0.30625,0.29068,0.16481,1.13869,1.28974,1.21927,0.000986323,0.000986323,0.000986323
17,1431.66,1.18809,1.35137,1.22846,0.36618,0.30789,0.29005,0.16526,1.13365,1.28225,1.21657,0.000984449,0.000984449,0.000984449
18,1514.87,1.18145,1.34186,1.22587,0.37799,0.31861,0.29583,0.16799,1.13208,1.27109,1.21491,0.000982456,0.000982456,0.000982456
19,1598.23,1.18104,1.3408,1.21963,0.38741,0.31535,0.29977,0.16989,1.12722,1.26485,1.21124,0.000980345,0.000980345,0.000980345
20,1681.41,1.17404,1.32634,1.2185,0.3894,0.31603,0.30135,0.17207,1.12252,1.25999,1.20939,0.000978118,0.000978118,0.000978118
21,1764.5,1.16905,1.31651,1.21608,0.37687,0.32329,0.30375,0.17393,1.12086,1.25697,1.20437,0.000975773,0.000975773,0.000975773
22,1847.3,1.16224,1.30628,1.21337,0.38416,0.32702,0.3075,0.17428,1.12122,1.24738,1.20544,0.000973312,0.000973312,0.000973312
23,1930.05,1.15835,1.29918,1.20985,0.38698,0.32459,0.31041,0.17623,1.11684,1.24621,1.20188,0.000970736,0.000970736,0.000970736
24,2012.98,1.15885,1.29614,1.20801,0.38631,0.33175,0.3118,0.17808,1.11341,1.24093,1.2,0.000968045,0.000968045,0.000968045
25,2096.14,1.15659,1.29127,1.20247,0.39175,0.32898,0.31055,0.17814,1.10947,1.24133,1.19703,0.000965239,0.000965239,0.000965239
26,2177.85,1.15496,1.2874,1.20819,0.4052,0.32366,0.31295,0.17964,1.10809,1.23319,1.19583,0.00096232,0.00096232,0.00096232
27,2260.24,1.15396,1.28438,1.20157,0.39166,0.33039,0.31372,0.18002,1.10699,1.22908,1.19494,0.000959289,0.000959289,0.000959289
28,2343.45,1.15003,1.27269,1.20091,0.39706,0.33644,0.31594,0.18099,1.10214,1.22272,1.19069,0.000956145,0.000956145,0.000956145
29,2426.97,1.15047,1.26925,1.19992,0.41916,0.32623,0.3165,0.18107,1.10309,1.2266,1.19077,0.000952889,0.000952889,0.000952889
30,2509.59,1.14512,1.26298,1.19242,0.40584,0.33262,0.31824,0.18251,1.09856,1.21784,1.18916,0.000949524,0.000949524,0.000949524
31,2591.97,1.14059,1.26301,1.19528,0.39893,0.3373,0.32171,0.18374,1.09947,1.21561,1.18901,0.000946048,0.000946048,0.000946048
32,2674.75,1.14098,1.26011,1.1943,0.40859,0.33235,0.32145,0.18374,1.09628,1.21231,1.18553,0.000942464,0.000942464,0.000942464
33,2757.34,1.13611,1.25565,1.19294,0.41929,0.33245,0.32284,0.1852,1.09535,1.20975,1.18546,0.000938772,0.000938772,0.000938772
34,2839.72,1.14133,1.25689,1.19514,0.4205,0.33823,0.32419,0.18615,1.09095,1.20815,1.18242,0.000934973,0.000934973,0.000934973
35,2921.99,1.13097,1.24393,1.18976,0.41092,0.33744,0.32569,0.18607,1.08975,1.2051,1.18041,0.000931067,0.000931067,0.000931067
36,3004.88,1.12911,1.24048,1.19043,0.40442,0.33949,0.32684,0.18678,1.08847,1.20513,1.18222,0.000927057,0.000927057,0.000927057
37,3087.82,1.13141,1.23887,1.18307,0.40174,0.33749,0.32031,0.1844,1.08896,1.20641,1.18029,0.000922942,0.000922942,0.000922942
38,3171.07,1.1258,1.23729,1.18556,0.41856,0.33376,0.3205,0.183,1.08946,1.20504,1.17957,0.000918725,0.000918725,0.000918725
39,3254.69,1.13037,1.23588,1.18523,0.41938,0.34317,0.32936,0.18934,1.08517,1.19758,1.17824,0.000914405,0.000914405,0.000914405
40,3336.88,1.1256,1.22747,1.18616,0.40781,0.34436,0.3291,0.18815,1.08423,1.19574,1.17767,0.000909984,0.000909984,0.000909984
41,3419.26,1.12794,1.23023,1.1891,0.41476,0.34213,0.33031,0.18988,1.08293,1.19227,1.17639,0.000905463,0.000905463,0.000905463
42,3502.45,1.12735,1.23006,1.18037,0.42061,0.34298,0.33093,0.18983,1.08419,1.1934,1.1761,0.000900844,0.000900844,0.000900844
43,3585.64,1.12529,1.22743,1.17861,0.41806,0.34813,0.33225,0.19115,1.08045,1.18937,1.17479,0.000896127,0.000896127,0.000896127
44,3668.76,1.12005,1.22247,1.18342,0.42429,0.34804,0.33678,0.19353,1.07897,1.18749,1.17327,0.000891313,0.000891313,0.000891313
45,3752.57,1.11653,1.21504,1.17746,0.41218,0.34974,0.33315,0.19058,1.08285,1.18707,1.17529,0.000886404,0.000886404,0.000886404
46,3835.24,1.12084,1.21606,1.17796,0.42108,0.34524,0.3349,0.19245,1.08222,1.18445,1.17569,0.000881401,0.000881401,0.000881401
47,3917.88,1.11988,1.21908,1.18008,0.41209,0.34796,0.33008,0.18993,1.08015,1.18704,1.17253,0.000876305,0.000876305,0.000876305
48,4000.6,1.118,1.21205,1.17678,0.42576,0.34647,0.33284,0.19035,1.07661,1.18275,1.17226,0.000871117,0.000871117,0.000871117
49,4083.24,1.11526,1.20754,1.17398,0.41804,0.34792,0.33399,0.19161,1.07736,1.18292,1.17128,0.000865839,0.000865839,0.000865839
50,4165.93,1.11517,1.20831,1.1809,0.42775,0.34702,0.33787,0.19447,1.07955,1.18155,1.17241,0.000860473,0.000860473,0.000860473
51,4248.83,1.11313,1.20906,1.17669,0.41366,0.35183,0.33336,0.19203,1.07663,1.181,1.17106,0.000855018,0.000855018,0.000855018
52,4331.9,1.11167,1.20289,1.17606,0.41679,0.34781,0.32867,0.18867,1.07546,1.18049,1.17066,0.000849477,0.000849477,0.000849477
53,4415.29,1.11106,1.20007,1.17577,0.41287,0.35381,0.32961,0.1889,1.07553,1.17778,1.17087,0.000843851,0.000843851,0.000843851
54,4497.68,1.10837,1.19873,1.17457,0.41501,0.35657,0.33136,0.18988,1.07357,1.17715,1.16937,0.000838141,0.000838141,0.000838141
55,4580.75,1.11076,1.20168,1.17452,0.41947,0.35165,0.32803,0.18817,1.0728,1.17715,1.16741,0.000832349,0.000832349,0.000832349
56,4664.08,1.11244,1.19772,1.17011,0.42935,0.34699,0.33041,0.18918,1.07259,1.17718,1.16834,0.000826477,0.000826477,0.000826477
57,4747.21,1.10862,1.19612,1.16703,0.42963,0.3472,0.33514,0.19356,1.07064,1.17278,1.16708,0.000820525,0.000820525,0.000820525
58,4829.83,1.10355,1.18926,1.17179,0.42875,0.35085,0.33398,0.19196,1.0718,1.17222,1.1668,0.000814495,0.000814495,0.000814495
59,4911.82,1.10078,1.19044,1.17256,0.42652,0.34903,0.33157,0.19028,1.07221,1.17278,1.16683,0.000808389,0.000808389,0.000808389
60,4995.32,1.11103,1.19403,1.17037,0.43048,0.34857,0.33172,0.1903,1.07137,1.17016,1.16601,0.000802208,0.000802208,0.000802208
61,5078.13,1.10241,1.18175,1.1655,0.42677,0.3542,0.33475,0.19229,1.06863,1.16821,1.16463,0.000795954,0.000795954,0.000795954
62,5160.87,1.10235,1.18302,1.16666,0.42765,0.35285,0.33525,0.19256,1.06813,1.16754,1.16362,0.000789628,0.000789628,0.000789628
63,5242.38,1.09983,1.1792,1.16476,0.42678,0.35727,0.33621,0.19289,1.06812,1.16575,1.16347,0.000783231,0.000783231,0.000783231
64,5325.02,1.10168,1.18416,1.17088,0.42831,0.35831,0.3334,0.19111,1.06797,1.16787,1.16374,0.000776766,0.000776766,0.000776766
65,5408.09,1.10146,1.18141,1.17109,0.42988,0.35398,0.33406,0.19167,1.06701,1.16452,1.16298,0.000770234,0.000770234,0.000770234
66,5491.44,1.10063,1.17943,1.1642,0.43309,0.3521,0.33353,0.1915,1.0681,1.166,1.1633,0.000763637,0.000763637,0.000763637
67,5574.71,1.09999,1.1749,1.16451,0.4366,0.35273,0.33302,0.19115,1.06698,1.16364,1.16302,0.000756976,0.000756976,0.000756976
68,5657.36,1.0929,1.17413,1.16402,0.42744,0.35476,0.33222,0.19079,1.06582,1.16663,1.16187,0.000750252,0.000750252,0.000750252
69,5739.48,1.09681,1.17204,1.16135,0.43969,0.3546,0.33831,0.1949,1.06538,1.16118,1.16148,0.000743468,0.000743468,0.000743468
70,5822.36,1.09519,1.17172,1.16437,0.43268,0.35396,0.3353,0.19284,1.06588,1.16237,1.16175,0.000736625,0.000736625,0.000736625
71,5905.23,1.10074,1.17382,1.16766,0.44242,0.35053,0.33687,0.19431,1.06486,1.16075,1.16112,0.000729725,0.000729725,0.000729725
72,5988.06,1.0965,1.17407,1.16346,0.43273,0.35491,0.33865,0.19484,1.06604,1.15883,1.16167,0.00072277,0.00072277,0.00072277
73,6071.28,1.09313,1.16556,1.16282,0.43056,0.35585,0.3372,0.19472,1.06532,1.15939,1.16114,0.000715761,0.000715761,0.000715761
74,6154.39,1.0951,1.16463,1.16213,0.43535,0.35796,0.34057,0.19621,1.06475,1.15886,1.16043,0.0007087,0.0007087,0.0007087
75,6237.05,1.08714,1.1627,1.16568,0.44144,0.35255,0.34365,0.1992,1.06421,1.15771,1.16022,0.000701588,0.000701588,0.000701588
76,6320.77,1.09398,1.16719,1.16286,0.44084,0.35714,0.34232,0.19742,1.06471,1.15795,1.16053,0.000694428,0.000694428,0.000694428
77,6404.3,1.0921,1.16216,1.16092,0.43245,0.3602,0.34072,0.19666,1.06343,1.15659,1.1596,0.000687222,0.000687222,0.000687222
78,6487.21,1.09258,1.15917,1.16156,0.44399,0.35494,0.34043,0.19637,1.06207,1.15361,1.15887,0.00067997,0.00067997,0.00067997
79,6570.62,1.08703,1.15999,1.15711,0.43325,0.35828,0.33938,0.19563,1.06246,1.15516,1.15864,0.000672675,0.000672675,0.000672675
80,6653.93,1.08848,1.15851,1.16121,0.44047,0.35523,0.34231,0.19768,1.06181,1.15299,1.15909,0.000665339,0.000665339,0.000665339
81,6736.39,1.08674,1.15566,1.16151,0.44473,0.35781,0.34454,0.19866,1.06237,1.15266,1.15893,0.000657963,0.000657963,0.000657963
82,6819.24,1.08989,1.15796,1.15652,0.43622,0.35724,0.3419,0.19661,1.06217,1.15379,1.15871,0.00065055,0.00065055,0.00065055
83,6901.96,1.08881,1.15895,1.1593,0.44216,0.35909,0.34021,0.19586,1.0616,1.15323,1.15873,0.000643101,0.000643101,0.000643101
84,6984.47,1.08852,1.15589,1.15933,0.43569,0.36157,0.34347,0.19748,1.05989,1.15133,1.15752,0.000635617,0.000635617,0.000635617
85,7067.54,1.08827,1.15451,1.15746,0.44289,0.36138,0.34514,0.19884,1.06004,1.1497,1.15732,0.000628101,0.000628101,0.000628101
86,7150.37,1.08685,1.15574,1.16232,0.44003,0.36045,0.34354,0.19779,1.0605,1.14969,1.15757,0.000620555,0.000620555,0.000620555
87,7233.63,1.08587,1.15086,1.15457,0.43891,0.35961,0.34023,0.19631,1.06036,1.15252,1.15771,0.000612981,0.000612981,0.000612981
88,7317.12,1.09114,1.15727,1.15665,0.44333,0.36011,0.34235,0.19762,1.06078,1.15016,1.15731,0.00060538,0.00060538,0.00060538
89,7400.25,1.09197,1.16031,1.16028,0.44314,0.35944,0.34525,0.19963,1.06013,1.14941,1.15717,0.000597754,0.000597754,0.000597754
90,7483.12,1.08918,1.15118,1.15875,0.44293,0.35871,0.34501,0.19929,1.06002,1.14877,1.1572,0.000590105,0.000590105,0.000590105
91,7565.16,1.09483,1.16294,1.15593,0.4447,0.35865,0.34606,0.19994,1.05958,1.14798,1.15719,0.000582435,0.000582435,0.000582435
92,7648.7,1.08427,1.14803,1.15306,0.44275,0.35801,0.34465,0.19874,1.05942,1.14779,1.15686,0.000574746,0.000574746,0.000574746
93,7731.74,1.09122,1.15534,1.15582,0.4429,0.35715,0.34227,0.19696,1.05897,1.14796,1.15639,0.00056704,0.00056704,0.00056704
94,7815.28,1.09012,1.15028,1.1543,0.44375,0.35566,0.34373,0.19735,1.05948,1.14838,1.15638,0.000559318,0.000559318,0.000559318
95,7898.13,1.08581,1.14794,1.15761,0.44689,0.35672,0.34305,0.19712,1.05943,1.14775,1.15632,0.000551584,0.000551584,0.000551584
96,7980.98,1.0832,1.15064,1.15754,0.45064,0.35498,0.3424,0.19684,1.05898,1.14732,1.15597,0.000543837,0.000543837,0.000543837
97,8064.23,1.08413,1.14566,1.15699,0.45303,0.35402,0.34407,0.19783,1.05891,1.14607,1.15553,0.000536081,0.000536081,0.000536081
98,8147.12,1.0821,1.14228,1.15536,0.45223,0.35548,0.34524,0.19822,1.05874,1.14546,1.15512,0.000528318,0.000528318,0.000528318
99,8229.84,1.08275,1.14896,1.15291,0.45277,0.35549,0.34666,0.19984,1.05822,1.14461,1.15512,0.000520548,0.000520548,0.000520548
100,8313.11,1.08066,1.13847,1.15028,0.45112,0.35683,0.34776,0.20096,1.05771,1.14407,1.15492,0.000512775,0.000512775,0.000512775
101,8396.18,1.08308,1.14051,1.15005,0.45141,0.35626,0.34627,0.20013,1.0575,1.14444,1.15465,0.000505,0.000505,0.000505
102,8480.8,1.08037,1.14213,1.15396,0.45241,0.3573,0.34676,0.20012,1.05757,1.1445,1.1549,0.000497225,0.000497225,0.000497225
