epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.843,2.08111,3.16799,2.02299,0.5006,0.09453,0.07799,0.03433,1.62966,2.21295,1.70341,0.000332921,0.000332921,0.0670408
2,187.723,1.58916,2.1529,1.60754,0.37104,0.16008,0.12656,0.06318,1.42376,1.81201,1.49593,0.000666214,0.000666214,0.0340408
3,274.223,1.43901,1.84057,1.45092,0.21921,0.22285,0.17527,0.09115,1.31088,1.60145,1.38217,0.000999344,0.000999344,0.00104055
4,359.551,1.34384,1.65976,1.37124,0.2592,0.2495,0.20351,0.10996,1.24403,1.48094,1.32165,0.00099945,0.00099945,0.00099945
5,444.967,1.29345,1.57331,1.32674,0.29831,0.26115,0.22571,0.1242,1.20277,1.41714,1.28753,0.000999023,0.000999023,0.000999023
6,530.521,1.26699,1.51896,1.301,0.30056,0.2846,0.24169,0.13307,1.17865,1.38724,1.26721,0.000998474,0.000998474,0.000998474
7,615.985,1.24257,1.47839,1.28297,0.33258,0.28165,0.25317,0.14266,1.16306,1.35268,1.25205,0.000997803,0.000997803,0.000997803
8,700.392,1.22603,1.44915,1.27449,0.34443,0.29181,0.26331,0.1492,1.14973,1.32809,1.23758,0.000997011,0.000997011,0.000997011
9,785.254,1.21651,1.42144,1.25762,0.34863,0.29138,0.2712,0.15283,1.14049,1.31679,1.23217,0.000996097,0.000996097,0.000996097
10,869.582,1.19763,1.39848,1.2525,0.36324,0.29985,0.27753,0.15696,1.1317,1.2966,1.22363,0.000995062,0.000995062,0.000995062
11,954.94,1.19768,1.3865,1.24984,0.36594,0.30175,0.28281,0.15944,1.12604,1.28691,1.21672,0.000993906,0.000993906,0.000993906
12,1039.52,1.19065,1.37889,1.23953,0.38294,0.30971,0.2881,0.1646,1.12182,1.27741,1.21288,0.000992629,0.000992629,0.000992629
13,1124.28,1.17782,1.35519,1.23152,0.36459,0.31287,0.29363,0.16659,1.11625,1.27504,1.20791,0.000991232,0.000991232,0.000991232
14,1208.92,1.17766,1.35281,1.2288,0.39224,0.31226,0.29928,0.1694,1.11275,1.26285,1.20453,0.000989715,0.000989715,0.000989715
15,1293.8,1.17028,1.34364,1.22774,0.39519,0.31318,0.29987,0.16958,1.11222,1.25602,1.20233,0.000988079,0.000988079,0.000988079
16,1378.29,1.16466,1.32995,1.22072,0.39544,0.32124,0.30391,0.17244,1.10247,1.24606,1.197,0.000986323,0.000986323,0.000986323
17,1463.53,1.16287,1.32357,1.21653,0.38346,0.31638,0.30113,0.17111,1.10327,1.24356,1.1971,0.000984449,0.000984449,0.000984449
18,1548.24,1.1583,1.31418,1.2144,0.38079,0.32343,0.30561,0.17383,1.09639,1.2348,1.19328,0.000982456,0.000982456,0.000982456
19,1632.8,1.15761,1.31523,1.20831,0.42048,0.32136,0.31148,0.17633,1.09396,1.22703,1.19037,0.000980345,0.000980345,0.000980345
20,1717.33,1.15071,1.30209,1.20728,0.40254,0.32781,0.31282,0.17716,1.09301,1.22054,1.18893,0.000978118,0.000978118,0.000978118
21,1801.82,1.1472,1.2944,1.20507,0.40528,0.33244,0.31733,0.17993,1.08872,1.21756,1.18514,0.000975773,0.000975773,0.000975773
22,1885.15,1.14057,1.28354,1.20323,0.39702,0.33866,0.32035,0.18082,1.08909,1.20982,1.18507,0.000973312,0.000973312,0.000973312
23,1968.29,1.13705,1.27815,1.19981,0.40313,0.33417,0.31875,0.1807,1.09194,1.20964,1.18435,0.000970736,0.000970736,0.000970736
24,2051.88,1.13802,1.27591,1.1985,0.40123,0.33886,0.32437,0.18405,1.08495,1.20835,1.1797,0.000968045,0.000968045,0.000968045
25,2136.86,1.13692,1.27293,1.19375,0.39874,0.33626,0.32211,0.18382,1.08346,1.20546,1.18064,0.000965239,0.000965239,0.000965239
26,2221.47,1.13563,1.27127,1.19885,0.41645,0.33283,0.32622,0.1862,1.0814,1.20145,1.17875,0.00096232,0.00096232,0.00096232
27,2305.84,1.13526,1.27,1.19269,0.4007,0.34258,0.32654,0.18508,1.07974,1.19998,1.17744,0.000959289,0.000959289,0.000959289
28,2390.24,1.13232,1.2585,1.1924,0.41298,0.33534,0.32756,0.18571,1.07737,1.18881,1.17535,0.000956145,0.000956145,0.000956145
29,2474.71,1.13344,1.25513,1.19158,0.40773,0.34132,0.32922,0.1872,1.07805,1.19236,1.17592,0.000952889,0.000952889,0.000952889
30,2559.29,1.12855,1.24998,1.18471,0.41719,0.33966,0.33175,0.1889,1.07704,1.18857,1.17451,0.000949524,0.000949524,0.000949524
31,2644.33,1.12391,1.25047,1.18708,0.41986,0.34485,0.33323,0.1897,1.07313,1.1843,1.17208,0.000946048,0.000946048,0.000946048
32,2729.34,1.12418,1.24887,1.18641,0.41262,0.34577,0.33324,0.19148,1.06931,1.1801,1.16864,0.000942464,0.000942464,0.000942464
33,2813.66,1.1199,1.24393,1.1852,0.41805,0.34049,0.33392,0.19138,1.07114,1.18096,1.16889,0.000938772,0.000938772,0.000938772
34,2897.26,1.12494,1.24425,1.18721,0.42509,0.34587,0.33662,0.19297,1.0693,1.17837,1.16757,0.000934973,0.000934973,0.000934973
35,2981.51,1.11511,1.23284,1.18219,0.43262,0.34847,0.34072,0.19442,1.06814,1.17143,1.16705,0.000931067,0.000931067,0.000931067
36,3066,1.11332,1.23095,1.18238,0.41026,0.354,0.33967,0.19399,1.06724,1.1733,1.16704,0.000927057,0.000927057,0.000927057
37,3150.12,1.11694,1.22991,1.17669,0.42556,0.34499,0.33697,0.19387,1.06673,1.17235,1.16585,0.000922942,0.000922942,0.000922942
38,3233.92,1.11123,1.2284,1.17937,0.41558,0.34581,0.33754,0.19392,1.06718,1.16918,1.16505,0.000918725,0.000918725,0.000918725
39,3319.07,1.11539,1.22622,1.17832,0.41186,0.3496,0.34006,0.19548,1.06348,1.16466,1.16424,0.000914405,0.000914405,0.000914405
40,3403.72,1.11159,1.21951,1.17981,0.42182,0.34976,0.34205,0.1963,1.06395,1.16377,1.16379,0.000909984,0.000909984,0.000909984
41,3487.33,1.11442,1.22286,1.18306,0.42914,0.34749,0.34341,0.19697,1.06173,1.16173,1.16235,0.000905463,0.000905463,0.000905463
42,3572.65,1.11368,1.22342,1.17461,0.4177,0.3526,0.343,0.19693,1.06277,1.16353,1.16247,0.000900844,0.000900844,0.000900844
43,3657.02,1.11148,1.22057,1.17297,0.4231,0.35292,0.34199,0.19715,1.05813,1.15778,1.1605,0.000896127,0.000896127,0.000896127
44,3740.64,1.10766,1.21752,1.17829,0.4315,0.35076,0.34523,0.19928,1.05894,1.15454,1.1609,0.000891313,0.000891313,0.000891313
45,3824.58,1.10332,1.20867,1.17127,0.42983,0.35148,0.34456,0.19819,1.06046,1.15394,1.16013,0.000886404,0.000886404,0.000886404
46,3908.2,1.10836,1.20932,1.17217,0.42294,0.3563,0.34541,0.19899,1.06221,1.15555,1.16231,0.000881401,0.000881401,0.000881401
47,3993.44,1.10769,1.21277,1.17539,0.42827,0.3533,0.3458,0.19924,1.05823,1.15398,1.15838,0.000876305,0.000876305,0.000876305
48,4078.35,1.10658,1.20683,1.17247,0.43154,0.34846,0.34639,0.20062,1.05546,1.15061,1.15749,0.000871117,0.000871117,0.000871117
49,4162.49,1.10227,1.20247,1.16756,0.42891,0.35476,0.34834,0.19971,1.05839,1.14902,1.15817,0.000865839,0.000865839,0.000865839
50,4247.08,1.10369,1.20258,1.17602,0.43173,0.356,0.34995,0.20191,1.05861,1.14833,1.15861,0.000860473,0.000860473,0.000860473
51,4331.04,1.10079,1.20317,1.17174,0.4339,0.35434,0.3499,0.20198,1.05568,1.1472,1.15795,0.000855018,0.000855018,0.000855018
52,4414.44,1.09949,1.19818,1.17141,0.43171,0.35529,0.34814,0.20087,1.0561,1.14681,1.15776,0.000849477,0.000849477,0.000849477
53,4499.06,1.10012,1.19603,1.17085,0.42658,0.35791,0.34935,0.2022,1.05427,1.14327,1.15699,0.000843851,0.000843851,0.000843851
54,4582.43,1.0974,1.19419,1.17039,0.43134,0.36017,0.35081,0.20271,1.0531,1.14138,1.15675,0.000838141,0.000838141,0.000838141
55,4666.9,1.10054,1.19601,1.17039,0.43458,0.35515,0.34809,0.20068,1.05236,1.14232,1.15463,0.000832349,0.000832349,0.000832349
56,4752.1,1.10231,1.19391,1.16652,0.43084,0.35597,0.35047,0.20248,1.05179,1.14084,1.1554,0.000826477,0.000826477,0.000826477
57,4836.72,1.09897,1.19343,1.16289,0.43111,0.35839,0.35157,0.20333,1.05172,1.1391,1.15493,0.000820525,0.000820525,0.000820525
58,4920.63,1.09307,1.1848,1.16796,0.43968,0.35677,0.35315,0.2042,1.05144,1.13882,1.15457,0.000814495,0.000814495,0.000814495
59,5003.83,1.09058,1.18792,1.16842,0.42965,0.35693,0.35258,0.2036,1.0521,1.13861,1.15373,0.000808389,0.000808389,0.000808389
60,5088.38,1.09985,1.19023,1.16569,0.43642,0.35776,0.35304,0.20384,1.05049,1.13656,1.15298,0.000802208,0.000802208,0.000802208
