epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.6259,1.90764,2.87337,1.8613,0.2584,0.13616,0.10003,0.04656,1.53023,2.03928,1.60157,0.000332921,0.000332921,0.0670408
2,188.235,1.5023,1.98095,1.5185,0.2164,0.20163,0.16453,0.08458,1.35066,1.678,1.42371,0.000666214,0.000666214,0.0340408
3,275.494,1.36512,1.6959,1.39358,0.25585,0.26009,0.21331,0.11467,1.24957,1.48103,1.33129,0.000999344,0.000999344,0.00104055
4,361.956,1.28164,1.53966,1.32293,0.30943,0.27849,0.2439,0.13501,1.19196,1.38513,1.27587,0.00099945,0.00099945,0.00099945
5,448.341,1.23799,1.46769,1.28236,0.34667,0.28919,0.26454,0.14715,1.16262,1.33799,1.24864,0.000999023,0.000999023,0.000999023
6,534.937,1.21631,1.4211,1.25954,0.35594,0.30773,0.28074,0.15748,1.14149,1.30639,1.22974,0.000998474,0.000998474,0.000998474
7,620.999,1.19357,1.38559,1.24343,0.38532,0.30923,0.294,0.1664,1.12744,1.27943,1.21714,0.000997803,0.000997803,0.000997803
8,706.99,1.18027,1.36318,1.23772,0.3876,0.31766,0.29911,0.16897,1.11837,1.25978,1.20912,0.000997011,0.000997011,0.000997011
9,792.829,1.17258,1.33972,1.22292,0.37603,0.32557,0.30666,0.17461,1.10908,1.24292,1.20007,0.000996097,0.000996097,0.000996097
10,877.467,1.15552,1.31715,1.21877,0.39987,0.32728,0.3143,0.17905,1.10211,1.23304,1.19473,0.000995062,0.000995062,0.000995062
11,963.433,1.15741,1.30905,1.21686,0.40654,0.33038,0.32137,0.18208,1.09636,1.22032,1.18948,0.000993906,0.000993906,0.000993906
12,1048.65,1.1511,1.30374,1.20817,0.41057,0.33515,0.32138,0.18368,1.09385,1.21284,1.18704,0.000992629,0.000992629,0.000992629
13,1135.12,1.13899,1.28107,1.20187,0.40826,0.33625,0.32642,0.18665,1.08933,1.21082,1.18358,0.000991232,0.000991232,0.000991232
14,1220.86,1.14007,1.28064,1.19868,0.42459,0.34713,0.33327,0.19083,1.08576,1.20247,1.1791,0.000989715,0.000989715,0.000989715
15,1307.32,1.1332,1.27239,1.19828,0.42596,0.33509,0.33248,0.19077,1.08359,1.19723,1.17845,0.000988079,0.000988079,0.000988079
16,1392.73,1.12916,1.26169,1.19245,0.43376,0.34731,0.33744,0.1941,1.0715,1.18405,1.17077,0.000986323,0.000986323,0.000986323
17,1479.13,1.12667,1.2538,1.18888,0.42317,0.34708,0.33811,0.19477,1.07423,1.17896,1.17241,0.000984449,0.000984449,0.000984449
18,1564.39,1.12253,1.24644,1.18683,0.41542,0.35604,0.34039,0.19633,1.07044,1.17646,1.16808,0.000982456,0.000982456,0.000982456
19,1650.07,1.12314,1.24789,1.18201,0.43496,0.35699,0.34459,0.19815,1.06853,1.17376,1.16731,0.000980345,0.000980345,0.000980345
20,1735.89,1.11689,1.23726,1.18174,0.43451,0.35752,0.34674,0.20005,1.0655,1.16373,1.16561,0.000978118,0.000978118,0.000978118
21,1821.97,1.11295,1.23019,1.17916,0.42782,0.35931,0.34821,0.20141,1.0627,1.16589,1.16241,0.000975773,0.000975773,0.000975773
22,1907.07,1.10686,1.22103,1.17799,0.44013,0.36155,0.35209,0.2029,1.06387,1.15686,1.16401,0.000973312,0.000973312,0.000973312
23,1992.55,1.10352,1.21519,1.1748,0.43232,0.3643,0.35131,0.20232,1.06368,1.15717,1.16303,0.000970736,0.000970736,0.000970736
24,2077.69,1.10593,1.21435,1.17376,0.43388,0.3603,0.35206,0.20444,1.05893,1.15412,1.15881,0.000968045,0.000968045,0.000968045
25,2162.51,1.10429,1.2115,1.16898,0.43821,0.36114,0.35171,0.20395,1.05827,1.15546,1.15895,0.000965239,0.000965239,0.000965239
26,2248.55,1.10317,1.20959,1.17437,0.43406,0.36126,0.35413,0.20495,1.05696,1.15076,1.1569,0.00096232,0.00096232,0.00096232
27,2335.25,1.10262,1.20797,1.16847,0.44037,0.36768,0.35624,0.20584,1.05502,1.14841,1.15637,0.000959289,0.000959289,0.000959289
28,2420.99,1.09983,1.19854,1.16807,0.45518,0.36197,0.35931,0.2086,1.05127,1.14234,1.15435,0.000956145,0.000956145,0.000956145
29,2506.28,1.10176,1.1957,1.16814,0.44238,0.36267,0.35569,0.20671,1.05594,1.14968,1.15549,0.000952889,0.000952889,0.000952889
30,2591.37,1.09688,1.19011,1.16164,0.45525,0.36223,0.35962,0.20874,1.05174,1.14367,1.15365,0.000949524,0.000949524,0.000949524
31,2676.4,1.09338,1.19127,1.16388,0.44533,0.37288,0.36172,0.20987,1.05107,1.14126,1.15259,0.000946048,0.000946048,0.000946048
32,2761.96,1.09241,1.18921,1.16285,0.43648,0.37281,0.36217,0.21143,1.04741,1.13588,1.14964,0.000942464,0.000942464,0.000942464
33,2846.32,1.0894,1.185,1.16271,0.44015,0.3713,0.36138,0.21035,1.04732,1.1346,1.14944,0.000938772,0.000938772,0.000938772
34,2931.77,1.09475,1.18618,1.16485,0.45116,0.37313,0.36272,0.21132,1.04685,1.13457,1.1491,0.000934973,0.000934973,0.000934973
35,3016.69,1.08499,1.17527,1.15986,0.46261,0.36189,0.36384,0.21148,1.04552,1.13253,1.14808,0.000931067,0.000931067,0.000931067
36,3101.58,1.0833,1.17391,1.16029,0.4577,0.36684,0.36377,0.212,1.0452,1.13237,1.14853,0.000927057,0.000927057,0.000927057
37,3187.2,1.08673,1.17381,1.15501,0.45331,0.37494,0.36589,0.21384,1.04696,1.13145,1.14776,0.000922942,0.000922942,0.000922942
38,3272.36,1.08187,1.17199,1.15781,0.45507,0.37165,0.36506,0.21322,1.04634,1.12855,1.14731,0.000918725,0.000918725,0.000918725
39,3358.6,1.08606,1.17103,1.15626,0.45891,0.36766,0.36615,0.21437,1.04243,1.12765,1.14686,0.000914405,0.000914405,0.000914405
40,3444.37,1.08226,1.16435,1.15857,0.45259,0.37165,0.36536,0.21288,1.04368,1.12707,1.14624,0.000909984,0.000909984,0.000909984
41,3529.96,1.08487,1.16794,1.16123,0.44509,0.37587,0.36683,0.21433,1.04148,1.12299,1.14462,0.000905463,0.000905463,0.000905463
42,3615.91,1.08455,1.16723,1.15405,0.45207,0.37482,0.36652,0.21381,1.04074,1.12169,1.14435,0.000900844,0.000900844,0.000900844
43,3701.47,1.08209,1.16551,1.15196,0.45797,0.37343,0.36842,0.21594,1.03837,1.12089,1.14287,0.000896127,0.000896127,0.000896127
44,3787.78,1.07855,1.16327,1.15746,0.47181,0.3687,0.36823,0.21563,1.03866,1.12029,1.14286,0.000891313,0.000891313,0.000891313
45,3874.08,1.0743,1.15342,1.15102,0.45516,0.37604,0.36753,0.21517,1.04076,1.11777,1.14318,0.000886404,0.000886404,0.000886404
46,3959.14,1.08018,1.15645,1.15218,0.46213,0.37483,0.36947,0.2164,1.04236,1.1178,1.1447,0.000881401,0.000881401,0.000881401
47,4045.41,1.07899,1.1582,1.15444,0.46338,0.37228,0.36865,0.21601,1.03947,1.11781,1.14249,0.000876305,0.000876305,0.000876305
48,4130.86,1.07835,1.15409,1.15171,0.46712,0.36823,0.37118,0.21719,1.03622,1.11491,1.14179,0.000871117,0.000871117,0.000871117
49,4215.92,1.07425,1.14983,1.14786,0.47276,0.37351,0.37429,0.21874,1.03785,1.11373,1.14131,0.000865839,0.000865839,0.000865839
50,4301.58,1.0761,1.15064,1.15596,0.46802,0.37405,0.37419,0.21913,1.03751,1.11106,1.14072,0.000860473,0.000860473,0.000860473
51,4386.53,1.07297,1.14973,1.15164,0.46555,0.37821,0.37491,0.21975,1.03602,1.10969,1.14045,0.000855018,0.000855018,0.000855018
52,4472.36,1.07195,1.14569,1.15108,0.46628,0.37385,0.37141,0.21724,1.03737,1.11416,1.1408,0.000849477,0.000849477,0.000849477
53,4559.01,1.07295,1.14451,1.15123,0.46837,0.37494,0.37354,0.21843,1.03573,1.11076,1.14052,0.000843851,0.000843851,0.000843851
54,4644.49,1.0694,1.14314,1.15033,0.45904,0.37812,0.37534,0.22006,1.03588,1.10959,1.1404,0.000838141,0.000838141,0.000838141
55,4730.24,1.07255,1.14495,1.14991,0.45595,0.37944,0.37336,0.2188,1.03425,1.10879,1.13876,0.000832349,0.000832349,0.000832349
56,4816.32,1.07416,1.14175,1.14612,0.45711,0.37936,0.3719,0.21756,1.03326,1.10919,1.13844,0.000826477,0.000826477,0.000826477
57,4902.53,1.07166,1.14338,1.14335,0.45859,0.38255,0.3739,0.21933,1.03251,1.10921,1.1379,0.000820525,0.000820525,0.000820525
58,4987.49,1.06661,1.13494,1.14882,0.47172,0.3761,0.37455,0.2202,1.03314,1.10803,1.13859,0.000814495,0.000814495,0.000814495
59,5072.85,1.06393,1.13792,1.14895,0.4611,0.38093,0.37348,0.21911,1.03332,1.10688,1.13739,0.000808389,0.000808389,0.000808389
60,5157.56,1.07297,1.1402,1.14663,0.47189,0.37539,0.37393,0.21972,1.03272,1.10512,1.13777,0.000802208,0.000802208,0.000802208
61,5242.64,1.06461,1.12908,1.14228,0.46945,0.37786,0.37478,0.21967,1.031,1.10273,1.13734,0.000795954,0.000795954,0.000795954
62,5328.48,1.06415,1.12889,1.14305,0.46979,0.37998,0.37589,0.22109,1.03049,1.10398,1.1365,0.000789628,0.000789628,0.000789628
63,5413.98,1.06395,1.12748,1.14213,0.46756,0.37853,0.37554,0.22091,1.03093,1.10314,1.13707,0.000783231,0.000783231,0.000783231
64,5498.94,1.06471,1.13268,1.1475,0.47498,0.37575,0.37635,0.22237,1.03178,1.10308,1.13713,0.000776766,0.000776766,0.000776766
65,5585.02,1.06527,1.1302,1.14878,0.4714,0.37893,0.37751,0.22244,1.02909,1.10169,1.13549,0.000770234,0.000770234,0.000770234
66,5670.85,1.06422,1.12977,1.1415,0.478,0.38135,0.37933,0.22378,1.02944,1.09934,1.13528,0.000763637,0.000763637,0.000763637
67,5756.81,1.06333,1.12459,1.14204,0.47261,0.37908,0.3774,0.22186,1.03102,1.09951,1.13587,0.000756976,0.000756976,0.000756976
68,5842.07,1.05725,1.12367,1.14198,0.46321,0.37804,0.37433,0.2207,1.03046,1.10098,1.13578,0.000750252,0.000750252,0.000750252
69,5927.89,1.06077,1.12163,1.13904,0.471,0.37859,0.37659,0.22185,1.02991,1.09936,1.13546,0.000743468,0.000743468,0.000743468
70,6013.7,1.06047,1.12071,1.14227,0.46508,0.38008,0.37316,0.21913,1.02959,1.09918,1.13516,0.000736625,0.000736625,0.000736625
71,6098.49,1.06525,1.1233,1.14501,0.47314,0.37936,0.37592,0.22127,1.02865,1.09771,1.1343,0.000729725,0.000729725,0.000729725
72,6183.34,1.06168,1.12423,1.14105,0.47402,0.37644,0.37709,0.22197,1.02895,1.09741,1.13463,0.00072277,0.00072277,0.00072277
73,6269.74,1.05747,1.1153,1.14041,0.47659,0.37502,0.37734,0.22233,1.02807,1.0948,1.13381,0.000715761,0.000715761,0.000715761
74,6353.66,1.06047,1.11671,1.1413,0.47132,0.37623,0.37511,0.22057,1.0288,1.09676,1.13411,0.0007087,0.0007087,0.0007087
75,6439.04,1.05167,1.11433,1.14366,0.46741,0.37812,0.37648,0.22167,1.02739,1.09598,1.1333,0.000701588,0.000701588,0.000701588
76,6524.6,1.05964,1.11843,1.14137,0.47648,0.37543,0.37653,0.22107,1.02832,1.09531,1.13427,0.000694428,0.000694428,0.000694428
77,6611.18,1.05847,1.11413,1.14031,0.47969,0.37422,0.3791,0.22322,1.0283,1.0946,1.13458,0.000687222,0.000687222,0.000687222
78,6696.84,1.05845,1.11112,1.14022,0.47154,0.37978,0.37757,0.22218,1.0257,1.09304,1.13268,0.00067997,0.00067997,0.00067997
79,6781.93,1.05336,1.11062,1.13596,0.46906,0.38036,0.377,0.22199,1.02592,1.09328,1.13243,0.000672675,0.000672675,0.000672675
80,6867.66,1.05482,1.11074,1.13997,0.46804,0.37959,0.37245,0.21828,1.02632,1.09446,1.13234,0.000665339,0.000665339,0.000665339
81,6952.77,1.05267,1.10787,1.13997,0.46669,0.37979,0.37394,0.21942,1.02643,1.09331,1.1328,0.000657963,0.000657963,0.000657963
82,7038.51,1.05606,1.11066,1.13526,0.46088,0.3845,0.37519,0.22048,1.02556,1.09186,1.13213,0.00065055,0.00065055,0.00065055
83,7124.95,1.05513,1.11196,1.13831,0.46378,0.38608,0.37867,0.22271,1.02539,1.09053,1.13206,0.000643101,0.000643101,0.000643101
84,7210.77,1.05534,1.10929,1.13919,0.46357,0.38526,0.38052,0.22433,1.02461,1.08955,1.13163,0.000635617,0.000635617,0.000635617
85,7295.51,1.05412,1.10872,1.13619,0.4609,0.38575,0.37666,0.22134,1.02414,1.09093,1.13153,0.000628101,0.000628101,0.000628101
86,7380.5,1.05389,1.10871,1.14176,0.47084,0.3816,0.37789,0.22195,1.02417,1.09145,1.13167,0.000620555,0.000620555,0.000620555
87,7465.51,1.05251,1.10414,1.13388,0.47045,0.379,0.37629,0.22066,1.02447,1.09274,1.13142,0.000612981,0.000612981,0.000612981
88,7551.39,1.05869,1.11245,1.13682,0.4708,0.38234,0.37897,0.22294,1.02421,1.0904,1.13114,0.00060538,0.00060538,0.00060538
89,7637.4,1.05864,1.11433,1.13921,0.47155,0.38047,0.38007,0.22384,1.0236,1.08936,1.13069,0.000597754,0.000597754,0.000597754
90,7722.14,1.05558,1.10482,1.13841,0.48034,0.37782,0.38225,0.22506,1.02416,1.089,1.13082,0.000590105,0.000590105,0.000590105
91,7808.63,1.06191,1.11693,1.13601,0.4899,0.37406,0.38401,0.22672,1.02421,1.08782,1.13074,0.000582435,0.000582435,0.000582435
92,7894.48,1.05213,1.10375,1.13313,0.48539,0.37802,0.38401,0.22695,1.02416,1.0876,1.13079,0.000574746,0.000574746,0.000574746
93,7979.85,1.05832,1.10919,1.13579,0.48606,0.37657,0.3837,0.22682,1.02352,1.08786,1.13024,0.00056704,0.00056704,0.00056704
94,8065.63,1.05722,1.10482,1.13401,0.4832,0.37767,0.38391,0.2267,1.02389,1.0874,1.13008,0.000559318,0.000559318,0.000559318
95,8151.49,1.05306,1.10142,1.13821,0.48279,0.37809,0.38218,0.22499,1.02331,1.0878,1.12987,0.000551584,0.000551584,0.000551584
96,8236.62,1.05068,1.1057,1.13748,0.47852,0.37914,0.37999,0.22366,1.02338,1.08759,1.13008,0.000543837,0.000543837,0.000543837
97,8322.1,1.05234,1.10016,1.13744,0.4744,0.37973,0.38027,0.22362,1.02301,1.08737,1.13011,0.000536081,0.000536081,0.000536081
98,8407.7,1.05019,1.09734,1.1365,0.46863,0.38269,0.38013,0.22362,1.02246,1.0874,1.12991,0.000528318,0.000528318,0.000528318
99,8492.82,1.05005,1.10327,1.13313,0.47197,0.38364,0.37923,0.22334,1.02204,1.08808,1.12953,0.000520548,0.000520548,0.000520548
100,8578.54,1.04853,1.0936,1.13095,0.47304,0.38053,0.38035,0.22431,1.02217,1.08697,1.12984,0.000512775,0.000512775,0.000512775
101,8664.05,1.05026,1.09703,1.13057,0.47322,0.38354,0.38016,0.22438,1.02246,1.08668,1.12976,0.000505,0.000505,0.000505
102,8749.72,1.0487,1.09839,1.13471,0.47246,0.37982,0.38046,0.22459,1.02246,1.08695,1.12986,0.000497225,0.000497225,0.000497225
103,8835.64,1.0507,1.10201,1.13442,0.47566,0.38047,0.38111,0.22492,1.02198,1.08638,1.12964,0.000489452,0.000489452,0.000489452
104,8922.27,1.04787,1.09352,1.12924,0.4713,0.38383,0.38204,0.22481,1.02175,1.08605,1.12935,0.000481682,0.000481682,0.000481682
105,9007.78,1.04641,1.0924,1.13239,0.47255,0.38354,0.38272,0.2257,1.02152,1.08511,1.12906,0.000473919,0.000473919,0.000473919
106,9093.05,1.052,1.09978,1.13296,0.46928,0.38278,0.38277,0.22593,1.02128,1.08489,1.12889,0.000466163,0.000466163,0.000466163
107,9178.83,1.05283,1.09918,1.13182,0.47031,0.38202,0.3838,0.22627,1.02108,1.08472,1.12885,0.000458416,0.000458416,0.000458416
108,9264.73,1.05056,1.09583,1.13117,0.47032,0.38214,0.38356,0.22582,1.02149,1.08443,1.12898,0.000450682,0.000450682,0.000450682
109,9350.46,1.04823,1.09331,1.13429,0.47071,0.38248,0.38246,0.22489,1.02148,1.08499,1.12879,0.00044296,0.00044296,0.00044296
110,9435.27,1.05043,1.09644,1.13337,0.47401,0.38107,0.38359,0.22581,1.0215,1.08485,1.12878,0.000435254,0.000435254,0.000435254
111,9521.02,1.05137,1.09786,1.13276,0.47462,0.38243,0.38367,0.2257,1.02155,1.08475,1.12883,0.000427565,0.000427565,0.000427565
112,9607.03,1.04847,1.09497,1.13034,0.47217,0.3833,0.38282,0.22542,1.0214,1.08467,1.12881,0.000419895,0.000419895,0.000419895
113,9693.21,1.04704,1.09064,1.12923,0.4735,0.38291,0.38273,0.22519,1.02197,1.08535,1.12888,0.000412246,0.000412246,0.000412246
114,9779.44,1.04893,1.09194,1.12804,0.47434,0.38286,0.38178,0.22477,1.0217,1.08514,1.12904,0.00040462,0.00040462,0.00040462
115,9865.31,1.04857,1.08761,1.13191,0.47637,0.38247,0.38113,0.2244,1.02144,1.08472,1.12876,0.000397019,0.000397019,0.000397019
