epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.24,1.48626,1.89385,1.48067,0.28871,0.24488,0.2123,0.11023,1.29026,1.52651,1.36704,0.000332921,0.000332921,0.0670408
2,191.772,1.29145,1.52626,1.32505,0.33556,0.3051,0.27161,0.1485,1.18835,1.36588,1.26591,0.000665604,0.000665604,0.0340401
3,280.99,1.21313,1.39153,1.25551,0.39023,0.31843,0.30369,0.16814,1.1383,1.27855,1.2191,0.000995686,0.000995686,0.00103689
4,368.743,1.16435,1.30272,1.21756,0.41416,0.33503,0.32609,0.18425,1.11355,1.23095,1.19787,0.000991232,0.000991232,0.000991232
5,458.084,1.13995,1.26688,1.19823,0.42271,0.34873,0.33854,0.19276,1.08578,1.20226,1.18271,0.000984449,0.000984449,0.000984449
6,547.264,1.12904,1.24094,1.18673,0.43349,0.35365,0.34463,0.19669,1.08115,1.19052,1.17578,0.000975773,0.000975773,0.000975773
7,635.448,1.11371,1.22063,1.17832,0.42809,0.36275,0.35136,0.2031,1.07295,1.18023,1.16869,0.000965239,0.000965239,0.000965239
8,723.776,1.10521,1.20822,1.17669,0.4373,0.36398,0.35531,0.20451,1.0691,1.16805,1.16485,0.000952889,0.000952889,0.000952889
9,811.399,1.10295,1.19577,1.16791,0.43804,0.36818,0.36111,0.20888,1.06239,1.15716,1.16042,0.000938772,0.000938772,0.000938772
10,898.036,1.09011,1.17972,1.16683,0.44798,0.36491,0.36162,0.21013,1.0584,1.15342,1.1582,0.000922942,0.000922942,0.000922942
11,985.237,1.09419,1.17664,1.16695,0.45254,0.37223,0.36566,0.21171,1.05478,1.14587,1.15438,0.000905463,0.000905463,0.000905463
12,1072.85,1.09035,1.17573,1.16147,0.45017,0.3793,0.36678,0.21266,1.05342,1.1415,1.15417,0.000886404,0.000886404,0.000886404
13,1161.08,1.08168,1.15957,1.15728,0.45403,0.36613,0.36483,0.21253,1.05291,1.14124,1.15223,0.000865839,0.000865839,0.000865839
14,1248.45,1.08474,1.16279,1.15632,0.45237,0.37406,0.36993,0.21527,1.05019,1.13661,1.14971,0.000843851,0.000843851,0.000843851
